b.o.m,e.o.m.,SLTRIB,C44RO,C43RO,Note,"SLTRIB units are (af), C44RO and C43RO units are (cfsd)"
1-Jan-65,31-Jan-65,17633.5,12069.81583,69358.35989,,
1-Feb-65,28-Feb-65,28841.2,1832.346937,7032.4776,,
1-Mar-65,31-Mar-65,11319.1,1623.715731,17413.67001,,
1-Apr-65,30-Apr-65,9293.2,2.44519043,2382.96941,,
1-May-65,31-May-65,3092,0,71.0914917,,
1-Jun-65,30-Jun-65,16829,14813.21383,111243.8277,,
1-Jul-65,31-Jul-65,71833.9,14293.5014,85401.61353,,
1-Aug-65,31-Aug-65,46532.2,10938.69925,95188.65198,,
1-Sep-65,30-Sep-65,54487.3,15663.37286,59180.23035,,
1-Oct-65,31-Oct-65,103183.3,25094.48441,99485.6853,,
1-Nov-65,30-Nov-65,56332.2,9341.295635,11016.96944,,
1-Dec-65,31-Dec-65,14548.7,0,311.7750854,,
1-Jan-66,31-Jan-66,74770.1,9685.313843,7524.476807,,
1-Feb-66,28-Feb-66,47717.7,6069.649647,11716.58435,,
1-Mar-66,31-Mar-66,33961.2,5416.269218,1988.651123,,
1-Apr-66,30-Apr-66,14767.9,56.91446877,2479.784729,,
1-May-66,31-May-66,39745.5,1485.520581,6534.677094,,
1-Jun-66,30-Jun-66,81737.1,23267.32541,111132.3763,,
1-Jul-66,31-Jul-66,122035.3,32668.15228,88940.02258,,
1-Aug-66,31-Aug-66,94923.5,9758.411011,128152.6616,,
1-Sep-66,30-Sep-66,42625.5,9737.181213,90050.20703,,
1-Oct-66,31-Oct-66,90784,22576.07254,42486.21133,,
1-Nov-66,30-Nov-66,15880.8,2547.355507,0,,
1-Dec-66,31-Dec-66,9586.8,0,0,,
1-Jan-67,31-Jan-67,8040.6,0,0,,
1-Feb-67,28-Feb-67,12819.1,102.0166626,5388.639221,,
1-Mar-67,31-Mar-67,6624.3,249.1756372,1125.457275,,
1-Apr-67,30-Apr-67,4733.1,0,0,,
1-May-67,31-May-67,3222.5,0,0,,
