Date,C43RO
30-Dec-90,
31-Dec-90,
1-Jan-91,0
2-Jan-91,0
3-Jan-91,0
4-Jan-91,0
5-Jan-91,474
6-Jan-91,240
7-Jan-91,107
8-Jan-91,236
9-Jan-91,0
10-Jan-91,450
11-Jan-91,262
12-Jan-91,330
13-Jan-91,385
14-Jan-91,296
15-Jan-91,1175
16-Jan-91,4875
17-Jan-91,5065
18-Jan-91,3075
19-Jan-91,2115
20-Jan-91,1615
21-Jan-91,1425
22-Jan-91,605
23-Jan-91,500
24-Jan-91,1005
25-Jan-91,1055
26-Jan-91,1095
27-Jan-91,540
28-Jan-91,1035
29-Jan-91,931
30-Jan-91,675
31-Jan-91,417
1-Feb-91,410
2-Feb-91,531
3-Feb-91,499
4-Feb-91,153
5-Feb-91,6
6-Feb-91,4.2
7-Feb-91,5
8-Feb-91,11
9-Feb-91,13
10-Feb-91,39
11-Feb-91,211
12-Feb-91,218
13-Feb-91,193
14-Feb-91,0
15-Feb-91,0
16-Feb-91,0
17-Feb-91,0
18-Feb-91,805
19-Feb-91,297
20-Feb-91,17
21-Feb-91,15
22-Feb-91,13
23-Feb-91,0
24-Feb-91,0
25-Feb-91,0
26-Feb-91,11
27-Feb-91,133
28-Feb-91,531
1-Mar-91,196
2-Mar-91,123
3-Mar-91,398
4-Mar-91,411
5-Mar-91,360
6-Mar-91,7
7-Mar-91,5
8-Mar-91,4.9
9-Mar-91,4.4
10-Mar-91,10
11-Mar-91,10
12-Mar-91,6
13-Mar-91,2.9
14-Mar-91,3.5
15-Mar-91,0
16-Mar-91,0
17-Mar-91,6
18-Mar-91,1.9
19-Mar-91,4.3
20-Mar-91,0
21-Mar-91,0
22-Mar-91,0
23-Mar-91,0
24-Mar-91,0
25-Mar-91,0
26-Mar-91,0
27-Mar-91,0
28-Mar-91,0
29-Mar-91,0
30-Mar-91,0
31-Mar-91,0
1-Apr-91,933
2-Apr-91,1265
3-Apr-91,257
4-Apr-91,70
5-Apr-91,1525
6-Apr-91,1475
7-Apr-91,1005
8-Apr-91,1485
9-Apr-91,285
10-Apr-91,6
11-Apr-91,41
12-Apr-91,241
13-Apr-91,112
14-Apr-91,4.7
15-Apr-91,3.2
16-Apr-91,2.1
17-Apr-91,2.4
18-Apr-91,3.4
19-Apr-91,4.2
20-Apr-91,857
21-Apr-91,749
22-Apr-91,4.5
23-Apr-91,3.2
24-Apr-91,4.4
25-Apr-91,6
26-Apr-91,619
27-Apr-91,4.1
28-Apr-91,2.8
29-Apr-91,3
30-Apr-91,0
1-May-91,0
2-May-91,0
3-May-91,0
4-May-91,0
5-May-91,0
6-May-91,0
7-May-91,0
8-May-91,0
9-May-91,0
10-May-91,0
11-May-91,0
12-May-91,0
13-May-91,0
14-May-91,0
15-May-91,601
16-May-91,327
17-May-91,833
18-May-91,1495
19-May-91,734
20-May-91,1925
21-May-91,2448
22-May-91,2359
23-May-91,5455
24-May-91,4815
25-May-91,4045
26-May-91,4475
27-May-91,4485
28-May-91,3105
29-May-91,2065
30-May-91,1585
31-May-91,1585
1-Jun-91,1345
2-Jun-91,1535
3-Jun-91,1325
4-Jun-91,1365
5-Jun-91,1345
6-Jun-91,2465
7-Jun-91,3085
8-Jun-91,3255
9-Jun-91,3235
10-Jun-91,1465
11-Jun-91,1805
12-Jun-91,1055
13-Jun-91,655
14-Jun-91,543
15-Jun-91,301
16-Jun-91,615
17-Jun-91,647
18-Jun-91,944
19-Jun-91,1705
20-Jun-91,2175
21-Jun-91,2195
22-Jun-91,1195
23-Jun-91,1365
24-Jun-91,2245
25-Jun-91,1965
26-Jun-91,2205
27-Jun-91,2115
28-Jun-91,1685
29-Jun-91,1845
30-Jun-91,3205
1-Jul-91,6615
2-Jul-91,6645
3-Jul-91,5665
4-Jul-91,4335
5-Jul-91,5055
6-Jul-91,5875
7-Jul-91,5335
8-Jul-91,4745
9-Jul-91,4045
10-Jul-91,3425
11-Jul-91,3795
12-Jul-91,3695
13-Jul-91,3645
14-Jul-91,3145
15-Jul-91,2565
16-Jul-91,2245
17-Jul-91,2895
18-Jul-91,2015
19-Jul-91,2275
20-Jul-91,2015
21-Jul-91,2215
22-Jul-91,2435
23-Jul-91,2985
24-Jul-91,2865
25-Jul-91,3335
26-Jul-91,4855
27-Jul-91,3895
28-Jul-91,5095
29-Jul-91,4295
30-Jul-91,6075
31-Jul-91,5425
1-Aug-91,4195
2-Aug-91,5195
3-Aug-91,3715
4-Aug-91,3445
5-Aug-91,3265
6-Aug-91,3645
7-Aug-91,3135
8-Aug-91,2315
9-Aug-91,2515
10-Aug-91,2675
11-Aug-91,2455
12-Aug-91,2375
13-Aug-91,3315
14-Aug-91,3015
15-Aug-91,2925
16-Aug-91,3075
17-Aug-91,2165
18-Aug-91,2355
19-Aug-91,2535
20-Aug-91,2425
21-Aug-91,1825
22-Aug-91,2035
23-Aug-91,2905
24-Aug-91,4005
25-Aug-91,4495
26-Aug-91,4635
27-Aug-91,3915
28-Aug-91,3565
29-Aug-91,2575
30-Aug-91,3085
31-Aug-91,2595
1-Sep-91,2255
2-Sep-91,1995
3-Sep-91,2345
4-Sep-91,1575
5-Sep-91,2015
6-Sep-91,3435
7-Sep-91,3425
8-Sep-91,3245
9-Sep-91,3785
10-Sep-91,3185
11-Sep-91,2515
12-Sep-91,1915
13-Sep-91,2165
14-Sep-91,1385
15-Sep-91,1045
16-Sep-91,1045
17-Sep-91,371
18-Sep-91,866
19-Sep-91,236
20-Sep-91,310
21-Sep-91,719
22-Sep-91,829
23-Sep-91,774
24-Sep-91,1225
25-Sep-91,845
26-Sep-91,2275
27-Sep-91,1425
28-Sep-91,826
29-Sep-91,1035
30-Sep-91,376
1-Oct-91,944
2-Oct-91,986
3-Oct-91,1965
4-Oct-91,1975
5-Oct-91,2225
6-Oct-91,2785
7-Oct-91,3265
8-Oct-91,2575
9-Oct-91,1915
10-Oct-91,1965
11-Oct-91,1785
12-Oct-91,1575
13-Oct-91,1195
14-Oct-91,1105
15-Oct-91,1655
16-Oct-91,1375
17-Oct-91,956
18-Oct-91,1115
19-Oct-91,271
20-Oct-91,554
21-Oct-91,576
22-Oct-91,1365
23-Oct-91,1195
24-Oct-91,1165
25-Oct-91,518
26-Oct-91,964
27-Oct-91,482
28-Oct-91,670
29-Oct-91,38
30-Oct-91,234
31-Oct-91,234
1-Nov-91,19
2-Nov-91,0
3-Nov-91,159
4-Nov-91,208
5-Nov-91,0
6-Nov-91,855
7-Nov-91,336
8-Nov-91,344
9-Nov-91,329
10-Nov-91,342
11-Nov-91,540
12-Nov-91,89
13-Nov-91,6
14-Nov-91,0
15-Nov-91,0
16-Nov-91,0
17-Nov-91,0
18-Nov-91,0
19-Nov-91,0
20-Nov-91,0
21-Nov-91,0
22-Nov-91,0
23-Nov-91,98
24-Nov-91,937
25-Nov-91,158
26-Nov-91,611
27-Nov-91,150
28-Nov-91,9
29-Nov-91,390
30-Nov-91,443
1-Dec-91,796
2-Dec-91,438
3-Dec-91,62
4-Dec-91,463
5-Dec-91,12
6-Dec-91,8
7-Dec-91,7
8-Dec-91,294
9-Dec-91,46
10-Dec-91,7
11-Dec-91,7
12-Dec-91,7
13-Dec-91,0
14-Dec-91,0
15-Dec-91,9
16-Dec-91,0
17-Dec-91,0
18-Dec-91,0
19-Dec-91,0
20-Dec-91,0
21-Dec-91,0
22-Dec-91,0
23-Dec-91,0
24-Dec-91,0
25-Dec-91,0
26-Dec-91,0
27-Dec-91,0
28-Dec-91,0
29-Dec-91,6
30-Dec-91,0
31-Dec-91,0
1-Jan-92,0
2-Jan-92,0
3-Jan-92,0
4-Jan-92,0
5-Jan-92,0
6-Jan-92,0
7-Jan-92,0
8-Jan-92,0
9-Jan-92,0
10-Jan-92,0
11-Jan-92,8
12-Jan-92,7
13-Jan-92,3.2
14-Jan-92,0
15-Jan-92,0
16-Jan-92,0
17-Jan-92,0
18-Jan-92,0
19-Jan-92,0
20-Jan-92,781
21-Jan-92,436
22-Jan-92,29
23-Jan-92,555
24-Jan-92,391
25-Jan-92,11
26-Jan-92,9
27-Jan-92,8
28-Jan-92,22
29-Jan-92,195
30-Jan-92,197
31-Jan-92,113
1-Feb-92,95
2-Feb-92,133
3-Feb-92,55
4-Feb-92,0
5-Feb-92,239
6-Feb-92,1625
7-Feb-92,851
8-Feb-92,971
9-Feb-92,651
10-Feb-92,204
11-Feb-92,524
12-Feb-92,392
13-Feb-92,6
14-Feb-92,5
15-Feb-92,5
16-Feb-92,21
17-Feb-92,49
18-Feb-92,4.8
19-Feb-92,4.2
20-Feb-92,0
21-Feb-92,0
22-Feb-92,0
23-Feb-92,6
24-Feb-92,24
25-Feb-92,975
26-Feb-92,2205
27-Feb-92,2465
28-Feb-92,1345
29-Feb-92,995
1-Mar-92,114
2-Mar-92,693
3-Mar-92,9
4-Mar-92,9
5-Mar-92,7
6-Mar-92,5
7-Mar-92,5
8-Mar-92,6
9-Mar-92,0
10-Mar-92,0
11-Mar-92,0
12-Mar-92,0
13-Mar-92,0
14-Mar-92,144
15-Mar-92,348
16-Mar-92,196
17-Mar-92,0
18-Mar-92,0
19-Mar-92,0
20-Mar-92,526
