Date,C44RO
30-Dec-99,0
31-Dec-99,225.9999996
1-Jan-00,70.99999959
2-Jan-00,297.9999999
3-Jan-00,0
4-Jan-00,0
5-Jan-00,0
6-Jan-00,0
7-Jan-00,0
8-Jan-00,0
9-Jan-00,35
10-Jan-00,0
11-Jan-00,0
12-Jan-00,0
13-Jan-00,0
14-Jan-00,0.999999168
15-Jan-00,0
16-Jan-00,43.99999956
17-Jan-00,0
18-Jan-00,0
19-Jan-00,0
20-Jan-00,0
21-Jan-00,0
22-Jan-00,0
23-Jan-00,35
24-Jan-00,66
25-Jan-00,140
26-Jan-00,0
27-Jan-00,0
28-Jan-00,35
29-Jan-00,279
30-Jan-00,253
31-Jan-00,0
1-Feb-00,0
2-Feb-00,0
3-Feb-00,0
4-Feb-00,0
5-Feb-00,0
6-Feb-00,0
7-Feb-00,0
8-Feb-00,0
9-Feb-00,35
10-Feb-00,35
11-Feb-00,6.999999985
12-Feb-00,0
13-Feb-00,35
14-Feb-00,35
15-Feb-00,0
16-Feb-00,0
17-Feb-00,0
18-Feb-00,0
19-Feb-00,0
20-Feb-00,8.999999979
21-Feb-00,0
22-Feb-00,0
23-Feb-00,0
24-Feb-00,0
25-Feb-00,35
26-Feb-00,35
27-Feb-00,35
28-Feb-00,0
29-Feb-00,0
1-Mar-00,35
2-Mar-00,35
3-Mar-00,0
4-Mar-00,0
5-Mar-00,35
6-Mar-00,0
7-Mar-00,0
8-Mar-00,0
9-Mar-00,0
10-Mar-00,0
11-Mar-00,0
12-Mar-00,35
13-Mar-00,255
14-Mar-00,270
15-Mar-00,92
16-Mar-00,18.99999998
17-Mar-00,0
18-Mar-00,35
19-Mar-00,233
20-Mar-00,303
21-Mar-00,84
22-Mar-00,125
23-Mar-00,35
24-Mar-00,109
25-Mar-00,109
26-Mar-00,0
27-Mar-00,0
28-Mar-00,56
29-Mar-00,85
30-Mar-00,0
31-Mar-00,0
1-Apr-00,0
2-Apr-00,0
3-Apr-00,0
4-Apr-00,0
5-Apr-00,0
6-Apr-00,0
7-Apr-00,0
8-Apr-00,0
9-Apr-00,0
10-Apr-00,0
11-Apr-00,0
12-Apr-00,0
13-Apr-00,324
14-Apr-00,705
15-Apr-00,760
16-Apr-00,1320
17-Apr-00,736
18-Apr-00,594
19-Apr-00,508
20-Apr-00,311.9999998
21-Apr-00,127.9999998
22-Apr-00,258.9999999
23-Apr-00,145.9999999
24-Apr-00,0
25-Apr-00,0
26-Apr-00,406.999999
27-Apr-00,177.9999987
28-Apr-00,0
29-Apr-00,0
30-Apr-00,0
1-May-00,0
2-May-00,0
3-May-00,0
4-May-00,0
5-May-00,0
6-May-00,0
7-May-00,23.99999836
8-May-00,0
9-May-00,0
10-May-00,0
11-May-00,0
12-May-00,0
13-May-00,0
14-May-00,0
15-May-00,0
16-May-00,0
17-May-00,0
18-May-00,0
19-May-00,0
20-May-00,0
21-May-00,0
22-May-00,0
23-May-00,226.0000001
24-May-00,401.0000003
25-May-00,468.0000002
26-May-00,230.0000001
27-May-00,407.0000003
28-May-00,514.0000004
29-May-00,576.0000005
30-May-00,847.0000006
31-May-00,338.0000002
1-Jun-00,0
2-Jun-00,0
3-Jun-00,0
4-Jun-00,45
5-Jun-00,0
6-Jun-00,0
7-Jun-00,848.0000004
8-Jun-00,840.0000005
9-Jun-00,817.0000005
10-Jun-00,794.0000006
11-Jun-00,773.0000005
12-Jun-00,792.0000003
13-Jun-00,847.0000006
14-Jun-00,838.0000006
15-Jun-00,341.0000002
16-Jun-00,105.0000001
17-Jun-00,54.00000003
18-Jun-00,40
19-Jun-00,0
20-Jun-00,0
21-Jun-00,0
22-Jun-00,0
23-Jun-00,28.60000001
24-Jun-00,119
25-Jun-00,246.0000001
26-Jun-00,373.0000002
27-Jun-00,501.0000003
28-Jun-00,389.0000002
29-Jun-00,321.0000002
30-Jun-00,351.0000002
1-Jul-00,202.0000001
2-Jul-00,40.19999999
3-Jul-00,163.0000001
4-Jul-00,188.0000001
5-Jul-00,225.0000001
6-Jul-00,212.0000001
7-Jul-00,135.0000001
8-Jul-00,307.0000002
9-Jul-00,358.0000002
10-Jul-00,411.0000004
11-Jul-00,383.0000002
12-Jul-00,222.0000001
13-Jul-00,122.0000001
14-Jul-00,165.0000001
15-Jul-00,223.0000001
16-Jul-00,130.0000001
17-Jul-00,127.0000001
18-Jul-00,0
19-Jul-00,0
20-Jul-00,0
21-Jul-00,0
22-Jul-00,0
23-Jul-00,0
24-Jul-00,191.0000001
25-Jul-00,145.0000001
26-Jul-00,1001
27-Jul-00,1403.000001
28-Jul-00,1333.000001
29-Jul-00,358.0000002
30-Jul-00,0
31-Jul-00,132.0000001
1-Aug-00,99.00000004
2-Aug-00,105.0000001
3-Aug-00,28.99999998
4-Aug-00,47
5-Aug-00,0
6-Aug-00,163.0000001
7-Aug-00,626.0000005
8-Aug-00,233.0000001
9-Aug-00,107
10-Aug-00,0
11-Aug-00,0
12-Aug-00,0
13-Aug-00,0
14-Aug-00,0
15-Aug-00,0
16-Aug-00,0
17-Aug-00,0
18-Aug-00,0
19-Aug-00,0
20-Aug-00,0
21-Aug-00,0
22-Aug-00,0
23-Aug-00,0
24-Aug-00,0
25-Aug-00,0
26-Aug-00,0
27-Aug-00,0
28-Aug-00,0
29-Aug-00,0
30-Aug-00,0
31-Aug-00,0
1-Sep-00,0
2-Sep-00,0
3-Sep-00,0
4-Sep-00,0
5-Sep-00,0
6-Sep-00,0
7-Sep-00,0
8-Sep-00,0
9-Sep-00,732.0000005
10-Sep-00,981.0000005
11-Sep-00,865.0000007
12-Sep-00,814.0000005
13-Sep-00,766.0000004
14-Sep-00,760.0000004
15-Sep-00,687.0000004
16-Sep-00,905.0000005
17-Sep-00,1310.000001
18-Sep-00,912.0000007
19-Sep-00,850.0000006
20-Sep-00,812.0000006
21-Sep-00,800.0000006
22-Sep-00,775.0000004
23-Sep-00,805.0000005
24-Sep-00,773.0000005
25-Sep-00,979.0000006
26-Sep-00,1072
27-Sep-00,1021.000001
28-Sep-00,1095.000001
29-Sep-00,974.0000007
30-Sep-00,1047.000001
1-Oct-00,247.0000001
2-Oct-00,184.0000001
3-Oct-00,238.0000001
4-Oct-00,1175.000001
5-Oct-00,1175.000001
6-Oct-00,735.0000006
7-Oct-00,985.0000006
8-Oct-00,680.0000003
9-Oct-00,446.0000004
10-Oct-00,350.0000002
11-Oct-00,333.0000002
12-Oct-00,289.0000002
13-Oct-00,154.0000001
14-Oct-00,192.0000001
15-Oct-00,189.0000001
16-Oct-00,59.00000003
17-Oct-00,0
18-Oct-00,0
19-Oct-00,0
20-Oct-00,120.0000001
21-Oct-00,73.00000002
22-Oct-00,166.0000001
23-Oct-00,0
24-Oct-00,0
25-Oct-00,0
26-Oct-00,0
27-Oct-00,44.50000001
28-Oct-00,95.00000005
29-Oct-00,60.00000001
30-Oct-00,0
31-Oct-00,0
1-Nov-00,0
2-Nov-00,0
3-Nov-00,0
4-Nov-00,0
5-Nov-00,0
6-Nov-00,0
7-Nov-00,0
8-Nov-00,0
9-Nov-00,0
10-Nov-00,0
11-Nov-00,0
12-Nov-00,0
13-Nov-00,0
14-Nov-00,0
15-Nov-00,0
16-Nov-00,0
17-Nov-00,0
18-Nov-00,0
19-Nov-00,0
20-Nov-00,0
21-Nov-00,6.999999985
22-Nov-00,0
23-Nov-00,0
24-Nov-00,0
25-Nov-00,0
26-Nov-00,0
27-Nov-00,0
28-Nov-00,0
29-Nov-00,0
30-Nov-00,0
1-Dec-00,0
2-Dec-00,14.99999999
3-Dec-00,87.00000004
4-Dec-00,0
5-Dec-00,14.99999999
6-Dec-00,0
7-Dec-00,52
8-Dec-00,0
9-Dec-00,57
10-Dec-00,18.99999998
11-Dec-00,0
12-Dec-00,18.99999998
13-Dec-00,0
14-Dec-00,51.00000002
15-Dec-00,0
16-Dec-00,53.00000001
17-Dec-00,59.00000003
18-Dec-00,0
19-Dec-00,45
20-Dec-00,0
21-Dec-00,13.99999998
22-Dec-00,0
23-Dec-00,4.999999992
24-Dec-00,16.99999999
25-Dec-00,0
26-Dec-00,15.99999997
27-Dec-00,0
28-Dec-00,40
29-Dec-00,0
30-Dec-00,0
31-Dec-00,0
1-Jan-01,0
2-Jan-01,35
3-Jan-01,0
4-Jan-01,35
5-Jan-01,0
6-Jan-01,8.999999979
7-Jan-01,35
8-Jan-01,0
9-Jan-01,10.99999997
10-Jan-01,0
11-Jan-01,20.99999997
12-Jan-01,0
13-Jan-01,30
14-Jan-01,35
15-Jan-01,0
16-Jan-01,35
17-Jan-01,0
18-Jan-01,23
19-Jan-01,0
20-Jan-01,35
21-Jan-01,35
22-Jan-01,0
23-Jan-01,35
24-Jan-01,35
25-Jan-01,35
26-Jan-01,35
27-Jan-01,35
28-Jan-01,34.89999999
29-Jan-01,35
30-Jan-01,0
31-Jan-01,0
1-Feb-01,2.999999998
2-Feb-01,0
3-Feb-01,31.5
4-Feb-01,0
5-Feb-01,0
6-Feb-01,35
7-Feb-01,0
8-Feb-01,35
9-Feb-01,0
10-Feb-01,35
11-Feb-01,35
12-Feb-01,0
13-Feb-01,35
14-Feb-01,0
15-Feb-01,0
16-Feb-01,0
17-Feb-01,1.999999984
18-Feb-01,35
19-Feb-01,0
20-Feb-01,35
21-Feb-01,0
22-Feb-01,0
23-Feb-01,0
24-Feb-01,0
25-Feb-01,0
26-Feb-01,0
27-Feb-01,0
28-Feb-01,0
1-Mar-01,0
2-Mar-01,0
3-Mar-01,0
4-Mar-01,13
5-Mar-01,0
6-Mar-01,0
7-Mar-01,0
8-Mar-01,0
9-Mar-01,0
10-Mar-01,0
11-Mar-01,0
12-Mar-01,0
13-Mar-01,0
14-Mar-01,0
15-Mar-01,29.50000001
16-Mar-01,0
17-Mar-01,0
18-Mar-01,20.99999997
19-Mar-01,0
20-Mar-01,14.99999999
21-Mar-01,0
22-Mar-01,264.0000002
23-Mar-01,0
24-Mar-01,0
25-Mar-01,0
26-Mar-01,0
27-Mar-01,35
28-Mar-01,0
29-Mar-01,35
30-Mar-01,133.0000001
31-Mar-01,119
1-Apr-01,136.0000001
2-Apr-01,250.0000001
3-Apr-01,35
4-Apr-01,45
5-Apr-01,35
6-Apr-01,26.8
7-Apr-01,35
8-Apr-01,35
9-Apr-01,0
10-Apr-01,35
11-Apr-01,0
12-Apr-01,35
13-Apr-01,0
14-Apr-01,35
15-Apr-01,35
16-Apr-01,0
17-Apr-01,35
18-Apr-01,0
19-Apr-01,35
20-Apr-01,0
21-Apr-01,28.39999998
22-Apr-01,35
23-Apr-01,0
24-Apr-01,35
25-Apr-01,0
26-Apr-01,35
27-Apr-01,0
28-Apr-01,0
29-Apr-01,35
30-Apr-01,0
1-May-01,35
2-May-01,46.00000002
3-May-01,35
4-May-01,35
5-May-01,141.0000001
6-May-01,149.0000001
7-May-01,34.50000001
8-May-01,86.00000003
9-May-01,0
10-May-01,50
11-May-01,0
12-May-01,35
13-May-01,35
14-May-01,0
15-May-01,35
16-May-01,0
17-May-01,35
18-May-01,0
19-May-01,35
20-May-01,53.00000001
21-May-01,13.99999998
22-May-01,35
23-May-01,0
24-May-01,138.0000001
25-May-01,285.0000001
26-May-01,324.0000002
27-May-01,224.0000001
28-May-01,283.0000001
29-May-01,313.0000002
30-May-01,134
31-May-01,267.0000001
1-Jun-01,0
2-Jun-01,75.00000001
3-Jun-01,113.0000001
4-Jun-01,35
5-Jun-01,118.0000001
6-Jun-01,137.0000001
7-Jun-01,236.0000001
8-Jun-01,422.0000003
9-Jun-01,388.0000002
10-Jun-01,395.0000002
11-Jun-01,255.0000001
12-Jun-01,211.0000001
13-Jun-01,93.00000002
14-Jun-01,331.0000002
15-Jun-01,193.0000001
16-Jun-01,177.0000001
17-Jun-01,205.0000001
18-Jun-01,230.0000001
19-Jun-01,313.0000002
20-Jun-01,207.0000001
21-Jun-01,242.0000001
22-Jun-01,559.0000002
23-Jun-01,455.0000004
24-Jun-01,351.0000002
25-Jun-01,333.0000002
