Date,MIA,NNR,WPB,S2PMP,S3PMP
1-Jan-91,260,341,302.06,0,0
2-Jan-91,0,43,0,0,0
3-Jan-91,182,200,191.97,0,0
4-Jan-91,215,312,306.93,0,0
5-Jan-91,0,34,0,0,0
6-Jan-91,0,31,0,0,0
7-Jan-91,95,220,163.4,0,0
8-Jan-91,147,328,270.46,0,0
9-Jan-91,0,49,0,0,0
10-Jan-91,95,79,115.69,0,0
11-Jan-91,38,53,89.58,0,0
12-Jan-91,0,38,0,0,0
13-Jan-91,0,36,0,0,0
14-Jan-91,0,83,0,0,0
15-Jan-91,0,149,0,0,0
16-Jan-91,0,0,0,2831.54,201.34
17-Jan-91,0,0,0,0,1076.77
18-Jan-91,0,0,0,0,1081.8
19-Jan-91,0,0,0,2292.8,361.05
20-Jan-91,0,0,0,1187.23,0
21-Jan-91,0,0,0,0,0
22-Jan-91,0,0,0,0,0
23-Jan-91,0,0,0,0,0
24-Jan-91,0,0,0,0,0
25-Jan-91,0,0,0,0,0
26-Jan-91,0,0,0,0,0
27-Jan-91,0,0,0,0,0
28-Jan-91,0,0,0,0,0
29-Jan-91,0,0,0,0,0
30-Jan-91,0,12,0,0,0
31-Jan-91,0,65,0,0,0
1-Feb-91,0,38,0,0,0
2-Feb-91,0,0,0,0,0
3-Feb-91,0,62,0,0,0
4-Feb-91,0,150,0,0,0
5-Feb-91,0,19,0,0,0
6-Feb-91,0,76,0,0,0
7-Feb-91,0,7.3,0,0,0
8-Feb-91,0,17,0,0,0
9-Feb-91,0,30,0,0,0
10-Feb-91,0,0,0,0,0
11-Feb-91,0,17,0,0,0
12-Feb-91,300,131,0,0,0
13-Feb-91,139,47,0,0,0
14-Feb-91,170,0,52.81,0,0
15-Feb-91,1230,676,311.03,0,0
16-Feb-91,419,423,0,0,0
17-Feb-91,269,327,0,0,0
18-Feb-91,0,120,0,0,0
19-Feb-91,0,82,0,0,0
20-Feb-91,0,130,0,0,0
21-Feb-91,0,31,0,0,0
22-Feb-91,168,0,0,0,0
23-Feb-91,0,0,0,0,0
24-Feb-91,0,0,0,0,0
25-Feb-91,0,0,0,0,0
26-Feb-91,0,0,0,0,0
27-Feb-91,0,0,0,0,0
28-Feb-91,0,74,0,0,0
1-Mar-91,0,0,0,0,0
2-Mar-91,0,53,0,0,0
3-Mar-91,0,112,0,0,0
4-Mar-91,0,0,0,95.05,0
5-Mar-91,0,0,0,0,0
6-Mar-91,0,36,0,0,0
7-Mar-91,0,42,0,0,0
8-Mar-91,0,43,0,0,0
9-Mar-91,0,48,0,0,0
10-Mar-91,0,20,0,0,0
11-Mar-91,33,7.2,0,0,0
12-Mar-91,211,63,0,0,0
13-Mar-91,0,94,0,0,0
14-Mar-91,99,74,0,0,0
15-Mar-91,168,90,0,0,0
16-Mar-91,0,43,0,0,0
17-Mar-91,0,35,0,0,0
18-Mar-91,196,87,0,0,0
19-Mar-91,147,156,0,0,0
20-Mar-91,238,93,0,0,0
21-Mar-91,141,80,0,0,0
