Date,MIA,NNR,WPB,S2PMP,S3PMP
1-Jan-00,74.11,229,575.73,0,0
2-Jan-00,162.93,134,557.19,0,0
3-Jan-00,96.5,141,561.57,0,0
4-Jan-00,182.41,114,419.53,0,0
5-Jan-00,254.19,340,415.26,0,0
6-Jan-00,87.31,260,707.86,0,0
7-Jan-00,145.71,337,682.87,0,0
8-Jan-00,181.01,50,615.89,0,0
9-Jan-00,210.15,131,690.39,0,0
10-Jan-00,207.6,338,645.6,0,0
11-Jan-00,187.51,309,703.86,0,0
12-Jan-00,160.05,221,714.56,0,0
13-Jan-00,187.51,180,687.06,0,0
14-Jan-00,347.49,318,692.88,159.15,0
15-Jan-00,186.93,246,681.98,0,0
16-Jan-00,330.57,192,709.65,0,0
17-Jan-00,317.38,187,714.62,0,0
18-Jan-00,283.09,304,721.84,0,0
19-Jan-00,278.04,290,740.65,0,0
20-Jan-00,183.91,342,728.88,83.85,0
21-Jan-00,109.53,240,636.16,0,0
22-Jan-00,155.95,161,590.53,0,0
23-Jan-00,233.58,195,547.65,0,0
24-Jan-00,37.94,0,109.77,0,0
25-Jan-00,78.74,0,0,0,0
26-Jan-00,117.27,0,132.03,58.79,0
27-Jan-00,0,0,129.87,38.46,0
28-Jan-00,0,0,0,0,0
29-Jan-00,0,0,0,0,0
30-Jan-00,0,0,0,0,0
31-Jan-00,0,0,0,8.56,0
1-Feb-00,0,0,29.95,0,0
2-Feb-00,0,0,144.89,0,0
3-Feb-00,0,0,144.09,0,0
4-Feb-00,0,0,143.95,0,0
5-Feb-00,0,0.45,145.24,0,0
6-Feb-00,0,0,145.09,0,0
7-Feb-00,347.3,79,294.87,0,0
8-Feb-00,0,79,53.8,0,0
9-Feb-00,0,0,0,0,0
10-Feb-00,0,0,0,75.92,0
11-Feb-00,0,0,0,0,0
12-Feb-00,0,50,0,0,0
13-Feb-00,0,0,0,0,0
14-Feb-00,0,0,0,0,0
15-Feb-00,37.55,36,64.06,0,0
16-Feb-00,118.6,142,217.48,0,0
17-Feb-00,118.24,196,199.9,0,0
18-Feb-00,105.21,210,99.98,0,0
19-Feb-00,111.61,258,137.36,0,0
20-Feb-00,119.03,198,136.17,0,0
21-Feb-00,122.43,221,135.5,0,0
22-Feb-00,54.77,138,134.79,0,0
23-Feb-00,115.34,208,201.61,0,0
24-Feb-00,119.11,159,207.99,0,0
25-Feb-00,118.83,174,207.53,0,0
26-Feb-00,117.89,189,204.99,0,0
27-Feb-00,117.6,184,203.5,0,0
28-Feb-00,108.37,216,201.17,0,0
29-Feb-00,196.68,220,198.49,0,0
1-Mar-00,582.89,542,423.28,0,0
2-Mar-00,425.73,391,354.42,0,0
3-Mar-00,534.4,390,326.91,0,0
4-Mar-00,439.93,401,231.05,0,0
5-Mar-00,373.05,343,218.49,0,0
6-Mar-00,463.78,510,232.91,0,0
7-Mar-00,590.95,588,396.92,0,0
8-Mar-00,479.74,673,484.62,0,0
9-Mar-00,592.24,625,589.66,0,0
10-Mar-00,801.39,570,574.62,0,0
11-Mar-00,457.59,266,363.3,0,0
12-Mar-00,47.07,56,91.9,0,0
13-Mar-00,405.29,212,312.67,0,0
14-Mar-00,654.76,323,454.88,0,0
15-Mar-00,683.78,359,424.91,0,0
16-Mar-00,560.41,237,433.01,0,0
17-Mar-00,320.01,49,361.31,0,0
18-Mar-00,121.93,93,126.13,0,0
19-Mar-00,0,27,0,0,0
20-Mar-00,0,404,0,0,0
21-Mar-00,0,213,0,162.29,0
22-Mar-00,0,47,0,0,0
23-Mar-00,355.21,172,0,0,0
24-Mar-00,801.01,214,0,0,0
25-Mar-00,583.42,231,0,0,0
