Date,ETVol_acft
30-Dec-99,3443
31-Dec-99,3254
1-Jan-00,3164
2-Jan-00,4225
3-Jan-00,3913
4-Jan-00,3113
5-Jan-00,3945
6-Jan-00,3685
7-Jan-00,3564
8-Jan-00,4084
9-Jan-00,3844
10-Jan-00,4829
11-Jan-00,4395
12-Jan-00,4844
13-Jan-00,3916
14-Jan-00,4864
15-Jan-00,4238
16-Jan-00,3828
17-Jan-00,4427
18-Jan-00,4532
19-Jan-00,3128
20-Jan-00,4939
21-Jan-00,5569
22-Jan-00,3940
23-Jan-00,4391
24-Jan-00,3649
25-Jan-00,4244
26-Jan-00,3828
27-Jan-00,4019
28-Jan-00,2860
29-Jan-00,4461
30-Jan-00,3944
31-Jan-00,3228
1-Feb-00,3588
2-Feb-00,2489
3-Feb-00,3069
4-Feb-00,5061
5-Feb-00,5099
6-Feb-00,4543
7-Feb-00,4191
8-Feb-00,3045
9-Feb-00,5893
10-Feb-00,5591
11-Feb-00,4684
12-Feb-00,5049
13-Feb-00,5311
14-Feb-00,5535
15-Feb-00,6002
16-Feb-00,6057
17-Feb-00,6095
18-Feb-00,5170
19-Feb-00,5388
20-Feb-00,5196
21-Feb-00,6065
22-Feb-00,4267
23-Feb-00,4857
24-Feb-00,4489
25-Feb-00,5595
26-Feb-00,5766
27-Feb-00,5475
28-Feb-00,4645
29-Feb-00,6380
1-Mar-00,6223
2-Mar-00,6346
3-Mar-00,6098
4-Mar-00,6696
5-Mar-00,6946
6-Mar-00,6784
7-Mar-00,5632
8-Mar-00,6083
9-Mar-00,6508
10-Mar-00,6982
11-Mar-00,4586
12-Mar-00,5686
13-Mar-00,6587
14-Mar-00,6849
15-Mar-00,4928
16-Mar-00,5891
17-Mar-00,6925
18-Mar-00,5905
19-Mar-00,5401
20-Mar-00,5587
21-Mar-00,7997
22-Mar-00,7129
23-Mar-00,6198
24-Mar-00,4579
25-Mar-00,7473
26-Mar-00,6603
27-Mar-00,6057
28-Mar-00,8226
29-Mar-00,7689
30-Mar-00,7884
31-Mar-00,6721
1-Apr-00,7414
2-Apr-00,8538
3-Apr-00,8843
4-Apr-00,8890
5-Apr-00,8489
6-Apr-00,7901
7-Apr-00,6829
8-Apr-00,5660
9-Apr-00,8171
10-Apr-00,7725
11-Apr-00,8046
12-Apr-00,4409
13-Apr-00,5534
14-Apr-00,4272
15-Apr-00,6234
16-Apr-00,5204
17-Apr-00,8505
18-Apr-00,9010
19-Apr-00,7931
20-Apr-00,8299
21-Apr-00,9044
22-Apr-00,9442
23-Apr-00,8078
24-Apr-00,8839
25-Apr-00,9976
26-Apr-00,8559
27-Apr-00,8297
28-Apr-00,9321
29-Apr-00,8333
30-Apr-00,7633
1-May-00,7260
2-May-00,8353
3-May-00,7300
4-May-00,7780
5-May-00,7589
6-May-00,6315
7-May-00,7134
8-May-00,6453
9-May-00,6874
10-May-00,6478
11-May-00,7578
12-May-00,7957
13-May-00,7571
14-May-00,7819
15-May-00,6952
16-May-00,6835
17-May-00,7402
18-May-00,8776
19-May-00,8835
20-May-00,8279
21-May-00,8322
22-May-00,6472
23-May-00,6166
24-May-00,7111
25-May-00,6889
26-May-00,7359
27-May-00,7069
28-May-00,8380
29-May-00,8893
30-May-00,6158
31-May-00,6519
1-Jun-00,8176
2-Jun-00,8055
3-Jun-00,7881
4-Jun-00,8100
5-Jun-00,8062
6-Jun-00,8720
7-Jun-00,8145
8-Jun-00,6611
9-Jun-00,7388
10-Jun-00,8155
11-Jun-00,5881
12-Jun-00,7396
13-Jun-00,8273
14-Jun-00,6325
15-Jun-00,7631
16-Jun-00,5924
17-Jun-00,5998
18-Jun-00,6689
19-Jun-00,7524
20-Jun-00,7741
21-Jun-00,8046
22-Jun-00,7331
23-Jun-00,7546
24-Jun-00,6466
25-Jun-00,6616
26-Jun-00,6871
27-Jun-00,5946
28-Jun-00,6155
29-Jun-00,6711
30-Jun-00,7054
1-Jul-00,5872
2-Jul-00,7424
3-Jul-00,6358
4-Jul-00,6015
5-Jul-00,5377
6-Jul-00,8088
7-Jul-00,7734
8-Jul-00,6359
9-Jul-00,5881
10-Jul-00,7529
11-Jul-00,7714
12-Jul-00,7218
13-Jul-00,8419
14-Jul-00,8059
15-Jul-00,7348
16-Jul-00,8886
17-Jul-00,8657
18-Jul-00,7718
19-Jul-00,6918
20-Jul-00,7861
21-Jul-00,7276
22-Jul-00,6039
23-Jul-00,5731
24-Jul-00,5597
25-Jul-00,5791
26-Jul-00,6567
27-Jul-00,7093
28-Jul-00,6536
29-Jul-00,5994
30-Jul-00,5868
31-Jul-00,7462
1-Aug-00,5828
2-Aug-00,5182
3-Aug-00,5674
4-Aug-00,5530
5-Aug-00,6028
6-Aug-00,5895
7-Aug-00,7574
8-Aug-00,7682
9-Aug-00,6508
10-Aug-00,6512
11-Aug-00,7043
12-Aug-00,6140
13-Aug-00,6460
14-Aug-00,6254
15-Aug-00,5342
16-Aug-00,6986
17-Aug-00,6412
18-Aug-00,6003
19-Aug-00,6719
20-Aug-00,5878
21-Aug-00,5469
22-Aug-00,6036
23-Aug-00,5455
24-Aug-00,6334
25-Aug-00,6225
26-Aug-00,6004
27-Aug-00,5192
28-Aug-00,5565
29-Aug-00,5334
30-Aug-00,5670
31-Aug-00,5869
1-Sep-00,7507
2-Sep-00,6986
3-Sep-00,7245
4-Sep-00,6657
5-Sep-00,6466
6-Sep-00,6154
7-Sep-00,5493
8-Sep-00,5994
9-Sep-00,5459
10-Sep-00,6808
11-Sep-00,5256
12-Sep-00,6408
13-Sep-00,7485
14-Sep-00,6768
15-Sep-00,6761
16-Sep-00,4823
17-Sep-00,5949
18-Sep-00,5460
19-Sep-00,6545
20-Sep-00,6898
21-Sep-00,6679
22-Sep-00,6213
23-Sep-00,6815
24-Sep-00,6560
25-Sep-00,6234
26-Sep-00,5869
27-Sep-00,4318
28-Sep-00,5661
29-Sep-00,5837
30-Sep-00,5739
1-Oct-00,6000
2-Oct-00,4810
