Date,Cut_back,P_Load_Cal,P_Load_StL,P_Load_South
1/31/2008,13300.45857,0.657739171,0.05687141,0
2/29/2008,13971.41143,1.397630475,0.664083825,0
3/31/2008,0,2.577939949,0.899388762,0
4/30/2008,20468.47571,4.239819473,1.626411387,0
5/31/2008,138232.6343,4.942058116,1.345545852,0
6/30/2008,50251.37,5.42785679,1.580811144,0
7/31/2008,0,6.427441127,2.544920847,0
8/31/2008,0,9.479804902,3.514490318,0
9/30/2008,0,14.69319359,5.981451371,3.464170599
10/31/2008,0,16.07716518,6.409669135,5.311818236
11/30/2008,0,13.27096477,5.37403966,3.114302697
12/31/2008,0,13.11420024,5.485807139,4.460368733
1/31/2009,8550.56,12.30795779,1.330150661,2.512897405
2/28/2009,22932.80857,8.061186048,3.721900994,3.184465211
3/31/2009,54175.70714,7.778434224,2.734959559,0
4/30/2009,68453.99857,8.33721189,3.19479066,0
5/31/2009,79074.77143,7.599644572,2.07527994,0
6/30/2009,23764.96286,7.601455943,2.213961435,0
7/31/2009,562.4657143,8.972349047,3.553573552,0
8/31/2009,1988.502857,10.26425093,3.808928753,1.500788326
9/30/2009,0,8.663277184,3.523938597,2.300406243
10/31/2009,4582.271429,8.774897086,3.498683949,2.193570763
11/30/2009,34520.85,6.947972544,2.813482169,2.430478255
12/31/2009,0,6.770841396,2.832334127,6.556175258
1/31/2010,0,6.397584999,0.689623281,5.79622147
2/28/2010,0,4.432995607,2.051511423,2.513992581
3/31/2010,254.1828571,4.890835833,1.715200744,1.549812892
4/30/2010,0,6.871398552,2.634952924,2.009580426
5/31/2010,0,7.178824088,1.958608538,1.75605506
6/30/2010,0,6.536963099,1.903197045,2.287481213
7/31/2010,2270.065714,6.368953986,2.51838862,1.870427043
8/31/2010,1921.147143,6.331758397,2.350245582,1.799802719
9/30/2010,2582.11,5.215941057,2.121341788,0.27206672
10/31/2010,29394.44,5.397382936,2.151897012,1.322798257
11/30/2010,34923.02,4.508402085,1.825683257,1.554799407
12/31/2010,24755.46429,4.640810889,1.94139506,0
1/31/2011,38118.37143,4.921240133,0.52499969,0
2/28/2011,81487.93857,3.642467651,1.688831748,0
3/31/2011,69899.75857,3.963184525,1.391014887,0
4/30/2011,82914.54286,4.99376029,1.914518579,0
5/31/2011,104824.4429,5.540364282,1.508737307,0
6/30/2011,39018.68714,6.334370948,1.845483482,0
7/31/2011,15148.49429,7.701241994,3.050412974,0
8/31/2011,47211.76571,9.283018882,3.444573275,0
9/30/2011,6120.781429,8.884113842,3.614490822,0
10/31/2011,2039.941429,12.68065196,5.053377168,0
11/30/2011,8927.764286,15.86784143,6.42611738,0.332241031
12/31/2011,7695.848571,15.69400294,6.564782455,8.234054488
1/31/2012,9288.98,14.52191304,1.56974424,5.202663051
2/29/2012,14019.37143,9.839443622,4.556276121,5.72606483
3/31/2012,46451.36571,9.14743766,3.216258722,1.18990107
4/30/2012,61873.42429,9.672034567,3.706170595,0
5/31/2012,105529.4886,8.959971981,2.446668272,0
6/30/2012,39571.22571,8.102096897,2.358807034,0
7/31/2012,11171.70143,8.618485279,3.408157737,0.652066724
8/31/2012,8258.028571,9.416342921,3.494419898,3.082032944
9/30/2012,3398.737143,14.17565342,5.77611989,4.309289738
10/31/2012,6442.65,19.44582843,7.751665757,13.27918135
11/30/2012,15069.37,16.62175624,6.730847866,16.34999511
12/31/2012,0,16.34028764,6.835442131,14.20012302
1/31/2013,9128.451429,15.70270264,1.691071309,13.39381035
2/28/2013,29700.82714,10.28781361,4.749453632,10.40965582
3/31/2013,20578.37143,10.01521702,3.521981441,9.989832201
4/30/2013,33029.12429,11.09074441,4.250559283,8.28639408
5/31/2013,26226.14571,10.12183809,2.765077294,6.274387983
6/30/2013,11186.30286,9.308194795,2.711037863,3.271557965
7/31/2013,25282.88143,13.09162091,5.197125357,4.145376337
8/31/2013,0,18.98310393,7.042266094,4.114916307
9/30/2013,0,16.50079681,6.711624514,8.755822038
10/31/2013,0,17.63413496,7.030632557,10.81677171
11/30/2013,0,14.38555675,5.825371599,5.053740918
12/31/2013,0,14.26247479,5.966243093,13.28680874
1/31/2014,0,13.76969839,1.483584513,9.504881342
2/28/2014,0,9.56760315,4.432134425,1.487042495
3/31/2014,10576.06429,9.778929598,3.436012431,6.291543815
4/30/2014,17027.48429,11.02193958,4.224342506,11.90951554
5/31/2014,100145.76,10.34543327,2.825018692,1.625015317
6/30/2014,14508.42857,9.22510005,2.685577624,0
