Date,INDUST_cms,INDUST_cmd
1/1/2008,1.104357018,95416.44636
1/2/2008,1.868911876,161473.9861
1/3/2008,2.690100428,232424.677
1/4/2008,1.217624404,105202.7485
1/5/2008,0,0
1/6/2008,0,0
1/7/2008,0.707921165,61164.38866
1/8/2008,2.463565655,212852.0726
1/9/2008,2.208714036,190832.8927
1/10/2008,1.868911876,161473.9861
1/11/2008,1.953862416,168813.7127
1/12/2008,0,0
1/13/2008,0,0
1/14/2008,0.651287472,56271.23758
1/15/2008,1.557426564,134561.6551
1/16/2008,2.406931962,207958.9215
1/17/2008,2.067129802,178600.0149
1/18/2008,0.792871705,68504.11531
1/19/2008,0,0
1/20/2008,0,0
1/21/2008,0,0
1/22/2008,0,0
1/23/2008,0,0
1/24/2008,0,0
1/25/2008,0,0
1/26/2008,0,0
1/27/2008,0.08495054,7339.726656
1/28/2008,0.651287472,56271.23758
1/29/2008,1.529109717,132115.0795
1/30/2008,1.699010797,146794.5329
1/31/2008,1.953862416,168813.7127
2/1/2008,1.812278183,156580.835
2/2/2008,0,0
2/3/2008,0,0
2/4/2008,0.962772785,83183.56862
2/5/2008,0.877822245,75843.84197
2/6/2008,0.821188552,70950.69089
2/7/2008,1.387525484,119882.2018
2/8/2008,1.274258097,110095.8996
2/9/2008,0,0
2/10/2008,0.124594125,10764.9324
2/11/2008,0,0
2/12/2008,0,0
2/13/2008,0,0
2/14/2008,0,0
2/15/2008,0,0
2/16/2008,0,0
2/17/2008,0,0
2/18/2008,0,0
2/19/2008,0,0
2/20/2008,0,0
2/21/2008,0,0
2/22/2008,0,0
2/23/2008,0,0
2/24/2008,0,0
2/25/2008,0,0
2/26/2008,0,0
2/27/2008,0,0
2/28/2008,0,0
2/29/2008,0,0
3/1/2008,0,0
3/2/2008,0,0
3/3/2008,0.235029827,20306.57705
3/4/2008,0.135920864,11743.56265
3/5/2008,0,0
3/6/2008,0,0
3/7/2008,0,0
3/8/2008,0,0
3/9/2008,0.062297063,5382.466243
3/10/2008,0,0
3/11/2008,0,0
3/12/2008,0,0
3/13/2008,0,0
3/14/2008,0,0
3/15/2008,0,0
3/16/2008,0,0
3/17/2008,0,0
3/18/2008,0,0
3/19/2008,0,0
3/20/2008,0.209544665,18104.65906
3/21/2008,0,0
3/22/2008,0,0
3/23/2008,0,0
3/24/2008,0,0
3/25/2008,0,0
3/26/2008,0,0
3/27/2008,0,0
3/28/2008,0.707921165,61164.38866
3/29/2008,0.135920864,11743.56265
3/30/2008,0,0
3/31/2008,0.651287472,56271.23758
4/1/2008,2.293664575,198172.6193
4/2/2008,2.378615115,205512.3459
4/3/2008,0,0
4/4/2008,1.160990711,100309.5974
4/5/2008,0,0
4/6/2008,0,0
4/7/2008,0,0
4/8/2008,0,0
4/9/2008,0,0
4/10/2008,0,0
4/11/2008,0,0
4/12/2008,0,0
4/13/2008,0,0
4/14/2008,0.023502983,2030.657731
4/15/2008,1.330891791,114989.0507
4/16/2008,3.936041679,340074.0011
4/17/2008,3.596239519,310715.0944
4/18/2008,2.661783581,229978.1014
4/19/2008,0,0
4/20/2008,0,0
4/21/2008,0.679604319,58717.81316
4/22/2008,4.105942758,354753.4543
4/23/2008,4.389111224,379219.2098
4/24/2008,3.369704746,291142.4901
