date,C43RO_cmd,C43RO
30-Dec-07,,
31-Dec-07,,
1/1/2008,0,0
1/2/2008,0,0
1/3/2008,0,0
1/4/2008,0,0
1/5/2008,56271.23756,23
1/6/2008,195726.0437,80
1/7/2008,20551.23459,8.400000001
1/8/2008,0,0
1/9/2008,39145.20874,16
1/10/2008,0,0
1/11/2008,0,0
1/12/2008,0,0
1/13/2008,0,0
1/14/2008,0,0
1/15/2008,0,0
1/16/2008,0,0
1/17/2008,0,0
1/18/2008,0,0
1/19/2008,234871.2524,95.99999998
1/20/2008,0,0
1/21/2008,0,0
1/22/2008,303375.3677,124
1/23/2008,303375.3677,124
1/24/2008,156580.835,64.00000002
1/25/2008,1304024.766,533
1/26/2008,2612942.683,1068
1/27/2008,675254.8508,276
1/28/2008,92969.87076,38
1/29/2008,0,0
1/30/2008,0,0
1/31/2008,0,0
2/1/2008,0,0
2/2/2008,0,0
2/3/2008,308268.5188,126
2/4/2008,0,0
2/5/2008,0,0
2/6/2008,0,0
2/7/2008,0,0
2/8/2008,0,0
2/9/2008,0,0
2/10/2008,0,0
2/11/2008,0,0
2/12/2008,244657.5546,99.99999999
2/13/2008,763331.5704,312
2/14/2008,733972.6639,300
2/15/2008,2062463.185,843
2/16/2008,1118085.025,457
2/17/2008,1047134.334,428
2/18/2008,966397.3408,395
2/19/2008,430597.2961,176
2/20/2008,283802.7634,116
2/21/2008,176153.4393,71.99999999
2/22/2008,489315.1092,200
2/23/2008,954164.463,390
2/24/2008,780457.5993,319
2/25/2008,371879.483,152
2/26/2008,479528.8071,196
2/27/2008,371879.483,152
2/28/2008,0,0
2/29/2008,0,0
3/1/2008,234871.2524,95.99999998
3/2/2008,166367.1371,67.99999998
3/3/2008,97863.02185,40
3/4/2008,244657.5546,99.99999999
3/5/2008,78290.41748,32
3/6/2008,0,0
3/7/2008,0,0
3/8/2008,0,0
3/9/2008,469742.5049,192
3/10/2008,506441.1381,207
3/11/2008,560265.8001,229
3/12/2008,357200.0298,146
3/13/2008,694827.4551,284
3/14/2008,0,0
3/15/2008,352306.8787,144
3/16/2008,562712.3756,230
3/17/2008,337627.4253,138
3/18/2008,225084.9503,92.00000002
3/19/2008,279154.2698,114.1
3/20/2008,68504.11529,28
3/21/2008,0,0
3/22/2008,0,0
3/23/2008,0,0
3/24/2008,0,0
3/25/2008,0,0
3/26/2008,46484.93538,19
3/27/2008,254443.8568,104
3/28/2008,234871.2524,95.99999998
3/29/2008,234871.2524,95.99999998
3/30/2008,229978.1013,93.99999998
3/31/2008,185939.7415,75.99999999
4/1/2008,181046.5904,73.99999999
4/2/2008,161473.9861,66.00000002
4/3/2008,971290.4919,397
4/4/2008,562712.3756,230
4/5/2008,210405.497,86.00000001
4/6/2008,210405.497,86.00000001
4/7/2008,2099161.819,858
4/8/2008,3121830.397,1276
4/9/2008,1548682.321,633
4/10/2008,2568904.323,1050
4/11/2008,1825145.357,745.9999998
4/12/2008,1617186.436,660.9999999
4/13/2008,1074046.665,439
4/14/2008,1042241.183,426
4/15/2008,406131.5407,166
4/16/2008,23487.12524,9.599999998
4/17/2008,0,0
4/18/2008,0,0
4/19/2008,0,0
4/20/2008,0,0
4/21/2008,0,0
4/22/2008,0,0
4/23/2008,0,0
4/24/2008,0,0
4/25/2008,0,0
4/26/2008,0,0
4/27/2008,0,0
4/28/2008,0,0
4/29/2008,0,0
4/30/2008,0,0
5/1/2008,0,0
5/2/2008,0,0
5/3/2008,0,0
5/4/2008,0,0
5/5/2008,0,0
5/6/2008,0,0
5/7/2008,0,0
5/8/2008,0,0
5/9/2008,0,0
5/10/2008,0,0
5/11/2008,0,0
5/12/2008,0,0
5/13/2008,851408.2901,348
5/14/2008,0,0
5/15/2008,0,0
5/16/2008,0,0
5/17/2008,0,0
5/18/2008,0,0
5/19/2008,0,0
5/20/2008,0,0
5/21/2008,0,0
5/22/2008,0,0
5/23/2008,0,0
5/24/2008,0,0
5/25/2008,0,0
5/26/2008,0,0
5/27/2008,0,0
5/28/2008,0,0
5/29/2008,0,0
5/30/2008,0,0
5/31/2008,0,0
6/1/2008,0,0
6/2/2008,0,0
6/3/2008,0,0
6/4/2008,0,0
6/5/2008,0,0
6/6/2008,0,0
6/7/2008,0,0
6/8/2008,0,0
6/9/2008,34252.05765,14
6/10/2008,41591.78428,17
6/11/2008,1193928.867,488
6/12/2008,0,0
6/13/2008,0,0
6/14/2008,0,0
6/15/2008,0,0
6/16/2008,420810.994,172
6/17/2008,1091172.694,446
6/18/2008,144347.9572,59
6/19/2008,207958.9214,85
6/20/2008,66057.53975,27
6/21/2008,1352956.277,553
6/22/2008,912572.6787,373
6/23/2008,2197024.841,898
6/24/2008,3718794.83,1520
6/25/2008,3821551.003,1562
6/26/2008,3491263.305,1427
6/27/2008,4824646.977,1972
6/28/2008,5676055.267,2320
6/29/2008,4819753.826,1970
6/30/2008,3904734.572,1596
7/1/2008,3542641.391,1448
7/2/2008,4078441.436,1667
7/3/2008,3801978.398,1554
7/4/2008,2975035.865,1216
7/5/2008,2764630.368,1130
7/6/2008,3718794.83,1520
7/7/2008,2480827.604,1014
7/8/2008,4682745.595,1914
7/9/2008,6116438.865,2500
7/10/2008,2468594.726,1009
7/11/2008,1316257.644,538
7/12/2008,2226383.747,910
