date,MIA,NNR,WPB,S2PMP,S3PMP
1/1/2008,0,424,0,0,0
1/2/2008,0,273,0,0,0
1/3/2008,0,52,0,0,0
1/4/2008,0,28,0,0,0
1/5/2008,0,46,0,0,0
1/6/2008,0,-34,0,0,0
1/7/2008,0,-150,0,0,0
1/8/2008,0,-76,0,0,0
1/9/2008,0,-180,0,0,0
1/10/2008,0,-70,0,0,0
1/11/2008,0,-75,0,0,0
1/12/2008,0,-8.1,0,0,0
1/13/2008,0,-33,0,0,0
1/14/2008,0,-111,0,0,0
1/15/2008,0,-40,0,0,0
1/16/2008,0,-38,0,0,0
1/17/2008,0,59,0,0,0
1/18/2008,0,49,0,0,0
1/19/2008,0,-2,0,0,0
1/20/2008,0,14,0,0,0
1/21/2008,0,-60,0,0,0
1/22/2008,0,24,0,0,0
1/23/2008,0,216,0,0,0
1/24/2008,0,-0.42,0,0,0
1/25/2008,0,102,0,0,0
1/26/2008,0,10,0,0,0
1/27/2008,0,28,0,0,0
1/28/2008,0,153,0,0,0
1/29/2008,0,180,0,0,0
1/30/2008,0,76,0,0,0
1/31/2008,0,67,0,0,0
2/1/2008,0,33,0,0,0
2/2/2008,0,-27,0,0,0
2/3/2008,0,-44,0,0,0
2/4/2008,0,-141,0,0,0
2/5/2008,0,20,0,0,0
2/6/2008,0,-61,0,0,0
2/7/2008,0,-86,0,0,0
2/8/2008,0,-99,0,0,0
2/9/2008,0,-5.2,0,0,0
2/10/2008,0,32,0,0,0
2/11/2008,0,-225,0,0,0
2/12/2008,0,-203,0,0,0
2/13/2008,0,-91,0,349.5,0
2/14/2008,0,-591,0,1085.12,0
2/15/2008,0,110,0,350.6,0
2/16/2008,0,242,0,0,0
2/17/2008,0,315,0,0,0
2/18/2008,0,-96,0,0,0
2/19/2008,0,-319,0,0,0
2/20/2008,0,-135,0,0,0
2/21/2008,0,45,0,0,0
2/22/2008,0,58,0,0,0
2/23/2008,0,-112,0,0,0
2/24/2008,0,-187,0,0,0
2/25/2008,0,35,0,0,0
2/26/2008,0,15,0,0,0
2/27/2008,0,265,0,0,0
2/28/2008,0,151,0,0,0
2/29/2008,0,103,0,0,0
3/1/2008,0,56,0,0,0
3/2/2008,0,24,0,0,0
3/3/2008,0,77,0,0,0
3/4/2008,0,-36,0,0,0
3/5/2008,0,103,0,0,0
3/6/2008,0,-17,0,0,0
3/7/2008,0,179,0,0,0
3/8/2008,0,-60,0,0,0
3/9/2008,0,-188,0,0,0
3/10/2008,0,-6.7,0,0,0
3/11/2008,0,-220,0,0,0
3/12/2008,0,370,0,0,0
3/13/2008,0,291,0,0,0
3/14/2008,0,296,0,0,0
3/15/2008,0,-146,0,0,0
3/16/2008,0,-87,0,0,0
3/17/2008,0,-13,0,0,0
3/18/2008,0,-77,0,0,0
3/19/2008,0,-74,0,0,0
3/20/2008,0,-23,0,0,0
3/21/2008,0,-32,0,0,0
3/22/2008,0,-23,0,0,0
3/23/2008,0,82,0,0,0
3/24/2008,0,242,0,0,0
3/25/2008,0,513,0,0,0
3/26/2008,0,142,0,0,0
3/27/2008,0,-200,0,0,0
3/28/2008,0,-58,0,0,0
3/29/2008,0,-153,0,0,0
3/30/2008,0,-49,0,0,0
3/31/2008,0,-39,0,0,0
4/1/2008,0,-230,0,0,0
4/2/2008,0,-202,0,0,0
4/3/2008,0,-175,0,0,0
4/4/2008,0,-329,0,0,0
4/5/2008,0,-86,0,0,0
4/6/2008,0,-2.4,0,0,0
4/7/2008,0,145,0,0,0
4/8/2008,0,-232,0,0,0
4/9/2008,0,-67,0,0,0
4/10/2008,0,-198,0,0,0
4/11/2008,0,-234,0,0,0
4/12/2008,0,-133,0,0,0
4/13/2008,0,-216,0,0,0
4/14/2008,0,-219,0,0,0
4/15/2008,0,-138,0,0,0
4/16/2008,0,-151,0,0,0
4/17/2008,0,-261,0,0,0
4/18/2008,0,-232,0,0,0
4/19/2008,0,-296,0,0,0
4/20/2008,0,-240,0,0,0
4/21/2008,0,-271,0,0,0
4/22/2008,0,-439,0,0,0
4/23/2008,0,-301,0,0,0
4/24/2008,0,-171,0,0,0
4/25/2008,0,-227,0,0,0
4/26/2008,0,-308,0,0,0
4/27/2008,0,-251,0,0,0
4/28/2008,0,-154,0,0,0
4/29/2008,0,-156,0,0,0
4/30/2008,0,-118,0,0,0
5/1/2008,0,-108,0,0,0
5/2/2008,0,-187,0,0,0
5/3/2008,0,-86,0,0,0
5/4/2008,0,84,0,0,0
5/5/2008,0,-50,0,0,0
5/6/2008,0,-240,0,0,0
5/7/2008,0,-82,0,0,0
5/8/2008,0,-71,0,0,0
5/9/2008,0,-131,0,0,0
5/10/2008,0,-139,0,0,0
5/11/2008,0,63,0,0,0
5/12/2008,0,-133,0,0,0
5/13/2008,0,-86,0,0,0
5/14/2008,0,238,0,0,0
5/15/2008,0,382,0,0,0
5/16/2008,0,388,0,0,0
5/17/2008,0,405,0,0,0
5/18/2008,0,333,0,0,0
5/19/2008,0,311,0,0,0
5/20/2008,0,394,0,0,0
5/21/2008,0,387,0,0,0
5/22/2008,0,364,0,0,0
5/23/2008,0,40,0,0,0
5/24/2008,0,-312,0,0,0
5/25/2008,0,-134,0,0,0
5/26/2008,0,151,0,0,0
5/27/2008,0,218,0,0,0
5/28/2008,0,206,0,0,0
5/29/2008,0,265,0,0,0
5/30/2008,0,277,0,0,0
5/31/2008,0,313,0,0,0
6/1/2008,0,334,0,0,0
6/2/2008,0,320,0,0,0
6/3/2008,0,285,0,0,0
6/4/2008,0,298,0,0,0
6/5/2008,0,309,0,0,0
6/6/2008,0,276,0,0,0
6/7/2008,0,319,0,0,0
6/8/2008,0,329,0,0,0
6/9/2008,0,343,0,0,0
6/10/2008,0,279,0,0,0
6/11/2008,0,216,0,0,0
6/12/2008,0,-46,0,0,0
6/13/2008,0,-111,0,0,0
6/14/2008,0,-111,0,0,0
6/15/2008,0,-106,0,0,0
6/16/2008,0,-56,0,0,0
6/17/2008,0,-44,0,0,0
6/18/2008,0,44,0,0,0
6/19/2008,0,562,0,0,0
6/20/2008,0,375,0,0,0
6/21/2008,0,284,0,0,0
6/22/2008,0,281,0,0,0
6/23/2008,0,133,0,0,0
6/24/2008,0,413,0,0,0
6/25/2008,0,239,0,0,0
6/26/2008,0,200,0,0,0
6/27/2008,0,393,0,0,0
6/28/2008,0,291,0,0,0
6/29/2008,0,100,0,0,0
6/30/2008,0,-42,0,0,0
7/1/2008,0,-165,0,0,0
7/2/2008,0,178,0,0,0
7/3/2008,0,364,0,0,0
7/4/2008,0,37,0,0,0
7/5/2008,0,-87,0,0,0
7/6/2008,0,-222,0,0,0
7/7/2008,-89.99,65,0,146.5,89.94
7/8/2008,0,68,0,0,0
7/9/2008,0,84,0,0,0
7/10/2008,0,207,0,0,0
7/11/2008,0,-86,0,0,0
7/12/2008,0,-17,0,0,0
7/13/2008,0,127,0,0,0
7/14/2008,0,-142,0,0,0
7/15/2008,0,-75,0,0,0
7/16/2008,0,166,0,0,0
7/17/2008,0,278,0,0,0
7/18/2008,0,-92,0,0,0
7/19/2008,0,61,0,0,0
7/20/2008,0,206,0,0,0
7/21/2008,0,247,0,0,0
7/22/2008,0,27,0,0,0
7/23/2008,0,-453,0,0,0
7/24/2008,0,-304,0,0,0
7/25/2008,0,14,0,0,0
7/26/2008,0,98,0,0,0
7/27/2008,0,241,0,0,0
7/28/2008,0,121,0,0,0
7/29/2008,0,112,0,0,0
7/30/2008,0,75,0,0,0
7/31/2008,0,-35,0,0,0
8/1/2008,0,-33,0,0,0
8/2/2008,0,-152,0,0,0
8/3/2008,0,-257,0,0,0
8/4/2008,0,-206,0,0,0
8/5/2008,0,-360,0,160.19,0
8/6/2008,0,138,0,0,0
8/7/2008,0,143,0,0,0
8/8/2008,0,142,0,0,0
8/9/2008,0,-8.3,0,0,0
8/10/2008,0,49,0,0,0
8/11/2008,0,53,0,0,0
8/12/2008,-68.41,286,0,0,68.36
8/13/2008,0,192,0,0,0
8/14/2008,0,126,0,0,0
8/15/2008,0,158,0,0,0
8/16/2008,0,25,0,0,0
8/17/2008,0,87,0,,0
8/18/2008,0,125,0,,0
8/19/2008,-490.85,-566,0,1297.05,490.82
8/20/2008,-1069.32,-1240,0,2570.25,1069.32
8/21/2008,-1071.68,-1310,0,2216.85,1071.64
8/22/2008,-1044.59,-888,0,1841.53,1044.59
8/23/2008,-865.6,-220,0,1080.81,865.6
8/24/2008,0,-287,0,754.51,0
8/25/2008,0,298,0,0,0
