date,ETVol_acft
30-Dec-07,
31-Dec-07,
1/1/2008,1160.466658
1/2/2008,3634.422231
1/3/2008,2368.068
1/4/2008,1946.755547
1/5/2008,3102.944453
1/6/2008,2835.555564
1/7/2008,3280.255547
1/8/2008,3369.333342
1/9/2008,3013.533324
1/10/2008,3191.6
1/11/2008,3102.555564
1/12/2008,3013.155547
1/13/2008,2482.666658
1/14/2008,3448.466667
1/15/2008,3530.666658
1/16/2008,3005.222213
1/17/2008,1061.333333
1/18/2008,2032.688898
1/19/2008,2918.666667
1/20/2008,1059.333333
1/21/2008,2833.777787
1/22/2008,3189.6
1/23/2008,2392.2
1/24/2008,1859.9
1/25/2008,3714.666667
1/26/2008,3362.577787
1/27/2008,3269.155547
1/28/2008,4059.244436
1/29/2008,3797.855547
1/30/2008,3709.066667
1/31/2008,3356.244453
2/1/2008,3265.455547
2/2/2008,3261.755547
2/3/2008,3703.933333
2/4/2008,3793.077769
2/5/2008,3352.022231
2/6/2008,2908.4
2/7/2008,3697.4
2/8/2008,2110.933333
2/9/2008,3167.2
2/10/2008,3866.622231
2/11/2008,4127.644453
2/12/2008,1230.91112
2/13/2008,1502.044453
2/14/2008,4069.977769
2/15/2008,4075.08888
2/16/2008,4343.033324
2/17/2008,3903.288898
2/18/2008,3990
2/19/2008,3363.422231
2/20/2008,3894.488898
2/21/2008,2215.555547
2/22/2008,3991.5
2/23/2008,3546.222213
2/24/2008,2924.166667
2/25/2008,3723.533333
2/26/2008,3812.666658
2/27/2008,2118.4
2/28/2008,4850.999991
2/29/2008,4058.733325
3/1/2008,4146.966675
3/2/2008,4236.8
3/3/2008,3532.444436
3/4/2008,2913.9
3/5/2008,3795.944436
3/6/2008,3364.688898
3/7/2008,4179.866676
3/8/2008,4422.777787
3/9/2008,4872.999991
3/10/2008,3458.433333
3/11/2008,2753.144436
3/12/2008,3909.155564
3/13/2008,4618.177769
3/14/2008,3643.533342
3/15/2008,4803
3/16/2008,4270.933333
3/17/2008,4638.977769
3/18/2008,3300.811102
3/19/2008,4544.1
3/20/2008,2933.7
3/21/2008,5242.477787
3/22/2008,1510.544453
3/23/2008,2413.2
3/24/2008,3390.866676
3/25/2008,5345.333333
3/26/2008,4282.133333
3/27/2008,5356.666667
3/28/2008,4554.3
3/29/2008,5447.977769
3/30/2008,5270.01112
3/31/2008,4924.333324
4/1/2008,4114.444436
4/2/2008,4027.5
4/3/2008,4932.88888
4/4/2008,4671.333324
4/5/2008,5025.066676
4/6/2008,4134.377769
4/7/2008,4982.144435
4/8/2008,3448.795565
4/9/2008,5455.866667
4/10/2008,5822.364435
4/11/2008,5826.062213
4/12/2008,5633.25112
4/13/2008,4175.522213
4/14/2008,5073.537787
4/15/2008,5869.500009
4/16/2008,6138.888898
4/17/2008,5051.200009
4/18/2008,5149
4/19/2008,5782.755547
4/20/2008,4695.022213
4/21/2008,6137.377787
4/22/2008,6136.622231
4/23/2008,6127.555565
4/24/2008,5406.666667
4/25/2008,5584.822231
4/26/2008,5666.5
4/27/2008,5754.311102
4/28/2008,5382
4/29/2008,3044.133324
4/30/2008,6166.3
5/1/2008,6165.533333
5/2/2008,5349.333333
5/3/2008,5603.5
5/4/2008,5593.7
5/5/2008,5756.11112
5/6/2008,6278.766676
5/7/2008,5922.055547
5/8/2008,5216.91112
5/9/2008,4689.322231
5/10/2008,5740.222231
5/11/2008,5286.666667
5/12/2008,5619.199991
5/13/2008,6234.588898
5/14/2008,6053.14
5/15/2008,5778.490667
5/16/2008,5672.333342
5/17/2008,4526.703991
5/18/2008,5215.146667
5/19/2008,3993.106658
5/20/2008,4335.222231
5/21/2008,5277.123547
5/22/2008,2512.057342
5/23/2008,4247.515991
5/24/2008,4765.933325
5/25/2008,5557.589325
5/26/2008,6241.984
5/27/2008,5364.267564
5/28/2008,5873.658675
5/29/2008,6119.000898
5/30/2008,6024.946658
5/31/2008,5068.519564
6/1/2008,6005.626658
6/2/2008,4110.784
6/3/2008,5650.304
6/4/2008,5733.175103
6/5/2008,5984.875547
6/6/2008,5802.062231
6/7/2008,5871.961333
6/8/2008,4924.79288
6/9/2008,2541.586667
6/10/2008,5670.984214
6/11/2008,5327.504
6/12/2008,3887.531547
6/13/2008,3970.006453
6/14/2008,5400.974214
6/15/2008,5481.42112
6/16/2008,4976.466453
6/17/2008,4465.791786
6/18/2008,2698.545786
6/19/2008,4216.477786
6/20/2008,3796.39
6/21/2008,2869.267547
6/22/2008,4390.54488
6/23/2008,4566.432
6/24/2008,3644.804214
6/25/2008,3476.344453
6/26/2008,2046.56
6/27/2008,5140.933333
6/28/2008,5061.282231
6/29/2008,4295.866675
6/30/2008,4478.863991
7/1/2008,4675.416
7/2/2008,3661.336
7/3/2008,3669.064
7/4/2008,4729.512
7/5/2008,5614.506658
7/6/2008,3781.611102
7/7/2008,4943.555564
7/8/2008,4859.555547
7/9/2008,5569.2
7/10/2008,5396.466658
7/11/2008,5474.600009
7/12/2008,2914.633333
7/13/2008,3977.5
7/14/2008,4252.8
7/15/2008,4178.300009
7/16/2008,1873.9
7/17/2008,4652.266658
7/18/2008,5289.677787
7/19/2008,4758.81112
7/20/2008,6017.344435
7/21/2008,5765.68888
7/22/2008,3704.577787
7/23/2008,4168.877769
7/24/2008,4375.093333
7/25/2008,4767.475546
