Date,Estuary Needs Water?
1/1/2008,TRUE
1/2/2008,TRUE
1/3/2008,TRUE
1/4/2008,TRUE
1/5/2008,TRUE
1/6/2008,TRUE
1/7/2008,TRUE
1/8/2008,TRUE
1/9/2008,TRUE
1/10/2008,TRUE
1/11/2008,TRUE
1/12/2008,TRUE
1/13/2008,TRUE
1/14/2008,TRUE
1/15/2008,TRUE
1/16/2008,TRUE
1/17/2008,TRUE
1/18/2008,TRUE
1/19/2008,TRUE
1/20/2008,TRUE
1/21/2008,TRUE
1/22/2008,TRUE
1/23/2008,TRUE
1/24/2008,TRUE
1/25/2008,TRUE
1/26/2008,TRUE
1/27/2008,TRUE
1/28/2008,TRUE
1/29/2008,TRUE
1/30/2008,TRUE
1/31/2008,TRUE
2/1/2008,TRUE
2/2/2008,TRUE
2/3/2008,TRUE
2/4/2008,TRUE
2/5/2008,TRUE
2/6/2008,TRUE
2/7/2008,TRUE
2/8/2008,TRUE
2/9/2008,TRUE
2/10/2008,TRUE
2/11/2008,TRUE
2/12/2008,TRUE
2/13/2008,TRUE
2/14/2008,TRUE
2/15/2008,TRUE
2/16/2008,TRUE
2/17/2008,TRUE
2/18/2008,TRUE
2/19/2008,TRUE
2/20/2008,TRUE
2/21/2008,TRUE
2/22/2008,TRUE
2/23/2008,TRUE
2/24/2008,TRUE
2/25/2008,TRUE
2/26/2008,TRUE
2/27/2008,TRUE
2/28/2008,TRUE
2/29/2008,TRUE
3/1/2008,TRUE
3/2/2008,TRUE
3/3/2008,TRUE
3/4/2008,TRUE
3/5/2008,TRUE
3/6/2008,TRUE
3/7/2008,TRUE
3/8/2008,TRUE
3/9/2008,TRUE
3/10/2008,TRUE
3/11/2008,TRUE
3/12/2008,TRUE
3/13/2008,TRUE
3/14/2008,TRUE
3/15/2008,TRUE
3/16/2008,TRUE
3/17/2008,TRUE
3/18/2008,TRUE
3/19/2008,TRUE
3/20/2008,TRUE
3/21/2008,TRUE
3/22/2008,TRUE
3/23/2008,TRUE
3/24/2008,TRUE
3/25/2008,TRUE
3/26/2008,TRUE
3/27/2008,TRUE
3/28/2008,TRUE
3/29/2008,TRUE
3/30/2008,TRUE
3/31/2008,TRUE
4/1/2008,TRUE
4/2/2008,TRUE
4/3/2008,TRUE
4/4/2008,TRUE
4/5/2008,TRUE
4/6/2008,TRUE
4/7/2008,TRUE
4/8/2008,TRUE
4/9/2008,TRUE
4/10/2008,TRUE
4/11/2008,TRUE
4/12/2008,FALSE
4/13/2008,FALSE
4/14/2008,FALSE
4/15/2008,FALSE
4/16/2008,FALSE
4/17/2008,FALSE
4/18/2008,FALSE
4/19/2008,FALSE
4/20/2008,FALSE
4/21/2008,FALSE
4/22/2008,FALSE
4/23/2008,FALSE
4/24/2008,FALSE
4/25/2008,FALSE
4/26/2008,FALSE
4/27/2008,FALSE
4/28/2008,FALSE
4/29/2008,FALSE
4/30/2008,TRUE
5/1/2008,TRUE
5/2/2008,TRUE
5/3/2008,TRUE
5/4/2008,TRUE
5/5/2008,TRUE
5/6/2008,TRUE
5/7/2008,TRUE
5/8/2008,TRUE
5/9/2008,TRUE
5/10/2008,TRUE
5/11/2008,TRUE
5/12/2008,TRUE
5/13/2008,TRUE
5/14/2008,TRUE
5/15/2008,TRUE
5/16/2008,TRUE
5/17/2008,TRUE
5/18/2008,TRUE
5/19/2008,TRUE
5/20/2008,TRUE
5/21/2008,TRUE
5/22/2008,TRUE
5/23/2008,TRUE
5/24/2008,TRUE
5/25/2008,TRUE
5/26/2008,TRUE
5/27/2008,TRUE
5/28/2008,TRUE
5/29/2008,TRUE
5/30/2008,TRUE
5/31/2008,TRUE
6/1/2008,TRUE
6/2/2008,TRUE
6/3/2008,TRUE
6/4/2008,TRUE
6/5/2008,TRUE
6/6/2008,TRUE
6/7/2008,TRUE
6/8/2008,TRUE
6/9/2008,TRUE
6/10/2008,TRUE
6/11/2008,TRUE
6/12/2008,TRUE
6/13/2008,TRUE
6/14/2008,TRUE
6/15/2008,TRUE
6/16/2008,TRUE
6/17/2008,TRUE
6/18/2008,TRUE
6/19/2008,TRUE
6/20/2008,TRUE
6/21/2008,TRUE
6/22/2008,TRUE
6/23/2008,TRUE
6/24/2008,TRUE
6/25/2008,FALSE
6/26/2008,FALSE
6/27/2008,FALSE
6/28/2008,FALSE
6/29/2008,FALSE
6/30/2008,FALSE
7/1/2008,FALSE
7/2/2008,FALSE
7/3/2008,FALSE
7/4/2008,FALSE
7/5/2008,FALSE
7/6/2008,FALSE
7/7/2008,FALSE
7/8/2008,FALSE
7/9/2008,FALSE
7/10/2008,FALSE
7/11/2008,FALSE
7/12/2008,FALSE
7/13/2008,FALSE
7/14/2008,FALSE
7/15/2008,FALSE
7/16/2008,FALSE
7/17/2008,FALSE
7/18/2008,FALSE
7/19/2008,FALSE
7/20/2008,FALSE
7/21/2008,FALSE
7/22/2008,FALSE
7/23/2008,FALSE
7/24/2008,FALSE
7/25/2008,FALSE
7/26/2008,FALSE
7/27/2008,FALSE
7/28/2008,FALSE
7/29/2008,FALSE
7/30/2008,FALSE
7/31/2008,FALSE
