date,S65_Q,S71_Q,S72_Q,S84_Q,S127_C_Q,S127_P_Q,S129_C_Q,S129_P_Q,S133_P_Q,S135_C_Q,S135_P_Q,S154_Q,S191_Q,S308_Q,S351_Q,S352_Q,S354_Q,FISHP_Q,L8_Q,S2_P_Q,S3_P_Q,S4_P_Q,S77_Q,INDUST_Q,S127_In,S129_In,S135_In,S308_In,S77_In,S351_In,S352_In,S354_In,L8_In,S308_Out,S77_Out,INDUST_Out,S351_Out,S352_Out,S354_Out,L8_Out,Inflows,Netflows,Outflows
12/30/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2008,454451.4077,0,0,0,0,0,0,0,0,0,0,0,0,-137008.2306,0,0,0,31805.4821,15168.76839,0,0,0,0,95416.4463,0,0,0,137008.2306,0,0,0,0,0,0,0,95416.4463,0,0,0,15168.76839,623265.1204,527848.6741,110585.2147
1/2/2008,609808.9549,0,0,0,0,0,0,0,0,0,0,0,0,-124775.3529,0,0,0,31805.4821,-39145.20874,0,0,0,234871.2524,161473.9861,0,0,0,124775.3529,0,0,0,0,39145.20874,0,234871.2524,161473.9861,0,0,0,0,805534.9986,644061.0125,396345.2385
1/3/2008,419636.6377,0,0,0,0,0,0,0,0,0,0,0,0,-36698.63319,0,0,0,29358.90655,-34252.05765,0,0,0,1037348.032,232424.6769,0,0,0,36698.63319,0,0,0,0,34252.05765,0,1037348.032,232424.6769,0,0,0,0,519946.2351,287521.5582,1269772.709
1/4/2008,0,0,0,0,0,0,0,0,0,0,0,0,0,107649.324,0,0,0,26912.33101,-31805.4821,0,0,0,518674.0158,105202.7485,0,0,0,0,0,0,0,0,31805.4821,107649.324,518674.0158,105202.7485,0,0,0,0,58717.81311,-46484.93538,731526.0883
1/5/2008,153106.6977,0,0,0,0,0,0,0,0,0,0,0,0,23487.12524,0,0,0,26912.33101,-29358.90655,0,0,0,-56271.23756,-23731.7828,0,0,0,0,56271.23756,0,0,0,29358.90655,23487.12524,0,0,0,0,0,0,265649.1728,265649.1728,23487.12524
1/6/2008,257746.7338,0,0,0,0,0,0,0,0,0,0,0,0,-129668.504,0,0,0,24465.75546,-24465.75546,0,0,0,-195726.0437,-11009.58996,0,0,0,129668.504,195726.0437,0,0,0,24465.75546,0,0,0,0,0,0,0,632072.7924,632072.7924,0
1/7/2008,219188.7032,0,0,0,0,0,0,0,0,0,0,0,0,124775.3529,0,0,0,24221.09791,-36698.63319,0,0,0,-20551.23459,61164.38866,0,0,0,0,20551.23459,0,0,0,36698.63319,124775.3529,0,61164.38866,0,0,0,0,300659.6689,239495.2802,185939.7415
1/8/2008,665052.6307,0,0,0,0,0,0,0,0,0,0,0,0,362093.1808,0,0,0,22997.81013,-24465.75546,0,0,0,274016.4612,212852.0725,0,0,0,0,0,0,0,0,24465.75546,362093.1808,274016.4612,212852.0725,0,0,0,0,712516.1963,499664.1238,848961.7146
1/9/2008,393874.1972,0,0,0,0,0,0,0,0,0,0,0,0,320501.3966,0,0,0,22019.17992,-20061.91948,0,0,0,-39145.20874,190832.8926,0,0,0,0,39145.20874,0,0,0,20061.91948,320501.3966,0,190832.8926,0,0,0,0,475100.5053,284267.6127,511334.2892
