date,INDUST_cms,INDUST_cmd
1/1/2008,1.104357017,95416.4463
1/2/2008,1.868911876,161473.9861
1/3/2008,2.690100427,232424.6769
1/4/2008,1.217624404,105202.7485
1/5/2008,0,0
1/6/2008,0,0
1/7/2008,0.707921165,61164.38866
1/8/2008,2.463565654,212852.0725
1/9/2008,2.208714035,190832.8926
1/10/2008,1.868911876,161473.9861
1/11/2008,1.953862415,168813.7127
1/12/2008,0,0
1/13/2008,0,0
1/14/2008,0.651287472,56271.23756
1/15/2008,1.557426563,134561.655
1/16/2008,2.406931961,207958.9214
1/17/2008,2.067129802,178600.0149
1/18/2008,0.792871705,68504.11529
1/19/2008,0,0
1/20/2008,0,0
1/21/2008,0,0
1/22/2008,0,0
1/23/2008,0,0
1/24/2008,0,0
1/25/2008,0,0
1/26/2008,0,0
1/27/2008,0.08495054,7339.726639
1/28/2008,0.651287472,56271.23756
1/29/2008,1.529109716,132115.0795
1/30/2008,1.699010796,146794.5328
1/31/2008,1.953862415,168813.7127
2/1/2008,1.812278182,156580.835
2/2/2008,0,0
2/3/2008,0,0
2/4/2008,0.962772784,83183.56857
2/5/2008,0.877822245,75843.84193
2/6/2008,0.821188551,70950.69084
2/7/2008,1.387525483,119882.2018
2/8/2008,1.274258097,110095.8996
2/9/2008,0,0
2/10/2008,0.124594125,10764.9324
2/11/2008,0,0
2/12/2008,0,0
2/13/2008,0,0
2/14/2008,0,0
2/15/2008,0,0
2/16/2008,0,0
2/17/2008,0,0
2/18/2008,0,0
2/19/2008,0,0
2/20/2008,0,0
2/21/2008,0,0
2/22/2008,0,0
2/23/2008,0,0
2/24/2008,0,0
2/25/2008,0,0
2/26/2008,0,0
2/27/2008,0,0
2/28/2008,0,0
2/29/2008,0,0
3/1/2008,0,0
3/2/2008,0,0
3/3/2008,0.235029827,20306.57703
3/4/2008,0.135920864,11743.56262
3/5/2008,0,0
3/6/2008,0,0
3/7/2008,0,0
3/8/2008,0,0
3/9/2008,0.062297063,5382.466202
3/10/2008,0,0
3/11/2008,0,0
3/12/2008,0,0
3/13/2008,0,0
3/14/2008,0,0
3/15/2008,0,0
3/16/2008,0,0
3/17/2008,0,0
3/18/2008,0,0
3/19/2008,0,0
3/20/2008,0.209544665,18104.65904
3/21/2008,0,0
3/22/2008,0,0
3/23/2008,0,0
3/24/2008,0,0
3/25/2008,0,0
3/26/2008,0,0
3/27/2008,0,0
3/28/2008,0.707921165,61164.38866
3/29/2008,0.135920864,11743.56262
3/30/2008,0,0
3/31/2008,0.651287472,56271.23756
4/1/2008,2.293664575,198172.6192
4/2/2008,2.378615114,205512.3459
4/3/2008,0,0
4/4/2008,1.160990711,100309.5974
4/5/2008,0,0
4/6/2008,0,0
