date,Flow_cmd,Flow_In_cms
1/1/2008,623265.1204,7.213716671
1/2/2008,805534.9986,9.323321743
1/3/2008,519946.2351,6.017896239
1/4/2008,58717.81311,0.679604318
1/5/2008,265649.1728,3.074643204
1/6/2008,632072.7924,7.315657319
1/7/2008,300659.6689,3.479857279
1/8/2008,712516.1963,8.246715235
1/9/2008,475100.5053,5.498848441
1/10/2008,449582.7224,5.203503731
1/11/2008,403391.3761,4.668881667
1/12/2008,669285.2064,7.746356556
1/13/2008,572205.0888,6.622744083
1/14/2008,818110.3969,9.468870335
1/15/2008,564938.7594,6.538643048
1/16/2008,377873.5931,4.373536957
1/17/2008,380442.4974,4.403269646
1/18/2008,591019.2547,6.840500633
1/19/2008,960427.6964,11.1160613
1/20/2008,1512693.194,17.50802308
1/21/2008,1205745.826,13.95539151
1/22/2008,727758.362,8.423129189
1/23/2008,766512.1186,8.871668039
1/24/2008,808177.3002,9.353903938
1/25/2008,908022.0482,10.50951445
1/26/2008,841132.6728,9.735331861
1/27/2008,661651.8907,7.658007995
1/28/2008,620843.0106,7.185682993
1/29/2008,411562.9384,4.763459935
1/30/2008,297381.2576,3.441912704
1/31/2008,281307.2563,3.255871022
2/1/2008,389323.5667,4.506059799
2/2/2008,399476.8552,4.623574713
2/3/2008,662288.0003,7.665370374
2/4/2008,352209.0156,4.076493237
2/5/2008,266725.6661,3.087102616
2/6/2008,260437.9669,3.014328321
2/7/2008,358056.3312,4.1441705
2/8/2008,58473.15556,0.676772634
2/9/2008,331706.7126,3.839198062
2/10/2008,556253.4162,6.438118243
2/11/2008,762842.2553,8.82919277
2/12/2008,747746.8842,8.654477826
2/13/2008,4288724.604,49.63801625
2/14/2008,6915147.918,80.03643424
2/15/2008,3638645.015,42.11394694
2/16/2008,1769241.106,20.47732762
2/17/2008,2463187.794,28.50911799
2/18/2008,3103725.738,35.9227516
2/19/2008,2500962.921,28.9463301
2/20/2008,2140680.206,24.77639127
2/21/2008,1927754.736,22.31197611
2/22/2008,2769523.518,32.05467035
2/23/2008,2941370.985,34.04364566
2/24/2008,2655097.18,30.73029144
2/25/2008,2506663.442,29.01230835
2/26/2008,2580378.763,29.86549494
2/27/2008,2115676.204,24.4869931
2/28/2008,1893943.062,21.92063729
2/29/2008,1957431.697,22.65545946
3/1/2008,2133805.328,24.69682093
3/2/2008,2220609.829,25.70150265
3/3/2008,1663010.796,19.24781014
3/4/2008,1733643.432,20.0653175
3/5/2008,1931375.668,22.35388504
3/6/2008,2482882.727,28.7370686
3/7/2008,3535595.253,40.92124136
3/8/2008,4107898.205,47.54511812
3/9/2008,4086882.121,47.3018764
3/10/2008,3167605.825,36.66210446
3/11/2008,2728665.707,31.58177901
3/12/2008,4148046.51,48.00979757
3/13/2008,2939266.93,34.01929317
3/14/2008,3314645.016,38.36394694
3/15/2008,4059309.215,46.98274554
3/16/2008,5011834.472,58.00734343
3/17/2008,4608761.151,53.34214295
3/18/2008,3884232.269,44.956392
3/19/2008,4155900.017,48.10069465
3/20/2008,4080839.08,47.23193379
3/21/2008,4341374.91,50.24739479
3/22/2008,4493600.84,52.00926898
3/23/2008,5014550.171,58.03877513
3/24/2008,4296137.728,49.72381629
3/25/2008,4109561.877,47.56437357
3/26/2008,4334891.484,50.17235514
3/27/2008,5189162.268,60.05974847
3/28/2008,4999454.8,57.86406018
3/29/2008,5221359.202,60.43239817
3/30/2008,5123716.372,59.30227282
3/31/2008,4918204.026,56.92365771
4/1/2008,4974499.729,57.57522835
4/2/2008,6470923.197,74.8949444
4/3/2008,6217653.696,71.96358444
4/4/2008,5927318.576,68.60322426
4/5/2008,5644494.443,65.32979679
4/6/2008,6126641.086,70.91019775
4/7/2008,11128224.41,128.7988936
4/8/2008,9691570.78,112.1709581
4/9/2008,7613914.36,88.1240088
4/10/2008,8095204.701,93.69449886
4/11/2008,8757443.77,101.3593029
4/12/2008,7302856.745,84.52380492
4/13/2008,6952898.579,80.47336318
4/14/2008,6692582.941,77.46045071
4/15/2008,5945937.016,68.81871546
4/16/2008,4662561.347,53.96483041
4/17/2008,4724337.38,54.67983078
4/18/2008,4831130.402,55.91586114
4/19/2008,4387028.009,50.77578714
4/20/2008,3677716.827,42.56616698
4/21/2008,3162565.88,36.60377176
4/22/2008,2970558.631,34.38146564
4/23/2008,2540646.376,29.40562935
4/24/2008,2343378.99,27.12244201
4/25/2008,2223986.103,25.7405799
4/26/2008,1886578.869,21.83540358
4/27/2008,1871728.156,21.66352032
4/28/2008,1048675.676,12.13744996
4/29/2008,1567985.802,18.14798382
4/30/2008,1407563.843,16.29124819
5/1/2008,1195543.606,13.83731026
5/2/2008,1212082.457,14.02873214
5/3/2008,1156398.398,13.38424071
5/4/2008,1136360.944,13.15232574
5/5/2008,1057850.335,12.24363813
5/6/2008,1164202.974,13.47457145
5/7/2008,1666802.988,19.29170125
5/8/2008,1056578.115,12.22891337
5/9/2008,883825.4161,10.22946083
5/10/2008,1443748.696,16.71005435
5/11/2008,2000099.975,23.14930526
5/12/2008,947632.1063,10.96796419
5/13/2008,2011990.332,23.28692514
5/14/2008,1066682.472,12.34586195
5/15/2008,544191.7988,6.298516189
5/16/2008,644427.9989,7.458657394
5/17/2008,757337.4603,8.765479865
5/18/2008,921722.8713,10.66808879
5/19/2008,878956.7307,10.17311031
5/20/2008,851971.0025,9.860775492
5/21/2008,952720.9835,11.02686323
5/22/2008,529781.4688,6.131729963
5/23/2008,468103.2993,5.41786226
5/24/2008,809938.8346,9.374292067
5/25/2008,704246.771,8.151004294
5/26/2008,736125.6504,8.519972805
5/27/2008,470036.0939,5.440232569
5/28/2008,642323.9439,7.434304906
5/29/2008,170477.3841,1.973117871
5/30/2008,101288.2276,1.172317449
5/31/2008,35475.34542,0.410594276
6/1/2008,370215.8117,4.284905228
6/2/2008,589013.0628,6.817280819
6/3/2008,183835.6865,2.127727854
6/4/2008,195750.5095,2.265630896
6/5/2008,221145.9636,2.559559764
6/6/2008,560804.0467,6.490787578
