Year,1,2,3,4,5,6,7,8,9,10,11,12
1965,2.01,2.13,2.1,2.55,2.78,2.76,2.46,2.28,2,2.9,2.17,2.62
1966,2.01,2.01,1.63,2.28,1.83,2.08,1.9,1.65,1.33,1.83,1.79,1.78
1967,1.8,1.76,1.72,2.06,2.06,1.98,1.78,1.46,1.11,2.05,2.21,2.25
1968,2.17,1.97,1.79,2.06,2.21,2.34,2.46,2.19,1.91,2.78,2.78,2.67
1969,2.58,2.31,2.1,2.78,2.78,2.76,2.46,2.32,2,2.02,1.79,1.22
1970,0.94,0.84,0.74,0.74,0.66,0.45,0.38,0.23,-0.06,0.62,0.51,0.58
1971,0.58,0.45,0.69,0.81,0.81,0.83,0.81,0.66,0.01,0.52,0.57,0.63
1972,1.06,1.22,1.09,1.42,1.42,1.42,1.03,0.88,0.63,1,0.96,0.91
1973,0.85,0.81,0.57,0.44,0.44,0.51,0.44,0.18,-0.02,0.44,0.44,0.43
1974,0.46,0.5,0.64,0.64,0.81,0.51,0.48,0.42,0.2,0.72,0.9,1.25
1975,1.27,0.95,0.69,0.44,0.44,0.51,0.38,0.15,0.11,0.44,0.44,0.43
1976,0.46,0.5,0.44,0.81,1.14,1.26,1.03,0.88,0.66,0.85,0.78,0.89
1977,0.88,0.75,0.69,0.81,0.81,0.83,0.81,0.66,0.45,0.78,0.73,0.73
1978,0.84,0.83,0.64,0.68,0.5,0.4,0.57,0.38,0.46,1.2,1.38,1.38
1979,1.35,0.85,0.71,1.2,1.34,1.46,1.07,0.88,0.66,0.81,0.81,1.02
1980,0.88,0.92,1.09,1.42,1.23,1.42,1,0.66,-0.03,0.51,0.83,1.22
1981,1.09,0.89,0.71,0.81,0.5,0.4,0.57,0.38,0.64,1.38,1.34,1.25
1982,1.27,1.22,1.09,1.42,1.42,1.42,1.22,1.07,0.85,1.42,1.42,1.34
1983,1.3,1.02,1.07,1.23,1.05,1.05,0.77,0.35,-0.02,0.44,0.44,0.43
