date,RF_acft
30-Dec-07,0
31-Dec-07,0
1/1/2008,200.85
1/2/2008,0
1/3/2008,0
1/4/2008,464.5666667
1/5/2008,265.9666667
1/6/2008,66.45833333
1/7/2008,0
1/8/2008,0
1/9/2008,0
1/10/2008,265.9666667
1/11/2008,0
1/12/2008,2459.266667
1/13/2008,1463
1/14/2008,0
1/15/2008,0
1/16/2008,0
1/17/2008,3847.333333
1/18/2008,66.28333333
1/19/2008,6500.666667
1/20/2008,3111.791667
1/21/2008,0
1/22/2008,0
1/23/2008,465.15
1/24/2008,265.7
1/25/2008,0
1/26/2008,0
1/27/2008,0
1/28/2008,0
1/29/2008,0
1/30/2008,0
1/31/2008,0
2/1/2008,0
2/2/2008,0
2/3/2008,0
2/4/2008,66.15833333
2/5/2008,66.15833333
2/6/2008,0
2/7/2008,0
2/8/2008,2176.9
2/9/2008,8049.966667
2/10/2008,0
2/11/2008,0
2/12/2008,8704.3
2/13/2008,11994.26667
2/14/2008,0
2/15/2008,0
2/16/2008,0
2/17/2008,0
2/18/2008,0
2/19/2008,132.7666667
2/20/2008,0
2/21/2008,8507.733333
2/22/2008,332.625
2/23/2008,598.425
2/24/2008,265.8333333
2/25/2008,0
2/26/2008,0
2/27/2008,926.8
2/28/2008,0
2/29/2008,0
3/1/2008,0
3/2/2008,0
3/3/2008,66.23333333
3/4/2008,66.225
3/5/2008,9931.25
3/6/2008,20055.31667
3/7/2008,266.8
3/8/2008,7363.925
3/9/2008,0
3/10/2008,0
3/11/2008,6061.358333
3/12/2008,66.63333333
3/13/2008,0
3/14/2008,66.65
3/15/2008,0
3/16/2008,0
3/17/2008,0
3/18/2008,0
3/19/2008,0
3/20/2008,1933.575
3/21/2008,0
3/22/2008,7397.225
3/23/2008,10926.43333
3/24/2008,66.925
3/25/2008,0
3/26/2008,0
3/27/2008,0
3/28/2008,0
3/29/2008,0
3/30/2008,0
3/31/2008,201.45
4/1/2008,2482.083333
4/2/2008,1006.875
4/3/2008,0
4/4/2008,0
4/5/2008,0
4/6/2008,34108.61667
4/7/2008,2581.656667
4/8/2008,0
4/9/2008,2796.131667
4/10/2008,0
4/11/2008,0
4/12/2008,0
4/13/2008,748.8708333
4/14/2008,0
4/15/2008,0
4/16/2008,0
4/17/2008,0
4/18/2008,406.5
4/19/2008,0
