Year,1,2,3,4,5,6,7,8,9,10,11,12
1965,1.63,2.13,2.44,2.69,3.05,3.02,2.7,2.69,2.56,2.21,1.67,1.91
1966,1.94,1.94,1.95,2.53,2.88,3,2.81,2.5,2.14,1.49,0.98,1.06
1967,1.37,1.68,2.04,2.54,2.93,2.92,2.7,2.3,1.92,1.58,1.28,1.47
1968,1.79,1.97,2.14,2.55,3.05,3.02,2.7,2.6,2.46,2.21,1.86,1.88
1969,2.21,2.31,2.44,2.69,3.05,3.02,2.7,2.73,2.56,1.81,1.41,1.05
1970,1.33,1.59,1.76,1.86,2.05,1.83,1.66,1.36,0.97,0.85,0.68,0.85
1971,0.97,1.11,1.63,1.78,1.95,1.78,1.66,1.53,1,0.82,0.73,0.71
1972,1.44,1.86,2.01,2.17,2.16,2.13,1.66,1.49,1.31,1.26,1.12,1.17
1973,1.24,1.56,1.59,1.86,1.95,1.91,1.72,1.31,0.97,0.7,0.61,0.65
1974,0.84,1.25,1.58,1.78,1.95,1.91,1.76,1.55,1.19,0.82,0.86,1.33
1975,1.65,1.59,1.63,1.86,1.95,1.91,1.66,1.33,0.97,0.7,0.61,0.65
1976,0.84,1.25,1.46,1.78,2.15,1.96,1.66,1.49,1.34,1.19,1.04,1.16
1977,1.28,1.41,1.63,1.78,1.95,1.78,1.66,1.53,1.3,1.17,1,1.09
1978,1.24,1.48,1.58,1.82,1.9,1.78,1.85,1.55,1.32,1.29,1.34,1.45
1979,1.73,1.48,1.63,2.03,2.16,2.13,1.66,1.49,1.34,1.15,0.99,1.29
1980,1.28,1.56,2.01,2.17,2.15,2.13,1.85,1.53,1,0.85,0.99,1.31
1981,1.47,1.53,1.63,1.78,1.9,1.78,1.85,1.55,1.49,1.34,1.3,1.33
1982,1.65,1.86,2.01,2.17,2.16,2.13,1.85,1.68,1.53,1.38,1.38,1.41
1983,1.69,1.68,2.01,2.11,1.96,1.78,1.61,1.49,0.97,0.7,0.61,0.65
1984,1.01,1.38,1.59,1.86,2.04,1.93,1.66,1.36,1.13,0.85,0.68,0.98
1985,1.11,1.46,1.59,1.86,2.04,1.83,1.85,1.72,1.49,1.29,1.16,0.89
1986,1.44,1.78,2.01,2.17,2.16,2.13,1.85,1.68,1.53,1.38,1.38,1.41
1987,1.69,1.86,2.01,2.17,2.16,1.96,1.66,1.49,1.34,1.26,1.26,1.09
1988,1.28,1.55,1.59,1.86,1.95,1.92,1.66,1.36,1,0.68,0.51,0.69
1989,0.97,1.2,1.63,1.78,2.16,1.78,1.85,1.72,1.49,1.29,1.3,1.45
1990,1.73,1.86,2.01,2.17,2.16,1.78,1.85,1.72,1.53,1.38,1.34,1.33
1991,1.65,1.86,2.01,2.17,2.16,2.13,1.85,1.68,1.53,1.38,1.38,1.41
1992,1.69,1.66,1.81,2.17,2.16,2.13,1.85,1.53,1.3,1.15,1.24,1.41
1993,1.69,1.86,2.01,2.17,2.16,2.13,1.85,1.72,1.53,1.38,1.38,1.41
1994,1.47,1.41,1.63,1.98,2.16,2.13,1.85,1.68,1.53,1.38,1.38,1.41
1995,2.21,2.12,2.04,2.54,2.93,2.92,2.68,2.46,2.08,1.51,1.13,1.31
1996,1.79,2.13,2.14,2.54,2.9,2.88,2.7,2.36,2.04,1.64,1.28,1.31
1997,1.79,2.31,2.44,2.69,3.05,3.02,2.7,2.6,2.56,2.21,1.92,1.91
1998,2.09,2.12,2.3,2.54,3.01,2.41,2.01,1.75,1.41,0.97,0.7,0.69
1999,1.09,1.35,1.69,2.12,2.4,2.88,2.81,2.44,2.02,1.37,0.95,0.69
2000,1.09,1.35,1.81,2.54,2.93,2.92,2.72,2.36,1.92,1.51,1.06,1.1
2001,1.43,1.7,2.02,2.12,2.59,3,2.81,2.5,2.14,1.24,1.01,0.92
2002,1.25,1.64,1.93,2.71,3.08,3.09,2.81,2.73,2.56,2.21,1.41,1.28
2003,1.44,1.59,1.84,2.12,2.4,2.41,2.62,2.73,2.37,1.73,0.82,0.69
2004,1.37,1.7,2.04,2.69,3.05,3.02,2.7,2.6,2.56,2.21,1.92,1.88
2005,2.21,2.12,2.04,2.6,3.05,3,2.7,2.46,2.46,1.8,1.28,1.06
2006,1.31,1.7,2.19,2.55,3.05,3.02,2.72,2.36,2.46,2.21,1.86,1.88
2007,2.21,2.12,1.84,2.12,2.4,2.88,2.62,2.44,2.02,1.37,0.88,0.88
2008,1.09,1.35,1.69,2.12,2.93,2.41,2.81,2.5,2.14,1.64,0.98,1.13
2009,1.31,1.68,2.04,2.12,2.93,3,2.7,2.6,2.46,1.64,1.86,1.91
2010,2.04,1.99,2.2,2.12,2.46,2.41,2.62,2.44,2.02,1.37,0.88,0.86
2011,1.1,1.49,2.19,2.68,2.93,3,2.72,2.36,2.04,1.58,1.06,0.9
2012,1.36,1.81,2.21,2.54,3.05,3,2.79,2.46,2.56,2.21,1.92,1.19
2013,1.4,1.64,1.86,2.16,2.44,2.46,2.22,2.02,1.75,1.37,1.11,1.1
2014,1.4,1.64,1.86,2.16,2.44,2.46,2.22,2.02,1.75,1.37,1.11,1.1
2015,1.4,1.64,1.86,2.16,2.34,2.58,2.36,2.37,2.24,1.37,0.83,0.89
2016,1.4,1.66,1.01,1.88,2.15,3.1,2.35,1.75,1.57,0.14,0.12,-0.12
2017,0.36,0.62,1.86,1.44,2.35,3.29,2.08,2.1,2.26,2.25,1.42,0.02
2018,0.36,0.54,1.86,1.76,2.15,2.74,2.64,2.19,2.02,0.58,0.47,0.31
2019,0.47,1.64,1.19,1.77,2.54,2.83,2.39,2.81,1.02,0.63,0.22,0.35
2020,0.24,0.93,1.02,1.76,2.35,3.09,2.55,2.49,1.62,1.53,0.62,0.49
2021,0.31,0.92,1.35,1.83,2.44,2.5,2.22,2.38,1.75,1.36,1.1,1.08
2022,1.36,0.59,1.83,1.97,2.44,2.46,2.22,1.4,1.75,0.97,0.16,0.02
2023,0.1,0.52,0.76,2.15,2.3,2.46,2.22,2.02,1.75,1.36,1.1,1.08
