date,3A-NW,2A-17,3A-3,3A-4,3A-28
1/1/2008,11.35,12.46,9.51,9.8,9.49
1/2/2008,11.33,12.43,9.49,9.76,9.46
1/3/2008,11.3,12.4,9.46,9.74,9.45
1/4/2008,11.29,12.39,9.45,9.72,9.45
1/5/2008,11.28,12.39,9.44,9.72,9.45
1/6/2008,11.27,12.39,9.43,9.72,9.45
1/7/2008,11.26,12.39,9.42,9.72,9.44
1/8/2008,11.24,12.38,9.42,9.72,9.44
1/9/2008,11.23,12.36,9.41,9.71,9.42
1/10/2008,11.21,12.35,9.4,9.7,9.41
1/11/2008,11.19,12.33,9.38,9.69,9.39
1/12/2008,11.18,12.32,9.38,9.68,9.38
1/13/2008,11.17,12.31,9.38,9.67,9.38
1/14/2008,11.15,12.3,9.38,9.66,9.38
1/15/2008,11.11,12.28,9.36,9.65,9.38
1/16/2008,11.09,12.26,9.35,9.64,9.36
1/17/2008,11.08,12.25,9.33,9.64,9.35
1/18/2008,11.08,12.24,9.33,9.64,9.33
1/19/2008,11.11,12.22,9.32,9.63,9.32
1/20/2008,11.3,12.21,9.33,9.63,9.31
1/21/2008,11.29,12.2,9.32,9.62,9.31
1/22/2008,11.28,12.19,9.32,9.62,9.31
1/23/2008,11.27,12.18,9.32,9.62,9.31
1/24/2008,11.25,12.17,9.31,9.61,9.3
1/25/2008,11.23,12.15,9.3,9.6,9.29
1/26/2008,11.2,12.13,9.28,9.59,9.29
1/27/2008,11.19,12.11,9.28,9.58,9.28
1/28/2008,11.15,12.09,9.27,9.56,9.26
1/29/2008,11.12,12.06,9.24,9.55,9.25
1/30/2008,11.1,12.04,9.24,9.54,9.23
1/31/2008,11.06,12.03,9.23,9.53,9.22
2/1/2008,11.03,12.01,9.22,9.52,9.21
2/2/2008,11.01,11.99,9.21,9.51,9.2
2/3/2008,10.98,11.97,9.19,9.49,9.18
2/4/2008,10.95,11.95,9.18,9.49,9.17
2/5/2008,10.92,11.93,9.17,9.47,9.16
2/6/2008,10.89,11.91,9.15,9.46,9.14
2/7/2008,10.87,11.89,9.13,9.45,9.12
2/8/2008,10.84,11.84,9.11,9.44,9.11
2/9/2008,10.82,11.81,9.1,9.42,9.1
2/10/2008,10.79,11.8,9.09,9.4,9.1
2/11/2008,10.75,11.78,9.08,9.38,9.09
2/12/2008,10.82,11.76,9.06,9.38,9.08
2/13/2008,11.48,11.9,9.21,9.57,9.25
2/14/2008,11.52,11.95,9.28,9.66,9.33
2/15/2008,11.5,11.96,9.28,9.65,9.33
2/16/2008,11.48,11.96,9.31,9.64,9.33
2/17/2008,11.46,11.96,9.36,9.63,9.33
2/18/2008,11.45,11.96,9.42,9.63,9.33
2/19/2008,11.43,11.93,9.5,9.62,9.32
2/20/2008,11.43,11.91,9.57,9.61,9.32
2/21/2008,11.42,11.91,9.61,9.61,9.32
2/22/2008,11.41,11.99,9.65,9.61,9.33
2/23/2008,11.41,12.1,9.66,9.61,9.32
2/24/2008,11.4,12.18,9.67,9.61,9.31
2/25/2008,11.4,12.23,9.69,9.61,9.31
2/26/2008,11.39,12.24,9.69,9.61,9.31
2/27/2008,11.42,12.24,9.7,9.6,9.3
2/28/2008,11.42,12.23,9.7,9.58,9.29
2/29/2008,11.41,12.21,9.7,9.57,9.29
3/1/2008,11.41,12.19,9.7,9.57,9.29
3/2/2008,11.44,12.16,9.7,9.57,9.29
3/3/2008,11.49,12.13,9.7,9.57,9.29
3/4/2008,11.54,12.13,9.7,9.57,9.29
3/5/2008,11.58,12.13,9.7,9.57,9.28
3/6/2008,11.64,12.14,9.7,9.58,9.29
3/7/2008,11.77,12.28,9.74,9.6,9.28
3/8/2008,11.77,12.25,9.76,9.61,9.28
3/9/2008,11.75,12.21,9.76,9.6,9.28
3/10/2008,11.74,12.19,9.75,9.59,9.28
3/11/2008,11.72,12.18,9.75,9.59,9.28
3/12/2008,11.71,12.17,9.75,9.59,9.28
3/13/2008,11.7,12.17,9.75,9.58,9.27
3/14/2008,11.72,12.18,9.75,9.57,9.26
3/15/2008,11.74,12.21,9.76,9.56,9.26
3/16/2008,11.76,12.22,9.76,9.56,9.25
3/17/2008,11.78,12.22,9.76,9.55,9.24
3/18/2008,11.78,12.2,9.76,9.55,9.23
3/19/2008,11.79,12.19,9.76,9.55,9.22
3/20/2008,11.79,12.19,9.76,9.54,9.21
3/21/2008,11.79,12.17,9.75,9.52,9.2
3/22/2008,11.8,12.17,9.75,9.52,9.22
3/23/2008,11.86,12.24,9.78,9.57,9.26
3/24/2008,11.86,12.33,9.81,9.59,9.26
3/25/2008,11.84,12.32,9.81,9.57,9.26
3/26/2008,11.82,12.31,9.81,9.57,9.26
3/27/2008,11.8,12.3,9.81,9.57,9.26
3/28/2008,11.78,12.29,9.81,9.57,9.26
3/29/2008,11.76,12.28,9.81,9.56,9.25
3/30/2008,11.75,12.27,9.81,9.55,9.24
3/31/2008,11.75,12.25,9.81,9.54,9.24
4/1/2008,11.78,12.24,9.81,9.54,9.23
4/2/2008,11.81,12.22,9.81,9.55,9.22
4/3/2008,11.82,12.21,9.81,9.56,9.25
4/4/2008,11.82,12.19,9.8,9.56,9.24
4/5/2008,11.8,12.17,9.79,9.55,9.22
4/6/2008,11.97,12.21,9.81,9.6,9.27
4/7/2008,12.24,12.64,10,9.79,9.43
4/8/2008,12.19,12.62,10.02,9.8,9.44
4/9/2008,12.16,12.6,10.08,9.79,9.44
4/10/2008,12.17,12.6,10.11,9.78,9.44
4/11/2008,12.18,12.61,10.11,9.78,9.44
4/12/2008,12.17,12.65,10.18,9.78,9.44
4/13/2008,12.14,12.69,10.22,9.78,9.44
4/14/2008,12.09,12.7,10.24,9.78,9.44
4/15/2008,12.04,12.7,10.26,9.76,9.44
4/16/2008,12,12.69,10.26,9.75,9.44
4/17/2008,11.96,12.68,10.26,9.74,9.44
4/18/2008,11.93,12.66,10.26,9.75,9.43
4/19/2008,11.91,12.62,10.26,9.75,9.42
4/20/2008,11.88,12.59,10.26,9.75,9.41
4/21/2008,11.86,12.56,10.27,9.75,9.41
4/22/2008,11.83,12.51,10.27,9.75,9.4
4/23/2008,11.81,12.45,10.27,9.75,9.4
4/24/2008,11.79,12.4,10.26,9.75,9.4
4/25/2008,11.76,12.35,10.23,9.75,9.38
4/26/2008,11.74,12.3,10.21,9.75,9.37
4/27/2008,11.72,12.25,10.19,9.74,9.35
4/28/2008,11.7,12.21,10.17,9.74,9.34
4/29/2008,11.68,12.17,10.15,9.74,9.32
4/30/2008,11.65,12.13,10.12,9.75,9.32
5/1/2008,11.63,12.09,10.07,9.75,9.31
5/2/2008,11.61,12.04,10.04,9.74,9.29
5/3/2008,11.6,12.01,10.01,9.73,9.28
5/4/2008,11.58,11.98,9.98,9.71,9.27
5/5/2008,11.56,11.94,9.93,9.7,9.26
5/6/2008,11.55,11.91,9.9,9.68,9.24
5/7/2008,11.53,11.88,9.86,9.65,9.23
5/8/2008,11.51,11.86,9.82,9.64,9.22
5/9/2008,11.51,11.85,9.79,9.63,9.2
5/10/2008,11.49,11.84,9.76,9.6,9.18
5/11/2008,11.47,11.81,9.73,9.58,9.17
5/12/2008,11.45,11.79,9.69,9.55,9.15
5/13/2008,11.43,11.77,9.66,9.53,9.13
5/14/2008,11.41,11.74,9.63,9.51,9.11
5/15/2008,11.39,11.71,9.6,9.49,9.1
5/16/2008,11.36,11.69,9.57,9.47,9.07
5/17/2008,11.34,11.66,9.53,9.45,9.05
5/18/2008,11.31,11.64,9.5,9.43,9.02
5/19/2008,11.27,11.62,9.47,9.41,9
5/20/2008,11.22,11.59,9.43,9.39,8.98
5/21/2008,11.16,11.57,9.41,9.36,8.95
5/22/2008,11.23,11.54,9.38,9.35,8.94
5/23/2008,11.36,11.53,9.39,9.37,9
5/24/2008,11.46,11.54,9.42,9.42,9.14
5/25/2008,11.47,11.63,9.42,9.41,9.12
5/26/2008,11.45,11.63,9.39,9.4,9.1
5/27/2008,11.43,11.62,9.37,9.38,9.06
5/28/2008,11.41,11.6,9.34,9.36,9.03
5/29/2008,11.4,11.58,9.33,9.34,9
5/30/2008,11.47,11.56,9.32,9.34,8.98
5/31/2008,11.62,11.54,9.33,9.35,8.97
6/1/2008,11.6,11.52,9.32,9.34,8.94
6/2/2008,11.61,11.5,9.32,9.32,8.93
6/3/2008,11.63,11.48,9.35,9.3,8.91
6/4/2008,11.6,11.48,9.35,9.28,8.89
6/5/2008,11.57,11.45,9.33,9.26,8.87
6/6/2008,11.54,11.43,9.31,9.23,8.85
6/7/2008,11.51,11.41,9.3,9.21,8.82
6/8/2008,11.49,11.39,9.28,9.19,8.79
6/9/2008,11.47,11.37,9.27,9.18,8.76
6/10/2008,11.46,11.36,9.25,9.17,8.75
6/11/2008,11.44,11.43,9.24,9.16,8.79
6/12/2008,11.45,11.59,9.23,9.17,8.81
6/13/2008,11.52,11.61,9.23,9.21,8.82
6/14/2008,11.56,11.61,9.27,9.21,8.81
6/15/2008,11.55,11.61,9.32,9.23,8.82
6/16/2008,11.53,11.6,9.32,9.23,8.83
6/17/2008,11.54,11.6,9.34,9.24,8.83
6/18/2008,11.69,11.62,9.43,9.33,8.86
6/19/2008,11.87,11.7,9.55,9.46,8.99
6/20/2008,11.84,11.73,9.57,9.47,9.04
6/21/2008,11.85,11.76,9.58,9.48,9.09
6/22/2008,11.87,11.82,9.62,9.55,9.15
6/23/2008,11.86,11.85,9.68,9.66,9.24
6/24/2008,11.84,11.85,9.68,9.74,9.27
6/25/2008,11.84,11.87,9.69,9.73,9.25
6/26/2008,11.91,11.87,9.72,9.71,9.24
6/27/2008,12.03,11.88,9.72,9.7,9.24
6/28/2008,12.01,11.89,9.74,9.68,9.23
6/29/2008,11.98,11.91,9.76,9.67,9.21
6/30/2008,12.01,11.94,9.77,9.66,9.2
7/1/2008,12.14,11.99,9.84,9.69,9.2
7/2/2008,12.17,12.06,9.88,9.73,9.22
7/3/2008,12.27,12.22,9.94,9.73,9.23
7/4/2008,12.3,12.34,10,9.75,9.24
7/5/2008,12.29,12.38,10.1,9.78,9.27
7/6/2008,12.3,12.47,10.24,9.79,9.33
7/7/2008,12.27,12.59,10.36,9.81,9.34
7/8/2008,12.29,12.65,10.37,9.92,9.34
7/9/2008,12.25,12.66,10.4,9.92,9.35
7/10/2008,12.21,12.67,10.46,9.91,9.35
7/11/2008,12.17,12.66,10.48,9.91,9.35
7/12/2008,12.18,12.64,10.55,9.91,9.37
7/13/2008,12.25,12.63,10.63,9.92,9.4
7/14/2008,12.23,12.63,10.64,9.93,9.4
7/15/2008,12.26,12.65,10.7,9.98,9.42
7/16/2008,12.28,12.67,10.76,10.06,9.46
7/17/2008,12.27,12.67,10.77,,9.47
7/18/2008,12.25,12.67,10.82,,9.5
7/19/2008,12.24,12.67,10.85,,9.49
7/20/2008,12.24,12.66,10.85,,9.49
7/21/2008,12.23,12.66,10.86,,9.49
7/22/2008,12.22,12.65,10.87,10.26,9.48
7/23/2008,12.24,12.64,10.88,10.27,9.49
7/24/2008,12.26,12.63,10.88,10.33,9.51
7/25/2008,12.33,12.62,10.88,10.34,9.56
7/26/2008,12.34,12.62,10.88,10.35,9.59
7/27/2008,12.33,12.63,10.96,10.38,9.61
7/28/2008,12.35,12.71,10.98,10.48,9.69
7/29/2008,12.35,12.73,10.99,10.53,9.73
7/30/2008,12.37,12.71,11.06,10.54,9.73
7/31/2008,12.35,12.66,11.07,10.55,9.73
8/1/2008,12.32,12.65,11.09,10.59,9.73
8/2/2008,12.3,12.61,11.09,10.62,9.74
8/3/2008,12.27,12.57,11.11,10.64,9.75
8/4/2008,12.29,12.54,11.16,10.69,9.8
8/5/2008,12.37,12.52,11.18,10.73,9.84
8/6/2008,12.42,12.48,11.21,10.76,9.87
8/7/2008,12.44,12.45,11.21,10.77,9.88
8/8/2008,12.51,12.43,11.21,10.77,9.9
8/9/2008,12.5,12.44,11.2,10.78,9.9
8/10/2008,12.49,12.44,11.2,10.8,9.9
8/11/2008,12.48,12.48,11.21,10.81,9.91
8/12/2008,12.48,12.53,11.21,10.81,9.93
8/13/2008,12.49,12.53,11.23,10.81,9.96
8/14/2008,12.46,12.58,11.24,10.79,9.95
8/15/2008,12.44,12.65,11.28,10.78,9.95
8/16/2008,12.42,12.6,11.28,10.79,9.96
8/17/2008,12.41,12.58,11.26,10.79,9.96
8/18/2008,12.49,12.56,11.3,10.84,10.07
8/19/2008,12.78,12.79,11.58,11.14,10.41
8/20/2008,12.81,12.83,11.64,11.21,10.43
8/21/2008,12.84,12.87,11.65,11.26,10.46
8/22/2008,12.91,13,11.69,11.31,10.49
8/23/2008,13.01,13.19,11.74,11.36,10.52
8/24/2008,13.1,13.37,11.77,11.4,10.57
8/25/2008,13.13,13.54,11.82,11.44,10.59
8/26/2008,13.16,13.7,11.87,11.47,10.61
8/27/2008,13.19,13.81,11.93,11.51,10.64
8/28/2008,13.21,13.89,11.96,11.53,10.67
8/29/2008,13.23,13.97,11.98,11.54,10.67
8/30/2008,13.27,14.03,11.98,11.56,10.68
8/31/2008,13.3,14.15,12.13,11.57,10.79
9/1/2008,13.3,14.17,12.21,11.57,10.85
9/2/2008,13.28,14.17,12.24,11.57,10.85
9/3/2008,13.24,14.17,12.26,11.59,10.85
9/4/2008,13.19,14.15,12.29,11.6,10.85
9/5/2008,13.16,14.26,12.4,11.63,10.87
9/6/2008,13.15,14.38,12.43,11.65,10.88
9/7/2008,13.14,14.41,12.46,11.67,10.88
9/8/2008,13.14,14.43,12.48,11.68,10.89
9/9/2008,13.16,14.45,12.48,11.73,10.9
9/10/2008,13.19,14.45,12.52,11.81,10.91
9/11/2008,13.19,14.45,12.53,11.8,10.93
9/12/2008,13.19,14.45,12.55,11.79,10.95
9/13/2008,13.16,14.45,12.55,11.8,10.97
9/14/2008,13.1,14.42,12.55,11.8,10.98
9/15/2008,13.06,14.39,12.58,11.81,11
9/16/2008,13.05,14.33,12.58,11.82,11.03
9/17/2008,13.01,14.26,12.58,11.83,11.03
9/18/2008,13.07,14.17,12.58,11.85,11.05
9/19/2008,13.13,14.08,12.62,11.82,11.09
9/20/2008,13.06,13.99,12.63,11.8,11.09
9/21/2008,13,13.89,12.63,11.77,11.09
9/22/2008,12.96,13.79,12.61,11.79,11.09
9/23/2008,12.94,13.72,12.59,11.79,11.09
9/24/2008,12.93,13.66,12.58,11.79,11.1
9/25/2008,12.91,13.59,12.56,11.8,11.1
9/26/2008,12.87,13.51,12.53,11.79,11.1
9/27/2008,12.84,13.45,12.5,11.8,11.08
9/28/2008,12.85,13.43,12.52,11.83,11.11
9/29/2008,12.87,13.47,12.61,11.9,11.2
9/30/2008,12.9,13.42,12.6,11.95,11.28
10/1/2008,12.9,13.4,12.6,12,11.37
10/2/2008,12.87,13.37,12.59,12.01,11.35
10/3/2008,12.85,13.35,12.56,12,11.33
10/4/2008,12.92,13.38,12.54,12,11.32
10/5/2008,13.02,13.47,12.6,12.01,11.32
10/6/2008,13.02,13.5,12.6,12.01,11.31
10/7/2008,13.01,13.53,12.59,12.02,11.31
10/8/2008,12.97,13.54,12.58,12.01,11.3
10/9/2008,12.93,13.55,12.56,12.01,11.33
10/10/2008,12.89,13.55,12.54,12.02,11.37
10/11/2008,12.84,13.57,12.53,12.01,11.35
10/12/2008,12.8,13.57,12.52,12,11.32
10/13/2008,12.77,13.58,12.51,11.99,11.3
10/14/2008,12.76,13.59,12.5,12,11.32
10/15/2008,12.74,13.55,12.47,11.99,11.3
10/16/2008,12.72,13.51,12.45,11.97,11.28
10/17/2008,12.7,13.47,12.42,11.96,11.27
10/18/2008,12.67,13.42,12.4,11.93,11.25
10/19/2008,12.64,13.36,12.36,11.91,11.22
10/20/2008,12.61,13.31,12.32,11.88,11.2
10/21/2008,12.59,13.25,12.27,11.86,11.17
10/22/2008,12.57,13.21,12.22,11.84,11.14
10/23/2008,12.6,13.31,12.23,11.83,11.12
10/24/2008,12.63,13.33,12.25,11.83,11.11
10/25/2008,12.62,13.33,12.24,11.83,11.11
10/26/2008,12.65,13.38,12.28,11.87,11.11
10/27/2008,12.63,13.36,12.27,11.85,11.1
10/28/2008,12.61,13.31,12.23,11.81,11.06
10/29/2008,12.59,13.26,12.19,11.78,11.03
10/30/2008,12.57,13.22,12.16,11.75,11
10/31/2008,12.55,13.19,12.13,11.74,10.98
11/1/2008,12.53,13.17,12.1,11.71,10.96
11/2/2008,12.51,13.13,12.05,11.7,10.95
11/3/2008,12.49,13.09,12.02,11.69,10.95
11/4/2008,12.47,13.06,11.99,11.67,10.95
11/5/2008,12.45,13.03,11.94,11.65,10.95
11/6/2008,12.44,13,11.91,11.63,10.94
11/7/2008,12.42,12.97,11.87,11.62,10.93
11/8/2008,12.41,12.93,11.84,11.6,10.92
11/9/2008,12.39,12.88,11.8,11.57,10.92
11/10/2008,12.36,12.83,11.76,11.55,10.88
11/11/2008,12.33,12.8,11.73,11.52,10.86
11/12/2008,12.31,12.76,11.7,11.52,10.86
11/13/2008,12.28,12.73,11.65,11.49,10.84
11/14/2008,12.25,12.7,11.62,11.47,10.83
11/15/2008,12.22,12.66,11.58,11.45,10.81
11/16/2008,12.19,12.6,11.54,11.4,10.79
11/17/2008,12.16,12.55,11.5,11.38,10.74
11/18/2008,12.13,12.51,11.46,11.34,10.7
11/19/2008,12.1,12.47,11.4,11.31,10.67
11/20/2008,12.07,12.45,11.37,11.29,10.64
11/21/2008,12.05,12.41,11.32,11.27,10.61
11/22/2008,12.02,12.36,11.28,11.23,10.57
11/23/2008,12,12.31,11.24,11.21,10.53
11/24/2008,11.98,12.28,11.21,11.18,10.5
11/25/2008,11.96,12.24,11.18,11.15,10.47
11/26/2008,11.93,12.21,11.15,11.11,10.44
11/27/2008,11.91,12.18,11.11,11.08,10.4
11/28/2008,11.89,12.15,11.08,11.04,10.38
11/29/2008,11.87,12.12,11.04,11.01,10.34
11/30/2008,11.87,12.11,11.01,11,10.31
12/1/2008,11.88,12.1,11,11.03,10.32
12/2/2008,11.87,12.1,,,10.32
12/3/2008,11.85,12.07,,10.95,10.3
12/4/2008,11.84,12.06,10.93,10.93,10.28
12/5/2008,11.82,12.05,10.9,10.9,10.26
12/6/2008,11.8,12.04,10.87,10.86,10.22
12/7/2008,11.79,12.02,10.86,10.83,10.2
12/8/2008,11.78,12,10.83,10.8,10.17
12/9/2008,11.76,11.99,10.8,10.78,10.14
12/10/2008,11.75,11.97,10.77,10.75,10.14
12/11/2008,11.75,11.96,10.75,10.74,10.15
12/12/2008,11.76,11.96,10.75,10.74,10.18
12/13/2008,11.74,11.95,10.72,10.72,10.19
12/14/2008,11.73,11.93,10.7,10.71,10.21
12/15/2008,11.72,11.92,10.68,10.7,10.22
12/16/2008,11.7,11.91,10.66,10.69,10.22
12/17/2008,11.69,11.9,10.62,10.68,10.23
12/18/2008,11.68,11.88,10.61,10.67,10.24
12/19/2008,11.67,11.87,10.6,10.67,10.24
12/20/2008,11.65,11.85,10.58,10.66,10.24
12/21/2008,11.64,11.85,10.56,10.65,10.24
12/22/2008,11.63,11.83,10.54,10.63,10.24
12/23/2008,11.62,11.81,10.51,10.61,10.24
12/24/2008,11.61,11.8,10.5,10.61,10.24
12/25/2008,11.6,11.8,10.49,10.61,10.25
12/26/2008,11.6,11.79,10.47,10.61,10.25
12/27/2008,11.59,11.77,10.46,10.61,10.25
12/28/2008,11.58,11.76,10.44,10.6,10.25
12/29/2008,11.57,11.74,10.43,10.6,10.24
12/30/2008,11.56,11.73,10.41,10.58,10.23
12/31/2008,11.55,11.71,10.4,10.57,10.23
1/1/2009,11.54,11.69,10.38,10.56,10.22
1/2/2009,11.53,11.68,10.37,10.55,10.22
1/3/2009,11.52,11.67,10.35,10.54,10.21
1/4/2009,11.52,11.66,10.33,10.53,10.21
1/5/2009,11.54,11.66,10.32,10.53,10.21
1/6/2009,11.52,11.65,10.31,10.53,10.2
1/7/2009,11.52,11.64,10.3,10.51,10.18
1/8/2009,11.51,11.63,10.29,10.5,10.18
1/9/2009,11.5,11.62,10.28,10.49,10.17
1/10/2009,11.49,11.61,10.27,10.48,10.17
1/11/2009,11.48,11.6,10.25,10.47,10.15
1/12/2009,11.47,11.58,10.24,10.46,10.14
1/13/2009,11.46,11.57,10.22,10.45,10.13
1/14/2009,11.45,11.55,10.21,10.43,10.13
1/15/2009,11.44,11.54,10.2,10.41,10.12
1/16/2009,11.43,11.52,10.18,10.39,10.11
1/17/2009,11.42,11.5,10.16,10.37,10.11
1/18/2009,11.41,11.5,10.14,10.37,10.09
1/19/2009,11.4,11.49,10.13,10.37,10.06
1/20/2009,11.39,11.48,10.12,10.36,10.04
1/21/2009,11.38,11.46,10.1,10.33,10.03
1/22/2009,11.36,11.45,10.09,10.32,10.02
1/23/2009,11.35,11.43,10.08,10.32,10.01
1/24/2009,11.33,11.43,10.06,10.31,10
1/25/2009,11.32,11.42,10.05,10.3,9.99
1/26/2009,11.3,11.41,10.04,10.29,9.98
1/27/2009,11.28,11.4,10.03,10.29,9.97
1/28/2009,11.27,11.4,10.02,10.27,9.95
1/29/2009,11.25,11.39,10.02,10.25,9.93
1/30/2009,11.24,11.38,9.99,10.23,9.92
1/31/2009,11.21,11.36,9.96,10.2,9.91
2/1/2009,11.18,11.35,9.95,10.18,9.9
2/2/2009,11.2,11.34,9.95,10.18,9.88
2/3/2009,11.29,11.38,9.96,10.18,9.91
2/4/2009,11.24,11.37,9.95,10.18,9.89
2/5/2009,11.19,11.35,9.95,10.15,9.88
2/6/2009,11.17,11.33,9.93,10.14,9.88
2/7/2009,11.14,11.31,9.92,10.14,9.86
2/8/2009,11.11,11.3,9.9,10.13,9.85
2/9/2009,11.08,11.29,9.88,10.13,9.85
2/10/2009,11.05,11.27,9.86,10.12,9.82
2/11/2009,11.03,11.26,9.85,10.12,9.8
2/12/2009,11.01,11.25,9.84,10.11,9.78
2/13/2009,10.98,11.24,9.83,10.09,9.77
2/14/2009,10.96,11.23,9.82,10.08,9.76
2/15/2009,10.93,11.22,9.8,10.06,9.74
2/16/2009,10.9,11.2,9.79,10.03,9.72
2/17/2009,10.85,11.17,9.76,10.01,9.7
2/18/2009,10.82,11.15,9.75,10,9.69
2/19/2009,10.78,11.13,9.73,9.99,9.66
2/20/2009,10.74,11.1,9.73,9.96,9.63
2/21/2009,10.7,11.07,9.7,9.94,9.61
2/22/2009,10.66,11.05,9.68,9.93,9.6
2/23/2009,10.65,11.04,9.67,9.91,9.59
2/24/2009,10.63,11.02,9.65,9.89,9.58
2/25/2009,10.59,10.99,9.63,9.88,9.56
2/26/2009,10.55,10.97,9.62,9.86,9.54
2/27/2009,10.51,10.95,9.6,9.84,9.52
2/28/2009,10.49,10.93,9.59,9.83,9.5
3/1/2009,10.49,10.9,9.57,9.81,9.47
3/2/2009,10.49,10.87,9.54,9.77,9.45
3/3/2009,10.49,10.83,9.52,9.74,9.44
3/4/2009,10.49,10.81,9.5,9.72,9.42
3/5/2009,10.49,10.79,9.49,9.71,9.4
3/6/2009,10.49,10.76,9.48,9.69,9.38
3/7/2009,10.49,10.74,9.45,9.68,9.36
3/8/2009,10.49,10.73,9.44,9.67,9.34
3/9/2009,10.49,10.71,9.43,9.65,9.32
3/10/2009,10.49,10.69,9.41,9.64,9.3
3/11/2009,10.49,10.66,9.39,9.62,9.28
