Date,E1,C/D,B/D,A,ERTP:TopE,ERTP:BotA,WCA2Areg
1/1/2020,10.5,10.5,10.5,10.75,10,10.5,11.48780488
1/2/2020,10.49337748,10.49337748,10.49337748,10.75,9.993377483,10.49337748,11.47154472
1/3/2020,10.48675497,10.48675497,10.48675497,10.75,9.986754967,10.48675497,11.45528455
1/4/2020,10.48013245,10.48013245,10.48013245,10.75,9.98013245,10.48013245,11.43902439
1/5/2020,10.47350993,10.47350993,10.47350993,10.75,9.973509934,10.47350993,11.42276423
1/6/2020,10.46688742,10.46688742,10.46688742,10.75,9.966887417,10.46688742,11.40650407
1/7/2020,10.4602649,10.4602649,10.4602649,10.75,9.960264901,10.4602649,11.3902439
1/8/2020,10.45364238,10.45364238,10.45364238,10.75,9.953642384,10.45364238,11.37398374
1/9/2020,10.44701987,10.44701987,10.44701987,10.75,9.947019868,10.44701987,11.35772358
1/10/2020,10.44039735,10.44039735,10.44039735,10.75,9.940397351,10.44039735,11.34146341
1/11/2020,10.43377483,10.43377483,10.43377483,10.75,9.933774834,10.43377483,11.32520325
1/12/2020,10.42715232,10.42715232,10.42715232,10.75,9.927152318,10.42715232,11.30894309
1/13/2020,10.4205298,10.4205298,10.4205298,10.75,9.920529801,10.4205298,11.29268293
1/14/2020,10.41390728,10.41390728,10.41390728,10.75,9.913907285,10.41390728,11.27642276
1/15/2020,10.40728477,10.40728477,10.40728477,10.75,9.907284768,10.40728477,11.2601626
1/16/2020,10.40066225,10.40066225,10.40066225,10.75,9.900662252,10.40066225,11.24390244
1/17/2020,10.39403974,10.39403974,10.39403974,10.75,9.894039735,10.39403974,11.22764228
1/18/2020,10.38741722,10.38741722,10.38741722,10.75,9.887417219,10.38741722,11.21138211
1/19/2020,10.3807947,10.3807947,10.3807947,10.75,9.880794702,10.3807947,11.19512195
1/20/2020,10.37417219,10.37417219,10.37417219,10.75,9.874172185,10.37417219,11.17886179
1/21/2020,10.36754967,10.36754967,10.36754967,10.75,9.867549669,10.36754967,11.16260163
1/22/2020,10.36092715,10.36092715,10.36092715,10.75,9.860927152,10.36092715,11.14634146
1/23/2020,10.35430464,10.35430464,10.35430464,10.75,9.854304636,10.35430464,11.1300813
1/24/2020,10.34768212,10.34768212,10.34768212,10.75,9.847682119,10.34768212,11.11382114
1/25/2020,10.3410596,10.3410596,10.3410596,10.75,9.841059603,10.3410596,11.09756098
1/26/2020,10.33443709,10.33443709,10.33443709,10.75,9.834437086,10.33443709,11.08130081
1/27/2020,10.32781457,10.32781457,10.32781457,10.75,9.82781457,10.32781457,11.06504065
1/28/2020,10.32119205,10.32119205,10.32119205,10.75,9.821192053,10.32119205,11.04878049
1/29/2020,10.31456954,10.31456954,10.31456954,10.75,9.814569536,10.31456954,11.03252033
1/30/2020,10.30794702,10.30794702,10.30794702,10.75,9.80794702,10.30794702,11.01626016
1/31/2020,10.3013245,10.3013245,10.3013245,10.75,9.801324503,10.3013245,11
2/1/2020,10.29,10.29470199,10.29470199,10.75,9.794701987,10.29470199,11
2/2/2020,9.79,10.28807947,10.28807947,10.75,9.78807947,10.28807947,11
2/3/2020,9.783312883,10.28145695,10.28145695,10.75,9.781456954,10.28145695,11
2/4/2020,9.776625767,10.27483444,10.27483444,10.75,9.774834437,10.27483444,11
2/5/2020,9.76993865,10.26821192,10.26821192,10.75,9.768211921,10.26821192,11
2/6/2020,9.763251534,10.2615894,10.2615894,10.75,9.761589404,10.2615894,11
2/7/2020,9.756564417,10.25496689,10.25496689,10.75,9.754966887,10.25496689,11
2/8/2020,9.749877301,10.24834437,10.24834437,10.75,9.748344371,10.24834437,11
2/9/2020,9.743190184,10.24172185,10.24172185,10.74336283,9.741721854,10.24172185,11
2/10/2020,9.736503067,10.23509934,10.23509934,10.73672566,9.735099338,10.23509934,11
2/11/2020,9.729815951,10.22847682,10.22847682,10.7300885,9.728476821,10.22847682,11
2/12/2020,9.723128834,10.2218543,10.2218543,10.72345133,9.721854305,10.2218543,11
2/13/2020,9.716441718,10.21523179,10.21523179,10.71681416,9.715231788,10.21523179,11
2/14/2020,9.709754601,10.20860927,10.20860927,10.71017699,9.708609272,10.20860927,11
2/15/2020,9.703067485,10.20198675,10.20198675,10.70353982,9.701986755,10.20198675,11
2/16/2020,9.696380368,10.19536424,10.19536424,10.69690265,9.695364238,10.19536424,11
2/17/2020,9.689693252,10.18874172,10.18874172,10.69026549,9.688741722,10.18874172,11
2/18/2020,9.683006135,10.18211921,10.18211921,10.68362832,9.682119205,10.18211921,11
2/19/2020,9.676319018,10.17549669,10.17549669,10.67699115,9.675496689,10.17549669,11
2/20/2020,9.669631902,10.16887417,10.16887417,10.67035398,9.668874172,10.16887417,11
2/21/2020,9.662944785,10.16225166,10.16225166,10.66371681,9.662251656,10.16225166,11
2/22/2020,9.656257669,10.15562914,10.15562914,10.65707965,9.655629139,10.15562914,11
2/23/2020,9.649570552,10.14900662,10.14900662,10.65044248,9.649006623,10.14900662,11
2/24/2020,9.642883436,10.14238411,10.14238411,10.64380531,9.642384106,10.14238411,11
2/25/2020,9.636196319,10.13576159,10.13576159,10.63716814,9.635761589,10.13576159,11
2/26/2020,9.629509202,10.12913907,10.12913907,10.63053097,9.629139073,10.12913907,11
2/27/2020,9.622822086,10.12251656,10.12251656,10.62389381,9.622516556,10.12251656,11
2/28/2020,9.616134969,10.11589404,10.11589404,10.61725664,9.61589404,10.11589404,11
2/29/2020,9.616134969,10.11589404,10.11589404,10.61725664,9.61589404,10.11589404,11
3/1/2020,9.609447853,10.10927152,10.10927152,10.61061947,9.609271523,10.10927152,11
3/2/2020,9.602760736,10.10264901,10.10264901,10.6039823,9.602649007,10.10264901,11
3/3/2020,9.59607362,10.09602649,10.09602649,10.59734513,9.59602649,10.09602649,11
3/4/2020,9.589386503,10.08940397,10.08940397,10.59070796,9.589403974,10.08940397,11
3/5/2020,9.582699387,10.08278146,10.08278146,10.5840708,9.582781457,10.08278146,11
3/6/2020,9.57601227,10.07615894,10.07615894,10.57743363,9.57615894,10.07615894,11
3/7/2020,9.569325153,10.06953642,10.06953642,10.57079646,9.569536424,10.06953642,11
3/8/2020,9.562638037,10.06291391,10.06291391,10.56415929,9.562913907,10.06291391,11
3/9/2020,9.55595092,10.05629139,10.05629139,10.55752212,9.556291391,10.05629139,11
3/10/2020,9.549263804,10.04966887,10.04966887,10.55088496,9.549668874,10.04966887,11
3/11/2020,9.542576687,10.04304636,10.04304636,10.54424779,9.543046358,10.04304636,11
3/12/2020,9.535889571,10.03642384,10.03642384,10.53761062,9.536423841,10.03642384,11
3/13/2020,9.529202454,10.02980132,10.02980132,10.53097345,9.529801325,10.02980132,11
3/14/2020,9.522515337,10.02317881,10.02317881,10.52433628,9.523178808,10.02317881,11
3/15/2020,9.515828221,10.01655629,10.01655629,10.51769912,9.516556291,10.01655629,11
3/16/2020,9.509141104,10.00993377,10.00993377,10.51106195,9.509933775,10.00993377,11
3/17/2020,9.502453988,10.00331126,10.00331126,10.50442478,9.503311258,10.00331126,11
3/18/2020,9.495766871,9.996688742,9.996688742,10.49778761,9.496688742,9.996688742,11
3/19/2020,9.489079755,9.990066225,9.990066225,10.49115044,9.490066225,9.990066225,11
3/20/2020,9.482392638,9.983443709,9.983443709,10.48451327,9.483443709,9.983443709,11
3/21/2020,9.475705521,9.976821192,9.976821192,10.47787611,9.476821192,9.976821192,11
3/22/2020,9.469018405,9.970198675,9.970198675,10.47123894,9.470198675,9.970198675,11
3/23/2020,9.462331288,9.963576159,9.963576159,10.46460177,9.463576159,9.963576159,11
3/24/2020,9.455644172,9.956953642,9.956953642,10.4579646,9.456953642,9.956953642,11
3/25/2020,9.448957055,9.950331126,9.950331126,10.45132743,9.450331126,9.950331126,11
3/26/2020,9.442269939,9.943708609,9.943708609,10.44469027,9.443708609,9.943708609,11
