Date,Day,WSM4,WSM3,WSM2,WSM1,D0,D1,D2,D3,C,C-b_NewTree,C-b_NoNewTree,B,A
1-Jan,1,9.15,10.5,11,12.15,12.15,12.15,13.625,14.5,16.875,15.875,16.375,16.875,17.25
1-Feb,32,9.12,10.5,10.9,11.99,11.99,11.99,13.47696629,14.29101124,16.72,15.72,16.22,16.72,17.25
15-Feb,46,9.11,10.5,10.85,11.91758621,11.92247191,11.92247191,13.41011236,14.19662921,16.65,15.65,16.15,16.65,17.25
31-Mar,90,9.1,10.5,10.7,11.7,11.7,11.7,13.2,13.9,16.43,15.43,15.93,16.43,17.25
15-Apr,105,8.95,10.5,10.65,11.3,11.32258065,11.32258065,12.81290323,13.46451613,16.355,15.355,15.855,16.355,17.06557377
1-May,121,8.8,10.5,10.6,10.92,10.92,10.92,12.4,13,16.275,15.275,15.775,16.275,16.86885246
15-May,135,8.65,10.5,10.55,10.71,10.73333333,10.73333333,12.21333333,12.76666667,16.205,15.205,15.705,16.205,16.69672131
31-May,151,8.5,10.48,10.49,10.52,10.52,10.52,12,12.5,16.125,15.125,15.625,16.125,16.5
1-Jun,152,8.5,10.48,10.49,10.52,10.52,10.52,14.5,14.5,16.125,15.125,15.625,16.125,16.5
15-Sep,258,9.19,10.5,11.8,12.6,12.67739837,12.67739837,14.5,15.36885246,16.6461039,15.6461039,16.1461039,16.6461039,17.0211039
1-Oct,274,9.35,10.5,12,13,13,13,14.5,15.5,16.72402597,15.72402597,16.22402597,16.72402597,17.09902597
1-Nov,305,9.3,10.5,11.7,12.8,12.8,12.8,15,15.5,16.875,15.875,16.375,16.875,17.25
30-Nov,334,9.25,10.5,11.4,12.4,12.4,12.4,14.33541667,15.01666667,16.875,15.875,16.375,16.875,17.25
31-Dec,366,9.2,10.5,11,12.15,12.15,12.15,13.625,14.5,16.875,15.875,16.375,16.875,17.25
