Date,C43RO
30-Dec-07,
31-Dec-07,
1-Jan-08,0
2-Jan-08,0
3-Jan-08,0
4-Jan-08,0
5-Jan-08,23
6-Jan-08,80
7-Jan-08,8.4
8-Jan-08,0
9-Jan-08,16
10-Jan-08,0
11-Jan-08,0
12-Jan-08,0
13-Jan-08,0
14-Jan-08,0
15-Jan-08,0
16-Jan-08,0
17-Jan-08,0
18-Jan-08,0
19-Jan-08,96
20-Jan-08,0
21-Jan-08,0
22-Jan-08,124
23-Jan-08,124
24-Jan-08,64
25-Jan-08,565
26-Jan-08,1114
27-Jan-08,952
28-Jan-08,38
29-Jan-08,0
30-Jan-08,0
31-Jan-08,0
1-Feb-08,0
2-Feb-08,0
3-Feb-08,126
4-Feb-08,0
5-Feb-08,0
6-Feb-08,0
7-Feb-08,0
8-Feb-08,0
9-Feb-08,0
10-Feb-08,0
11-Feb-08,0
12-Feb-08,100
13-Feb-08,312
14-Feb-08,300
15-Feb-08,912
16-Feb-08,478
17-Feb-08,450
18-Feb-08,410
19-Feb-08,176
20-Feb-08,116
21-Feb-08,72
22-Feb-08,200
23-Feb-08,418
24-Feb-08,340
25-Feb-08,152
26-Feb-08,196
27-Feb-08,152
28-Feb-08,0
29-Feb-08,0
1-Mar-08,96
2-Mar-08,68
3-Mar-08,40
4-Mar-08,100
5-Mar-08,32
6-Mar-08,0
7-Mar-08,0
8-Mar-08,0
9-Mar-08,208
10-Mar-08,202
11-Mar-08,241
12-Mar-08,157
13-Mar-08,306
14-Mar-08,0
15-Mar-08,144
16-Mar-08,238
17-Mar-08,134
18-Mar-08,92
19-Mar-08,114.1
20-Mar-08,28
21-Mar-08,0
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,19
27-Mar-08,104
28-Mar-08,96
29-Mar-08,96
30-Mar-08,94
31-Mar-08,76
1-Apr-08,74
2-Apr-08,66
3-Apr-08,442
4-Apr-08,216
5-Apr-08,86
6-Apr-08,86
7-Apr-08,952
8-Apr-08,1304
9-Apr-08,682
10-Apr-08,1016
11-Apr-08,776
12-Apr-08,642
13-Apr-08,465
14-Apr-08,412
15-Apr-08,166
16-Apr-08,9.6
17-Apr-08,0
18-Apr-08,0
19-Apr-08,0
20-Apr-08,0
21-Apr-08,0
22-Apr-08,0
23-Apr-08,0
24-Apr-08,0
25-Apr-08,0
26-Apr-08,0
27-Apr-08,0
28-Apr-08,0
29-Apr-08,0
30-Apr-08,0
1-May-08,0
2-May-08,0
3-May-08,0
4-May-08,0
5-May-08,0
6-May-08,0
7-May-08,0
8-May-08,0
9-May-08,0
10-May-08,0
11-May-08,0
12-May-08,0
13-May-08,348
14-May-08,0
15-May-08,0
16-May-08,0
17-May-08,0
18-May-08,0
19-May-08,0
20-May-08,0
21-May-08,0
22-May-08,0
23-May-08,0
24-May-08,0
25-May-08,0
26-May-08,0
27-May-08,0
28-May-08,0
29-May-08,0
30-May-08,0
31-May-08,0
1-Jun-08,0
2-Jun-08,0
3-Jun-08,0
4-Jun-08,0
5-Jun-08,0
6-Jun-08,0
7-Jun-08,0
8-Jun-08,0
9-Jun-08,14
10-Jun-08,47
11-Jun-08,493
12-Jun-08,0
13-Jun-08,0
14-Jun-08,0
15-Jun-08,0
16-Jun-08,186
17-Jun-08,479
18-Jun-08,69
19-Jun-08,78
20-Jun-08,40
21-Jun-08,594
22-Jun-08,402
23-Jun-08,959
24-Jun-08,1599
25-Jun-08,1565
26-Jun-08,1394
27-Jun-08,2048
28-Jun-08,2349
29-Jun-08,1982
30-Jun-08,1684
1-Jul-08,1447
2-Jul-08,1695
3-Jul-08,1591
4-Jul-08,1200
5-Jul-08,1205
6-Jul-08,1518
7-Jul-08,1080
8-Jul-08,1954
9-Jul-08,2503
10-Jul-08,1021
11-Jul-08,572
12-Jul-08,984
13-Jul-08,2499
14-Jul-08,3919
15-Jul-08,3485
16-Jul-08,4542
17-Jul-08,3954
18-Jul-08,2762
19-Jul-08,2674
20-Jul-08,2310
21-Jul-08,2169
22-Jul-08,1317
23-Jul-08,2251
24-Jul-08,1580
25-Jul-08,2324
26-Jul-08,1041
27-Jul-08,1952
28-Jul-08,1835
29-Jul-08,1853
30-Jul-08,1299
31-Jul-08,1732
1-Aug-08,1189
2-Aug-08,1191
3-Aug-08,1203
4-Aug-08,1447
5-Aug-08,1338
6-Aug-08,1224
7-Aug-08,1298
8-Aug-08,1003
9-Aug-08,1301
10-Aug-08,1185
11-Aug-08,770
12-Aug-08,1057
13-Aug-08,954
14-Aug-08,957
15-Aug-08,962
16-Aug-08,822
17-Aug-08,949
18-Aug-08,2985
19-Aug-08,11040
20-Aug-08,18139
21-Aug-08,14160
22-Aug-08,12739
23-Aug-08,16053
24-Aug-08,10960
25-Aug-08,13556
26-Aug-08,13472
27-Aug-08,11592
28-Aug-08,11254
29-Aug-08,9118
30-Aug-08,7678
31-Aug-08,12538
1-Sep-08,6528
2-Sep-08,5072
3-Sep-08,4954
4-Sep-08,3981
5-Sep-08,3373
6-Sep-08,4287
7-Sep-08,3633
8-Sep-08,3434
9-Sep-08,4067
10-Sep-08,254
11-Sep-08,2456
12-Sep-08,2348
13-Sep-08,1480
14-Sep-08,1680
15-Sep-08,662
16-Sep-08,1370
17-Sep-08,973
18-Sep-08,1247
