Year,1,2,3,4,5,6,7,8,9,10,11,12
2008,0.97,0.98,1.02,0.98,2,1.29,2.16,1.65,1.33,2.06,1.79,1.84
2009,1.74,1.76,1.72,1.1,2.06,2.08,2.22,2.19,1.81,2.06,2.78,2.74
2010,2.47,2.06,1.88,1.48,1.57,1.11,1.41,1.35,1.03,1.78,1.57,1.52
2011,1.46,1.5,1.84,2.14,2.06,2.08,1.8,1.51,1.24,1.88,1.94,1.68
2012,1.74,1.81,1.86,2.06,2.55,2.08,1.88,1.61,2,2.9,2.78,1.9
2013,1.52,1.43,1.3,1.53,1.67,1.69,1.54,1.34,1.07,1.6,1.68,1.58
2014,1.52,1.43,1.3,1.53,1.67,1.69,1.54,1.34,1.07,1.6,1.68,1.58
2015,1.52,1.43,1.3,1.53,2.99,3.01,2.68,2.55,2.37,3.52,3.11,3.23
2016,1.52,3.42,1.3,2.53,2.4,3.17,2.47,1.77,1.53,2.58,2.59,2.43
2017,2.53,2.36,1.3,1.99,2.8,3.64,2.43,2.19,2.3,2.18,3.76,2.57
2018,2.53,2.28,1.3,2.24,2.61,3.22,3.09,2.56,2.32,3.02,3.08,2.98
