Date,Netflows_acft
30-Dec-07,284.8107652
31-Dec-07,354.7688102
1-Jan-08,324.0840652
2-Jan-08,422.7235203
3-Jan-08,200.2343251
4-Jan-08,-23.80200001
5-Jan-08,223.6594601
6-Jan-08,299.1316352
7-Jan-08,233.3984452
8-Jan-08,146.9971851
9-Jan-08,243.5738002
10-Jan-08,282.6090802
11-Jan-08,218.7998851
12-Jan-08,485.7393153
13-Jan-08,304.4275802
14-Jan-08,313.0558052
15-Jan-08,209.4774351
16-Jan-08,165.6420851
17-Jan-08,169.609085
18-Jan-08,218.5221951
19-Jan-08,477.6069653
20-Jan-08,521.1447903
21-Jan-08,719.6534704
22-Jan-08,471.6366303
23-Jan-08,362.7821502
24-Jan-08,487.7228152
25-Jan-08,411.0407053
26-Jan-08,316.0707252
27-Jan-08,292.1497152
28-Jan-08,240.0035002
29-Jan-08,127.519215
30-Jan-08,57.87853006
31-Jan-08,166.5941651
1-Feb-08,178.2769802
2-Feb-08,355.3440252
3-Feb-08,239.8051502
4-Feb-08,255.2169452
5-Feb-08,235.4216151
6-Feb-08,191.3482451
7-Feb-08,224.7305502
8-Feb-08,-40.26505004
9-Feb-08,264.1426951
10-Feb-08,262.0798552
11-Feb-08,553.6146853
12-Feb-08,699.4416054
13-Feb-08,3156.998107
14-Feb-08,4641.885876
15-Feb-08,2194.623741
16-Feb-08,833.9030705
17-Feb-08,1517.079976
18-Feb-08,1801.970081
19-Feb-08,1757.876876
20-Feb-08,1602.092786
21-Feb-08,1534.356261
22-Feb-08,1971.618836
23-Feb-08,1819.206696
24-Feb-08,1741.354321
25-Feb-08,1835.074696
26-Feb-08,1626.747691
27-Feb-08,1383.848281
28-Feb-08,1482.943941
29-Feb-08,1611.355731
1-Mar-08,1558.554961
2-Mar-08,1631.924626
3-Mar-08,1342.353461
4-Mar-08,1271.820201
5-Mar-08,1555.341691
6-Mar-08,2131.469101
7-Mar-08,3117.367777
8-Mar-08,3414.238222
9-Mar-08,2468.307071
10-Mar-08,2631.529286
11-Mar-08,2422.746076
12-Mar-08,3577.202582
13-Mar-08,2636.269852
14-Mar-08,2867.248427
15-Mar-08,3002.939662
16-Mar-08,3454.225582
17-Mar-08,3384.902257
18-Mar-08,3174.571917
19-Mar-08,3301.932452
20-Mar-08,3323.750952
21-Mar-08,3672.529592
22-Mar-08,3721.720392
23-Mar-08,4160.668943
24-Mar-08,3698.810967
25-Mar-08,3476.976327
26-Mar-08,3526.424982
27-Mar-08,4115.405473
28-Mar-08,3862.330707
29-Mar-08,3954.464282
30-Mar-08,3971.224857
31-Mar-08,3887.402148
1-Apr-08,3775.572418
2-Apr-08,5002.803537
3-Apr-08,4981.679263
4-Apr-08,4631.432833
5-Apr-08,4451.747568
6-Apr-08,4930.762818
7-Apr-08,9174.104039
8-Apr-08,7666.822554
9-Apr-08,5517.422613
10-Apr-08,5214.681008
11-Apr-08,5967.419259
12-Apr-08,5042.691723
13-Apr-08,5111.162143
14-Apr-08,4823.653818
15-Apr-08,4541.104243
16-Apr-08,3621.791663
17-Apr-08,3697.720042
18-Apr-08,3831.467447
19-Apr-08,3623.675987
20-Apr-08,2964.777122
21-Apr-08,2484.313916
22-Apr-08,2186.253371
23-Apr-08,1862.010626
24-Apr-08,1766.663781
25-Apr-08,1739.886531
26-Apr-08,1635.514761
27-Apr-08,1629.683271
28-Apr-08,891.9402802
29-Apr-08,1083.506711
30-Apr-08,921.9308006
1-May-08,822.2995956
2-May-08,832.9509904
3-May-08,1018.84461
4-May-08,1005.99153
5-May-08,859.4108806
6-May-08,881.1103706
7-May-08,1265.453166
8-May-08,691.7654607
9-May-08,510.4140553
10-May-08,1063.770886
11-May-08,1580.631316
12-May-08,697.8349704
13-May-08,688.1356556
14-May-08,641.9399406
15-May-08,222.7668852
16-May-08,363.3375302
17-May-08,544.2525653
18-May-08,717.2534354
19-May-08,718.2848553
20-May-08,617.1660254
21-May-08,722.6683905
22-May-08,348.0249102
23-May-08,101.7337151
24-May-08,386.6238203
25-May-08,338.6231202
26-May-08,422.2474803
27-May-08,-43.39898007
28-May-08,127.9952551
29-May-08,-40.30472003
30-May-08,-175.7381001
31-May-08,104.5304501
1-Jun-08,407.3117253
2-Jun-08,392.3561352
3-Jun-08,-27.51114501
4-Jun-08,-77.35650005
5-Jun-08,66.18939501
6-Jun-08,349.3340202
7-Jun-08,12.29769997
8-Jun-08,110.08425
9-Jun-08,-8.330699982
10-Jun-08,-80.03422507
11-Jun-08,588.7424704
12-Jun-08,135.3540401
13-Jun-08,-21.67965502
14-Jun-08,409.9101102
15-Jun-08,580.6101204
16-Jun-08,203.0707302
17-Jun-08,873.6325756
18-Jun-08,108.6958001
19-Jun-08,790.4247504
20-Jun-08,818.2532552
21-Jun-08,968.0273404
22-Jun-08,641.9201053
23-Jun-08,2003.434176
24-Jun-08,1472.570236
25-Jun-08,1618.238476
26-Jun-08,2370.500686
27-Jun-08,3022.715156
28-Jun-08,3113.559456
29-Jun-08,2794.354801
30-Jun-08,3630.638071
1-Jul-08,3361.655637
2-Jul-08,4359.494981
3-Jul-08,7214.148183
4-Jul-08,6867.392713
5-Jul-08,5505.719963
6-Jul-08,4764.565352
7-Jul-08,7444.611048
8-Jul-08,6859.121517
9-Jul-08,6040.769087
10-Jul-08,4516.528677
11-Jul-08,3959.760227
12-Jul-08,3967.198352
13-Jul-08,7155.337407
14-Jul-08,7376.735678
15-Jul-08,8538.055093
16-Jul-08,10295.23774
17-Jul-08,11129.22015
18-Jul-08,10891.21999
19-Jul-08,9550.433493
20-Jul-08,9375.250774
21-Jul-08,9616.047674
22-Jul-08,10583.91633
23-Jul-08,14083.76242
24-Jul-08,15626.09235
25-Jul-08,15513.84608
26-Jul-08,14931.07395
27-Jul-08,14353.61759
28-Jul-08,13877.49825
29-Jul-08,12610.20043
30-Jul-08,13334.65397
31-Jul-08,10691.56088
1-Aug-08,10959.27388
2-Aug-08,11211.09904
3-Aug-08,11751.10691
4-Aug-08,11352.44325
5-Aug-08,12447.95013
6-Aug-08,11074.93176
7-Aug-08,9689.457009
8-Aug-08,11210.96019
9-Aug-08,9839.984825
10-Aug-08,10026.41399
11-Aug-08,7845.615243
12-Aug-08,6308.680433
13-Aug-08,5843.688528
14-Aug-08,4871.872703
15-Aug-08,5894.922333
16-Aug-08,4858.206388
17-Aug-08,5215.910778
18-Aug-08,7125.188208
