Date,LOSA_dmd,,I used data from 2001-2010 to fill 2011-2020!
30-Dec-07,,,
31-Dec-07,,,
1-Jan-08,947.12,,
2-Jan-08,2937.48,,
3-Jan-08,1659.86,,
4-Jan-08,1479.63,,
5-Jan-08,1641.73,,
6-Jan-08,2027.78,,
7-Jan-08,1950.04,,
8-Jan-08,2652.09,,
9-Jan-08,2387.32,,
10-Jan-08,2560.49,,
11-Jan-08,2450.23,,
12-Jan-08,1091.6,,
13-Jan-08,1532.68,,
14-Jan-08,3426.25,,
15-Jan-08,3354.2,,
16-Jan-08,2210.91,,
17-Jan-08,699.22,,
18-Jan-08,300.91,,
19-Jan-08,142.95,,
20-Jan-08,33.96,,
21-Jan-08,1032.14,,
22-Jan-08,669.89,,
23-Jan-08,125.76,,
24-Jan-08,926.7,,
25-Jan-08,851.91,,
26-Jan-08,614.32,,
27-Jan-08,634.02,,
28-Jan-08,896.15,,
29-Jan-08,1672.3,,
30-Jan-08,1946.88,,
31-Jan-08,2356.86,,
1-Feb-08,2563.89,,
2-Feb-08,3101.95,,
3-Feb-08,3552.41,,
4-Feb-08,3967.69,,
5-Feb-08,3872.78,,
6-Feb-08,3718.06,,
7-Feb-08,3329.61,,
8-Feb-08,1950.6,,
9-Feb-08,130.2,,
10-Feb-08,1692,,
11-Feb-08,1508.63,,
12-Feb-08,75.46,,
13-Feb-08,0,,
14-Feb-08,0.33,,
15-Feb-08,0.32,,
16-Feb-08,0.31,,
17-Feb-08,93.3,,
18-Feb-08,88.74,,
19-Feb-08,52.46,,
20-Feb-08,67.01,,
21-Feb-08,0,,
22-Feb-08,98.8,,
23-Feb-08,80.85,,
24-Feb-08,175.19,,
25-Feb-08,320.26,,
26-Feb-08,230.71,,
27-Feb-08,87.21,,
28-Feb-08,120.87,,
29-Feb-08,368.7,,
1-Mar-08,959.53,,
2-Mar-08,1505.33,,
3-Mar-08,1229.24,,
4-Mar-08,749.72,,
5-Mar-08,278.24,,
6-Mar-08,32.9,,
7-Mar-08,0,,
8-Mar-08,0,,
9-Mar-08,38.48,,
10-Mar-08,54.28,,
11-Mar-08,0,,
12-Mar-08,0.29,,
13-Mar-08,100.36,,
14-Mar-08,88.45,,
15-Mar-08,108.49,,
16-Mar-08,153.09,,
17-Mar-08,159.32,,
18-Mar-08,613.16,,
19-Mar-08,2004.81,,
20-Mar-08,1136.03,,
21-Mar-08,1958.44,,
22-Mar-08,118.73,,
23-Mar-08,0,,
24-Mar-08,97.94,,
25-Mar-08,127.48,,
26-Mar-08,143.91,,
27-Mar-08,233.66,,
28-Mar-08,253.33,,
29-Mar-08,416.28,,
30-Mar-08,496.11,,
31-Mar-08,1059.9,,
1-Apr-08,1153.59,,
2-Apr-08,555.46,,
3-Apr-08,1634.48,,
4-Apr-08,2489.69,,
5-Apr-08,2521.2,,
6-Apr-08,349.33,,
7-Apr-08,0,,
8-Apr-08,0,,
9-Apr-08,0,,
10-Apr-08,117.04,,
11-Apr-08,121.86,,
12-Apr-08,114.47,,
13-Apr-08,0.91,,
14-Apr-08,125.35,,
15-Apr-08,138.87,,
16-Apr-08,259.11,,
17-Apr-08,668.79,,
18-Apr-08,2240.98,,
19-Apr-08,3317.7,,
20-Apr-08,1673.62,,
21-Apr-08,4047.86,,
22-Apr-08,4694.29,,
23-Apr-08,5148.01,,
24-Apr-08,4726.18,,
25-Apr-08,6401.38,,
26-Apr-08,7250.07,,
27-Apr-08,6626.22,,
28-Apr-08,5556.12,,
29-Apr-08,5232.94,,
30-Apr-08,6788.62,,
1-May-08,8564.24,,
2-May-08,7863.39,,
3-May-08,6754.32,,
4-May-08,5888.75,,
5-May-08,7755.91,,
6-May-08,9472.58,,
7-May-08,8759.24,,
8-May-08,5563.86,,
9-May-08,6981.25,,
10-May-08,9798.7,,
11-May-08,9630.72,,
12-May-08,11096.73,,
13-May-08,10583.75,,
14-May-08,10153.16,,
15-May-08,10004.32,,
16-May-08,10068.62,,
17-May-08,11216.43,,
18-May-08,11676.12,,
19-May-08,7572.47,,
20-May-08,8077.28,,
21-May-08,8736.01,,
22-May-08,515.46,,
23-May-08,725.47,,
24-May-08,1056.59,,
25-May-08,5747.07,,
26-May-08,6354.57,,
27-May-08,5865.19,,
28-May-08,5186.7,,
29-May-08,7316.23,,
30-May-08,7144.09,,
31-May-08,5965.52,,
1-Jun-08,8904.39,,
2-Jun-08,3109,,
3-Jun-08,5192.72,,
4-Jun-08,8541.34,,
5-Jun-08,9488.3,,
6-Jun-08,10406.6,,
7-Jun-08,11274.76,,
8-Jun-08,9774.86,,
9-Jun-08,213.7,,
10-Jun-08,458.54,,
11-Jun-08,3583.08,,
12-Jun-08,1465.79,,
13-Jun-08,3720.39,,
14-Jun-08,3468.96,,
15-Jun-08,754.76,,
16-Jun-08,41.84,,
17-Jun-08,850.68,,
18-Jun-08,3.32,,
19-Jun-08,79.1,,
20-Jun-08,1043.94,,
21-Jun-08,0,,
22-Jun-08,0,,
23-Jun-08,0,,
24-Jun-08,726.76,,
25-Jun-08,554.31,,
26-Jun-08,0,,
27-Jun-08,72.55,,
28-Jun-08,469.27,,
29-Jun-08,1360.57,,
30-Jun-08,0,,
1-Jul-08,0,,
2-Jul-08,0,,
3-Jul-08,0,,
4-Jul-08,0,,
5-Jul-08,0.28,,
