Date,TP_Loads_In_mg,Atm_Loading_mg
10/1/2007,234605701.2,95890410.96
10/2/2007,306437404,95890410.96
10/3/2007,315962901.1,95890410.96
10/4/2007,284895599.8,95890410.96
10/5/2007,244256561,95890410.96
10/6/2007,306572014.5,95890410.96
10/7/2007,287292901.3,95890410.96
10/8/2007,265511675.4,95890410.96
10/9/2007,271329729.9,95890410.96
10/10/2007,246943634.9,95890410.96
10/11/2007,246280857.6,95890410.96
10/12/2007,237581520,95890410.96
10/13/2007,240803953.6,95890410.96
10/14/2007,228657146.3,95890410.96
10/15/2007,202539609.9,95890410.96
10/16/2007,202095703.2,95890410.96
10/17/2007,197513805.5,95890410.96
10/18/2007,186929919.6,95890410.96
10/19/2007,166395126,95890410.96
10/20/2007,219289893.6,95890410.96
10/21/2007,228626319.5,95890410.96
10/22/2007,203745967.3,95890410.96
10/23/2007,181073845.3,95890410.96
10/24/2007,197299045,95890410.96
10/25/2007,203584640.1,95890410.96
10/26/2007,202011443.1,95890410.96
10/27/2007,202276554.1,95890410.96
10/28/2007,188066402.9,95890410.96
10/29/2007,190076313.7,95890410.96
10/30/2007,197248694.5,95890410.96
10/31/2007,195357980.9,95890410.96
11/1/2007,141865172.4,95890410.96
11/2/2007,202707102.4,95890410.96
11/3/2007,184560362.3,95890410.96
11/4/2007,193107620.8,95890410.96
11/5/2007,154101377.5,95890410.96
11/6/2007,159821813.6,95890410.96
11/7/2007,255106585.3,95890410.96
11/8/2007,228634540,95890410.96
11/9/2007,185160458.3,95890410.96
11/10/2007,156371261.3,95890410.96
11/11/2007,152840559.2,95890410.96
11/12/2007,136544457.8,95890410.96
11/13/2007,139016771.3,95890410.96
11/14/2007,140449192.3,95890410.96
11/15/2007,124248654.1,95890410.96
11/16/2007,115900742.6,95890410.96
11/17/2007,118843679.4,95890410.96
11/18/2007,146296018.6,95890410.96
11/19/2007,155624224,95890410.96
11/20/2007,108701645.1,95890410.96
11/21/2007,56878624.42,95890410.96
11/22/2007,48183397.07,95890410.96
11/23/2007,28199376.55,95890410.96
11/24/2007,49130808.98,95890410.96
11/25/2007,42722934.04,95890410.96
11/26/2007,24368626.42,95890410.96
11/27/2007,57080026.52,95890410.96
11/28/2007,83264354.53,95890410.96
11/29/2007,61839692.44,95890410.96
11/30/2007,32316816.41,95890410.96
12/1/2007,42138251.42,95890410.96
12/2/2007,34461337.73,95890410.96
12/3/2007,31875992.42,95890410.96
12/4/2007,51426381.89,95890410.96
12/5/2007,76384828.75,95890410.96
12/6/2007,89395815.37,95890410.96
12/7/2007,89918844.28,95890410.96
12/8/2007,81113667.82,95890410.96
12/9/2007,69676905.78,95890410.96
12/10/2007,52264872.25,95890410.96
12/11/2007,56638174.97,95890410.96
12/12/2007,37458735.3,95890410.96
12/13/2007,46437569.69,95890410.96
12/14/2007,70082792.66,95890410.96
12/15/2007,140236487.1,95890410.96
12/16/2007,202718405.6,95890410.96
12/17/2007,214568247.5,95890410.96
12/18/2007,195627202.1,95890410.96
12/19/2007,169892946.2,95890410.96
12/20/2007,130142748.2,95890410.96
12/21/2007,108445782.3,95890410.96
12/22/2007,93542026.93,95890410.96
12/23/2007,123585876.8,95890410.96
12/24/2007,130034854.2,95890410.96
12/25/2007,208308341.4,95890410.96
12/26/2007,196200581.6,95890410.96
12/27/2007,247752326,95890410.96
12/28/2007,179680471.6,95890410.96
12/29/2007,151571520.5,95890410.96
12/30/2007,126142450.4,95890410.96
12/31/2007,110551256.2,95890410.96
1/1/2008,60666216.95,95890410.96
1/2/2008,73380238.26,95890410.96
1/3/2008,57743831.41,95890410.96
1/4/2008,41821762.42,95890410.96
1/5/2008,46143687.04,95890410.96
1/6/2008,42161885.34,95890410.96
1/7/2008,28429550.38,95890410.96
1/8/2008,25803102.6,95890410.96
1/9/2008,25771248.18,95890410.96
1/10/2008,23991511.27,95890410.96
1/11/2008,23974042.72,95890410.96
1/12/2008,92078779.06,95890410.96
1/13/2008,154943978.1,95890410.96
1/14/2008,117021812.5,95890410.96
1/15/2008,63771508.51,95890410.96
1/16/2008,65097063.13,95890410.96
1/17/2008,61500597.09,95890410.96
1/18/2008,57355413.08,95890410.96
1/19/2008,68311276.22,95890410.96
1/20/2008,63271085.94,95890410.96
1/21/2008,80131318.82,95890410.96
1/22/2008,79202403.02,95890410.96
1/23/2008,81475369.55,95890410.96
1/24/2008,143230801.9,95890410.96
1/25/2008,135836467.7,95890410.96
1/26/2008,94201721.59,95890410.96
1/27/2008,39179901.2,95890410.96
1/28/2008,38122540.17,95890410.96
1/29/2008,32295237.6,95890410.96
1/30/2008,14301604.15,95890410.96
1/31/2008,29489994.08,95890410.96
2/1/2008,21052684.72,95890410.96
2/2/2008,23484923.34,95890410.96
2/3/2008,16533468.23,95890410.96
2/4/2008,29559868.28,95890410.96
2/5/2008,38090685.76,95890410.96
2/6/2008,45568252.47,95890410.96
2/7/2008,48120715.8,95890410.96
2/8/2008,41482667.01,95890410.96
2/9/2008,41130213.36,95890410.96
2/10/2008,22249794.14,95890410.96
2/11/2008,33818084.09,95890410.96
2/12/2008,24623461.73,95890410.96
2/13/2008,101639213.4,95890410.96
2/14/2008,108657460,95890410.96
2/15/2008,70988074.54,95890410.96
2/16/2008,43529570,95890410.96
2/17/2008,75921398.42,95890410.96
2/18/2008,90988536.04,95890410.96
2/19/2008,90512774.96,95890410.96
2/20/2008,81455845.89,95890410.96
2/21/2008,84420361.48,95890410.96
2/22/2008,96180805.47,95890410.96
2/23/2008,108116962.5,95890410.96
2/24/2008,110043640.8,95890410.96
2/25/2008,99793712.52,95890410.96
2/26/2008,83760666.83,95890410.96
2/27/2008,77959053.3,95890410.96
2/28/2008,85558899.86,95890410.96
2/29/2008,93444408.59,95890410.96
3/1/2008,84272392.58,95890410.96
3/2/2008,86926584.52,95890410.96
3/3/2008,71728946.56,95890410.96
3/4/2008,76039568.01,95890410.96
3/5/2008,83041373.63,95890410.96
3/6/2008,111449345.2,95890410.96
3/7/2008,188727125.1,95890410.96
3/8/2008,287030873.1,95890410.96
3/9/2008,195403193.7,95890410.96
3/10/2008,209181768.9,95890410.96
3/11/2008,161270675.7,95890410.96
3/12/2008,203609301.6,95890410.96
3/13/2008,151986655.5,95890410.96
3/14/2008,161280951.3,95890410.96
3/15/2008,173448309.8,95890410.96
3/16/2008,210976919.2,95890410.96
3/17/2008,188509282,95890410.96
3/18/2008,172269696.4,95890410.96
3/19/2008,191198411,95890410.96
3/20/2008,192176649.8,95890410.96
3/21/2008,197963877.5,95890410.96
3/22/2008,197121276.9,95890410.96
3/23/2008,238562841.5,95890410.96
3/24/2008,196242711.6,95890410.96
3/25/2008,182181556.9,95890410.96
3/26/2008,185359805.3,95890410.96
3/27/2008,211145439.4,95890410.96
3/28/2008,202658807,95890410.96
3/29/2008,205356156.5,95890410.96
3/30/2008,210149732,95890410.96
3/31/2008,203752132.7,95890410.96
4/1/2008,203918597.7,95890410.96
4/2/2008,267804165.6,95890410.96
4/3/2008,257317898.1,95890410.96
4/4/2008,244146611.9,95890410.96
4/5/2008,234118636.9,95890410.96
4/6/2008,263661036.7,95890410.96
4/7/2008,480612199.8,95890410.96
4/8/2008,397902728.6,95890410.96
4/9/2008,281311464.5,95890410.96
4/10/2008,270868354.6,95890410.96
4/11/2008,320550964.3,95890410.96
4/12/2008,267918225,95890410.96
4/13/2008,303864389.4,95890410.96
4/14/2008,276282577.4,95890410.96
4/15/2008,240083632.8,95890410.96
4/16/2008,206022016.6,95890410.96
4/17/2008,209647254.4,95890410.96
4/18/2008,228187550.6,95890410.96
4/19/2008,193172357.1,95890410.96
4/20/2008,162634250.1,95890410.96
4/21/2008,141134576,95890410.96
4/22/2008,135866267,95890410.96
4/23/2008,117630129,95890410.96
4/24/2008,104604756.5,95890410.96
4/25/2008,101541595,95890410.96
4/26/2008,87688007.78,95890410.96
4/27/2008,90396660.5,95890410.96
4/28/2008,50934179.8,95890410.96
4/29/2008,67743034.61,95890410.96
4/30/2008,60811103.17,95890410.96
5/1/2008,56677222.33,95890410.96
5/2/2008,58153828.53,95890410.96
5/3/2008,58433325.31,95890410.96
5/4/2008,63264920.57,95890410.96
5/5/2008,63223818.11,95890410.96
5/6/2008,52746798.71,95890410.96
5/7/2008,86211401.58,95890410.96
5/8/2008,91942113.35,95890410.96
5/9/2008,60762807.77,95890410.96
5/10/2008,63329656.98,95890410.96
5/11/2008,83118440.77,95890410.96
5/12/2008,51154078.03,95890410.96
5/13/2008,45822060.22,95890410.96
5/14/2008,49491483.16,95890410.96
5/15/2008,26851215.56,95890410.96
5/16/2008,36188669,95890410.96
5/17/2008,41348056.44,95890410.96
5/18/2008,44761616.51,95890410.96
5/19/2008,45534342.92,95890410.96
5/20/2008,50263182.01,95890410.96
5/21/2008,46583483.46,95890410.96
5/22/2008,30976875.9,95890410.96
5/23/2008,16368030.8,95890410.96
5/24/2008,24048027.16,95890410.96
5/25/2008,24667646.88,95890410.96
5/26/2008,23827101.39,95890410.96
5/27/2008,5972188.77,95890410.96
5/28/2008,19886402.16,95890410.96
5/29/2008,10139979.15,95890410.96
5/30/2008,8775377.174,95890410.96
5/31/2008,17848747.25,95890410.96
6/1/2008,71657017.22,95890410.96
6/2/2008,32348670.81,95890410.96
6/3/2008,8644876.832,95890410.96
6/4/2008,13152790.14,95890410.96
6/5/2008,14732152.52,95890410.96
6/6/2008,29503352.38,95890410.96
6/7/2008,13892634.58,95890410.96
6/8/2008,19266782.43,95890410.96
6/9/2008,21866513.61,95890410.96
6/10/2008,6540430.407,95890410.96
6/11/2008,36562701.47,95890410.96
6/12/2008,15027062.74,95890410.96
6/13/2008,5042245.407,95890410.96
6/14/2008,21595237.31,95890410.96
6/15/2008,28742956.71,95890410.96
6/16/2008,8670565.88,95890410.96
6/17/2008,44231394.66,95890410.96
6/18/2008,7706712.974,95890410.96
6/19/2008,40968886.16,95890410.96
6/20/2008,41372717.91,95890410.96
6/21/2008,50765659.7,95890410.96
6/22/2008,29041977.17,95890410.96
6/23/2008,91869156.45,95890410.96
6/24/2008,61593077.64,95890410.96
6/25/2008,75202105.19,95890410.96
6/26/2008,113762386.7,95890410.96
6/27/2008,134192369,95890410.96
6/28/2008,146091533.8,95890410.96
6/29/2008,133973498.3,95890410.96
6/30/2008,190347589.9,95890410.96
7/1/2008,177622265.5,95890410.96
7/2/2008,231316476.1,95890410.96
7/3/2008,366673072.5,95890410.96
7/4/2008,352404350.4,95890410.96
7/5/2008,281287830.6,95890410.96
7/6/2008,236537517.3,95890410.96
7/7/2008,351708691.1,95890410.96
7/8/2008,335045750,95890410.96
7/9/2008,298209717.1,95890410.96
7/10/2008,224424619.6,95890410.96
7/11/2008,200102233.4,95890410.96
7/12/2008,207474988.9,95890410.96
7/13/2008,377364852.3,95890410.96
7/14/2008,387806934.6,95890410.96
7/15/2008,448082678.1,95890410.96
7/16/2008,541851796.2,95890410.96
7/17/2008,576693331.8,95890410.96
7/18/2008,573104058.7,95890410.96
7/19/2008,509754878,95890410.96
7/20/2008,492581238.8,95890410.96
7/21/2008,506134778,95890410.96
7/22/2008,548319269.7,95890410.96
7/23/2008,722452963.1,95890410.96
7/24/2008,805941326.1,95890410.96
7/25/2008,807416904.8,95890410.96
7/26/2008,778507483.1,95890410.96
7/27/2008,747286047.5,95890410.96
7/28/2008,722138529.3,95890410.96
7/29/2008,656678736.8,95890410.96
7/30/2008,695323278.3,95890410.96
7/31/2008,557231312.6,95890410.96
8/1/2008,563981365.6,95890410.96
8/2/2008,585844796.6,95890410.96
8/3/2008,617179263.9,95890410.96
8/4/2008,589309734.7,95890410.96
8/5/2008,635600363.1,95890410.96
8/6/2008,583141281.6,95890410.96
8/7/2008,501463482.4,95890410.96
8/8/2008,580265136.3,95890410.96
8/9/2008,516690919.7,95890410.96
8/10/2008,524766527.3,95890410.96
8/11/2008,404904534.2,95890410.96
8/12/2008,318463986.4,95890410.96
8/13/2008,303433841,95890410.96
8/14/2008,251690970.1,95890410.96
8/15/2008,314123565.7,95890410.96
8/16/2008,268040504.8,95890410.96
8/17/2008,283365560.4,95890410.96
8/18/2008,369945856.6,95890410.96
8/19/2008,1787304908,95890410.96
8/20/2008,3335499284,95890410.96
8/21/2008,3698696115,95890410.96
8/22/2008,4006216569,95890410.96
8/23/2008,3889888361,95890410.96
8/24/2008,3890917978,95890410.96
8/25/2008,3540185471,95890410.96
8/26/2008,3322262234,95890410.96
8/27/2008,2775006491,95890410.96
8/28/2008,2942212363,95890410.96
8/29/2008,2832049525,95890410.96
8/30/2008,2555930330,95890410.96
8/31/2008,2421707134,95890410.96
9/1/2008,2159414810,95890410.96
9/2/2008,1860071692,95890410.96
9/3/2008,1628978197,95890410.96
9/4/2008,1449169280,95890410.96
9/5/2008,1517583312,95890410.96
9/6/2008,1499749979,95890410.96
9/7/2008,1193077263,95890410.96
9/8/2008,1111198062,95890410.96
9/9/2008,1059483963,95890410.96
9/10/2008,841944006.6,95890410.96
9/11/2008,709532402,95890410.96
9/12/2008,654577373.2,95890410.96
9/13/2008,648483932.2,95890410.96
9/14/2008,462503479.4,95890410.96
