Date,Flow_In_cms,Flow_cmd
1/1/2008,5.731046585,495162.4249
1/2/2008,7.903798226,682888.1667
1/3/2008,5.548686093,479406.4784
1/4/2008,0.877822245,75843.84197
1/5/2008,3.193007623,275875.8586
1/6/2008,4.270463638,368968.0583
1/7/2008,4.039964506,349052.9333
1/8/2008,4.562127157,394167.7864
1/9/2008,5.686022799,491272.3698
1/10/2008,5.903496181,510062.07
1/11/2008,5.077493766,438695.4614
1/12/2008,6.934512566,599141.8857
1/13/2008,4.346069618,375500.415
1/14/2008,5.120535372,442414.2561
1/15/2008,4.547968734,392944.4986
1/16/2008,4.771671823,412272.4455
1/17/2008,4.488503355,387806.6899
1/18/2008,3.912538696,338043.3433
1/19/2008,6.818413494,589110.9259
1/20/2008,7.439968278,642813.2592
1/21/2008,10.27391829,887666.54
1/22/2008,6.733179787,581746.7336
1/23/2008,5.179151244,447478.6675
1/24/2008,6.962829412,601588.4612
1/25/2008,5.868100123,507003.8506
1/26/2008,4.512289506,389861.8133
1/27/2008,4.255738877,367695.839
1/28/2008,4.077625912,352306.8788
1/29/2008,3.349599785,289405.4214
1/30/2008,2.525296381,218185.6073
1/31/2008,4.332194363,374301.593
2/1/2008,4.357396357,376479.0452
2/2/2008,5.07296307,438304.0092
2/3/2008,3.423506755,295790.9836
2/4/2008,4.606301439,397984.4443
2/5/2008,4.238748769,366227.8936
2/6/2008,3.552914743,306971.8338
2/7/2008,4.595824205,397079.2113
2/8/2008,0.699426111,60430.41599
2/9/2008,3.770954462,325810.4655
2/10/2008,3.866099068,334030.9595
2/11/2008,7.903515057,682863.7009
2/12/2008,9.98536962,862735.9352
2/13/2008,45.06994257,3894043.038
2/14/2008,66.26850025,5725598.421
2/15/2008,31.33089176,2706989.048
2/16/2008,11.90496865,1028589.292
2/17/2008,21.65814013,1871263.307
2/18/2008,25.72528881,2222664.953
2/19/2008,25.09580531,2168277.578
2/20/2008,22.87180018,1976123.535
2/21/2008,21.90477987,1892572.98
2/22/2008,28.1472287,2431920.56
2/23/2008,25.97136221,2243925.695
2/24/2008,24.85992598,2147897.605
2/25/2008,26.19789698,2263498.299
2/26/2008,23.22377858,2006534.469
2/27/2008,19.75609754,1706926.827
2/28/2008,21.1708072,1829157.742
2/29/2008,23.00403985,1987549.043
3/1/2008,22.25024539,1922421.202
3/2/2008,23.29768555,2012920.031
3/3/2008,19.39873894,1676051.045
3/4/2008,18.29268291,1580487.804
3/5/2008,22.2043721,1918457.75
3/6/2008,30.42928337,2629090.083
3/7/2008,44.50417197,3845160.458
3/8/2008,48.7423544,4211339.42
3/9/2008,35.30034732,3049950.008
3/10/2008,37.56824356,3245896.243
3/11/2008,34.58761229,2988369.702
3/12/2008,51.06886651,4412350.067
3/13/2008,37.63592083,3251743.56
3/14/2008,40.93341761,3536647.282
3/15/2008,42.8705731,3704017.516
3/16/2008,49.31322203,4260662.383
3/17/2008,48.32354825,4175154.569
3/18/2008,45.32082983,3915719.697
3/19/2008,47.13905455,4072814.313
3/20/2008,47.66008453,4117831.303
3/21/2008,52.42977417,4529932.488
3/22/2008,53.13203196,4590607.562
3/23/2008,59.39855013,5132034.731
3/24/2008,52.80497239,4562349.615
3/25/2008,49.63801626,4288724.605
3/26/2008,50.34395525,4349717.734
3/27/2008,58.75235968,5076203.876
3/28/2008,55.84733438,4825209.691
3/29/2008,56.5906516,4889432.298
3/30/2008,56.69400809,4898362.299
3/31/2008,56.14862564,4851241.255
4/1/2008,56.19449893,4855204.707
4/2/2008,73.79964879,6376289.656
4/3/2008,71.11945927,6144721.281
4/4/2008,67.28026121,5813014.568
4/5/2008,63.55404736,5491069.692
4/6/2008,70.39256581,6081917.686
4/7/2008,130.9713621,11315925.68
4/8/2008,109.4531072,9456748.461
4/9/2008,78.76783953,6805541.335
4/10/2008,74.44583924,6432120.51
4/11/2008,85.19208253,7360595.931
4/12/2008,71.99048548,6219977.945
4/13/2008,72.96798301,6304433.732
4/14/2008,68.88695908,5951833.264
4/15/2008,66.16061309,5716276.971
4/16/2008,55.64147092,4807423.087
4/17/2008,56.38563765,4871719.093
4/18/2008,57.36058667,4955954.688
4/19/2008,51.73233024,4469673.333
4/20/2008,42.32575697,3656945.402
4/21/2008,36.14617153,3123029.22
4/22/2008,35.31733743,3051417.954
4/23/2008,30.97155098,2675942.004
4/24/2008,28.59095368,2470258.398
4/25/2008,27.24590347,2354046.06
4/26/2008,23.42822621,2024198.745
4/27/2008,23.29683605,2012846.634
4/28/2008,13.32817336,1151554.178
4/29/2008,18.6681643,1612929.396
4/30/2008,16.75790982,1447883.409
5/1/2008,15.61872309,1349457.675
5/2/2008,15.60088347,1347916.332
5/3/2008,14.94166728,1290960.053
5/4/2008,14.36173826,1240854.186
5/5/2008,12.89209393,1113876.915
5/6/2008,14.41950463,1245845.2
5/7/2008,20.18962847,1744383.9
5/8/2008,13.21717133,1141963.603
5/9/2008,10.1184588,874234.8402
5/10/2008,15.52641017,1341481.839
5/11/2008,22.5654119,1949651.588
5/12/2008,11.03847315,953724.0797
5/13/2008,12.62733141,1091001.434
5/14/2008,13.638526,1178368.647
5/15/2008,7.399475188,639314.6562
5/16/2008,8.160348856,705054.1412
5/17/2008,7.76985954,671315.8643
5/18/2008,10.2396549,884706.1835
5/19/2008,10.7640829,930016.7625
5/20/2008,10.33989654,893367.061
5/21/2008,11.05319791,954996.2991
5/22/2008,6.894019475,595643.2826
5/23/2008,3.264649246,282065.6949
5/24/2008,5.519519741,476886.5056
5/25/2008,4.84387978,418511.213
5/26/2008,6.566110392,567311.9379
5/27/2008,1.645775124,142194.9707
5/28/2008,5.027089779,434340.5569
5/29/2008,2.794306423,241428.0749
5/30/2008,1.34221853,115967.681
5/31/2008,1.492297817,128934.5314
6/1/2008,5.814864452,502404.2887
6/2/2008,6.592445059,569587.2531
6/3/2008,0.994770821,85948.19893
6/4/2008,0.792871705,68504.11531
6/5/2008,1.964339649,169718.9457
