,date,Net_Inflow,LOSA_dmd_SFWMM,C44RO,C43RO,WSM_Zone,Max_Supply,LOSA_Supply,Cut_back,% Demand_Not_Supplied,NI-Supply,Zone_Code,Zone,DecTree_Relslevel,DayFlags,PlsDay,Release_Level,7day_dh,Fraction_of_Zone_height,S80_Mult,S80_Mult2,S80RS,S308RG1,Sum_S308RG1,S80BS,S308BK,ROeast,S308BS,Sum_S308BK,S308RG,S80,S77BSAP,S77_Mult,S77_Mult2,S77RS,Sum_S77RS,S77BK,ROwest,S79BS,S77BS,S77EWS,S77REG,S79,TotRegEW,RegWCA,RegL8C51,TotRegSo,Stg2ar(ac),Stg2mar(ac),ET(af),WSA_MIA_cfs,WSA_NNR_cfs,Simulated DSto (af),Storage (af),Sim_Outflows(acft),Stage
0,2007-12-30,284.8107652,,,,0,0,0,0,0,284.8107652,1,SSM,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2126904.0,0,10.268
1,2007-12-31,354.7688102,,,,0,0,0,0,0,354.7688102,1,SSM,,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,10.268
2,2008-01-01,324.0840652,947.12,56.00000003,0.0,3,1455.3785714285716,947.12,0.0,0.0,-623.0359348,1,SSM,0,SimDay1,0,0,0,1,1,1,0,0,0,0,56.00000003,0.0,0,56.00000003,0,1,0.0,1,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321360.0,0.0,1215.643307,0,0,-14710.820231740496,2126904.0,947.12,10.268
3,2008-01-02,422.72352029999996,2937.48,51.00000003,0.0,3,1455.3785714285716,1455.3785714285716,1482.1014285714284,50.45486023977792,-1032.6550511285716,1,SSM,0,2008-01-02,0,0,0,1,1,1,0,0,0,0,51.00000003,0.0,0,51.00000003,0,0.0,0.0,1,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321360.0,0.0,3626.2208659999997,0,0,-38000.96068706906,2088903.039312931,1455.3785714285716,10.152143412539424
4,2008-01-03,200.2343251,1659.86,15.0,0.0,3,1455.3785714285716,1455.3785714285716,204.4814285714283,12.319197316124752,-1255.1442463285716,1,SSM,0,2008-01-03,0,0,0,1,1,1,0,0,0,0,15.0,0.0,0,15.0,0,0.0,0.0,1,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319042.8682507885,0.0,2348.385895,0,0,-56122.37402132857,2032780.6652916025,1455.3785714285716,9.97993762997291
5,2008-01-04,-23.80200001,1479.63,0.0,0.0,3,1455.3785714285716,1455.3785714285716,24.251428571428505,1.6390197935584236,-1479.1805714385716,1,SSM,0,2008-01-04,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315630.85239150154,0.0,1932.9944879999998,0,0,45376.397430561425,2078157.062722164,1455.3785714285716,10.119381288787086
6,2008-01-05,223.6594601,1641.73,0.0,23.0,3,1455.3785714285716,1455.3785714285716,186.35142857142841,11.350918151671006,-1231.7191113285717,1,SSM,0,2008-01-05,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1,0,0,1.8999999999999995,21.1,0,0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,318387.6257757417,0.0,3044.425197,0,0,3769.8111789714294,2081926.8739011353,1455.3785714285716,10.130874615552242
7,2008-01-06,299.1316352,2027.78,53.00000002,80.0,3,1455.3785714285716,1455.3785714285716,572.4014285714284,28.227984720799515,-1156.2469362285715,1,SSM,0,2008-01-06,0,0,-0.13593139090464668,1,1,1,0,0,0,0,53.00000002,0.0,0,53.00000002,0,0.0,0.0,1,1,0,0,19.0,61.0,0,0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,318617.4923110448,0.0,2851.428806,0,0,391.6298821410983,2082318.5037832763,1455.3785714285716,10.132068609095354
8,2008-01-07,233.3984452,1950.04,0.0,8.4,3,1455.3785714285716,1455.3785714285716,494.66142857142836,25.366732404023935,-1221.9801262285716,1,SSM,0,2008-01-07,0,0,-0.13211090758522026,1,1,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1,0,0,0,8.4,0,0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,318641.37218190706,0.0,3242.90853,0,0,1253.1185287714288,2083571.6223120478,1455.3785714285716,10.13588909241478
9,2008-01-08,146.9971851,2652.09,0.0,0.0,3,1457.8928571428573,1457.8928571428573,1194.1971428571428,45.02853005958104,-1310.8956720428573,1,SSM,0,2008-01-08,0,0,-0.1329834162957173,1,1,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318717.7818482956,0.0,3349.0866140000003,0,0,-286.1828570428579,2083285.4394550049,1457.8928571428573,10.135016583704283
10,2008-01-09,243.5738002,2387.32,0.0,16.0,3,1457.8928571428573,1457.8928571428573,929.4271428571428,38.93182073861664,-1214.3190569428573,1,SSM,0,2008-01-09,0,0,-0.026876189679478912,1,1,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1,0,0,0,16.0,0,0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,318700.33167408564,0.0,3008.6480309999997,0,0,-3197.7903569428568,2080087.649098062,1457.8928571428573,10.125267222859945
11,2008-01-10,282.6090802,2560.49,0.0,0.0,3,1457.8928571428573,1457.8928571428573,1102.5971428571424,43.06195856485058,-1175.2837769428575,1,SSM,0,2008-01-10,0,0,0.1457676969808066,1,1,1,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,1,1,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318505.34445719887,0.0,3181.6524280000003,0,0,143.6981427571418,2080231.3472408191,1457.8928571428573,10.125705326953717
