Date,Netflows_acft
12/30/1990,59.66358444
12/31/1990,102.566691
1/1/1991,-94.98991012
1/2/1991,235.9173959
1/3/1991,3.114001726
1/4/1991,-101.8329833
1/5/1991,67.61742072
1/6/1991,100.0476453
1/7/1991,96.99305538
1/8/1991,111.432937
1/9/1991,61.58760204
1/10/1991,152.5112188
1/11/1991,291.2768783
1/12/1991,325.5120901
1/13/1991,210.3104136
1/14/1991,158.0451868
1/15/1991,1328.111832
1/16/1991,12132.33539
1/17/1991,8017.366205
1/18/1991,5790.6098
1/19/1991,8390.918813
1/20/1991,4344.598626
1/21/1991,2166.219696
1/22/1991,1137.457521
1/23/1991,1061.886131
1/24/1991,1113.774506
1/25/1991,1383.411537
1/26/1991,995.9546803
1/27/1991,971.5179809
1/28/1991,921.910664
1/29/1991,733.6765015
1/30/1991,570.5138211
1/31/1991,415.3645605
2/1/1991,386.1476621
2/2/1991,1621.729317
2/3/1991,682.2247261
2/4/1991,455.8875386
2/5/1991,430.221062
2/6/1991,349.2942719
2/7/1991,493.8914316
2/8/1991,621.8271915
2/9/1991,304.3680205
2/10/1991,305.4589544
2/11/1991,120.0017109
2/12/1991,157.0931675
2/13/1991,213.2262219
2/14/1991,290.0074928
2/15/1991,-529.4160747
2/16/1991,-252.7178204
2/17/1991,75.25388632
2/18/1991,677.5833199
2/19/1991,254.9192649
2/20/1991,139.5985676
2/21/1991,121.8462404
2/22/1991,-0.495971199
2/23/1991,57.93800167
2/24/1991,709.7952462
2/25/1991,131.7240558
2/26/1991,863.8736614
2/27/1991,328.1104271
2/28/1991,1151.104253
3/1/1991,818.709262
3/2/1991,745.8354658
3/3/1991,1438.909997
3/4/1991,2413.899192
3/5/1991,1712.8112
3/6/1991,820.6924374
3/7/1991,834.0612801
3/8/1991,672.3663821
3/9/1991,1980.246632
3/10/1991,2391.148449
3/11/1991,1317.598947
3/12/1991,1114.94477
3/13/1991,1144.022869
3/14/1991,1662.093237
3/15/1991,1071.03009
3/16/1991,1094.990753
3/17/1991,1238.675474
3/18/1991,2605.58464
3/19/1991,4731.97597
3/20/1991,2810.301668
3/21/1991,2648.924135
3/22/1991,2140.116737
3/23/1991,1400.92579
3/24/1991,1108.776076
3/25/1991,1409.990389
3/26/1991,529.5147488
3/27/1991,622.6599204
3/28/1991,251.2099061
3/29/1991,544.787784
3/30/1991,736.651766
3/31/1991,1927.426168
4/1/1991,3363.896705
4/2/1991,2107.785842
4/3/1991,1391.127476
4/4/1991,1874.625453
4/5/1991,2726.122169
4/6/1991,2345.548029
4/7/1991,1475.862627
4/8/1991,2291.517506
4/9/1991,3260.159737
4/10/1991,2428.656708
4/11/1991,2460.531567
4/12/1991,2101.280051
4/13/1991,2306.631804
4/14/1991,2307.008668
4/15/1991,2154.021314
4/16/1991,2049.153678
4/17/1991,2683.695158
4/18/1991,2445.933015
4/19/1991,2708.488907
4/20/1991,4074.446015
4/21/1991,4384.506736
4/22/1991,4170.7053
4/23/1991,3172.687453
