Date,Netflows_acft
30-Dec-99,4014.405422
31-Dec-99,2688.594581
1-Jan-00,2652.554387
2-Jan-00,2808.259137
3-Jan-00,2497.960397
4-Jan-00,3010.853827
5-Jan-00,3229.653712
6-Jan-00,2448.115041
7-Jan-00,2412.570721
8-Jan-00,2653.764322
9-Jan-00,2909.020936
10-Jan-00,2468.584507
11-Jan-00,2550.642156
12-Jan-00,2981.299676
13-Jan-00,2535.508051
14-Jan-00,3292.471157
15-Jan-00,2179.271451
16-Jan-00,2235.404501
17-Jan-00,2412.927751
18-Jan-00,2251.272501
19-Jan-00,1890.275501
20-Jan-00,2512.796977
21-Jan-00,2281.203516
22-Jan-00,1963.486486
23-Jan-00,1988.161226
24-Jan-00,5116.537254
25-Jan-00,3625.480972
26-Jan-00,3009.961251
27-Jan-00,2906.561147
28-Jan-00,1919.829651
29-Jan-00,2106.675352
30-Jan-00,2255.239501
31-Jan-00,2576.090173
1-Feb-00,2511.606876
2-Feb-00,2266.684296
3-Feb-00,2899.698251
4-Feb-00,2309.428722
5-Feb-00,2614.153827
6-Feb-00,2285.388702
7-Feb-00,2240.422756
8-Feb-00,3004.129762
9-Feb-00,1787.133501
10-Feb-00,2032.730471
11-Feb-00,2318.592492
12-Feb-00,2282.611802
13-Feb-00,2109.729941
14-Feb-00,2132.341841
15-Feb-00,2041.021501
16-Feb-00,2012.657512
17-Feb-00,1762.776265
18-Feb-00,2218.028838
19-Feb-00,2688.753261
20-Feb-00,2339.339902
21-Feb-00,2449.820852
22-Feb-00,2153.843014
23-Feb-00,2190.537808
24-Feb-00,2884.524786
25-Feb-00,3937.029164
26-Feb-00,4224.557547
27-Feb-00,4143.253882
28-Feb-00,3004.189286
29-Feb-00,2377.621452
1-Mar-00,2160.666221
2-Mar-00,1448.331866
3-Mar-00,993.3963526
4-Mar-00,608.0816731
5-Mar-00,578.9242176
6-Mar-00,631.7448206
7-Mar-00,446.0098793
8-Mar-00,277.7694086
9-Mar-00,116.2530049
10-Mar-00,340.8444905
11-Mar-00,109.2512446
12-Mar-00,545.0658608
13-Mar-00,333.228016
14-Mar-00,237.6629701
15-Mar-00,604.9079953
16-Mar-00,106.6924651
17-Mar-00,402.6505002
18-Mar-00,373.4930502
19-Mar-00,573.2315003
20-Mar-00,885.6327505
21-Mar-00,770.7682652
22-Mar-00,442.9155502
23-Mar-00,596.1210912
24-Mar-00,406.6175003
25-Mar-00,426.4525002
26-Mar-00,456.3438453
27-Mar-00,751.1909983
28-Mar-00,579.1820004
29-Mar-00,1057.2055
30-Mar-00,881.0905358
31-Mar-00,1412.132821
1-Apr-00,2712.436252
2-Apr-00,3332.280002
3-Apr-00,3392.697412
4-Apr-00,3131.946502
5-Apr-00,3196.311148
6-Apr-00,3049.214837
7-Apr-00,2770.7116
8-Apr-00,2669.731614
9-Apr-00,2848.286267
10-Apr-00,2568.989635
11-Apr-00,2136.011418
12-Apr-00,2210.114911
13-Apr-00,3477.789562
14-Apr-00,9558.783708
15-Apr-00,12753.66675
16-Apr-00,7084.367639
17-Apr-00,5783.667647
18-Apr-00,4281.959968
19-Apr-00,4349.141113
20-Apr-00,3467.673712
21-Apr-00,3262.401103
22-Apr-00,2696.588086
23-Apr-00,2385.178586
24-Apr-00,2081.960941
25-Apr-00,2033.345356
26-Apr-00,1192.083501
27-Apr-00,839.0205007
28-Apr-00,704.1425003
29-Apr-00,817.2020004
30-Apr-00,-38.08320004
1-May-00,17.85150004
2-May-00,220.1685001
3-May-00,-65.45550005
4-May-00,-253.5505935
5-May-00,-359.4098992
6-May-00,-156.3987144
7-May-00,-325.7896426
8-May-00,-406.6172881
9-May-00,-334.3584007
10-May-00,-335.3898517
11-May-00,-339.3172307
12-May-00,-254.0664365
13-May-00,-263.8847715
14-May-00,-350.6034185
15-May-00,-571.7042026
16-May-00,-431.1931293
17-May-00,-288.0438956
18-May-00,-293.637371
19-May-00,-494.8237568
20-May-00,-565.2975004
21-May-00,-481.1971003
22-May-00,-560.0610603
23-May-00,-601.7939004
24-May-00,-597.4302004
25-May-00,-729.7296505
26-May-00,-555.9750504
27-May-00,-353.2613502
28-May-00,-334.4181002
29-May-00,-396.1049503
30-May-00,-336.9966502
31-May-00,-457.5736156
1-Jun-00,-536.7351003
2-Jun-00,-626.1909504
3-Jun-00,-525.2308003
4-Jun-00,-346.5174502
5-Jun-00,-132.6961501
6-Jun-00,406.0224502
7-Jun-00,409.5927503
8-Jun-00,111.8694001
9-Jun-00,-42.84360004
10-Jun-00,-239.8051502
11-Jun-00,-159.0767001
12-Jun-00,-36.69475
13-Jun-00,226.3173501
14-Jun-00,78.94330002
15-Jun-00,-232.8629001
16-Jun-00,-444.7007003
17-Jun-00,-405.0307002
18-Jun-00,-352.8646502
19-Jun-00,-458.9819003
20-Jun-00,-392.7330002
21-Jun-00,-458.8628903
22-Jun-00,-357.8234002
23-Jun-00,-459.3786003
24-Jun-00,41.61382976
25-Jun-00,561.4098401
26-Jun-00,1261.466331
27-Jun-00,975.5051354
28-Jun-00,1129.028036
29-Jun-00,847.0338404
30-Jun-00,702.5755353
1-Jul-00,971.8753305
2-Jul-00,455.5306102
3-Jul-00,295.4621601
4-Jul-00,66.36791001
5-Jul-00,411.0407052
6-Jul-00,416.3366503
7-Jul-00,353.4398652
8-Jul-00,1119.96344
9-Jul-00,839.2783553
10-Jul-00,124.1671001
11-Jul-00,509.7595003
12-Jul-00,552.2064003
13-Jul-00,188.4325001
14-Jul-00,291.3761502
15-Jul-00,11.50429999
16-Jul-00,50.18255001
17-Jul-00,120.7951501
18-Jul-00,6.148849985
19-Jul-00,37.68650004
20-Jul-00,10.79024
21-Jul-00,495.16094
22-Jul-00,1207.07876
23-Jul-00,1392.25832
24-Jul-00,2719.695861
25-Jul-00,2493.160326
26-Jul-00,1845.071536
27-Jul-00,2950.932292
28-Jul-00,2784.377796
29-Jul-00,1225.386466
30-Jul-00,2723.444676
31-Jul-00,3437.048472
1-Aug-00,3007.680226
2-Aug-00,2610.940556
3-Aug-00,2286.122596
4-Aug-00,2546.417301
5-Aug-00,1923.499126
6-Aug-00,1920.880906
7-Aug-00,1973.840356
