,Date,Total_Outflows_acft
6209,2008-01-01,12.2977
6210,2008-01-02,190.416
6211,2008-01-03,841.0039999999999
6212,2008-01-04,507.77600010000003
6213,2008-01-05,19.04159998
6214,2008-01-06,0.0
6215,2008-01-07,101.1585001
6216,2008-01-08,515.7100002000001
6217,2008-01-09,259.8385002
6218,2008-01-10,289.5910002
6219,2008-01-11,67.43900006
6220,2008-01-12,0.0
6221,2008-01-13,0.0
6222,2008-01-14,31.736
6223,2008-01-15,0.0
6224,2008-01-16,333.228
6225,2008-01-17,174.548
6226,2008-01-18,87.274
6227,2008-01-19,0.0
6228,2008-01-20,277.69
6229,2008-01-21,55.538000000000004
6230,2008-01-22,206.2840001
6231,2008-01-23,0.0
6232,2008-01-24,0.0
6233,2008-01-25,253.888
6234,2008-01-26,0.0
6235,2008-01-27,0.0
6236,2008-01-28,9.32245
6237,2008-01-29,261.822
6238,2008-01-30,101.1585
6239,2008-01-31,519.677
6240,2008-02-01,59.505
6241,2008-02-02,25.7855
6242,2008-02-03,0.0
6243,2008-02-04,71.406
6244,2008-02-05,539.5120001
6245,2008-02-06,733.8950002
6246,2008-02-07,670.4230001
6247,2008-02-08,610.918
6248,2008-02-09,507.776
6249,2008-02-10,483.974
6250,2008-02-11,190.416
6251,2008-02-12,0.0
6252,2008-02-13,0.0
6253,2008-02-14,0.0
6254,2008-02-15,0.0
6255,2008-02-16,0.0
6256,2008-02-17,0.0
6257,2008-02-18,0.0
6258,2008-02-19,18.44654998
6259,2008-02-20,347.1125002
6260,2008-02-21,176.5315001
6261,2008-02-22,0.0
6262,2008-02-23,0.0
6263,2008-02-24,0.0
6264,2008-02-25,0.0
6265,2008-02-26,0.0
6266,2008-02-27,0.0
6267,2008-02-28,142.812
6268,2008-02-29,222.15200000000002
6269,2008-03-01,0.0
6270,2008-03-02,0.0
6271,2008-03-03,63.472
6272,2008-03-04,444.3040002
6273,2008-03-05,0.0
6274,2008-03-06,89.25750003
6275,2008-03-07,0.0
6276,2008-03-08,0.0
6277,2008-03-09,0.0
6278,2008-03-10,0.0
6279,2008-03-11,0.0
6280,2008-03-12,0.0
6281,2008-03-13,0.0
6282,2008-03-14,0.0
6283,2008-03-15,0.0
6284,2008-03-16,0.0
6285,2008-03-17,0.0
6286,2008-03-18,154.7130001
6287,2008-03-19,111.07600009999999
6288,2008-03-20,0.0
6289,2008-03-21,69.4225
6290,2008-03-22,0.0
6291,2008-03-23,0.0
6292,2008-03-24,0.0
6293,2008-03-25,0.0
6294,2008-03-26,0.0
6295,2008-03-27,0.0
6296,2008-03-28,0.634720006
6297,2008-03-29,0.0
6298,2008-03-30,0.0
6299,2008-03-31,55.53800003
6300,2008-04-01,13.48780001
6301,2008-04-02,265.7890002
6302,2008-04-03,323.3105002
6303,2008-04-04,412.5680003
6304,2008-04-05,259.8385002
