Date,RF_acft
30-Dec-07,0
31-Dec-07,0
1-Jan-08,200.85
2-Jan-08,0
3-Jan-08,0
4-Jan-08,298.65
5-Jan-08,265.7333333
6-Jan-08,66.45833333
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,265.9666667
11-Jan-08,0
12-Jan-08,2459.266667
13-Jan-08,1463
14-Jan-08,0
15-Jan-08,0
16-Jan-08,0
17-Jan-08,3847.333333
18-Jan-08,66.28333333
19-Jan-08,7860.5
20-Jan-08,3906.291667
21-Jan-08,0
22-Jan-08,0
23-Jan-08,465.15
24-Jan-08,265.7
25-Jan-08,0
26-Jan-08,0
27-Jan-08,0
28-Jan-08,0
29-Jan-08,0
30-Jan-08,0
31-Jan-08,0
1-Feb-08,0
2-Feb-08,0
3-Feb-08,0
4-Feb-08,66.15833333
5-Feb-08,66.15833333
6-Feb-08,0
7-Feb-08,0
8-Feb-08,2737.616667
9-Feb-08,10590.325
10-Feb-08,32.95416667
11-Feb-08,0
12-Feb-08,11473.85
13-Feb-08,16401
14-Feb-08,0
15-Feb-08,0
16-Feb-08,0
17-Feb-08,0
18-Feb-08,0
19-Feb-08,497.875
20-Feb-08,0
21-Feb-08,8740.366667
22-Feb-08,166.3125
23-Feb-08,299.2125
24-Feb-08,265.8333333
25-Feb-08,0
26-Feb-08,0
27-Feb-08,926.8
28-Feb-08,0
29-Feb-08,0
1-Mar-08,0
2-Mar-08,0
3-Mar-08,66.23333333
4-Mar-08,99.35
5-Mar-08,10692.64583
6-Mar-08,21682.32083
7-Mar-08,266.8
8-Mar-08,8690.758333
9-Mar-08,0
10-Mar-08,0
11-Mar-08,6061.358333
12-Mar-08,66.63333333
13-Mar-08,0
14-Mar-08,66.65
15-Mar-08,0
16-Mar-08,0
17-Mar-08,0
18-Mar-08,0
19-Mar-08,0
20-Mar-08,1933.575
21-Mar-08,0
22-Mar-08,8630.095833
23-Mar-08,15250.08333
24-Mar-08,66.925
25-Mar-08,0
26-Mar-08,0
27-Mar-08,0
28-Mar-08,0
29-Mar-08,0
30-Mar-08,0
31-Mar-08,201.45
1-Apr-08,2482.083333
2-Apr-08,1006.875
3-Apr-08,0
4-Apr-08,0
5-Apr-08,100.95
6-Apr-08,38456.45417
7-Apr-08,5469.035833
8-Apr-08,0
