Date,RF_acft
12/30/1990,
12/31/1990,
1/1/1991,0
1/2/1991,0
1/3/1991,0
1/4/1991,0
1/5/1991,0
1/6/1991,0
1/7/1991,0
1/8/1991,0
1/9/1991,104.5255556
1/10/1991,19689.18
1/11/1991,2523.733333
1/12/1991,0
1/13/1991,0
1/14/1991,0
1/15/1991,54587.72667
1/16/1991,44163.16667
1/17/1991,0
1/18/1991,0
1/19/1991,641.2333333
1/20/1991,2571.013333
1/21/1991,0
1/22/1991,0
1/23/1991,214.2511111
1/24/1991,0
1/25/1991,12793.16111
1/26/1991,215.5177778
1/27/1991,0
1/28/1991,0
1/29/1991,0
1/30/1991,0
1/31/1991,0
2/1/1991,322.7066667
2/2/1991,963.56
2/3/1991,1717.048889
2/4/1991,0
2/5/1991,107.3155556
2/6/1991,429.0088889
2/7/1991,0
2/8/1991,0
2/9/1991,0
2/10/1991,0
2/11/1991,0
2/12/1991,0
2/13/1991,319.0366667
2/14/1991,5077.706667
2/15/1991,0
2/16/1991,18150.90667
2/17/1991,0
2/18/1991,0
2/19/1991,0
2/20/1991,0
2/21/1991,0
2/22/1991,8494.92
2/23/1991,0
2/24/1991,0
2/25/1991,12994.40333
2/26/1991,8933.026667
2/27/1991,804.8666667
2/28/1991,16694.3
3/1/1991,318.4066667
3/2/1991,0
3/3/1991,49476.565
3/4/1991,160.4033333
3/5/1991,0
3/6/1991,0
3/7/1991,0
3/8/1991,1759.211667
3/9/1991,6237.205
3/10/1991,1276.146667
3/11/1991,0
3/12/1991,106.0655556
3/13/1991,0
3/14/1991,106.2755556
3/15/1991,0
3/16/1991,3702.494444
3/17/1991,105.8555556
3/18/1991,5094.506667
3/19/1991,0
3/20/1991,0
3/21/1991,3190.366667
3/22/1991,57038.73778
3/23/1991,106.2755556
3/24/1991,106.2055556
3/25/1991,4448.873333
3/26/1991,5508.128889
3/27/1991,1803.114444
3/28/1991,212.2711111
3/29/1991,212.4111111
3/30/1991,1380.672222
3/31/1991,56554.45833
4/1/1991,1434.72
4/2/1991,1117.363333
4/3/1991,15851.715
4/4/1991,9286.863333
4/5/1991,11549.04
4/6/1991,0
4/7/1991,0
4/8/1991,214.7577778
4/9/1991,0
4/10/1991,0
4/11/1991,0
4/12/1991,0
4/13/1991,0
4/14/1991,643.5133333
4/15/1991,2146.311111
4/16/1991,11912.02667
4/17/1991,4829.2
4/18/1991,18222.19167
4/19/1991,9542.266667
4/20/1991,37544.17333
4/21/1991,161.9233333
4/22/1991,0
4/23/1991,162.1133333
4/24/1991,0
4/25/1991,35798.90083
4/26/1991,0
4/27/1991,0
4/28/1991,0
4/29/1991,0
4/30/1991,0
5/1/1991,0
5/2/1991,550.1527778
5/3/1991,0
5/4/1991,0
5/5/1991,0
5/6/1991,0
5/7/1991,4441.484444
5/8/1991,0
5/9/1991,0
5/10/1991,0
5/11/1991,0
5/12/1991,0
5/13/1991,22616.06667
5/14/1991,0
5/15/1991,2134.911111
5/16/1991,5028.947778
5/17/1991,323.1816667
5/18/1991,0
5/19/1991,4053.863889
5/20/1991,22491.88111
5/21/1991,9532.864444
5/22/1991,35237.93778
5/23/1991,2923.17
5/24/1991,435.2155556
5/25/1991,0
5/26/1991,34502.10889
5/27/1991,0
5/28/1991,0
5/29/1991,0
5/30/1991,446.7822222
5/31/1991,445.5488889
6/1/1991,0
6/2/1991,1003.595
6/3/1991,110.5238889
6/4/1991,0
6/5/1991,9087.3
6/6/1991,48212.78667
6/7/1991,5804.962222
6/8/1991,721.34
6/9/1991,120.7455556
6/10/1991,0
6/11/1991,0
6/12/1991,0
6/13/1991,2264.744444
6/14/1991,0
6/15/1991,0
6/16/1991,0
6/17/1991,3802.436667
6/18/1991,0
6/19/1991,0
6/20/1991,17475.5
6/21/1991,166.9883333
6/22/1991,3332.366667
6/23/1991,9685.323333
6/24/1991,838.6416667
6/25/1991,674.6133333
6/26/1991,507.07
6/27/1991,0
6/28/1991,676.8333333
6/29/1991,507.07
6/30/1991,5065.15
7/1/1991,18694.31667
7/2/1991,2223.758333
7/3/1991,2063.8
7/4/1991,33651.88667
7/5/1991,12026.93
7/6/1991,5072.97
7/7/1991,2628.65
7/8/1991,1580.01
7/9/1991,1405.706667
7/10/1991,878.5666667
7/11/1991,4599.096667
7/12/1991,531.135
7/13/1991,1063.21
7/14/1991,1066.5
7/15/1991,28655.585
7/16/1991,19136.59333
7/17/1991,359.73
7/18/1991,17357.28
7/19/1991,5452.9625
7/20/1991,44613.17292
7/21/1991,32553.68583
7/22/1991,1638.25875
7/23/1991,0
7/24/1991,26437.125
7/25/1991,5307.47125
7/26/1991,12445.105
7/27/1991,183.2466667
7/28/1991,0
7/29/1991,0
7/30/1991,57491.33
7/31/1991,3161.9575
8/1/1991,27558.79167
8/2/1991,19452.60625
8/3/1991,0
8/4/1991,0
8/5/1991,0
8/6/1991,185.8004167
8/7/1991,13614.43917
8/8/1991,186.4275
8/9/1991,1859.258333
8/10/1991,0
8/11/1991,0
8/12/1991,23456.0025
8/13/1991,8387.625
8/14/1991,7083.564167
8/15/1991,186.5529167
8/16/1991,0
8/17/1991,18875.21667
8/18/1991,11208
8/19/1991,934.25
8/20/1991,6727.5
8/21/1991,41886.13333
8/22/1991,29589.45
8/23/1991,15363.38333
8/24/1991,0
8/25/1991,2250.3
8/26/1991,12573.66667
8/27/1991,9763.866667
8/28/1991,7138.933333
8/29/1991,0
8/30/1991,0
8/31/1991,8838.741667
9/1/1991,3573.425
9/2/1991,0
9/3/1991,3763
9/4/1991,21452.9
9/5/1991,8281.166667
9/6/1991,23351.26667
9/7/1991,10926.23333
9/8/1991,7914.83
9/9/1991,0
9/10/1991,0
9/11/1991,943.0333333
9/12/1991,0
9/13/1991,0
9/14/1991,0
9/15/1991,0
9/16/1991,0
9/17/1991,0
9/18/1991,0
9/19/1991,0
9/20/1991,0
9/21/1991,0
9/22/1991,0
9/23/1991,0
9/24/1991,3774.666667
9/25/1991,4153.178333
9/26/1991,755.25
9/27/1991,0
9/28/1991,0
9/29/1991,0
9/30/1991,2264.8
10/1/1991,35859.33333
10/2/1991,944.18125
10/3/1991,5099.43375
10/4/1991,188.9154167
10/5/1991,8313.671667
10/6/1991,43846.74333
10/7/1991,0
10/8/1991,189.0816667
10/9/1991,0
10/10/1991,2457.65
10/11/1991,0
10/12/1991,0
10/13/1991,378.1158333
10/14/1991,0
10/15/1991,6428.776667
10/16/1991,1512.336667
10/17/1991,0
10/18/1991,189.1133333
10/19/1991,378.2425
10/20/1991,0
10/21/1991,756.77
10/22/1991,0
10/23/1991,0
10/24/1991,0
10/25/1991,0
10/26/1991,0
10/27/1991,1324.458333
10/28/1991,0
10/29/1991,0
10/30/1991,0
10/31/1991,16639.88333
11/1/1991,945.4083333
11/2/1991,189.0579167
11/3/1991,0
11/4/1991,0
11/5/1991,17005.2375
11/6/1991,0
11/7/1991,0
11/8/1991,0
11/9/1991,0
11/10/1991,0
11/11/1991,0
11/12/1991,755.5033333
11/13/1991,0
11/14/1991,0
11/15/1991,0
11/16/1991,0
