Date,RF_acft
30-Dec-99,0
31-Dec-99,94.28591667
1-Jan-00,0
2-Jan-00,0
3-Jan-00,0
4-Jan-00,4335.112833
5-Jan-00,0
6-Jan-00,0
7-Jan-00,0
8-Jan-00,1130.46
9-Jan-00,0
10-Jan-00,0
11-Jan-00,188.3766667
12-Jan-00,0
13-Jan-00,0
14-Jan-00,0
15-Jan-00,0
16-Jan-00,0
17-Jan-00,0
18-Jan-00,0
19-Jan-00,0
20-Jan-00,0
21-Jan-00,0
22-Jan-00,0
23-Jan-00,0
24-Jan-00,19069.82
25-Jan-00,0
26-Jan-00,0
27-Jan-00,0
28-Jan-00,0
29-Jan-00,0
30-Jan-00,93.93666667
31-Jan-00,0
1-Feb-00,0
2-Feb-00,751.08
3-Feb-00,1596.073333
4-Feb-00,375.5533333
5-Feb-00,0
6-Feb-00,0
7-Feb-00,0
8-Feb-00,15298.90833
9-Feb-00,1314.413333
10-Feb-00,0
11-Feb-00,0
12-Feb-00,0
13-Feb-00,0
14-Feb-00,281.66
15-Feb-00,0
16-Feb-00,0
17-Feb-00,0
18-Feb-00,0
19-Feb-00,0
20-Feb-00,0
21-Feb-00,0
22-Feb-00,93.78833333
23-Feb-00,0
24-Feb-00,468.875
25-Feb-00,187.55
26-Feb-00,0
27-Feb-00,281.305
28-Feb-00,0
29-Feb-00,0
1-Mar-00,0
2-Mar-00,0
3-Mar-00,0
4-Mar-00,0
5-Mar-00,0
6-Mar-00,0
7-Mar-00,0
8-Mar-00,0
9-Mar-00,0
10-Mar-00,0
11-Mar-00,7578.36
12-Mar-00,93.565
13-Mar-00,0
14-Mar-00,0
15-Mar-00,0
16-Mar-00,93.47166667
17-Mar-00,2056.046667
18-Mar-00,2429.743333
19-Mar-00,9159.08
20-Mar-00,0
21-Mar-00,0
22-Mar-00,0
23-Mar-00,0
24-Mar-00,186.77
25-Mar-00,0
26-Mar-00,0
27-Mar-00,12882.783
28-Mar-00,4109.306667
29-Mar-00,560.31
30-Mar-00,0
31-Mar-00,2240.914
1-Apr-00,0
2-Apr-00,0
3-Apr-00,0
4-Apr-00,0
5-Apr-00,0
6-Apr-00,0
7-Apr-00,650.4645
8-Apr-00,5293.78
9-Apr-00,0
10-Apr-00,0
11-Apr-00,0
12-Apr-00,23258.14108
13-Apr-00,12349.29383
14-Apr-00,62168.79108
