Date,RegL8C51
1-Jan-08,0
2-Jan-08,0
3-Jan-08,0
4-Jan-08,0
5-Jan-08,0
6-Jan-08,0
7-Jan-08,0
8-Jan-08,0
9-Jan-08,0
10-Jan-08,0
11-Jan-08,0
12-Jan-08,0
13-Jan-08,0
14-Jan-08,0
15-Jan-08,0
16-Jan-08,0
17-Jan-08,0
18-Jan-08,0
19-Jan-08,0
20-Jan-08,0
21-Jan-08,0
22-Jan-08,0
23-Jan-08,0
24-Jan-08,0
25-Jan-08,0
26-Jan-08,0
27-Jan-08,0
28-Jan-08,0
29-Jan-08,0
30-Jan-08,0
31-Jan-08,0
1-Feb-08,0
2-Feb-08,0
3-Feb-08,0
4-Feb-08,0
5-Feb-08,0
6-Feb-08,0
7-Feb-08,0
8-Feb-08,0
9-Feb-08,0
10-Feb-08,0
11-Feb-08,0
12-Feb-08,0
13-Feb-08,0
14-Feb-08,0
15-Feb-08,0
16-Feb-08,0
17-Feb-08,0
18-Feb-08,0
19-Feb-08,0
20-Feb-08,0
21-Feb-08,0
22-Feb-08,0
23-Feb-08,0
24-Feb-08,0
25-Feb-08,0
26-Feb-08,0
27-Feb-08,0
28-Feb-08,0
29-Feb-08,0
1-Mar-08,0
2-Mar-08,0
3-Mar-08,0
4-Mar-08,0
5-Mar-08,0
6-Mar-08,0
7-Mar-08,0
8-Mar-08,0
9-Mar-08,0
10-Mar-08,0
11-Mar-08,0
12-Mar-08,0
13-Mar-08,0
14-Mar-08,0
15-Mar-08,0
16-Mar-08,0
17-Mar-08,0
18-Mar-08,0
19-Mar-08,0
20-Mar-08,0
21-Mar-08,0
22-Mar-08,0
23-Mar-08,0
24-Mar-08,0
25-Mar-08,0
26-Mar-08,0
27-Mar-08,0
28-Mar-08,0
29-Mar-08,0
30-Mar-08,0
31-Mar-08,0
1-Apr-08,0
2-Apr-08,0
3-Apr-08,0
4-Apr-08,0
5-Apr-08,0
6-Apr-08,0
7-Apr-08,0
8-Apr-08,0
9-Apr-08,0
10-Apr-08,0
11-Apr-08,0
12-Apr-08,0
13-Apr-08,0
14-Apr-08,0
15-Apr-08,0
16-Apr-08,0
17-Apr-08,0
18-Apr-08,0
19-Apr-08,0
20-Apr-08,0
21-Apr-08,0
22-Apr-08,0
23-Apr-08,0
24-Apr-08,0
25-Apr-08,0
26-Apr-08,0
