,Leap Year,,Normal Year
Day,RegL8C51,Day,RegL8C51
1/1/2020,16.88888889,1/1/2019,16.88888889
1/2/2020,13.22222222,1/2/2019,13.22222222
1/3/2020,11.88888889,1/3/2019,11.88888889
1/4/2020,10.88888889,1/4/2019,10.88888889
1/5/2020,24.66666667,1/5/2019,24.66666667
1/6/2020,44.44444444,1/6/2019,44.44444444
1/7/2020,55.11111111,1/7/2019,55.11111111
1/8/2020,59.33333333,1/8/2019,59.33333333
1/9/2020,24.44444444,1/9/2019,24.44444444
1/10/2020,4.777777778,1/10/2019,4.777777778
1/11/2020,1,1/11/2019,1
1/12/2020,28,1/12/2019,28
1/13/2020,25,1/13/2019,25
1/14/2020,39.66666667,1/14/2019,39.66666667
1/15/2020,13.88888889,1/15/2019,13.88888889
1/16/2020,13.55555556,1/16/2019,13.55555556
1/17/2020,3.333333333,1/17/2019,3.333333333
1/18/2020,42.22222222,1/18/2019,42.22222222
1/19/2020,35.77777778,1/19/2019,35.77777778
1/20/2020,0,1/20/2019,0
1/21/2020,8.333333333,1/21/2019,8.333333333
1/22/2020,14.33333333,1/22/2019,14.33333333
1/23/2020,26.22222222,1/23/2019,26.22222222
1/24/2020,6.444444444,1/24/2019,6.444444444
1/25/2020,7.555555556,1/25/2019,7.555555556
1/26/2020,3.777777778,1/26/2019,3.777777778
1/27/2020,43,1/27/2019,43
1/28/2020,31.77777778,1/28/2019,31.77777778
1/29/2020,10,1/29/2019,10
1/30/2020,0,1/30/2019,0
1/31/2020,0,1/31/2019,0
2/1/2020,0,2/1/2019,0
2/2/2020,0,2/2/2019,0
2/3/2020,0,2/3/2019,0
2/4/2020,50.22222222,2/4/2019,50.22222222
2/5/2020,0,2/5/2019,0
2/6/2020,8.111111111,2/6/2019,8.111111111
2/7/2020,22.22222222,2/7/2019,22.22222222
2/8/2020,71.44444444,2/8/2019,71.44444444
2/9/2020,10.11111111,2/9/2019,10.11111111
2/10/2020,0,2/10/2019,0
2/11/2020,22.22222222,2/11/2019,22.22222222
2/12/2020,22.22222222,2/12/2019,22.22222222
2/13/2020,22.22222222,2/13/2019,22.22222222
2/14/2020,0,2/14/2019,0
2/15/2020,15.33333333,2/15/2019,15.33333333
2/16/2020,13.22222222,2/16/2019,13.22222222
2/17/2020,32.44444444,2/17/2019,32.44444444
2/18/2020,31.22222222,2/18/2019,31.22222222
2/19/2020,49.66666667,2/19/2019,49.66666667
2/20/2020,49.55555556,2/20/2019,49.55555556
2/21/2020,33,2/21/2019,33
2/22/2020,0,2/22/2019,0
2/23/2020,23.77777778,2/23/2019,23.77777778
2/24/2020,0,2/24/2019,0
2/25/2020,22.22222222,2/25/2019,22.22222222
2/26/2020,28.33333333,2/26/2019,28.33333333
2/27/2020,33.66666667,2/27/2019,33.66666667
2/28/2020,5.222222222,2/28/2019,5.222222222
2/29/2020,17.66666667,3/1/2019,0
3/1/2020,0,3/2/2019,52
3/2/2020,52,3/3/2019,43.77777778
3/3/2020,43.77777778,3/4/2019,2.333333333
3/4/2020,2.333333333,3/5/2019,1
3/5/2020,1,3/6/2019,18.44444444
3/6/2020,18.44444444,3/7/2019,4.444444444
3/7/2020,4.444444444,3/8/2019,16.66666667
3/8/2020,16.66666667,3/9/2019,36.88888889
3/9/2020,36.88888889,3/10/2019,29.66666667
3/10/2020,29.66666667,3/11/2019,12.33333333
3/11/2020,12.33333333,3/12/2019,0
3/12/2020,0,3/13/2019,16.22222222
3/13/2020,16.22222222,3/14/2019,11.66666667
3/14/2020,11.66666667,3/15/2019,3.666666667
3/15/2020,3.666666667,3/16/2019,9.333333333
3/16/2020,9.333333333,3/17/2019,0
3/17/2020,0,3/18/2019,9.333333333
3/18/2020,9.333333333,3/19/2019,6.444444444
3/19/2020,6.444444444,3/20/2019,0
3/20/2020,0,3/21/2019,0
3/21/2020,0,3/22/2019,11.66666667
3/22/2020,11.66666667,3/23/2019,39
3/23/2020,39,3/24/2019,38.44444444
3/24/2020,38.44444444,3/25/2019,17.55555556
3/25/2020,17.55555556,3/26/2019,0
3/26/2020,0,3/27/2019,16.33333333
3/27/2020,16.33333333,3/28/2019,10
3/28/2020,10,3/29/2019,35.66666667
3/29/2020,35.66666667,3/30/2019,21.88888889
3/30/2020,21.88888889,3/31/2019,10.77777778
3/31/2020,10.77777778,4/1/2019,7.222222222
4/1/2020,7.222222222,4/2/2019,3.888888889
4/2/2020,3.888888889,4/3/2019,19
4/3/2020,19,4/4/2019,20.66666667
4/4/2020,20.66666667,4/5/2019,0
4/5/2020,0,4/6/2019,22.22222222
4/6/2020,22.22222222,4/7/2019,21.55555556
4/7/2020,21.55555556,4/8/2019,21.11111111
4/8/2020,21.11111111,4/9/2019,22.22222222
4/9/2020,22.22222222,4/10/2019,22.22222222
4/10/2020,22.22222222,4/11/2019,22.22222222
4/11/2020,22.22222222,4/12/2019,0
4/12/2020,0,4/13/2019,0
4/13/2020,0,4/14/2019,0
4/14/2020,0,4/15/2019,0
4/15/2020,0,4/16/2019,7.888888889
4/16/2020,7.888888889,4/17/2019,15.33333333
4/17/2020,15.33333333,4/18/2019,9.666666667
4/18/2020,9.666666667,4/19/2019,51.11111111
4/19/2020,51.11111111,4/20/2019,73.55555556
4/20/2020,73.55555556,4/21/2019,58.44444444
4/21/2020,58.44444444,4/22/2019,30
4/22/2020,30,4/23/2019,7.555555556
4/23/2020,7.555555556,4/24/2019,2.888888889
4/24/2020,2.888888889,4/25/2019,3.333333333
4/25/2020,3.333333333,4/26/2019,13
4/26/2020,13,4/27/2019,9.111111111
4/27/2020,9.111111111,4/28/2019,12.66666667
4/28/2020,12.66666667,4/29/2019,13.88888889
4/29/2020,13.88888889,4/30/2019,22.11111111
4/30/2020,22.11111111,5/1/2019,21.22222222
5/1/2020,21.22222222,5/2/2019,0
5/2/2020,0,5/3/2019,43.88888889
5/3/2020,43.88888889,5/4/2019,58.77777778
5/4/2020,58.77777778,5/5/2019,31.88888889
5/5/2020,31.88888889,5/6/2019,20.44444444
5/6/2020,20.44444444,5/7/2019,20.77777778
5/7/2020,20.77777778,5/8/2019,6.333333333
5/8/2020,6.333333333,5/9/2019,3.888888889
5/9/2020,3.888888889,5/10/2019,0
5/10/2020,0,5/11/2019,0
5/11/2020,0,5/12/2019,0
5/12/2020,0,5/13/2019,19.88888889
5/13/2020,19.88888889,5/14/2019,31.44444444
5/14/2020,31.44444444,5/15/2019,64.55555556
5/15/2020,64.55555556,5/16/2019,27.77777778
5/16/2020,27.77777778,5/17/2019,22.22222222
5/17/2020,22.22222222,5/18/2019,17
5/18/2020,17,5/19/2019,0
5/19/2020,0,5/20/2019,0
5/20/2020,0,5/21/2019,0
5/21/2020,0,5/22/2019,0
5/22/2020,0,5/23/2019,0.444444444
5/23/2020,0.444444444,5/24/2019,42.66666667
5/24/2020,42.66666667,5/25/2019,22.22222222
5/25/2020,22.22222222,5/26/2019,22.22222222
5/26/2020,22.22222222,5/27/2019,18.33333333
5/27/2020,18.33333333,5/28/2019,27.44444444
5/28/2020,27.44444444,5/29/2019,13.77777778
5/29/2020,13.77777778,5/30/2019,0
5/30/2020,0,5/31/2019,18.66666667
5/31/2020,18.66666667,6/1/2019,0
6/1/2020,0,6/2/2019,0
6/2/2020,0,6/3/2019,0
6/3/2020,0,6/4/2019,0
6/4/2020,0,6/5/2019,0
6/5/2020,0,6/6/2019,0
6/6/2020,0,6/7/2019,0
6/7/2020,0,6/8/2019,0
6/8/2020,0,6/9/2019,0
6/9/2020,0,6/10/2019,0
6/10/2020,0,6/11/2019,0
6/11/2020,0,6/12/2019,0
6/12/2020,0,6/13/2019,0
6/13/2020,0,6/14/2019,33.33333333
6/14/2020,33.33333333,6/15/2019,32.88888889
6/15/2020,32.88888889,6/16/2019,33.22222222
6/16/2020,33.22222222,6/17/2019,0
6/17/2020,0,6/18/2019,0
6/18/2020,0,6/19/2019,0
6/19/2020,0,6/20/2019,33.33333333
6/20/2020,33.33333333,6/21/2019,0
6/21/2020,0,6/22/2019,0
6/22/2020,0,6/23/2019,33.33333333
6/23/2020,33.33333333,6/24/2019,0
6/24/2020,0,6/25/2019,0
6/25/2020,0,6/26/2019,0
6/26/2020,0,6/27/2019,0
6/27/2020,0,6/28/2019,0
6/28/2020,0,6/29/2019,0
6/29/2020,0,6/30/2019,0
6/30/2020,0,7/1/2019,0
7/1/2020,0,7/2/2019,0
7/2/2020,0,7/3/2019,0
7/3/2020,0,7/4/2019,0
7/4/2020,0,7/5/2019,0
7/5/2020,0,7/6/2019,33.22222222
7/6/2020,33.22222222,7/7/2019,0
7/7/2020,0,7/8/2019,0
7/8/2020,0,7/9/2019,0
7/9/2020,0,7/10/2019,0
7/10/2020,0,7/11/2019,0
7/11/2020,0,7/12/2019,0
7/12/2020,0,7/13/2019,0
7/13/2020,0,7/14/2019,0
7/14/2020,0,7/15/2019,0
7/15/2020,0,7/16/2019,0
7/16/2020,0,7/17/2019,0
7/17/2020,0,7/18/2019,0
7/18/2020,0,7/19/2019,0
7/19/2020,0,7/20/2019,0
7/20/2020,0,7/21/2019,0
7/21/2020,0,7/22/2019,0
7/22/2020,0,7/23/2019,0
7/23/2020,0,7/24/2019,0
7/24/2020,0,7/25/2019,0
7/25/2020,0,7/26/2019,0
7/26/2020,0,7/27/2019,0
7/27/2020,0,7/28/2019,0
7/28/2020,0,7/29/2019,0
7/29/2020,0,7/30/2019,0
7/30/2020,0,7/31/2019,0
7/31/2020,0,8/1/2019,0
8/1/2020,0,8/2/2019,0
8/2/2020,0,8/3/2019,0
8/3/2020,0,8/4/2019,0
8/4/2020,0,8/5/2019,0
8/5/2020,0,8/6/2019,0
8/6/2020,0,8/7/2019,0
8/7/2020,0,8/8/2019,0
8/8/2020,0,8/9/2019,0
8/9/2020,0,8/10/2019,0
8/10/2020,0,8/11/2019,0
8/11/2020,0,8/12/2019,0
8/12/2020,0,8/13/2019,0
8/13/2020,0,8/14/2019,0
8/14/2020,0,8/15/2019,0
8/15/2020,0,8/16/2019,0
8/16/2020,0,8/17/2019,0
8/17/2020,0,8/18/2019,0
8/18/2020,0,8/19/2019,0
8/19/2020,0,8/20/2019,0
8/20/2020,0,8/21/2019,0
8/21/2020,0,8/22/2019,0
8/22/2020,0,8/23/2019,0
8/23/2020,0,8/24/2019,0
8/24/2020,0,8/25/2019,0
8/25/2020,0,8/26/2019,0
8/26/2020,0,8/27/2019,0
8/27/2020,0,8/28/2019,0
8/28/2020,0,8/29/2019,0
8/29/2020,0,8/30/2019,0
8/30/2020,0,8/31/2019,0
8/31/2020,0,9/1/2019,0
9/1/2020,0,9/2/2019,0
9/2/2020,0,9/3/2019,33.33333333
9/3/2020,33.33333333,9/4/2019,33.33333333
9/4/2020,33.33333333,9/5/2019,0
9/5/2020,0,9/6/2019,0
9/6/2020,0,9/7/2019,0
9/7/2020,0,9/8/2019,0
9/8/2020,0,9/9/2019,0
9/9/2020,0,9/10/2019,33.33333333
9/10/2020,33.33333333,9/11/2019,33.33333333
9/11/2020,33.33333333,9/12/2019,0
9/12/2020,0,9/13/2019,0
9/13/2020,0,9/14/2019,33.33333333
9/14/2020,33.33333333,9/15/2019,33.33333333
9/15/2020,33.33333333,9/16/2019,0
9/16/2020,0,9/17/2019,66.66666667
9/17/2020,66.66666667,9/18/2019,33.33333333
9/18/2020,33.33333333,9/19/2019,33.33333333
9/19/2020,33.33333333,9/20/2019,66.66666667
9/20/2020,66.66666667,9/21/2019,33.33333333
9/21/2020,33.33333333,9/22/2019,33.33333333
9/22/2020,33.33333333,9/23/2019,100
9/23/2020,100,9/24/2019,33.33333333
9/24/2020,33.33333333,9/25/2019,33.33333333
9/25/2020,33.33333333,9/26/2019,66.66666667
9/26/2020,66.66666667,9/27/2019,66.66666667
9/27/2020,66.66666667,9/28/2019,33.33333333
9/28/2020,33.33333333,9/29/2019,66.66666667
9/29/2020,66.66666667,9/30/2019,33.33333333
9/30/2020,33.33333333,10/1/2019,33.33333333
10/1/2020,33.33333333,10/2/2019,33.33333333
10/2/2020,33.33333333,10/3/2019,33.33333333
10/3/2020,33.33333333,10/4/2019,33.33333333
10/4/2020,33.33333333,10/5/2019,66.66666667
10/5/2020,66.66666667,10/6/2019,0
10/6/2020,0,10/7/2019,33.33333333
10/7/2020,33.33333333,10/8/2019,66.66666667
10/8/2020,66.66666667,10/9/2019,66.66666667
10/9/2020,66.66666667,10/10/2019,33.33333333
10/10/2020,33.33333333,10/11/2019,66.66666667
10/11/2020,66.66666667,10/12/2019,33.33333333
10/12/2020,33.33333333,10/13/2019,33.33333333
10/13/2020,33.33333333,10/14/2019,33.33333333
10/14/2020,33.33333333,10/15/2019,64.11111111
10/15/2020,64.11111111,10/16/2019,63.22222222
10/16/2020,63.22222222,10/17/2019,12.55555556
10/17/2020,12.55555556,10/18/2019,0
10/18/2020,0,10/19/2019,0
10/19/2020,0,10/20/2019,0
10/20/2020,0,10/21/2019,0
10/21/2020,0,10/22/2019,0
10/22/2020,0,10/23/2019,33.33333333
10/23/2020,33.33333333,10/24/2019,33.33333333
10/24/2020,33.33333333,10/25/2019,33.33333333
10/25/2020,33.33333333,10/26/2019,33.33333333
10/26/2020,33.33333333,10/27/2019,0
10/27/2020,0,10/28/2019,0
10/28/2020,0,10/29/2019,0
10/29/2020,0,10/30/2019,0
10/30/2020,0,10/31/2019,22.22222222
10/31/2020,22.22222222,11/1/2019,22.22222222
11/1/2020,22.22222222,11/2/2019,36.66666667
11/2/2020,36.66666667,11/3/2019,37.44444444
11/3/2020,37.44444444,11/4/2019,0
11/4/2020,0,11/5/2019,36.77777778
11/5/2020,36.77777778,11/6/2019,55.44444444
11/6/2020,55.44444444,11/7/2019,45.88888889
11/7/2020,45.88888889,11/8/2019,9.333333333
11/8/2020,9.333333333,11/9/2019,0
11/9/2020,0,11/10/2019,43.66666667
11/10/2020,43.66666667,11/11/2019,37.66666667
11/11/2020,37.66666667,11/12/2019,34.77777778
11/12/2020,34.77777778,11/13/2019,16.33333333
11/13/2020,16.33333333,11/14/2019,43
11/14/2020,43,11/15/2019,19.22222222
11/15/2020,19.22222222,11/16/2019,48
11/16/2020,48,11/17/2019,37.44444444
11/17/2020,37.44444444,11/18/2019,18.88888889
11/18/2020,18.88888889,11/19/2019,15.77777778
11/19/2020,15.77777778,11/20/2019,35.44444444
11/20/2020,35.44444444,11/21/2019,56.33333333
11/21/2020,56.33333333,11/22/2019,59
11/22/2020,59,11/23/2019,22.22222222
11/23/2020,22.22222222,11/24/2019,16
11/24/2020,16,11/25/2019,14.44444444
11/25/2020,14.44444444,11/26/2019,20
11/26/2020,20,11/27/2019,20.77777778
11/27/2020,20.77777778,11/28/2019,20.88888889
11/28/2020,20.88888889,11/29/2019,20.33333333
11/29/2020,20.33333333,11/30/2019,0
11/30/2020,0,12/1/2019,21.66666667
12/1/2020,21.66666667,12/2/2019,54.22222222
12/2/2020,54.22222222,12/3/2019,29.33333333
12/3/2020,29.33333333,12/4/2019,30.11111111
12/4/2020,30.11111111,12/5/2019,53.44444444
12/5/2020,53.44444444,12/6/2019,5.888888889
12/6/2020,5.888888889,12/7/2019,32
12/7/2020,32,12/8/2019,27.88888889
12/8/2020,27.88888889,12/9/2019,30.44444444
12/9/2020,30.44444444,12/10/2019,12.77777778
12/10/2020,12.77777778,12/11/2019,10
12/11/2020,10,12/12/2019,7.666666667
12/12/2020,7.666666667,12/13/2019,23.44444444
