,Leap Year,,Normal Year
Day,RegWCA,Day,RegWCA
1/1/2020,517,1/1/2019,517
1/2/2020,517.1111111,1/2/2019,517.1111111
1/3/2020,393.8888889,1/3/2019,393.8888889
1/4/2020,621.6666667,1/4/2019,621.6666667
1/5/2020,509.6666667,1/5/2019,509.6666667
1/6/2020,568.7777778,1/6/2019,568.7777778
1/7/2020,565.6666667,1/7/2019,565.6666667
1/8/2020,561.1111111,1/8/2019,561.1111111
1/9/2020,403.3333333,1/9/2019,403.3333333
1/10/2020,458.3333333,1/10/2019,458.3333333
1/11/2020,560.5555556,1/11/2019,560.5555556
1/12/2020,602.7777778,1/12/2019,602.7777778
1/13/2020,619.4444444,1/13/2019,619.4444444
1/14/2020,495.3333333,1/14/2019,495.3333333
1/15/2020,395.8888889,1/15/2019,395.8888889
1/16/2020,434.6666667,1/16/2019,434.6666667
1/17/2020,365.2222222,1/17/2019,365.2222222
1/18/2020,332.5555556,1/18/2019,332.5555556
1/19/2020,468.3333333,1/19/2019,468.3333333
1/20/2020,455.3333333,1/20/2019,455.3333333
1/21/2020,441.2222222,1/21/2019,441.2222222
1/22/2020,277.8888889,1/22/2019,277.8888889
1/23/2020,267.6666667,1/23/2019,267.6666667
1/24/2020,272,1/24/2019,272
1/25/2020,244.7777778,1/25/2019,244.7777778
1/26/2020,494.1111111,1/26/2019,494.1111111
1/27/2020,320.8888889,1/27/2019,320.8888889
1/28/2020,286,1/28/2019,286
1/29/2020,317.5555556,1/29/2019,317.5555556
1/30/2020,257,1/30/2019,257
1/31/2020,278.4444444,1/31/2019,278.4444444
2/1/2020,218.2222222,2/1/2019,218.2222222
2/2/2020,369.2222222,2/2/2019,369.2222222
2/3/2020,435.6666667,2/3/2019,435.6666667
2/4/2020,579.3333333,2/4/2019,579.3333333
2/5/2020,373.2222222,2/5/2019,373.2222222
2/6/2020,457.2222222,2/6/2019,457.2222222
2/7/2020,476.5555556,2/7/2019,476.5555556
2/8/2020,533.3333333,2/8/2019,533.3333333
2/9/2020,405,2/9/2019,405
2/10/2020,556.2222222,2/10/2019,556.2222222
2/11/2020,606.4444444,2/11/2019,606.4444444
2/12/2020,471.4444444,2/12/2019,471.4444444
2/13/2020,500.6666667,2/13/2019,500.6666667
2/14/2020,504.3333333,2/14/2019,504.3333333
2/15/2020,529.3333333,2/15/2019,529.3333333
2/16/2020,393,2/16/2019,393
2/17/2020,465.5555556,2/17/2019,465.5555556
2/18/2020,477,2/18/2019,477
2/19/2020,443.5555556,2/19/2019,443.5555556
2/20/2020,448.8888889,2/20/2019,448.8888889
2/21/2020,456.6666667,2/21/2019,456.6666667
2/22/2020,435.7777778,2/22/2019,435.7777778
2/23/2020,405.7777778,2/23/2019,405.7777778
2/24/2020,294.8888889,2/24/2019,294.8888889
2/25/2020,323.7777778,2/25/2019,323.7777778
2/26/2020,290.2222222,2/26/2019,290.2222222
2/27/2020,393.7777778,2/27/2019,393.7777778
2/28/2020,330.5555556,2/28/2019,330.5555556
2/29/2020,398.7777778,3/1/2019,205.3333333
3/1/2020,205.3333333,3/2/2019,211.8888889
3/2/2020,211.8888889,3/3/2019,256.1111111
3/3/2020,256.1111111,3/4/2019,357.1111111
3/4/2020,357.1111111,3/5/2019,306.3333333
3/5/2020,306.3333333,3/6/2019,291.6666667
3/6/2020,291.6666667,3/7/2019,339.7777778
3/7/2020,339.7777778,3/8/2019,328.6666667
3/8/2020,328.6666667,3/9/2019,335.6666667
3/9/2020,335.6666667,3/10/2019,239.4444444
3/10/2020,239.4444444,3/11/2019,249.2222222
3/11/2020,249.2222222,3/12/2019,195.3333333
3/12/2020,195.3333333,3/13/2019,197.2222222
3/13/2020,197.2222222,3/14/2019,171.5555556
3/14/2020,171.5555556,3/15/2019,186
3/15/2020,186,3/16/2019,227.6666667
3/16/2020,227.6666667,3/17/2019,287.4444444
3/17/2020,287.4444444,3/18/2019,355.7777778
3/18/2020,355.7777778,3/19/2019,428.8888889
