Date,"EOD Stg(ft,NGVD)",Net Inflow,LOSAdmd,LOSAsup,C44Runoff,SLTRIB,S308BK,S308RG,STEST,S80,C43Runoff,S77BK,S77RG,CAEST,S79,RegWCA,RegL8C51,ETVOL,et_open,et_litoral,et_dry,CE_SAL,MA_CESAL
30-Dec-99,16.118,-160.1328675,257.17,257.17,0,8.04,0,0,0,0,2.697265625,0,647.3027344,0,650,0,127.817337,3443,0.087354461,0.104819807,0.02253886,3.52,4.18
31-Dec-99,16.098,407.5147428,507.59,507.59,225.9999996,7.04,0,0,0,0,4.940734863,0,645.0592651,0,650,0,112.0341034,3254,0.082574017,0.099098639,0.021705426,3.58,4.21
1-Jan-00,16.074,-2535.303436,1051.9,1051.9,70.99999959,5.47,0,0,0,0,0,0,650,0,650,0,99.68106079,3164,0.080270821,0.096371876,0.020876289,3.63,4.24
2-Jan-00,16.062,1460.125801,2014.25,2014.25,297.9999999,5.47,0,0,0,0,0,0,650,0,650,0,81.17237854,4225,0.107204911,0.128680014,0.027763496,3.69,4.27
3-Jan-00,16.054,2614.157746,1971.61,1971.61,0,9.2,0,0,0,0,0,0,650,0,650,0,75.23652649,3913,0.099285514,0.119191801,0.026086957,3.73,4.3
4-Jan-00,16.042,-163.5767948,1536.64,1536.64,0,6.55,0,0,0,0,0,0,650,0,650,0,67.9848938,3113,0.079026906,0.094840152,0.020663265,3.76,4.34
5-Jan-00,16.026,-1837.633105,1417.97,1417.97,0,6.11,0,0,0,0,0,0,650,0,650,0,55.39733887,3945,0.100098514,0.120113489,0.026020408,3.79,4.37
6-Jan-00,16.014,-746.9926432,1573.3,1573.3,0,4.92,0,0,0,0,0,0,650,0,650,0,44.51028442,3685,0.093532481,0.112296993,0.024489796,3.81,4.4
7-Jan-00,16.008,2060.897246,1761.88,1761.88,0,5.2,0,0,0,0,0,0,650,0,650,0,42.55783081,3564,0.090458661,0.108527909,0.023664122,3.79,4.46
8-Jan-00,15.996,-1512.054046,2001.33,2001.33,0,5.97,0,0,0,0,0,0,650,0,650,0,32.453125,4084,0.103677713,0.124443141,0.027341772,3.72,4.48
9-Jan-00,15.998,4818.116363,2581.76,2581.76,35,6.48,0,0,0,0,0,0,650,0,650,0,20.753479,3844,0.097596295,0.117062773,0.025692695,3.72,4.54
10-Jan-00,15.994,3510.577496,3058.45,3058.45,0,4.99,0,0,0,0,0,0,650,0,650,0,17.5614624,4829,0.122613365,0.147059984,0.03241206,3.75,4.61
11-Jan-00,15.976,175.0992424,2810.18,2810.18,0,4.8,0,0,0,0,0,0,650,0,650,0,12.49060059,4395,0.11161578,0.133970754,0.029323308,3.81,4.69
12-Jan-00,15.948,-712.1373692,2798.15,2798.15,0,2.5,0,0,0,0,0,0,650,0,650,0,2.872436523,4844,0.123028412,0.147676143,0.03225,3.87,4.72
13-Jan-00,15.918,212.8637915,2861.33,2861.33,0,2.55,0,0,0,0,0,0,650,0,650,0,1.763824463,3916,0.099447687,0.11942278,0.02625,3.94,4.74
14-Jan-00,15.836,-24580.02472,3189.64,3189.64,0.999999168,3.08,0,0,0,0,0,0,650,0,650,0,0,4864,0.123497347,0.148199353,0.03225,4,4.76
15-Jan-00,15.796,-7458.054779,3119.25,3119.25,0,3.66,0,0,0,0,0,0,650,0,650,0,0,4238,0.107645096,0.129069559,0.028428928,4.07,4.79
16-Jan-00,15.768,-3457.528041,2621.3,2621.3,43.99999956,4.56,0,0,0,0,0,0,650,0,650,0,0,3828,0.097238145,0.116769647,0.025247525,4.14,4.82
17-Jan-00,15.75,710.7929674,2963.26,2963.26,0,3.73,0,0,0,0,0,0,650,0,650,0,0,4427,0.112488243,0.135081656,0.02955665,4.2,4.84
18-Jan-00,15.728,-2260.07138,2789.64,2789.64,0,1.57,0,0,0,0,0,0,650,0,650,0,0,4532,0.115171295,0.13815786,0.03007335,4.25,4.87
19-Jan-00,15.716,1610.472307,2048.33,2048.33,0,0.81,0,0,0,0,0,0,650,0,650,0,0,3128,0.079539071,0.095441565,0.021116505,4.29,4.9
20-Jan-00,15.702,-396.2635659,2831.35,2831.35,0,1.39,0,0,0,0,0,0,650,0,650,0,0,4939,0.12561834,0.150703877,0.03253012,4.33,4.93
21-Jan-00,15.672,-7994.052142,3054.81,3054.81,0,0.01,0,0,0,0,0,0,650,0,650,0,0,5569,0.141652547,0.170018537,0.036690647,4.36,4.97
22-Jan-00,15.65,-4920.371483,2046.64,2046.64,0,0.6,0,0,0,0,0,0,650,0,650,0,0,3940,0.100235522,0.120285077,0.026555024,4.37,5
23-Jan-00,15.642,1302.077043,2171.96,2171.96,35,1.43,0,0,0,0,0,0,650,0,650,0,0,4391,0.111722147,0.134018915,0.029285714,4.38,5.04
24-Jan-00,15.678,17751.42167,205.78,205.78,66,6.9,0,0,0,0,0,0,650,0,650,0,77.88323975,3649,0.092846721,0.1113453,0.024170616,4.4,5.09
25-Jan-00,15.692,6606.804012,120.53,120.53,140,2.23,0,0,0,0,182.6519775,0,467.3480225,0,650,0,63.98680115,4244,0.108041338,0.129637849,0.028301887,4.29,5.13
26-Jan-00,15.692,3012.245802,114.38,114.38,0,1.95,0,0,0,0,128.4411621,0,521.5588379,0,650,0,0,3828,0.097419118,0.116889928,0.025531915,4.15,5.17
27-Jan-00,15.68,-2501.028601,120.08,120.08,0,1.76,0,0,0,0,117.3907471,0,532.6092529,0,650,0,64.85583496,4019,0.102258702,0.122728917,0.026428571,4.13,5.17
28-Jan-00,15.67,-4242.066169,175.19,175.19,35,2.16,0,0,0,0,104.4223633,0,545.5776367,0,650,0,49.96392822,2860,0.0727709,0.087330403,0.019331742,4.15,5.16
29-Jan-00,15.672,1600.145764,219.45,219.45,279,1.48,0,0,0,0,89.9864502,0,560.0135498,0,650,0,40.45388794,4461,0.113509045,0.13622173,0.02985782,4.18,5.11
30-Jan-00,15.674,1713.203163,120.45,120.45,253,2.72,0,0,0,0,76.12597656,0,573.8740234,0,650,0,0,3944,0.100352753,0.12044462,0.026179245,4.24,5.13
31-Jan-00,15.652,-8790.187408,141.31,141.31,0,3.8,0,0,0,0,63.97937012,0,586.0206299,0,650,0,64.58148193,3228,0.082160758,0.098537168,0.021176471,4.28,5.16
1-Feb-00,15.628,-9221.061816,175.23,175.23,0,10.58,0,0,0,0,52.10467529,0,597.8952637,0,649.999939,0,50.29272461,3588,0.091700711,0.110068429,0.015972222,4.33,5.19
