Date,SLTRIB
30-Dec-07,
31-Dec-07,
1-Jan-08,23.39
2-Jan-08,18.54
3-Jan-08,15.99
4-Jan-08,16.1
5-Jan-08,18.85
6-Jan-08,20.61
7-Jan-08,25.54
8-Jan-08,35.43
9-Jan-08,28.81
10-Jan-08,19.64
11-Jan-08,21.23
12-Jan-08,17.06
13-Jan-08,16.49
14-Jan-08,17.95
15-Jan-08,19.65
16-Jan-08,17.34
17-Jan-08,16.77
18-Jan-08,15.64
19-Jan-08,14.48
20-Jan-08,18.5
21-Jan-08,16.43
22-Jan-08,20.98
23-Jan-08,18.77
24-Jan-08,14.31
25-Jan-08,10.77
26-Jan-08,10.6
27-Jan-08,10.74
28-Jan-08,10.2
29-Jan-08,10.18
30-Jan-08,9.22
31-Jan-08,8.83
1-Feb-08,9.85
2-Feb-08,9.93
3-Feb-08,8.88
4-Feb-08,7.68
5-Feb-08,9.77
6-Feb-08,10.12
7-Feb-08,9.9
8-Feb-08,7.82
9-Feb-08,3.03
10-Feb-08,2.7
11-Feb-08,4.62
12-Feb-08,10.13
13-Feb-08,14.09
14-Feb-08,10.18
15-Feb-08,11.54
16-Feb-08,12.05
17-Feb-08,12.73
18-Feb-08,12.54
19-Feb-08,11.99
20-Feb-08,11.68
21-Feb-08,14.33
22-Feb-08,13.17
23-Feb-08,12.79
24-Feb-08,11.78
25-Feb-08,11.11
26-Feb-08,10.43
27-Feb-08,8.58
28-Feb-08,7.02
29-Feb-08,9.3
1-Mar-08,9.83
2-Mar-08,9.57
3-Mar-08,9.21
4-Mar-08,13.39
5-Mar-08,16.62
6-Mar-08,18.51
7-Mar-08,16.54
8-Mar-08,212.85
9-Mar-08,26.73
10-Mar-08,193.7
11-Mar-08,40.9
12-Mar-08,158.16
13-Mar-08,29.05
14-Mar-08,25.93
15-Mar-08,41.07
16-Mar-08,18.85
17-Mar-08,13.71
18-Mar-08,15.35
19-Mar-08,15.03
20-Mar-08,13.53
21-Mar-08,13.68
22-Mar-08,15.11
23-Mar-08,16.73
24-Mar-08,15.47
25-Mar-08,15.98
26-Mar-08,17.21
27-Mar-08,40.07
28-Mar-08,17.5
29-Mar-08,14.54
30-Mar-08,15.98
31-Mar-08,18.88
1-Apr-08,18.33
2-Apr-08,16.3
3-Apr-08,15.41
4-Apr-08,15.54
5-Apr-08,15.28
6-Apr-08,21.65
7-Apr-08,1078.34
8-Apr-08,611.36
9-Apr-08,401.07
10-Apr-08,355.09
11-Apr-08,203.11
12-Apr-08,34.55
13-Apr-08,36.47
14-Apr-08,31.46
15-Apr-08,20.66
16-Apr-08,17.75
17-Apr-08,17.28
18-Apr-08,16.37
19-Apr-08,16.86
20-Apr-08,17.81
21-Apr-08,17.44
22-Apr-08,16.21
23-Apr-08,14.09
24-Apr-08,11.98
25-Apr-08,11.55
26-Apr-08,11.09
27-Apr-08,10.78
28-Apr-08,10.15
29-Apr-08,9.35
30-Apr-08,8.16
1-May-08,7.11
2-May-08,6.58
3-May-08,6.52
4-May-08,6.14
5-May-08,5.96
6-May-08,5.01
7-May-08,5.07
8-May-08,6.27
9-May-08,7.41
10-May-08,5.06
11-May-08,4.44
12-May-08,2.29
13-May-08,1.13
14-May-08,2.18
15-May-08,4.45
16-May-08,3.74
17-May-08,1.66
18-May-08,1.34
19-May-08,1.31
20-May-08,1.33
21-May-08,0.75
22-May-08,2.9
23-May-08,5.96
24-May-08,7.7
25-May-08,6.95
26-May-08,5.79
27-May-08,5.68
28-May-08,3.53
29-May-08,3.12
30-May-08,3.04
31-May-08,3.28
1-Jun-08,3.23
2-Jun-08,5.02
3-Jun-08,6.12
4-Jun-08,8.61
5-Jun-08,7.94
6-Jun-08,3.56
7-Jun-08,2.66
8-Jun-08,2.71
9-Jun-08,3.25
10-Jun-08,3.59
11-Jun-08,3.89
12-Jun-08,4.68
13-Jun-08,6.57
14-Jun-08,8.07
15-Jun-08,95.08
16-Jun-08,345.49
17-Jun-08,506.22
18-Jun-08,178.95
19-Jun-08,495.09
20-Jun-08,980.11
21-Jun-08,416.86
22-Jun-08,7.82
23-Jun-08,6.02
24-Jun-08,6.39
25-Jun-08,65.36
26-Jun-08,893.32
27-Jun-08,340.35
28-Jun-08,9.58
29-Jun-08,327.63
30-Jun-08,926.68
1-Jul-08,899.95
2-Jul-08,600.36
3-Jul-08,602.8
4-Jul-08,609.2
5-Jul-08,607.12
6-Jul-08,605.21
7-Jul-08,829.58
8-Jul-08,1158.8
9-Jul-08,1085.06
10-Jul-08,831.77
11-Jul-08,624.84
12-Jul-08,311.74
13-Jul-08,316.53
14-Jul-08,554.16
15-Jul-08,768.73
16-Jul-08,1078.75
17-Jul-08,721.14
18-Jul-08,500.24
19-Jul-08,391.5
20-Jul-08,207.46
21-Jul-08,212.64
22-Jul-08,220.01
23-Jul-08,222.14
24-Jul-08,361.86
25-Jul-08,793.38
26-Jul-08,254.87
27-Jul-08,367.4
28-Jul-08,732.15
29-Jul-08,1028.7
30-Jul-08,950.79
31-Jul-08,628.6
1-Aug-08,622.26
2-Aug-08,340.39
3-Aug-08,217.9
4-Aug-08,198.37
5-Aug-08,361.02
6-Aug-08,389.88
7-Aug-08,500.32
8-Aug-08,570.83
9-Aug-08,471.35
10-Aug-08,191.05
11-Aug-08,97.54
12-Aug-08,477.91
