Date,SLTRIB
30-Dec-99,8.04
31-Dec-99,7.04
1-Jan-00,5.47
2-Jan-00,5.47
3-Jan-00,9.2
4-Jan-00,6.55
5-Jan-00,6.11
6-Jan-00,4.92
7-Jan-00,5.2
8-Jan-00,5.97
9-Jan-00,6.48
10-Jan-00,4.99
11-Jan-00,4.8
12-Jan-00,2.5
13-Jan-00,2.55
14-Jan-00,3.08
15-Jan-00,3.66
16-Jan-00,4.56
17-Jan-00,3.73
18-Jan-00,1.57
19-Jan-00,0.81
20-Jan-00,1.39
21-Jan-00,0.01
22-Jan-00,0.6
23-Jan-00,1.43
24-Jan-00,6.9
25-Jan-00,2.23
26-Jan-00,1.95
27-Jan-00,1.76
28-Jan-00,2.16
29-Jan-00,1.48
30-Jan-00,2.72
31-Jan-00,3.8
1-Feb-00,10.58
2-Feb-00,4.33
3-Feb-00,5.19
4-Feb-00,4.63
5-Feb-00,4.08
6-Feb-00,3.6
7-Feb-00,3.08
8-Feb-00,4.82
9-Feb-00,6.05
10-Feb-00,3.92
11-Feb-00,4.59
12-Feb-00,4.83
13-Feb-00,4.1
14-Feb-00,3.28
15-Feb-00,3.33
16-Feb-00,5.71
17-Feb-00,4.27
18-Feb-00,3.43
19-Feb-00,3.16
20-Feb-00,4.03
21-Feb-00,4.55
22-Feb-00,2.02
23-Feb-00,1.61
24-Feb-00,3.24
25-Feb-00,4.25
26-Feb-00,4.28
27-Feb-00,4.61
28-Feb-00,4.63
29-Feb-00,5.75
1-Mar-00,2.37
2-Mar-00,1.77
3-Mar-00,0.89
4-Mar-00,0.58
5-Mar-00,0.08
6-Mar-00,0.13
7-Mar-00,0.1
8-Mar-00,0.02
9-Mar-00,0.1
10-Mar-00,0.04
11-Mar-00,1.51
12-Mar-00,2.23
13-Mar-00,2.43
14-Mar-00,2.21
15-Mar-00,0.61
16-Mar-00,0.69
17-Mar-00,1.99
18-Mar-00,2.7
19-Mar-00,5.44
20-Mar-00,4.37
21-Mar-00,1.96
22-Mar-00,2.14
23-Mar-00,2.11
24-Mar-00,2.76
25-Mar-00,4.05
26-Mar-00,2.58
27-Mar-00,1.02
28-Mar-00,1.18
29-Mar-00,2.12
30-Mar-00,0.8
31-Mar-00,0.68
1-Apr-00,1.66
2-Apr-00,1.07
3-Apr-00,0.25
4-Apr-00,0.09
5-Apr-00,0
6-Apr-00,0.24
7-Apr-00,0.3
8-Apr-00,0
9-Apr-00,0
10-Apr-00,0
11-Apr-00,0
12-Apr-00,0
13-Apr-00,0
14-Apr-00,1.86
15-Apr-00,2.97
16-Apr-00,2.66
17-Apr-00,3.55
18-Apr-00,476.55
19-Apr-00,7.1
20-Apr-00,29.54
21-Apr-00,266.58
22-Apr-00,9.3
23-Apr-00,0.83
24-Apr-00,5.51
25-Apr-00,1.03
26-Apr-00,0.07
27-Apr-00,0.17
28-Apr-00,0.12
29-Apr-00,0.01
30-Apr-00,0.01
1-May-00,0
2-May-00,0
3-May-00,0
4-May-00,0
5-May-00,0
6-May-00,0
7-May-00,0
8-May-00,0
9-May-00,0
10-May-00,0
11-May-00,0
12-May-00,0
13-May-00,0
14-May-00,0
15-May-00,0
16-May-00,0
17-May-00,0
18-May-00,0
19-May-00,0
20-May-00,0
21-May-00,0
22-May-00,0
23-May-00,0
24-May-00,0
25-May-00,0
26-May-00,0
27-May-00,0
28-May-00,0
29-May-00,0
30-May-00,0
31-May-00,0
1-Jun-00,0
2-Jun-00,0
3-Jun-00,0
4-Jun-00,0
5-Jun-00,0
6-Jun-00,0
7-Jun-00,0
8-Jun-00,0
9-Jun-00,0
10-Jun-00,0
11-Jun-00,0
12-Jun-00,0
13-Jun-00,0
14-Jun-00,0
15-Jun-00,0
16-Jun-00,0
17-Jun-00,0
18-Jun-00,0
19-Jun-00,0
20-Jun-00,0
21-Jun-00,0
22-Jun-00,0
23-Jun-00,0.57
24-Jun-00,0
25-Jun-00,0
26-Jun-00,0
27-Jun-00,1.85
28-Jun-00,2.74
29-Jun-00,2.59
30-Jun-00,186.85
1-Jul-00,104.06
2-Jul-00,7.59
3-Jul-00,134.13
4-Jul-00,104.86
5-Jul-00,6.41
6-Jul-00,11.52
7-Jul-00,286.97
8-Jul-00,840.79
9-Jul-00,1151.46
10-Jul-00,55.04
11-Jul-00,589.28
12-Jul-00,728.98
13-Jul-00,345.02
14-Jul-00,582.66
15-Jul-00,604.38
16-Jul-00,7.23
17-Jul-00,296.5
18-Jul-00,615.68
19-Jul-00,445.14
20-Jul-00,7.52
21-Jul-00,243.24
22-Jul-00,146.37
23-Jul-00,113.73
24-Jul-00,241.65
25-Jul-00,690.9
26-Jul-00,593.84
27-Jul-00,289.47
28-Jul-00,285.86
29-Jul-00,95.9
30-Jul-00,97.28
31-Jul-00,1177.3
1-Aug-00,946.43
2-Aug-00,20.62
3-Aug-00,210.83
4-Aug-00,555.7
5-Aug-00,716.82
6-Aug-00,1183.02
7-Aug-00,1674.67
8-Aug-00,1993.78
9-Aug-00,592.69
10-Aug-00,525.76
11-Aug-00,566.32
12-Aug-00,238.65
13-Aug-00,237.57
14-Aug-00,242.66
15-Aug-00,241.48
16-Aug-00,243.56
17-Aug-00,498.13
18-Aug-00,514.59
19-Aug-00,238.15
20-Aug-00,23.05
21-Aug-00,25.2
22-Aug-00,132.13
23-Aug-00,242.02
24-Aug-00,242.75
25-Aug-00,235.8
26-Aug-00,227.11
27-Aug-00,109.3
28-Aug-00,41.69
29-Aug-00,37.56
30-Aug-00,36.55
31-Aug-00,31.19
1-Sep-00,25.22
2-Sep-00,20.21
3-Sep-00,18.65
4-Sep-00,17.97
5-Sep-00,17.93
6-Sep-00,18.45
7-Sep-00,19.74
8-Sep-00,20.6
9-Sep-00,21.62
10-Sep-00,20.29
11-Sep-00,28.34
12-Sep-00,22.39
13-Sep-00,23.2
14-Sep-00,24.81
15-Sep-00,25.5
16-Sep-00,25.57
17-Sep-00,38.11
18-Sep-00,464.56
19-Sep-00,1863.8
20-Sep-00,834.75
21-Sep-00,393.26
22-Sep-00,143.11
23-Sep-00,145.13
24-Sep-00,138.58
25-Sep-00,208.9
26-Sep-00,281.85
27-Sep-00,610.04
28-Sep-00,795.91
29-Sep-00,754.19
30-Sep-00,773.16
