Stage,Storage,"(stage in ft,NGVD; and storage in acre-feet)"
0,0,
1,50000,
2,150000,
3,300000,
4,420000,
5,680000,
6,920000,
7,1170000,
8,1442000,
8.5,1586000,
9,1729000,
9.5,1884000,
10,2039000,
10.5,2203000,
11,2366000,
11.5,2544000,
12,2722000,
12.5,2915000,
13,3108000,
13.5,3317000,
14,3527000,
14.5,3755000,
15,3980000,
15.5,4200000,
16,4425000,
16.5,4650000,
17,4875000,
17.5,5105000,
18,5335000,
18.5,5565000,
19,5790000,
19.5,6030000,
20,6260000,
20.5,6495000,
21,6730000,
21.5,6965000,
22,7195000,
22.5,7435000,
23,7670000,
23.5,7920000,
24,8150000,
24.5,8400000,
25,8640000,
25.5,8890000,
26,9140000,
26.5,9390000,
27,9640000,
27.5,9890000,
28,10140000,
28.5,10400000,
29,10650000,
29.5,10910000,
30,11160000,
50,20240000,
