Date,S352_Out,S351_O_cfs,S354_O_cfs,RegWCA_cfs,RegWCA_acft
30-Dec-07,0,0,0,0,0
31-Dec-07,0,0,0,0,0
1-Jan-08,0,0,0,0,0
2-Jan-08,0,0,0,0,0
3-Jan-08,0,0,0,0,0
4-Jan-08,0,0,0,0,0
5-Jan-08,0,0,0,0,0
6-Jan-08,0,0,0,0,0
7-Jan-08,0,0,0,0,0
8-Jan-08,0,0,0,0,0
9-Jan-08,0,0,0,0,0
10-Jan-08,0,0,0,0,0
11-Jan-08,0,0,0,0,0
12-Jan-08,0,0,0,0,0
13-Jan-08,0,0,0,0,0
14-Jan-08,0,0,0,0,0
15-Jan-08,0,0,0,0,0
16-Jan-08,0,0,0,0,0
17-Jan-08,0,0,0,0,0
18-Jan-08,0,0,0,0,0
19-Jan-08,0,0,0,0,0
20-Jan-08,0,0,0,0,0
21-Jan-08,0,0,0,0,0
22-Jan-08,0,0,0,0,0
23-Jan-08,0,0,0,0,0
24-Jan-08,0,0,0,0,0
25-Jan-08,0,0,0,0,0
26-Jan-08,0,0,0,0,0
27-Jan-08,0,0,0,0,0
28-Jan-08,0,0,0,0,0
29-Jan-08,0,0,0,0,0
30-Jan-08,0,0,0,0,0
31-Jan-08,0,0,0,0,0
1-Feb-08,0,0,0,0,0
2-Feb-08,0,0,0,0,0
3-Feb-08,0,0,0,0,0
4-Feb-08,0,0,0,0,0
5-Feb-08,0,0,0,0,0
6-Feb-08,0,0,0,0,0
7-Feb-08,0,0,0,0,0
8-Feb-08,0,0,0,0,0
9-Feb-08,0,0,0,0,0
10-Feb-08,0,0,0,0,0
11-Feb-08,0,0,0,0,0
12-Feb-08,0,0,0,0,0
13-Feb-08,0,0,0,0,0
14-Feb-08,0,0,0,0,0
15-Feb-08,0,0,0,0,0
16-Feb-08,0,0,0,0,0
17-Feb-08,0,0,0,0,0
18-Feb-08,0,0,0,0,0
19-Feb-08,0,0,0,0,0
20-Feb-08,0,0,0,0,0
21-Feb-08,0,0,0,0,0
22-Feb-08,0,0,0,0,0
23-Feb-08,0,0,0,0,0
24-Feb-08,0,0,0,0,0
25-Feb-08,0,0,0,0,0
26-Feb-08,0,0,0,0,0
27-Feb-08,0,0,0,0,0
28-Feb-08,0,0,0,0,0
29-Feb-08,0,0,0,0,0
1-Mar-08,0,0,0,0,0
2-Mar-08,0,0,0,0,0
3-Mar-08,0,0,0,0,0
4-Mar-08,0,0,0,0,0
5-Mar-08,0,0,0,0,0
