Count,StartDate,EndDate,NetRF,S65E,Palmer,NetInf
0,29-Dec-07,4-Jan-08,-0.642450789,141.9385714,-2.57,-4187.727775
1,5-Jan-08,11-Jan-08,-0.793917323,124.02,-2.87,798.932522
2,12-Jan-08,18-Jan-08,-0.398897639,133.13,-2.81,-1136.030394
3,19-Jan-08,25-Jan-08,-0.201112205,174.4885714,-2.46,340.6244373
4,26-Jan-08,1-Feb-08,-0.930846456,102.3971429,-2.57,-734.6692391
5,2-Feb-08,8-Feb-08,-0.756958661,91.42428571,-2.69,-1084.667111
6,9-Feb-08,15-Feb-08,0.615206694,207.3942857,-2.81,2778.217869
7,16-Feb-08,22-Feb-08,-0.605206693,130.99,-2.93,511.5121573
8,23-Feb-08,29-Feb-08,-0.894163387,119.7285714,-2.71,-1958.085347
9,1-Mar-08,7-Mar-08,0.253041338,169.3671429,-2.09,3019.556592
10,8-Mar-08,14-Mar-08,-0.486830708,529.9814286,-2.27,-283.4815803
11,15-Mar-08,21-Mar-08,-1.03179134,957.0285714,-2.67,-23.10407305
12,22-Mar-08,28-Mar-08,-0.102874015,1280.235714,-2.7,1889.922915
13,29-Mar-08,4-Apr-08,-1.083582677,1507.517143,-2.14,2344.966927
14,5-Apr-08,11-Apr-08,0.412539371,1753.038571,-0.72,4670.834996
15,12-Apr-08,18-Apr-08,-1.332716535,1453.677143,-0.94,-2464.908859
16,19-Apr-08,25-Apr-08,-1.286279527,1058.551429,-1.29,-740.1365334
17,26-Apr-08,2-May-08,-1.394350393,576.4685714,-1.39,-3568.43805
18,3-May-08,9-May-08,-0.898986221,464.6314286,-1.77,-2370.379875
19,10-May-08,16-May-08,-1.520944881,420.5685714,-2.31,-4844.11927
20,17-May-08,23-May-08,-0.419616143,274.01,-2.4,-2209.112881
21,24-May-08,30-May-08,-0.956801181,93.21428571,-2.7,-2439.289499
22,31-May-08,6-Jun-08,-1.076692913,80.96857143,-2.77,-3059.02151
23,7-Jun-08,13-Jun-08,-0.97257874,64.83,-2.67,-4262.591595
24,14-Jun-08,20-Jun-08,-0.432480315,189.9771429,-2.7,-535.8493283
25,21-Jun-08,27-Jun-08,2.479251968,212.0285714,-2.45,6430.191941
26,28-Jun-08,4-Jul-08,1.049862205,411.9728571,-2.2,8305.66459
27,5-Jul-08,11-Jul-08,-0.244448819,1039.425714,-2.25,3966.725485
28,12-Jul-08,18-Jul-08,-0.258818898,1160.364286,-1.26,4866.433793
29,19-Jul-08,25-Jul-08,0.084212597,1945.181429,-1.16,7489.790775
30,26-Jul-08,1-Aug-08,-0.556938976,2258.622857,-0.16,5306.348807
31,2-Aug-08,8-Aug-08,-0.228188976,2367.512857,-0.42,5796.103569
32,9-Aug-08,15-Aug-08,0.02492126,1506.478571,-0.8,4461.377795
33,16-Aug-08,22-Aug-08,7.053523622,6986.015714,1.99,42173.07069
34,23-Aug-08,29-Aug-08,1.336624015,15147.69857,1.96,42635.97357
35,30-Aug-08,5-Sep-08,1.618543307,11271.84,0.94,23718.86199
36,6-Sep-08,12-Sep-08,-0.887959318,6127.325714,0.11,10342.15373
37,13-Sep-08,19-Sep-08,-1.027578741,3029.505714,-0.59,1272.342577
38,20-Sep-08,26-Sep-08,-0.438917323,1418.024286,-0.66,2044.864058
39,27-Sep-08,3-Oct-08,0.289074803,403.98,-1.29,2473.040224
40,4-Oct-08,10-Oct-08,0.178671259,339.0542857,-0.65,715.6247263
41,11-Oct-08,17-Oct-08,-0.855295275,473.43,-0.53,272.0733193
42,18-Oct-08,24-Oct-08,-0.71277559,260.96,-0.54,-2336.815549
43,25-Oct-08,31-Oct-08,-0.499911416,82.55285714,-0.48,-2994.947547
44,1-Nov-08,7-Nov-08,-0.821299211,85.25142857,-0.7,-1042.871179
45,8-Nov-08,14-Nov-08,-0.854350394,181.7714286,-1.14,-1370.748869
46,15-Nov-08,21-Nov-08,-1.022539369,158.5628571,-1.29,-5213.794613
47,22-Nov-08,28-Nov-08,-0.888149605,106.7471429,-1.44,-1981.499652
48,29-Nov-08,5-Dec-08,-0.16214567,158.3414286,-1.03,6.8944516
49,6-Dec-08,12-Dec-08,-0.07730643,157.0328571,-0.71,427.809629
50,13-Dec-08,19-Dec-08,-0.58549475,250.6242857,-1.38,-447.4860854
51,20-Dec-08,26-Dec-08,-0.451996062,85.54285714,-1.57,-1284.495499
52,27-Dec-08,2-Jan-09,-0.74769685,104.8457143,-1.55,-1988.630441
53,3-Jan-09,9-Jan-09,-0.738425197,128.16,-1.76,-1348.806432
54,10-Jan-09,16-Jan-09,-0.498897639,161.1828571,-1.82,-3665.3011
55,17-Jan-09,23-Jan-09,-0.792931102,146.4542857,-1.92,-1769.561182
56,24-Jan-09,30-Jan-09,-0.624633858,168.4942857,-1.89,-652.1981504
57,31-Jan-09,6-Feb-09,-0.675866143,94.00857143,-1.62,-3548.699811
58,7-Feb-09,13-Feb-09,-0.839929133,186.22,-1.86,255.6496454
59,14-Feb-09,20-Feb-09,-0.965511812,162.8942857,-1.99,-2924.911599
60,21-Feb-09,27-Feb-09,-1.053574803,143.0271429,-2.3,-1831.080614
61,28-Feb-09,6-Mar-09,-0.983535433,109.97,-2.21,-3765.918425
62,7-Mar-09,13-Mar-09,-1.162649606,118.1857143,-2.46,-1525.756767
63,14-Mar-09,20-Mar-09,-0.578608268,125,-2.69,-945.7875143
64,21-Mar-09,27-Mar-09,-0.993090551,110.8328571,-2.87,-2341.641349
65,28-Mar-09,3-Apr-09,-0.508818896,368.9385714,-2.67,-981.6773591
66,4-Apr-09,10-Apr-09,-1.124255906,148.9728571,-2.7,-4448.72097
67,11-Apr-09,17-Apr-09,-1.112283465,158.0685714,-2.68,-2834.829649
68,18-Apr-09,24-Apr-09,-1.238070866,102.0685714,-2.86,-3129.501071
69,25-Apr-09,1-May-09,-1.348677166,132.0985714,-2.9,-3933.012113
70,2-May-09,8-May-09,-1.497291338,356.3442857,-3.16,-2276.714634
71,9-May-09,15-May-09,-0.325580708,271.3514286,-2.92,-472.1593507
72,16-May-09,22-May-09,0.758952756,537.19,0.13,2966.48302
73,23-May-09,29-May-09,2.070663386,2429.698571,1.26,9327.811588
74,30-May-09,5-Jun-09,-0.205608268,4347.107143,1.02,9413.686054
75,6-Jun-09,12-Jun-09,-0.395915355,3702.032857,0.77,7371.529403
76,13-Jun-09,19-Jun-09,-0.851874016,2873.757143,0.52,3235.6086
77,20-Jun-09,26-Jun-09,1.115716535,2536.252857,0.59,7530.166805
78,27-Jun-09,3-Jul-09,3.063970473,2798.151429,1.4,15302.54449
79,4-Jul-09,10-Jul-09,-0.835027559,2778.848571,0.79,9591.687349
80,11-Jul-09,17-Jul-09,-0.325295276,3107.647143,0.57,7915.147754
81,18-Jul-09,24-Jul-09,-0.83582677,3757.332857,0.38,3276.699102
82,25-Jul-09,31-Jul-09,-0.282431102,4058.315714,0.94,6189.181114
83,1-Aug-09,7-Aug-09,-0.564952755,3679.351429,0.34,4582.619584
84,8-Aug-09,14-Aug-09,-0.464328742,3386.707143,0.05,6016.768705
85,15-Aug-09,21-Aug-09,-0.00047441,1944.932857,-0.22,2123.786524
86,22-Aug-09,28-Aug-09,-0.574370079,1730.898571,0,2813.372642
87,29-Aug-09,4-Sep-09,0.856652137,2083.747143,-0.88,6865.728965
88,5-Sep-09,11-Sep-09,-0.351728346,2872.664286,-1.11,4603.220577
89,12-Sep-09,18-Sep-09,-0.143519685,3215.497143,-1.26,4166.24182
90,19-Sep-09,25-Sep-09,-0.684312993,2928.825714,-1.03,1800.263973
91,26-Sep-09,2-Oct-09,-0.965271654,1527.385714,-1.26,-1717.577838
92,3-Oct-09,9-Oct-09,0.084614173,468.7414286,-1.63,-637.7238834
93,10-Oct-09,16-Oct-09,-0.818537401,396.9957143,-1.39,-3236.691601
94,17-Oct-09,23-Oct-09,-0.72271063,162.7971429,-1.67,-5168.045654
95,24-Oct-09,30-Oct-09,-0.872464567,60.10571429,-2,-1583.693129
96,31-Oct-09,6-Nov-09,-0.805269685,176.3642857,-2.01,-4445.471847
97,7-Nov-09,13-Nov-09,-0.463635827,107.4885714,-2.02,-2903.414711
98,14-Nov-09,20-Nov-09,-0.707801181,95.58714286,-2.03,-1531.893534
99,21-Nov-09,27-Nov-09,-0.072862205,135.44,-1.92,-1356.755801
100,28-Nov-09,4-Dec-09,-0.183277558,189.9571429,0.68,-29.52117711
101,5-Dec-09,11-Dec-09,0.494969067,374.5071429,0.76,3388.954122
102,12-Dec-09,18-Dec-09,0.29903937,300.3885714,0.84,1927.261011
103,19-Dec-09,25-Dec-09,-0.503620079,283.3057143,0.74,-1469.262775
104,26-Dec-09,1-Jan-10,-0.290625984,219.4371429,0.88,-1550.045843
105,2-Jan-10,8-Jan-10,-0.63001181,128.6014286,0.8,-2373.822982
106,9-Jan-10,15-Jan-10,-0.411694881,214.7014286,0.73,-650.1023642
107,16-Jan-10,22-Jan-10,-0.362755905,400.4857143,0.81,1494.777677
108,23-Jan-10,29-Jan-10,-0.143342519,530.0971429,0.71,765.5143044
109,30-Jan-10,5-Feb-10,0.094647637,880.4071429,0.85,1676.550254
110,6-Feb-10,12-Feb-10,-0.251787402,1225.202857,1,-474.4820601
111,13-Feb-10,19-Feb-10,-0.83176378,2118.7,0.84,493.2212181
112,20-Feb-10,26-Feb-10,-0.251204725,2442.971429,0.74,2101.941472
113,27-Feb-10,5-Mar-10,-0.446411417,2045.137143,0.63,1304.525253
114,6-Mar-10,12-Mar-10,2.82606496,1531.494286,1.3,9135.036943
115,13-Mar-10,19-Mar-10,-0.883724409,4581.458571,1.12,9686.360726
116,20-Mar-10,26-Mar-10,-0.245498032,3757.195714,1.35,5576.179552
117,27-Mar-10,2-Apr-10,0.783895669,6024.848571,1.28,14521.23314
118,3-Apr-10,9-Apr-10,-1.075513779,6549.247143,1.06,5071.586894
119,10-Apr-10,16-Apr-10,-0.573401572,3784.214286,0.72,635.6683593
120,17-Apr-10,23-Apr-10,-0.371960067,2680.982857,1.26,5159.302316
121,24-Apr-10,30-Apr-10,1.825108268,2751.288571,1.96,11303.86139
122,1-May-10,7-May-10,-1.11186811,3387.144286,1.62,3183.555097
123,8-May-10,14-May-10,-1.373513778,2795.955714,1.02,-2729.352897
124,15-May-10,21-May-10,-0.689055119,2159.81,1.18,1242.7576
125,22-May-10,28-May-10,-0.448103208,2262.652857,0.73,-1202.340681
126,29-May-10,4-Jun-10,1.167510123,1579.432857,0.45,9111.516794
127,5-Jun-10,11-Jun-10,-0.81465945,1572.248571,-0.09,173.7078761
128,12-Jun-10,18-Jun-10,-0.94819685,379.7171429,-0.51,-3226.37106
129,19-Jun-10,25-Jun-10,-1.191478346,410.9942857,-0.76,-3598.774613
130,26-Jun-10,2-Jul-10,2.683739596,353.8342857,-0.72,1266.833383
131,3-Jul-10,9-Jul-10,1.035992126,1942.38,-0.09,13578.49718
132,10-Jul-10,16-Jul-10,-0.46743504,2245.404286,-0.88,3293.8101
133,17-Jul-10,23-Jul-10,-0.642314961,498.4657143,-1.4,-4799.644315
134,24-Jul-10,30-Jul-10,-0.873057087,318.7271429,-1.63,-1519.637173
135,31-Jul-10,6-Aug-10,-0.318889201,278.7628571,-1.78,-702.3138697
136,7-Aug-10,13-Aug-10,1.58461811,502.7242857,-1.97,5292.515132
137,14-Aug-10,20-Aug-10,0.443129922,497.9571429,-2.17,2168.891557
138,21-Aug-10,27-Aug-10,0.524287963,1052.024286,-1.14,5010.900779
