Count,StartDate,EndDate,NetRF,S65E,Palmer,NetInf
0,29-Dec-90,4-Jan-91,-0.485394642,9.428571429,-2.92,-3336.172383
1,5-Jan-91,11-Jan-91,-0.110218412,15.14285714,-2.8,2440.858532
2,12-Jan-91,18-Jan-91,2.239335152,251.1428571,-2.68,8069.413379
3,19-Jan-91,25-Jan-91,-0.394611792,173,-2.55,1673.047102
4,26-Jan-91,1-Feb-91,-0.860332359,85.71428571,-2.45,283.0078503
5,2-Feb-91,8-Feb-91,-0.797837864,97.42857143,-2.49,-1338.039253
6,9-Feb-91,15-Feb-91,-0.953741689,31,-2.52,-12903.76325
7,16-Feb-91,22-Feb-91,-0.24342534,16.42857143,-2.55,4625.109907
8,23-Feb-91,1-Mar-91,0.357456674,41.28571429,-2.48,5057.284165
9,2-Mar-91,8-Mar-91,0.230602852,93.28571429,-1.82,1951.783524
10,9-Mar-91,15-Mar-91,-1.062047693,318.8571429,-1.15,-2935.447784
11,16-Mar-91,22-Mar-91,0.908023499,711,-0.48,2620.392804
12,23-Mar-91,29-Mar-91,-1.315109957,263.8571429,0.19,-23.77355143
13,30-Mar-91,5-Apr-91,1.836068994,199.4285714,0.47,3340.834927
14,6-Apr-91,12-Apr-91,-1.432915913,674.7142857,0.59,2615.486369
15,13-Apr-91,19-Apr-91,0.077198444,970.2857143,0.72,1968.530681
16,20-Apr-91,26-Apr-91,0.5325352,1595.714286,0.84,33884.83739
17,27-Apr-91,3-May-91,-1.715008488,2538.571429,1,-23218.57018
18,4-May-91,10-May-91,-1.484694482,1857.142857,1.23,-7948.665381
19,11-May-91,17-May-91,-0.586417728,1364.285714,1.45,3522.423537
20,18-May-91,24-May-91,1.003349343,1761.428571,1.67,4735.847743
21,25-May-91,31-May-91,-0.487428528,3501.428571,1.89,8119.420989
22,1-Jun-91,7-Jun-91,0.380334867,2352.857143,1.83,671.8159807
23,8-Jun-91,14-Jun-91,-1.486147162,308.7142857,1.78,-5202.655983
24,15-Jun-91,21-Jun-91,-0.773560203,165.2857143,1.72,4600.303864
25,22-Jun-91,28-Jun-91,-0.87951234,1063.857143,1.67,3617.661601
26,29-Jun-91,5-Jul-91,0.829482955,577.1428571,1.78,8438.8651
27,6-Jul-91,12-Jul-91,-1.048389301,902.8571429,1.96,5342.387086
28,13-Jul-91,19-Jul-91,0.590629118,2832.857143,2.14,10673.54125
29,20-Jul-91,26-Jul-91,2.06919231,3691.428571,2.32,8153.623286
30,27-Jul-91,2-Aug-91,1.620695581,6068.571429,2.28,13419.65782
31,3-Aug-91,9-Aug-91,-0.860283606,6301.428571,1.7,6000.894702
32,10-Aug-91,16-Aug-91,-0.362583481,5784.285714,1.11,7135.253161
33,17-Aug-91,23-Aug-91,2.093560846,5881.428571,0.53,11902.81468
34,24-Aug-91,30-Aug-91,-0.32863455,6652.857143,-0.06,12547.76351
35,31-Aug-91,6-Sep-91,0.627770414,5550,-0.32,6000.894702
36,7-Sep-91,13-Sep-91,-0.486864552,3097.142857,-0.53,6162.945911
37,14-Sep-91,20-Sep-91,0,1355.714286,-0.73,1301.409665
38,21-Sep-91,27-Sep-91,-0.532595592,723.8571429,-0.94,2273.716915
39,28-Sep-91,4-Oct-91,0.187216761,789.5714286,-1.05,2435.768122
40,5-Oct-91,11-Oct-91,0.618276811,2485.714286,-1.07,2759.87054
41,12-Oct-91,18-Oct-91,-0.90989272,2830,-1.1,1301.409666
42,19-Oct-91,25-Oct-91,-0.952434872,2273.142857,-1.13,2435.768123
43,26-Oct-91,1-Nov-91,-0.448876661,465.4285714,-1.16,-2956.342955
44,2-Nov-91,8-Nov-91,-0.217347731,196.7142857,-1.25,-3320.154931
45,9-Nov-91,15-Nov-91,-0.787759991,159,-1.34,-869.0177944
46,16-Nov-91,22-Nov-91,-0.590509392,165.8571429,-1.43,-26.13439204
47,23-Nov-91,29-Nov-91,0.230059824,140.4285714,-1.52,288.4828571
48,30-Nov-91,6-Dec-91,-0.568239034,123.5714286,-1.65,-534.4276207
49,7-Dec-91,13-Dec-91,-0.678691759,110.7142857,-1.8,93.41729257
50,14-Dec-91,20-Dec-91,-0.586202932,87,-1.94,-4487.738221
51,21-Dec-91,27-Dec-91,0,82,-2.09,1104.947584
52,28-Dec-91,3-Jan-92,-0.510044424,90.28571429,-2.18,679.9869229
53,4-Jan-92,10-Jan-92,-0.66261873,70.85714286,-2.2,-4161.152508
54,11-Jan-92,17-Jan-92,-0.709748118,68.57142857,-2.22,-3424.009209
55,18-Jan-92,24-Jan-92,-0.252052557,64.71428571,-2.24,502.8923129
56,25-Jan-92,31-Jan-92,-0.57759394,76.42857143,-2.26,-734.8216411
57,1-Feb-92,7-Feb-92,0.424082795,177.8571429,-2.15,1845.071753
58,8-Feb-92,14-Feb-92,-0.885582687,1206.857143,-2.04,130.0117196
59,15-Feb-92,21-Feb-92,-0.868707004,1871.428571,-1.93,1900.69949
60,22-Feb-92,28-Feb-92,0.623305228,1954.285714,-1.82,2912.455925
61,29-Feb-92,6-Mar-92,-1.020992359,1323.142857,-1.84,1158.014065
62,7-Mar-92,13-Mar-92,-1.068546883,152.4285714,-1.89,494.9830861
63,14-Mar-92,20-Mar-92,-0.60775,34.85714286,-1.94,-1716.901854
64,21-Mar-92,27-Mar-92,-0.584610945,33.71428571,-1.98,-2718.051544
65,28-Mar-92,3-Apr-92,-0.755725925,109.7142857,-1.76,-677.4807205
66,4-Apr-92,10-Apr-92,-0.763747967,1375,-1.17,683.1023139
67,11-Apr-92,17-Apr-92,-0.527683026,2312.857143,-0.58,2187.221727
68,18-Apr-92,24-Apr-92,-0.490909167,2577.142857,0.01,2783.681105
69,25-Apr-92,1-May-92,-1.26535681,2708.571429,0.49,-3275.098523
70,2-May-92,8-May-92,-1.260264225,2668.571429,0.25,-1185.200837
71,9-May-92,15-May-92,-0.48659656,1557.142857,0.02,552.6850373
72,16-May-92,22-May-92,-1.144266373,1089.285714,-0.21,-1802.983345
73,23-May-92,29-May-92,-1.430930457,748,-0.44,-2967.217338
74,30-May-92,5-Jun-92,-1.070521435,26.57142857,-0.11,-1145.621014
75,6-Jun-92,12-Jun-92,-0.901173484,99,0.46,3100.939751
76,13-Jun-92,19-Jun-92,-0.994724358,854.7142857,1.02,3954.085291
77,20-Jun-92,26-Jun-92,-0.795352625,834.5714286,1.59,13112.75922
78,27-Jun-92,3-Jul-92,-0.995677271,3945.714286,1.79,26653.42083
79,4-Jul-92,10-Jul-92,-1.587912348,1306.285714,1.5,4972.995264
80,11-Jul-92,17-Jul-92,-1.405446108,652.7142857,1.21,706.3855112
81,18-Jul-92,24-Jul-92,-1.21983593,782.2857143,0.92,2643.39693
82,25-Jul-92,31-Jul-92,-1.609139472,275.1428571,0.63,-2210.760783
83,1-Aug-92,7-Aug-92,-0.892742648,956.4285714,0.73,-958.0922713
84,8-Aug-92,14-Aug-92,-1.015058171,814.1428571,0.84,5954.080053
85,15-Aug-92,21-Aug-92,-0.785114223,2212,0.94,7999.526054
86,22-Aug-92,28-Aug-92,2.112791201,6377.142857,1.05,15439.02984
87,29-Aug-92,4-Sep-92,1.383852582,4360,1.04,8814.891846
88,5-Sep-92,11-Sep-92,-1.181333563,2888.571429,0.94,4176.418694
89,12-Sep-92,18-Sep-92,-1.023147707,2217.142857,0.84,2851.763853
90,19-Sep-92,25-Sep-92,-1.000999205,959.7142857,0.75,821.9701219
91,26-Sep-92,2-Oct-92,-0.621973478,524.4285714,0.68,8751.927227
92,3-Oct-92,9-Oct-92,-0.939058205,715,0.66,-157.0512081
93,10-Oct-92,16-Oct-92,-0.939475582,1008.571429,0.65,-693.9703266
94,17-Oct-92,23-Oct-92,-0.958949911,748,0.64,-3443.674817
95,24-Oct-92,30-Oct-92,-0.94086938,205.5714286,0.62,-644.0866942
96,31-Oct-92,6-Nov-92,-0.907052471,44.85714286,0.72,-1409.823943
97,7-Nov-92,13-Nov-92,-0.673632708,27.28571429,0.83,-474.0619754
98,14-Nov-92,20-Nov-92,-0.672954152,46,0.94,161.091649
99,21-Nov-92,27-Nov-92,-0.587355066,488.5714286,1.05,1208.787029
100,28-Nov-92,4-Dec-92,-0.707566721,1619.714286,1.05,-1460.814937
101,5-Dec-92,11-Dec-92,-0.692393761,352.1428571,0.96,-3314.020647
102,12-Dec-92,18-Dec-92,-0.686167618,212,0.87,1332.123951
103,19-Dec-92,25-Dec-92,-0.705320378,221.1428571,0.78,-31.22197551
104,26-Dec-92,1-Jan-93,-0.607036749,563,0.74,164.9887919
105,2-Jan-93,8-Jan-93,-0.634652168,1765.714286,0.99,7310.216238
106,9-Jan-93,15-Jan-93,-0.581644927,3051.428571,1.24,8361.668221
107,16-Jan-93,22-Jan-93,-0.717319741,5684.285714,1.49,4677.020882
108,23-Jan-93,29-Jan-93,-0.668964333,5792.857143,1.74,11902.21843
109,30-Jan-93,5-Feb-93,-0.74849942,3804.285714,1.78,4806.720229
110,6-Feb-93,12-Feb-93,1.285065937,2042.857143,1.74,2852.007706
111,13-Feb-93,19-Feb-93,-0.927025295,240.2857143,1.7,-641.1046944
112,20-Feb-93,26-Feb-93,0.544124458,252.2857143,1.66,3345.994408
113,27-Feb-93,5-Mar-93,-0.78800664,288.4285714,1.74,1755.742495
114,6-Mar-93,12-Mar-93,-1.112607698,101.2857143,1.86,-1160.91292
115,13-Mar-93,19-Mar-93,1.594418392,851.4285714,1.98,4769.643828
116,20-Mar-93,26-Mar-93,-0.455222546,3204.285714,2.1,10785.96799
117,27-Mar-93,2-Apr-93,-1.328448767,7001.071429,2.21,7175.95121
118,3-Apr-93,9-Apr-93,-0.433976823,6420,2.28,4701.57716
119,10-Apr-93,16-Apr-93,-0.679302927,5508.571429,2.35,3909.359582
120,17-Apr-93,23-Apr-93,-0.955547706,4812.857143,2.42,2332.535845
