Count,StartDate,EndDate,NetRF,S65E,Palmer,NetInf
0,1-Jan-00,7-Jan-00,-0.564356717,1227.142857,0.02,61.34110997
1,8-Jan-00,14-Jan-00,-0.782059886,1195.714286,-0.01,-1280.004418
2,15-Jan-00,21-Jan-00,-0.815596942,1095.285714,-0.05,-1374.103914
3,22-Jan-00,28-Jan-00,-0.209247682,1138.571429,-0.08,1238.956659
4,29-Jan-00,4-Feb-00,-0.612904535,1055.857143,-0.18,-1172.598763
5,5-Feb-00,11-Feb-00,-0.437544556,1037.857143,-0.31,528.8366596
6,12-Feb-00,18-Feb-00,-1.037026877,997.4285714,-0.44,-851.6744556
7,19-Feb-00,25-Feb-00,-0.935658872,1287.142857,-0.57,-1636.373372
8,26-Feb-00,3-Mar-00,-1.083988806,1317.571429,-0.7,-333.4966411
9,4-Mar-00,10-Mar-00,-1.218279303,309,-0.81,-2936.805385
10,11-Mar-00,17-Mar-00,-0.845715613,127.7142857,-0.92,-2333.930482
11,18-Mar-00,24-Mar-00,-0.829972021,229.5714286,-1.04,-1953.735494
12,25-Mar-00,31-Mar-00,-0.826154902,416,-1.15,1281.176491
13,1-Apr-00,7-Apr-00,-1.509932124,1647.142857,-1.16,-4642.780409
14,8-Apr-00,14-Apr-00,1.589694903,1488.571429,-1.16,7592.775321
15,15-Apr-00,21-Apr-00,-1.299562475,1517.142857,-1.17,2135.58162
16,22-Apr-00,28-Apr-00,-1.674258893,971.1428571,-1.18,-5115.950642
17,29-Apr-00,5-May-00,-1.474376989,288.1428571,-1.34,-5397.171835
18,6-May-00,12-May-00,-1.33710983,22.28571429,-1.57,-5179.338875
19,13-May-00,19-May-00,-1.331030448,0,-1.8,-5599.497005
20,20-May-00,26-May-00,-1.550740319,0,-2.03,-5637.461648
21,27-May-00,2-Jun-00,-1.664369452,0,-2.2,-5292.400353
22,3-Jun-00,9-Jun-00,-0.789250075,0,-2.24,-3361.560136
23,10-Jun-00,16-Jun-00,-1.010567994,0,-2.28,-962.0663552
24,17-Jun-00,23-Jun-00,-1.486673056,0,-2.31,-4099.807045
25,24-Jun-00,30-Jun-00,0.917627104,29.14285714,-2.35,3569.512477
26,1-Jul-00,7-Jul-00,0.116088575,52.71428571,-2.27,1543.263279
27,8-Jul-00,14-Jul-00,-1.489696744,10,-2.19,-323.3844934
28,15-Jul-00,21-Jul-00,-1.240012792,0.628571429,-2.11,-540.4336844
29,22-Jul-00,28-Jul-00,-0.867238493,367.8571429,-2.02,-4.801022614
30,29-Jul-00,4-Aug-00,-0.179792863,696,-2.03,2076.351039
31,5-Aug-00,11-Aug-00,-1.324214314,510.8571429,-2.1,-755.7953151
32,12-Aug-00,18-Aug-00,-0.898652103,54.71428571,-2.17,-1634.286354
33,19-Aug-00,25-Aug-00,-0.598024835,20.35714286,-2.24,-1129.149818
34,26-Aug-00,1-Sep-00,0.015818271,9.857142857,-2.3,1437.690822
35,2-Sep-00,8-Sep-00,0.226673823,92.51571429,-2.27,2841.439611
36,9-Sep-00,15-Sep-00,-1.48107607,483,-2.25,-2257.894919
37,16-Sep-00,22-Sep-00,1.278054144,803.1428571,-2.23,8885.591847
