Date,3A-NW,2A-17,3A-3,3A-4,3A-28
1-Jan-91,10.63,11.64,9.27,8.33,8.07
2-Jan-91,10.62,11.62,9.26,8.32,8.06
3-Jan-91,10.62,11.61,9.27,8.29,8.05
4-Jan-91,10.61,11.59,9.26,8.28,8.05
5-Jan-91,10.6,11.58,9.26,8.26,8.04
6-Jan-91,10.59,11.57,9.25,8.24,8.04
7-Jan-91,10.58,11.55,9.25,8.22,8.03
8-Jan-91,10.58,11.54,9.24,8.2,8.03
9-Jan-91,10.57,11.53,9.23,8.18,8.02
10-Jan-91,10.58,11.54,9.33,8.21,8.02
11-Jan-91,10.57,11.54,9.33,8.19,8.01
12-Jan-91,10.59,11.53,9.34,8.18,8.01
13-Jan-91,10.58,11.52,9.34,8.17,8
14-Jan-91,10.58,11.5,9.33,8.15,8
15-Jan-91,10.78,11.75,9.53,8.56,8.16
16-Jan-91,11.19,11.95,9.86,8.59,8.17
17-Jan-91,11.31,11.93,9.88,8.58,8.16
18-Jan-91,11.43,11.9,9.88,8.57,8.15
19-Jan-91,11.55,11.88,9.89,8.56,8.14
20-Jan-91,11.67,11.87,9.89,8.57,8.14
21-Jan-91,11.74,11.85,9.89,8.56,8.13
22-Jan-91,11.8,11.83,9.88,8.55,8.12
23-Jan-91,11.83,11.81,9.87,8.54,8.11
24-Jan-91,11.85,11.79,9.86,8.53,8.1
25-Jan-91,11.85,11.78,9.86,8.53,8.1
26-Jan-91,11.85,11.84,9.88,8.55,8.11
27-Jan-91,11.81,11.83,9.86,8.54,8.14
28-Jan-91,11.77,11.82,9.86,8.53,8.13
29-Jan-91,11.73,11.81,9.85,8.52,8.13
30-Jan-91,11.69,11.8,9.84,8.52,8.12
31-Jan-91,11.65,11.8,9.83,8.51,8.12
1-Feb-91,11.61,11.8,9.82,8.5,8.11
2-Feb-91,11.57,11.84,9.83,8.49,8.11
3-Feb-91,11.58,11.96,9.86,8.5,8.11
4-Feb-91,11.54,11.97,9.85,8.49,8.11
5-Feb-91,11.51,11.96,9.84,8.48,8.11
6-Feb-91,11.47,11.96,9.83,8.48,8.1
7-Feb-91,11.44,11.95,9.82,8.47,8.1
8-Feb-91,11.41,11.94,9.81,8.46,8.1
9-Feb-91,11.38,11.92,9.8,8.45,8.09
10-Feb-91,11.35,11.9,9.79,8.44,8.09
11-Feb-91,11.32,11.88,9.78,8.44,8.08
12-Feb-91,11.29,11.87,9.77,8.43,8.07
13-Feb-91,11.27,11.85,9.76,8.43,8.07
14-Feb-91,11.26,11.84,9.77,8.44,8.08
15-Feb-91,11.24,11.82,9.76,8.44,8.08
16-Feb-91,11.21,11.8,9.75,8.43,8.07
17-Feb-91,11.19,11.78,9.74,8.43,8.06
18-Feb-91,11.17,11.77,9.73,8.42,8.05
19-Feb-91,11.15,11.75,9.72,8.42,8.04
20-Feb-91,11.13,11.73,9.71,8.42,8.04
21-Feb-91,11.11,11.72,9.7,8.41,8.03
22-Feb-91,11.09,11.7,9.69,8.41,8.02
23-Feb-91,11.08,11.68,9.68,8.4,8.01
24-Feb-91,11.06,11.67,9.67,8.4,8
25-Feb-91,11.04,11.66,9.66,8.4,7.99
26-Feb-91,11.06,11.69,9.69,8.42,8.03
