Date,3A-NW,2A-17,3A-3,3A-4,3A-28
1-Jan-00,11.37,11.7,11.17,11.02,10.76
2-Jan-00,11.35,11.69,11.14,10.99,10.74
3-Jan-00,11.34,11.67,11.11,10.96,10.71
4-Jan-00,11.32,11.66,11.08,10.93,10.68
5-Jan-00,11.3,11.64,11.05,10.9,10.65
6-Jan-00,11.28,11.63,11.03,10.87,10.62
7-Jan-00,11.27,11.62,11,10.84,10.59
8-Jan-00,11.25,11.61,10.96,10.81,10.57
9-Jan-00,11.23,11.6,10.93,10.78,10.54
10-Jan-00,11.22,11.59,10.9,10.75,10.5
11-Jan-00,11.2,11.57,10.88,10.73,10.48
12-Jan-00,11.18,11.56,10.86,10.71,10.46
13-Jan-00,11.17,11.55,10.84,10.69,10.44
14-Jan-00,11.15,11.54,10.82,10.66,10.42
15-Jan-00,11.14,11.53,10.8,10.64,10.4
16-Jan-00,11.12,11.52,10.79,10.61,10.39
17-Jan-00,11.11,11.51,10.78,10.59,10.38
18-Jan-00,11.09,11.5,10.77,10.57,10.36
19-Jan-00,11.08,11.49,10.75,10.55,10.35
20-Jan-00,11.06,11.48,10.74,10.53,10.33
21-Jan-00,11.04,11.46,10.72,10.51,10.32
22-Jan-00,11.03,11.45,10.71,10.5,10.3
23-Jan-00,11.01,11.44,10.69,10.48,10.28
24-Jan-00,11.07,11.48,10.73,10.5,10.29
25-Jan-00,11.06,11.48,10.73,10.5,10.31
26-Jan-00,11.04,11.47,10.72,10.49,10.29
27-Jan-00,11.03,11.46,10.7,10.47,10.28
28-Jan-00,11.01,11.45,10.68,10.45,10.26
29-Jan-00,11,11.44,10.66,10.43,10.24
30-Jan-00,10.98,11.43,10.64,10.41,10.22
31-Jan-00,10.97,11.41,10.63,10.4,10.2
1-Feb-00,10.96,11.4,10.61,10.38,10.19
2-Feb-00,10.95,11.39,10.59,10.36,10.17
3-Feb-00,10.96,11.38,10.58,10.34,10.15
4-Feb-00,10.96,11.37,10.57,10.33,10.14
5-Feb-00,10.95,11.36,10.54,10.31,10.11
6-Feb-00,10.94,11.35,10.51,10.29,10.09
7-Feb-00,10.93,11.33,10.49,10.27,10.06
8-Feb-00,10.95,11.33,10.47,10.27,10.05
9-Feb-00,10.98,11.33,10.47,10.27,10.08
10-Feb-00,10.97,11.32,10.45,10.25,10.05
11-Feb-00,10.95,11.31,10.43,10.23,10.03
12-Feb-00,10.94,11.3,10.41,10.2,10
13-Feb-00,10.93,11.28,10.38,10.18,9.98
14-Feb-00,10.92,11.27,10.36,10.15,9.95
15-Feb-00,10.91,11.27,10.34,10.13,9.93
16-Feb-00,10.9,11.26,10.32,10.1,9.9
17-Feb-00,10.89,11.25,10.29,10.08,9.88
18-Feb-00,10.88,11.24,10.27,10.05,9.85
19-Feb-00,10.87,11.23,10.25,10.03,9.83
20-Feb-00,10.87,11.22,10.24,10.03,9.81
21-Feb-00,10.86,11.21,10.22,10,9.79
22-Feb-00,10.85,11.2,10.2,9.97,9.77
23-Feb-00,10.84,11.19,10.17,9.95,9.74
24-Feb-00,10.83,11.19,10.15,9.92,9.72
25-Feb-00,10.82,11.19,10.13,9.9,9.7
26-Feb-00,10.81,11.18,10.12,9.88,9.69
27-Feb-00,10.8,11.17,10.1,9.86,9.67
28-Feb-00,10.79,11.16,10.09,9.84,9.65
29-Feb-00,10.78,11.15,10.07,9.82,9.64
1-Mar-00,10.76,11.14,10.05,9.8,9.62
2-Mar-00,10.75,11.13,10.03,9.78,9.6
3-Mar-00,10.74,11.12,10.01,9.76,9.58
4-Mar-00,10.73,11.11,9.99,9.74,9.56
5-Mar-00,10.72,11.1,9.98,9.72,9.54
6-Mar-00,10.71,11.06,9.96,9.7,9.52
7-Mar-00,10.69,11.03,9.94,9.68,9.5
8-Mar-00,10.68,11,9.92,9.66,9.48
9-Mar-00,10.67,10.96,9.9,9.64,9.45
10-Mar-00,10.66,10.93,9.88,9.62,9.43
11-Mar-00,10.67,10.94,9.87,9.62,9.43
12-Mar-00,10.66,10.94,9.86,9.6,9.4
13-Mar-00,10.65,10.91,9.83,9.58,9.37
14-Mar-00,10.63,10.89,9.81,9.55,9.35
15-Mar-00,10.62,10.86,9.79,9.53,9.33
16-Mar-00,10.61,10.84,9.76,9.51,9.31
17-Mar-00,10.6,10.81,9.74,9.48,9.28
18-Mar-00,10.71,10.79,9.72,9.49,9.28
19-Mar-00,10.71,11.02,9.72,9.47,9.28
20-Mar-00,10.7,11.22,9.74,9.45,9.25
21-Mar-00,10.69,11.21,9.72,9.44,9.24
22-Mar-00,10.69,11.2,9.7,9.42,9.23
23-Mar-00,10.68,11.19,9.68,9.41,9.22
24-Mar-00,10.69,11.18,9.67,9.4,9.2
25-Mar-00,10.69,11.17,9.65,9.39,9.19
26-Mar-00,10.7,11.16,9.64,9.37,9.18
27-Mar-00,10.75,11.15,9.62,9.36,9.16
28-Mar-00,10.83,11.19,9.71,9.37,9.16
29-Mar-00,10.87,11.19,9.69,9.36,9.16
30-Mar-00,10.91,11.23,9.68,9.35,9.15
31-Mar-00,10.96,11.22,9.66,9.34,9.14
1-Apr-00,11.01,11.21,9.64,9.33,9.13
2-Apr-00,11.06,11.21,9.62,9.32,9.12
3-Apr-00,11.11,11.21,9.6,9.3,9.1
4-Apr-00,11.16,11.2,9.58,9.29,9.09
5-Apr-00,11.2,11.2,9.56,9.27,9.07
6-Apr-00,11.23,11.19,9.54,9.26,9.06
7-Apr-00,11.27,11.19,9.52,9.24,9.04
8-Apr-00,11.37,11.19,9.51,9.22,9.02
9-Apr-00,11.39,11.19,9.5,9.23,9.04
10-Apr-00,11.41,11.2,9.49,9.22,9.02
11-Apr-00,11.42,11.2,9.47,9.2,9
12-Apr-00,11.43,11.2,9.46,9.19,8.99
13-Apr-00,11.46,11.21,9.47,9.22,8.98
14-Apr-00,11.79,11.26,9.56,9.35,9.31
15-Apr-00,11.83,11.4,9.67,9.45,9.37
