Date,Day,WSM4,WSM3,WSM2,WSM1,D0,D1,D2,D3,C,C-b_NewTree,C-b_NoNewTree,B,A
1-Jan,1,9.15,10.5,11,12.15,12.6,14,14.75,15.5,16.25,15.25,15.75,16.88,17.25
1-Feb,32,9.12,10.5,10.9,11.99,12.6,13.65555556,14.43703704,15.21851852,16,15,15.5,16.73,17.25
15-Feb,46,9.11,10.5,10.85,11.91758621,12.6,13.5,14.29,15.08,15.87,14.87,15.37,16.67,17.25
31-Mar,90,9.1,10.5,10.7,11.7,12.6,13.5,14.16666667,14.83333333,15.5,14.5,15,16.5,17.25
15-Apr,105,8.95,10.5,10.65,11.3,12.6,13.5,14.11666667,14.73333333,15.35,14.35,14.85,16.24,16.92213115
1-May,121,8.8,10.5,10.6,10.92,12.6,13.33333333,13.96888889,14.60444444,15.24,14.24,14.74,15.99,16.6147541
15-May,135,8.65,10.5,10.55,10.71,12.6,13.17777778,13.82518519,14.47259259,15.12,14.12,14.62,15.76,16.32786885
31-May,151,8.5,10.48,10.49,10.52,12.6,13,13.66666667,14.33333333,15,14,14.5,15.5,16
15-Sep,258,9.19,10.5,11.8,12.6,12.6,14,14.58333333,15.16666667,15.75,14.75,15.25,16.13,16.5
1-Oct,274,9.35,10.5,12,13,13,14.5,14.97666667,15.45333333,15.93,14.93,15.43,16.4,16.77
1-Nov,305,9.3,10.5,11.7,12.8,12.87,14.5,15.08333333,15.66666667,16.25,15.25,15.75,16.88,17.25
30-Nov,334,9.25,10.5,11.4,12.4,12.74,14.5,15.08333333,15.66666667,16.25,15.25,15.75,16.88,17.25
31-Dec,366,9.2,10.5,11,12.15,12.6,14,14.75,15.5,16.25,15.25,15.75,16.88,17.25
