Date,Day,WSM4,WSM3,WSM2,WSM1,D0,D1,D2,D3,C,C-b_NewTree,C-b_NoNewTree,B,A
1-Jan,1,9.15,10.5,11,12.15,16,16,16.5,16.75,17,16,16.5,17.65,18.5
1-Feb,32,9.12,10.5,10.9,11.99,15.938,15.938,16.345,16.6105,16.74166667,15.74166667,16.24166667,17.52083333,18.5
15-Feb,46,9.11,10.5,10.85,11.91758621,15.91,15.91,16.275,16.5475,16.625,15.625,16.125,17.4625,18.5
31-Mar,90,9.1,10.5,10.7,11.7,15.78512821,15.78512821,16.05205128,16.26666667,16.26666667,15.26666667,15.76666667,17.00512821,17.99358974
15-Apr,105,8.95,10.5,10.65,11.3,15.7524359,15.7524359,15.97897436,16.14166667,16.14166667,15.14166667,15.64166667,16.8224359,17.75320513
1-May,121,8.8,10.5,10.6,10.92,15.7175641,15.7175641,15.90102564,16.00833333,16.00833333,15.00833333,15.50833333,16.6275641,17.49679487
15-May,135,8.65,10.5,10.55,10.71,15.68705128,15.68705128,15.83282051,15.89166667,15.89166667,14.89166667,15.39166667,16.45705128,17.2724359
31-May,151,8.5,10.48,10.49,10.52,15.65217949,15.65217949,15.75487179,15.75833333,15.75833333,14.75833333,15.25833333,16.26217949,17.01602564
15-Sep,258,9.19,10.5,11.8,12.6,16,16,16.25,16.25,16.25,15.25,15.75,16.75,17.5
1-Oct,274,9.35,10.5,12,13,16.75,16.75,16.75,17,17.25,16.25,16.75,17.75,18.5
1-Nov,305,9.3,10.5,11.7,12.8,16.49590164,16.49590164,16.75,17,17.25,16.25,16.75,17.75,18.5
30-Nov,334,9.25,10.5,11.4,12.4,16.25819672,16.25819672,16.75,17,17.25,16.25,16.75,17.75,18.5
31-Dec,366,9.2,10.5,11,12.15,16,16,16.5,16.75,17,16,16.5,17.65,18.5
