Date,Day,WSM4,WSM3,WSM2,WSM1,D0,D1,D2,D3,C,C-b_NewTree,C-b_NoNewTree,B,A
1-Jan,1,9.15,10.5,11,12.15,14.75,14.75,15.5,16.25,17,16,16.5,17.75,18.5
1-Feb,32,9.12,10.5,10.9,11.99,14.49,14.49,15.22,15.96,16.69,15.69,16.19,17.49,18.5
15-Feb,46,9.11,10.5,10.85,11.92,14.35,14.35,15.08,15.82,16.55,15.55,16.05,17.37,18.5
31-Mar,90,9.1,10.5,10.7,11.7,14.01,14.01,14.71,15.41,16.11,15.11,15.61,17.01,18.5
15-Apr,105,8.95,10.5,10.65,11.3,13.88,13.88,14.58,15.27,15.96,14.96,15.46,16.88,18.13
1-May,121,8.8,10.5,10.6,10.92,13.75,13.75,14.43,15.12,15.8,14.8,15.3,16.75,17.74
15-May,135,8.65,10.5,10.55,10.71,13.63,13.63,14.31,14.98,15.66,14.66,15.16,16.63,17.39
31-May,151,8.5,10.48,10.49,10.52,13.5,13.5,14.17,14.83,15.5,14.5,15,16.5,17
15-Sep,258,8.82,10.5,11.03,11.37,14.13,14.13,14.69,15.25,15.82,14.82,15.32,16.71,17.21
1-Oct,274,9.25,10.5,11.8,12.6,15,15,15.42,15.83,16.25,15.25,15.75,17,17.5
1-Nov,305,9.35,10.5,12,13,15.5,15.5,16,16.5,17,16,16.5,17.75,18.5
30-Nov,334,9.3,10.5,11.7,12.8,15.25,15.25,15.83,16.42,17,16,16.5,17.75,18.5
31-Dec,366,9.2,10.5,11,12.15,14.75,14.75,15.5,16.25,17,16,16.5,17.75,18.5
