Date,LOSA_dmd,,I used data from 2001-2010 to fill 2011-2020!
30-Dec-99,257.17,,
31-Dec-99,507.59,,
1-Jan-00,1051.9,,
2-Jan-00,2014.25,,
3-Jan-00,1971.61,,
4-Jan-00,1536.64,,
5-Jan-00,1417.97,,
6-Jan-00,1573.3,,
7-Jan-00,1761.88,,
8-Jan-00,2001.33,,
9-Jan-00,2581.76,,
10-Jan-00,3058.45,,
11-Jan-00,2810.18,,
12-Jan-00,2798.15,,
13-Jan-00,2861.33,,
14-Jan-00,3189.64,,
15-Jan-00,3119.25,,
16-Jan-00,2621.3,,
17-Jan-00,2963.26,,
18-Jan-00,2789.64,,
19-Jan-00,2048.33,,
20-Jan-00,2831.35,,
21-Jan-00,3054.81,,
22-Jan-00,2046.64,,
23-Jan-00,2171.96,,
24-Jan-00,205.78,,
25-Jan-00,120.53,,
26-Jan-00,114.38,,
27-Jan-00,120.08,,
28-Jan-00,175.19,,
29-Jan-00,219.45,,
30-Jan-00,120.45,,
31-Jan-00,141.31,,
1-Feb-00,175.23,,
2-Feb-00,188.54,,
3-Feb-00,259.83,,
4-Feb-00,361.41,,
5-Feb-00,552.8,,
6-Feb-00,797.31,,
7-Feb-00,1096.02,,
8-Feb-00,875.78,,
9-Feb-00,1004.9,,
10-Feb-00,1225.93,,
11-Feb-00,985.21,,
12-Feb-00,825.47,,
13-Feb-00,905.92,,
14-Feb-00,1542,,
15-Feb-00,1876.99,,
16-Feb-00,2229.53,,
17-Feb-00,1644.9,,
18-Feb-00,1926.36,,
19-Feb-00,3221.97,,
20-Feb-00,2947.52,,
21-Feb-00,3482.57,,
22-Feb-00,2290.97,,
23-Feb-00,2871.81,,
24-Feb-00,2835.84,,
25-Feb-00,3409.35,,
26-Feb-00,3939.69,,
27-Feb-00,3386.47,,
28-Feb-00,3466.71,,
29-Feb-00,4589.86,,
1-Mar-00,5340.46,,
2-Mar-00,4600.32,,
3-Mar-00,4792.5,,
4-Mar-00,5274.93,,
5-Mar-00,5251.86,,
6-Mar-00,4557.79,,
7-Mar-00,4643.8,,
8-Mar-00,5022.17,,
9-Mar-00,5820.9,,
10-Mar-00,5285.84,,
11-Mar-00,1581.82,,
12-Mar-00,776.59,,
13-Mar-00,2127.31,,
14-Mar-00,3120.76,,
15-Mar-00,2966.78,,
16-Mar-00,3286.76,,
17-Mar-00,2431.41,,
18-Mar-00,660.52,,
19-Mar-00,168.91,,
20-Mar-00,517.07,,
21-Mar-00,819.06,,
22-Mar-00,1120.22,,
23-Mar-00,875.6,,
24-Mar-00,1744.87,,
25-Mar-00,1858.54,,
26-Mar-00,1841.94,,
27-Mar-00,628.39,,
28-Mar-00,259.11,,
29-Mar-00,326.17,,
30-Mar-00,733.54,,
31-Mar-00,2637.65,,
1-Apr-00,3742.74,,
2-Apr-00,5001.43,,
3-Apr-00,4709.94,,
4-Apr-00,5288.94,,
5-Apr-00,5287.84,,
6-Apr-00,5307.98,,
7-Apr-00,4001.66,,
8-Apr-00,2483.35,,
9-Apr-00,5139.8,,
10-Apr-00,5934.99,,
11-Apr-00,5801.37,,
12-Apr-00,711.86,,
13-Apr-00,117.73,,
14-Apr-00,0,,
15-Apr-00,0,,
16-Apr-00,0,,
17-Apr-00,0,,
18-Apr-00,0,,
19-Apr-00,0.93,,
20-Apr-00,1.17,,
21-Apr-00,7.53,,
22-Apr-00,7.82,,
23-Apr-00,358.81,,
24-Apr-00,996.79,,
25-Apr-00,366.27,,
26-Apr-00,1250.25,,
27-Apr-00,3744.96,,
28-Apr-00,6242.67,,
29-Apr-00,6169.36,,
30-Apr-00,5426.18,,
1-May-00,7653.71,,
2-May-00,8655.66,,
3-May-00,7797.1,,
4-May-00,7562.13,,
5-May-00,8321.13,,
6-May-00,8153.89,,
7-May-00,8314.4,,
8-May-00,1862.55,,
9-May-00,1633.48,,
10-May-00,2304.45,,
11-May-00,4103.95,,
12-May-00,6263.31,,
13-May-00,6608.06,,
14-May-00,6872.74,,
15-May-00,1327.44,,
16-May-00,1898.39,,
17-May-00,4768.86,,
18-May-00,8785.09,,
19-May-00,9951.83,,
20-May-00,10520.44,,
21-May-00,10333.87,,
22-May-00,8438.66,,
23-May-00,5019.71,,
24-May-00,6684.05,,
25-May-00,6476.34,,
26-May-00,7363.48,,
27-May-00,7482.46,,
28-May-00,8561.12,,
29-May-00,10655.07,,
30-May-00,5933.6,,
31-May-00,6540.48,,
1-Jun-00,11112.82,,
2-Jun-00,10064.62,,
3-Jun-00,9874.16,,
4-Jun-00,10324.28,,
5-Jun-00,7177.22,,
6-Jun-00,6817.28,,
7-Jun-00,7344.44,,
8-Jun-00,4538.5,,
9-Jun-00,6020.54,,
10-Jun-00,9440.39,,
11-Jun-00,548.87,,
12-Jun-00,3152.14,,
13-Jun-00,3315.04,,
14-Jun-00,3619.5,,
15-Jun-00,5426.29,,
16-Jun-00,6845.29,,
17-Jun-00,8654.11,,
18-Jun-00,8627.38,,
19-Jun-00,7929.67,,
20-Jun-00,8529.59,,
21-Jun-00,6404.08,,
22-Jun-00,7137.22,,
23-Jun-00,7679.22,,
24-Jun-00,267.42,,
25-Jun-00,0,,
26-Jun-00,107.36,,
27-Jun-00,35.76,,
28-Jun-00,455.29,,
29-Jun-00,60.35,,
30-Jun-00,0,,
1-Jul-00,0,,
2-Jul-00,0,,
3-Jul-00,0,,
4-Jul-00,0.14,,
5-Jul-00,0,,
6-Jul-00,0,,
7-Jul-00,0,,
8-Jul-00,0,,
9-Jul-00,0.31,,
10-Jul-00,54.03,,
11-Jul-00,132.6,,
12-Jul-00,84.38,,
13-Jul-00,101.13,,
14-Jul-00,97.47,,
15-Jul-00,118.3,,
16-Jul-00,229.3,,
17-Jul-00,425.54,,
18-Jul-00,131.62,,
19-Jul-00,86.13,,
20-Jul-00,148.59,,
21-Jul-00,163.35,,
22-Jul-00,272.67,,
