Date,nu
1/1/2008,9.70E-07
1/2/2008,1.02E-06
1/3/2008,1.16E-06
1/4/2008,1.26E-06
1/5/2008,1.27E-06
1/6/2008,1.23E-06
1/7/2008,1.19E-06
1/8/2008,1.13E-06
1/9/2008,1.11E-06
1/10/2008,1.10E-06
1/11/2008,1.09E-06
1/12/2008,1.08E-06
1/13/2008,1.11E-06
1/14/2008,1.04E-06
1/15/2008,1.05E-06
1/16/2008,1.08E-06
1/17/2008,1.15E-06
1/18/2008,1.14E-06
1/19/2008,1.12E-06
1/20/2008,1.11E-06
1/21/2008,1.14E-06
1/22/2008,1.14E-06
1/23/2008,1.15E-06
1/24/2008,1.17E-06
1/25/2008,1.07E-06
1/26/2008,1.09E-06
1/27/2008,1.10E-06
1/28/2008,1.06E-06
1/29/2008,1.09E-06
1/30/2008,1.09E-06
1/31/2008,1.08E-06
2/1/2008,1.08E-06
2/2/2008,1.07E-06
2/3/2008,1.08E-06
2/4/2008,1.06E-06
2/5/2008,1.08E-06
2/6/2008,1.07E-06
2/7/2008,1.06E-06
2/8/2008,1.11E-06
2/9/2008,1.07E-06
2/10/2008,9.89E-07
2/11/2008,1.01E-06
2/12/2008,1.10E-06
2/13/2008,1.10E-06
2/14/2008,1.03E-06
2/15/2008,1.04E-06
2/16/2008,1.03E-06
2/17/2008,1.03E-06
2/18/2008,1.03E-06
2/19/2008,9.93E-07
2/20/2008,1.01E-06
2/21/2008,1.07E-06
2/22/2008,1.04E-06
2/23/2008,1.00E-06
2/24/2008,9.94E-07
2/25/2008,9.79E-07
2/26/2008,9.99E-07
2/27/2008,9.75E-07
2/28/2008,1.03E-06
2/29/2008,1.07E-06
3/1/2008,1.08E-06
3/2/2008,1.07E-06
3/3/2008,1.07E-06
3/4/2008,1.07E-06
3/5/2008,1.04E-06
3/6/2008,1.04E-06
3/7/2008,1.02E-06
3/8/2008,9.87E-07
3/9/2008,1.03E-06
3/10/2008,1.06E-06
3/11/2008,1.07E-06
3/12/2008,1.04E-06
3/13/2008,1.01E-06
3/14/2008,1.01E-06
3/15/2008,1.01E-06
3/16/2008,1.00E-06
3/17/2008,9.80E-07
3/18/2008,1.00E-06
3/19/2008,1.02E-06
3/20/2008,1.05E-06
3/21/2008,1.02E-06
3/22/2008,1.05E-06
3/23/2008,1.07E-06
3/24/2008,1.02E-06
3/25/2008,1.04E-06
3/26/2008,1.06E-06
3/27/2008,1.04E-06
3/28/2008,1.04E-06
3/29/2008,1.00E-06
3/30/2008,9.95E-07
3/31/2008,9.95E-07
4/1/2008,9.90E-07
4/2/2008,9.79E-07
4/3/2008,9.59E-07
4/4/2008,9.64E-07
4/5/2008,9.60E-07
4/6/2008,9.56E-07
4/7/2008,9.46E-07
4/8/2008,9.26E-07
4/9/2008,9.27E-07
4/10/2008,9.19E-07
4/11/2008,9.12E-07
4/12/2008,8.93E-07
4/13/2008,9.25E-07
4/14/2008,9.26E-07
4/15/2008,9.79E-07
4/16/2008,1.03E-06
