date,Load_mg
1/1/2008,1828244.353
1/2/2008,2416604.996
1/3/2008,1594501.788
1/4/2008,183982.4811
1/5/2008,850077.353
1/6/2008,2064771.122
1/7/2008,1002198.896
1/8/2008,2422555.068
1/9/2008,1647015.085
1/10/2008,1588525.619
1/11/2008,1452208.954
1/12/2008,2454045.757
1/13/2008,2136232.331
1/14/2008,3108819.508
1/15/2008,2184429.87
1/16/2008,1486302.799
1/17/2008,1521769.99
1/18/2008,2290199.612
1/19/2008,3601603.861
1/20/2008,5483512.83
1/21/2008,4220110.393
1/22/2008,2456184.472
1/23/2008,2491164.385
1/24/2008,2525554.063
1/25/2008,2724066.145
1/26/2008,2418256.434
1/27/2008,1819542.699
1/28/2008,1629712.903
1/29/2008,1028907.346
1/30/2008,867362.0016
1/31/2008,937690.8543
2/1/2008,1459963.375
2/2/2008,1664486.897
2/3/2008,3035486.668
2/4/2008,1761045.078
2/5/2008,1386973.463
2/6/2008,1406365.021
2/7/2008,2005115.455
2/8/2008,339144.3022
2/9/2008,1990240.275
2/10/2008,3448771.18
2/11/2008,4882190.434
2/12/2008,4935129.436
2/13/2008,29163327.31
2/14/2008,48406035.43
2/15/2008,26198244.11
2/16/2008,13092384.19
2/17/2008,18720227.24
2/18/2008,24209060.76
2/19/2008,20007703.36
2/20/2008,17125441.65
2/21/2008,15422037.89
2/22/2008,22156188.15
2/23/2008,23530967.88
2/24/2008,21240777.44
2/25/2008,20053307.53
2/26/2008,20643030.1
2/27/2008,16925409.63
2/28/2008,15151544.49
2/29/2008,15659453.58
3/1/2008,17070442.63
3/2/2008,17764878.63
3/3/2008,13304086.37
3/4/2008,13497652.44
3/5/2008,14623272.91
3/6/2008,18266922.92
3/7/2008,25254251.81
3/8/2008,28461866.14
3/9/2008,27440494.24
3/10/2008,20589437.87
3/11/2008,17151613.01
3/12/2008,25184568.09
3/13/2008,17215706.3
3/14/2008,18704068.3
3/15/2008,22036250.03
3/16/2008,26133136.89
3/17/2008,23043805.75
3/18/2008,21640722.64
3/19/2008,25529100.11
3/20/2008,27399919.53
3/21/2008,31630017.2
3/22/2008,35306863.74
3/23/2008,42265494.3
3/24/2008,38665239.55
3/25/2008,39334377.96
3/26/2008,43968185.04
3/27/2008,55598167.13
3/28/2008,56422418.48
3/29/2008,61910401.98
3/30/2008,63680474.92
3/31/2008,63936652.34
4/1/2008,67511067.75
4/2/2008,91517342.33
4/3/2008,91488332.93
4/4/2008,90603298.26
4/5/2008,89505554.75
4/6/2008,100651960.7
4/7/2008,189179814.9
4/8/2008,165448958.3
4/9/2008,130524246.2
4/10/2008,139353166.6
4/11/2008,151378670.9
