date,NH4
1/1/2008,15.350189
1/2/2008,15.610431
1/3/2008,15.870673
1/4/2008,16.130915
1/5/2008,16.391156
1/6/2008,16.651398
1/7/2008,16.91164
1/8/2008,17.171882
1/9/2008,17.432124
1/10/2008,17.692366
1/11/2008,17.952608
1/12/2008,18.21285
1/13/2008,18.473091
1/14/2008,18.733333
1/15/2008,18.498447
1/16/2008,18.26356
1/17/2008,18.028674
1/18/2008,17.793787
1/19/2008,17.558901
1/20/2008,17.324014
1/21/2008,17.089128
1/22/2008,16.854241
1/23/2008,16.619355
1/24/2008,16.384468
1/25/2008,16.149582
1/26/2008,15.914695
1/27/2008,15.679809
1/28/2008,15.444922
1/29/2008,15.210036
1/30/2008,14.975149
1/31/2008,14.740263
2/1/2008,14.505376
2/2/2008,14.27049
2/3/2008,14.035603
2/4/2008,13.800717
2/5/2008,13.56583
2/6/2008,13.330944
2/7/2008,13.096057
2/8/2008,12.861171
2/9/2008,12.626284
2/10/2008,12.391398
2/11/2008,12.156512
2/12/2008,11.921625
2/13/2008,11.686738
2/14/2008,11.451852
2/15/2008,11.432031
2/16/2008,11.41221
2/17/2008,11.392389
2/18/2008,11.372568
2/19/2008,11.352747
2/20/2008,11.332926
2/21/2008,11.313106
2/22/2008,11.293285
2/23/2008,11.273464
2/24/2008,11.253643
2/25/2008,11.233822
2/26/2008,11.214001
2/27/2008,11.19418
2/28/2008,11.174359
2/29/2008,11.154538
3/1/2008,11.134717
3/2/2008,11.114896
3/3/2008,11.095075
3/4/2008,11.075254
3/5/2008,11.055434
3/6/2008,11.035613
3/7/2008,11.015792
3/8/2008,10.995971
3/9/2008,10.97615
3/10/2008,10.956329
3/11/2008,10.936508
3/12/2008,10.84723
3/13/2008,10.757952
3/14/2008,10.668674
3/15/2008,10.579396
3/16/2008,10.490118
3/17/2008,10.40084
3/18/2008,10.311562
3/19/2008,10.222285
3/20/2008,10.133006
3/21/2008,10.043729
3/22/2008,9.954451
3/23/2008,9.865173
3/24/2008,9.775895
3/25/2008,9.686617
3/26/2008,9.597339
3/27/2008,9.508061
3/28/2008,9.418783
3/29/2008,9.329505
3/30/2008,9.240227
3/31/2008,9.150949
4/1/2008,9.061671
4/2/2008,8.972393
4/3/2008,8.883116
4/4/2008,8.793837
4/5/2008,8.70456
4/6/2008,8.615282
4/7/2008,8.526004
4/8/2008,8.436726
4/9/2008,8.347448
4/10/2008,8.25817
4/11/2008,8.168892
4/12/2008,8.079614
4/13/2008,7.990336
4/14/2008,7.901058
4/15/2008,8.251537
4/16/2008,8.602016
4/17/2008,8.952496
4/18/2008,9.302974
4/19/2008,9.653453
4/20/2008,10.003933
4/21/2008,10.354411
4/22/2008,10.704891
4/23/2008,11.05537
4/24/2008,11.405848
4/25/2008,11.756328
4/26/2008,12.106807
4/27/2008,12.457286
4/28/2008,12.807765
4/29/2008,13.158244
4/30/2008,13.508723
5/1/2008,13.859202
5/2/2008,14.209681
5/3/2008,14.56016
5/4/2008,14.910639
5/5/2008,15.261118
5/6/2008,15.611597
5/7/2008,15.962076
5/8/2008,16.312555
5/9/2008,16.663035
5/10/2008,17.013514
5/11/2008,17.363993
5/12/2008,17.714472
5/13/2008,18.064951
5/14/2008,18.41543
5/15/2008,18.765909
5/16/2008,19.116388
5/17/2008,19.466867
5/18/2008,19.817346
5/19/2008,20.167825
5/20/2008,20.518304
5/21/2008,20.868783
5/22/2008,20.185631
5/23/2008,19.502478
5/24/2008,18.819326
5/25/2008,18.136174
5/26/2008,17.453022
5/27/2008,16.769869
5/28/2008,16.086717
5/29/2008,15.403565
5/30/2008,14.720412
5/31/2008,14.03726
6/1/2008,13.354107
6/2/2008,12.670955
6/3/2008,11.987803
6/4/2008,11.30465
6/5/2008,10.621498
6/6/2008,9.938346
6/7/2008,9.255194
6/8/2008,8.572041
6/9/2008,7.888889
6/10/2008,8.066818
6/11/2008,8.244747
6/12/2008,8.422676
6/13/2008,8.600605
6/14/2008,8.778534
6/15/2008,8.956463
6/16/2008,9.134392
6/17/2008,9.31232
6/18/2008,9.490249
6/19/2008,9.668178
6/20/2008,9.846107
6/21/2008,10.024036
6/22/2008,10.201965
6/23/2008,10.379894
6/24/2008,10.557823
6/25/2008,10.735752
6/26/2008,10.913681
6/27/2008,11.09161
6/28/2008,11.269539
6/29/2008,11.447468
6/30/2008,11.625397
7/1/2008,11.803326
7/2/2008,11.981255
7/3/2008,12.159184
7/4/2008,12.337112
7/5/2008,12.515042
7/6/2008,12.692971
7/7/2008,12.8709
7/8/2008,13.048828
7/9/2008,13.226757
7/10/2008,13.404686
7/11/2008,13.582615
7/12/2008,13.760544
7/13/2008,13.938473
7/14/2008,14.116402
7/15/2008,14.294331
7/16/2008,14.47226
7/17/2008,14.650189
7/18/2008,14.828118
7/19/2008,15.006047
7/20/2008,15.183976
7/21/2008,15.361905
7/22/2008,15.08133
7/23/2008,14.800756
7/24/2008,14.520181
7/25/2008,14.239607
7/26/2008,13.959032
7/27/2008,13.678458
7/28/2008,13.397883
7/29/2008,13.117309
7/30/2008,12.836735
7/31/2008,12.55616
8/1/2008,12.275586
8/2/2008,11.995011
8/3/2008,11.714437
8/4/2008,11.433863
8/5/2008,11.153288
8/6/2008,10.872714
8/7/2008,10.592139
8/8/2008,10.311565
8/9/2008,10.03099
8/10/2008,9.750416
8/11/2008,9.469841
8/12/2008,9.456922
8/13/2008,9.444003
8/14/2008,9.431084
8/15/2008,9.418165
8/16/2008,9.405246
8/17/2008,9.392327
8/18/2008,9.379408
8/19/2008,9.366489
8/20/2008,9.35357
8/21/2008,9.340651
8/22/2008,9.327732
