date,NO
1/1/2008,181.246106
1/2/2008,180.944147
1/3/2008,180.642187
1/4/2008,180.340228
1/5/2008,180.038269
1/6/2008,179.736309
1/7/2008,179.43435
1/8/2008,179.132391
1/9/2008,178.830431
1/10/2008,178.528472
1/11/2008,178.226513
1/12/2008,177.924553
1/13/2008,177.622594
1/14/2008,177.320635
1/15/2008,178.227499
1/16/2008,179.134364
1/17/2008,180.041229
1/18/2008,180.948093
1/19/2008,181.854958
1/20/2008,182.761822
1/21/2008,183.668687
1/22/2008,184.575551
1/23/2008,185.482416
1/24/2008,186.38928
1/25/2008,187.296145
1/26/2008,188.203009
1/27/2008,189.109874
1/28/2008,190.016739
1/29/2008,190.923603
1/30/2008,191.830467
1/31/2008,192.737332
2/1/2008,193.644197
2/2/2008,194.551061
2/3/2008,195.457926
2/4/2008,196.36479
2/5/2008,197.271655
2/6/2008,198.178519
2/7/2008,199.085384
2/8/2008,199.992248
2/9/2008,200.899113
2/10/2008,201.805977
2/11/2008,202.712842
2/12/2008,203.619706
2/13/2008,204.526571
2/14/2008,205.433435
2/15/2008,207.129931
2/16/2008,208.826427
2/17/2008,210.522923
2/18/2008,212.219419
2/19/2008,213.915915
2/20/2008,215.612411
2/21/2008,217.308906
2/22/2008,219.005402
2/23/2008,220.701898
2/24/2008,222.398394
2/25/2008,224.09489
2/26/2008,225.791386
2/27/2008,227.487882
2/28/2008,229.184378
2/29/2008,230.880874
3/1/2008,232.577369
3/2/2008,234.273865
3/3/2008,235.970361
3/4/2008,237.666857
3/5/2008,239.363353
3/6/2008,241.059849
3/7/2008,242.756345
3/8/2008,244.45284
3/9/2008,246.149336
3/10/2008,247.845832
3/11/2008,249.542328
3/12/2008,246.692738
3/13/2008,243.843149
3/14/2008,240.993559
3/15/2008,238.14397
3/16/2008,235.29438
3/17/2008,232.44479
3/18/2008,229.595201
3/19/2008,226.745611
3/20/2008,223.896021
3/21/2008,221.046432
3/22/2008,218.196842
3/23/2008,215.347253
3/24/2008,212.497663
3/25/2008,209.648073
3/26/2008,206.798484
3/27/2008,203.948894
3/28/2008,201.099304
3/29/2008,198.249715
3/30/2008,195.400125
3/31/2008,192.550535
4/1/2008,189.700946
4/2/2008,186.851356
4/3/2008,184.001767
4/4/2008,181.152177
4/5/2008,178.302587
4/6/2008,175.452998
