date,Inflows_cmd
1/1/2008,623265.1204
1/2/2008,805534.9986
1/3/2008,519946.2351
1/4/2008,58717.81311
1/5/2008,265649.1728
1/6/2008,632072.7924
1/7/2008,300659.6689
1/8/2008,712516.1963
1/9/2008,475100.5053
1/10/2008,449582.7224
1/11/2008,403391.3761
1/12/2008,669285.2064
1/13/2008,572205.0888
1/14/2008,818110.3969
1/15/2008,564938.7594
1/16/2008,377873.5931
1/17/2008,380442.4974
1/18/2008,591019.2547
1/19/2008,960427.6964
1/20/2008,1512693.194
1/21/2008,1205745.826
1/22/2008,727758.362
1/23/2008,766512.1186
1/24/2008,808177.3002
1/25/2008,908022.0482
1/26/2008,841132.6728
1/27/2008,661651.8907
1/28/2008,620843.0106
1/29/2008,411562.9384
1/30/2008,297381.2576
1/31/2008,281307.2563
2/1/2008,389323.5667
2/2/2008,399476.8552
2/3/2008,662288.0003
2/4/2008,352209.0156
2/5/2008,266725.6661
2/6/2008,260437.9669
2/7/2008,358056.3312
2/8/2008,58473.15556
2/9/2008,331706.7126
2/10/2008,556253.4162
2/11/2008,762842.2553
2/12/2008,747746.8842
2/13/2008,4288724.604
2/14/2008,6915147.918
2/15/2008,3638645.015
2/16/2008,1769241.106
2/17/2008,2463187.794
2/18/2008,3103725.738
2/19/2008,2500962.921
2/20/2008,2140680.206
2/21/2008,1927754.736
2/22/2008,2769523.518
2/23/2008,2941370.985
2/24/2008,2655097.18
2/25/2008,2506663.442
2/26/2008,2580378.763
2/27/2008,2115676.204
2/28/2008,1893943.062
2/29/2008,1957431.697
3/1/2008,2133805.328
3/2/2008,2220609.829
3/3/2008,1663010.796
3/4/2008,1733643.432
3/5/2008,1931375.668
3/6/2008,2482882.727
3/7/2008,3535595.253
3/8/2008,4107898.205
3/9/2008,4086882.121
3/10/2008,3167605.825
3/11/2008,2728665.707
3/12/2008,4148046.51
3/13/2008,2939266.93
3/14/2008,3314645.016
3/15/2008,4059309.215
3/16/2008,5011834.472
3/17/2008,4608761.151
3/18/2008,3884232.269
3/19/2008,4155900.017
3/20/2008,4080839.08
3/21/2008,4341374.91
3/22/2008,4493600.84
3/23/2008,5014550.171
3/24/2008,4296137.728
3/25/2008,4109561.877
3/26/2008,4334891.484
3/27/2008,5189162.268
3/28/2008,4999454.8
3/29/2008,5221359.202
3/30/2008,5123716.372
3/31/2008,4918204.026
4/1/2008,4974499.729
4/2/2008,6470923.197
4/3/2008,6217653.696
4/4/2008,5927318.576
4/5/2008,5644494.443
4/6/2008,6126641.086
4/7/2008,11128224.41
4/8/2008,9691570.78
4/9/2008,7613914.36
4/10/2008,8095204.701
4/11/2008,8757443.77
4/12/2008,7302856.745
4/13/2008,6952898.579
4/14/2008,6692582.941
4/15/2008,5945937.016
4/16/2008,4662561.347
4/17/2008,4724337.38
4/18/2008,4831130.402
4/19/2008,4387028.009
4/20/2008,3677716.827
4/21/2008,3162565.88
4/22/2008,2970558.631
4/23/2008,2540646.376
4/24/2008,2343378.99
4/25/2008,2223986.103
4/26/2008,1886578.869
4/27/2008,1871728.156
4/28/2008,1048675.676
4/29/2008,1567985.802
4/30/2008,1407563.843
5/1/2008,1195543.606
5/2/2008,1212082.457
5/3/2008,1156398.398
5/4/2008,1136360.944
5/5/2008,1057850.335
5/6/2008,1164202.974
5/7/2008,1666802.988
5/8/2008,1056578.115
5/9/2008,883825.4161
5/10/2008,1443748.696
5/11/2008,2000099.975
5/12/2008,947632.1063
5/13/2008,2011990.332
5/14/2008,1066682.472
5/15/2008,544191.7988
5/16/2008,644427.9989
5/17/2008,757337.4603
5/18/2008,921722.8713
5/19/2008,878956.7307
5/20/2008,851971.0025
5/21/2008,952720.9835
5/22/2008,529781.4688
