date,NO
1/31/2008,182.6828468
2/29/2008,209.60774
3/31/2008,227.2287443
4/30/2008,162.8503649
5/31/2008,154.4446737
6/30/2008,80.44623456
7/31/2008,78.72533263
8/31/2008,110.7199057
9/30/2008,209.5615697
10/31/2008,320.126013
11/30/2008,351.795379
12/31/2008,384.3252962
1/31/2009,389.4706386
2/28/2009,402.9616899
3/31/2009,312.9737879
4/30/2009,249.2947775
5/31/2009,145.2515152
6/30/2009,93.62010791
7/31/2009,60.30014694
8/31/2009,45.67848926
9/30/2009,58.60822979
10/31/2009,118.6374898
11/30/2009,193.5105109
12/31/2009,222.3941244
1/31/2010,345.7454991
2/28/2010,379.0007391
3/31/2010,385.8115033
4/30/2010,366.3181416
5/31/2010,340.144512
6/30/2010,212.9308901
7/31/2010,146.5292114
8/31/2010,99.02894531
9/30/2010,93.14098787
10/31/2010,129.5243033
11/30/2010,183.2313698
12/31/2010,292.1230435
1/31/2011,339.6090079
2/28/2011,332.9971052
3/31/2011,261.041903
4/30/2011,170.1048394
5/31/2011,94.20811201
6/30/2011,59.5845623
7/31/2011,43.92519597
8/31/2011,39.7205589
9/30/2011,52.86501594
10/31/2011,113.2942993
11/30/2011,178.6596311
12/31/2011,266.3651057
1/31/2012,227.6308408
2/29/2012,220.3963496
3/31/2012,218.564419
4/30/2012,162.6886204
5/31/2012,117.3679847
6/30/2012,105.7123495
7/31/2012,109.4184011
8/31/2012,104.164238
9/30/2012,189.3276108
10/31/2012,201.2596171
11/30/2012,265.2531591
12/31/2012,313.1632653
1/31/2013,334.7166802
2/28/2013,303.7841068
3/31/2013,309.680317
4/30/2013,237.8583333
5/31/2013,173.0097542
6/30/2013,125.6624675
7/31/2013,97.94178482
8/31/2013,72.43422208
9/30/2013,77.6773055
10/31/2013,82.24726598
11/30/2013,120.6835567
12/31/2013,205.8683927
1/31/2014,236.4842703
2/28/2014,211.6549871
3/31/2014,210.3917031
4/30/2014,239.7507918
5/31/2014,172.1536929
6/30/2014,119.4279316
7/31/2014,82.14979864
8/31/2014,82.08853272
9/30/2014,104.3558759
10/31/2014,135.3191365
11/30/2014,163.9224132
12/31/2014,209.794134
1/31/2015,260.5813815
2/28/2015,266.7656706
3/31/2015,196.8165169
4/30/2015,175.0620927
5/31/2015,138.3224702
6/30/2015,91.94661996
7/31/2015,86.82092166
8/31/2015,115.0140994
9/30/2015,98.6432137
10/31/2015,100.2283828
11/30/2015,156.3292561
12/31/2015,236.9059393
1/31/2016,271.0378204
2/29/2016,262.9089383
3/31/2016,313.0516534
4/30/2016,302.3753901
5/31/2016,211.4999497
6/30/2016,127.8069079
7/31/2016,69.51114555
8/31/2016,88.31595484
9/30/2016,164.9840673
10/31/2016,258.0819618
11/30/2016,310.2360111
12/31/2016,351.6894309
1/31/2017,364.8391575
2/28/2017,355.1098322
3/31/2017,357.1460481
4/30/2017,323.209466
5/31/2017,307.8347985
6/30/2017,264.631158
7/31/2017,171.1799686
8/31/2017,137.1692806
9/30/2017,272.1109751
10/31/2017,396.6817414
11/30/2017,477.8014399
12/31/2017,518.740726
1/31/2018,546.4761601
2/28/2018,554.3748542
3/31/2018,526.1904213
4/30/2018,495.8367347
5/31/2018,448.9068466
6/30/2018,307.2955782
7/31/2018,114.0589026
8/31/2018,56.57900864
9/30/2018,98.0755567
10/31/2018,117.5572838
11/30/2018,120.191859
12/31/2018,201.0528962
1/31/2019,254.6003286
2/28/2019,237.8653334
3/31/2019,253.6957092
4/30/2019,267.2138962
5/31/2019,219.9750402
6/30/2019,84.51047164
7/31/2019,67.070728
8/31/2019,95.35116855
9/30/2019,161.1738702
10/31/2019,228.3574321
11/30/2019,257.080839
12/31/2019,285.7723283
1/31/2020,301.9856308
2/29/2020,277.6298419
3/31/2020,270.5463494
4/30/2020,247.3940476
5/31/2020,214.503241
6/30/2020,89.02903192
7/31/2020,70.67245479
8/31/2020,86.83334624
9/30/2020,93.93355805
10/31/2020,156.8142908
11/30/2020,265.3446878
12/31/2020,312.5360933
1/31/2021,359.6285275
2/28/2021,311.386785
3/31/2021,348.856878
4/30/2021,290.2151927
5/31/2021,207.7513715
6/30/2021,166.7064059
7/31/2021,71.15527675
8/31/2021,67.12268024
9/30/2021,54.52727135
10/31/2021,66.09607929
11/30/2021,119.0272562
12/31/2021,169.7770024
1/31/2022,217.1384266
2/28/2022,237.5754741
3/31/2022,253.1234491
4/30/2022,285.6445548
5/31/2022,208.5073712
6/30/2022,177.4329174
7/31/2022,88.34797187
8/31/2022,88.4138608
9/30/2022,106.220178
10/31/2022,235.1483612
11/30/2022,349.3384354
12/31/2022,417.3113891
1/31/2023,405.2542901
2/28/2023,440.1448615
3/31/2023,423.0695523
4/30/2023,400.6738095
5/31/2023,374.1192671
6/30/2023,278.4475926
