date,RAD,RAD_Watt
1/1/2008,0.0575,57.5
1/2/2008,0.18625,186.25
1/3/2008,0.119666667,119.666667
1/4/2008,0.105,105
1/5/2008,0.15775,157.75
1/6/2008,0.14675,146.75
1/7/2008,0.17025,170.25
1/8/2008,0.175,175
1/9/2008,0.15925,159.25
1/10/2008,0.16825,168.25
1/11/2008,0.1485,148.5
1/12/2008,0.14825,148.25
1/13/2008,0.11975,119.75
1/14/2008,0.17675,176.75
1/15/2008,0.18175,181.75
1/16/2008,0.15075,150.75
1/17/2008,0.05525,55.25
1/18/2008,0.102,102
1/19/2008,0.14175,141.75
1/20/2008,0.055,55
1/21/2008,0.14975,149.75
1/22/2008,0.16125,161.25
1/23/2008,0.11425,114.25
1/24/2008,0.09525,95.25
1/25/2008,0.19125,191.25
1/26/2008,0.1705,170.5
1/27/2008,0.16,160
1/28/2008,0.2055,205.5
1/29/2008,0.19675,196.75
1/30/2008,0.18675,186.75
1/31/2008,0.17,170
2/1/2008,0.16025,160.25
2/2/2008,0.1625,162.5
2/3/2008,0.18925,189.25
2/4/2008,0.1965,196.5
2/5/2008,0.1815,181.5
2/6/2008,0.15175,151.75
2/7/2008,0.18425,184.25
2/8/2008,0.1085,108.5
2/9/2008,0.16325,163.25
2/10/2008,0.204,204
2/11/2008,0.21375,213.75
2/12/2008,0.06175,61.75
2/13/2008,0.08175,81.75
2/14/2008,0.21575,215.75
2/15/2008,0.21275,212.75
2/16/2008,0.2225,222.5
2/17/2008,0.19475,194.75
2/18/2008,0.199,199
2/19/2008,0.17825,178.25
2/20/2008,0.2015,201.5
2/21/2008,0.11275,112.75
2/22/2008,0.20325,203.25
2/23/2008,0.176,176
2/24/2008,0.15875,158.75
2/25/2008,0.188,188
2/26/2008,0.1945,194.5
2/27/2008,0.11175,111.75
2/28/2008,0.25675,256.75
2/29/2008,0.21675,216.75
3/1/2008,0.2215,221.5
3/2/2008,0.2255,225.5
3/3/2008,0.177,177
3/4/2008,0.1425,142.5
3/5/2008,0.177,177
3/6/2008,0.17375,173.75
3/7/2008,0.2035,203.5
3/8/2008,0.22925,229.25
3/9/2008,0.25225,252.25
3/10/2008,0.1775,177.5
3/11/2008,0.135,135
3/12/2008,0.19775,197.75
3/13/2008,0.2495,249.5
3/14/2008,0.18725,187.25
3/15/2008,0.245,245
3/16/2008,0.22125,221.25
3/17/2008,0.24375,243.75
3/18/2008,0.1705,170.5
3/19/2008,0.224,224
3/20/2008,0.1465,146.5
3/21/2008,0.2715,271.5
3/22/2008,0.07325,73.25
3/23/2008,0.12125,121.25
3/24/2008,0.1765,176.5
3/25/2008,0.274,274
3/26/2008,0.22875,228.75
3/27/2008,0.273,273
3/28/2008,0.23725,237.25
3/29/2008,0.27575,275.75
3/30/2008,0.2705,270.5
3/31/2008,0.25625,256.25
4/1/2008,0.2045,204.5
4/2/2008,0.21525,215.25
4/3/2008,0.2455,245.5
4/4/2008,0.24125,241.25
4/5/2008,0.2455,245.5
4/6/2008,0.20525,205.25
4/7/2008,0.2515,251.5
4/8/2008,0.169,169
4/9/2008,0.27675,276.75
4/10/2008,0.28025,280.25
4/11/2008,0.284,284
4/12/2008,0.26025,260.25
4/13/2008,0.198,198
4/14/2008,0.24525,245.25
4/15/2008,0.2835,283.5
4/16/2008,0.3015,301.5
4/17/2008,0.2555,255.5
4/18/2008,0.2585,258.5
4/19/2008,0.29,290
4/20/2008,0.223,223
4/21/2008,0.29975,299.75
4/22/2008,0.29475,294.75
4/23/2008,0.2935,293.5
4/24/2008,0.2745,274.5
4/25/2008,0.2795,279.5
4/26/2008,0.28275,282.75
4/27/2008,0.2885,288.5
4/28/2008,0.25725,257.25
4/29/2008,0.14475,144.75
4/30/2008,0.30775,307.75
5/1/2008,0.3085,308.5
5/2/2008,0.2715,271.5
5/3/2008,0.2805,280.5
5/4/2008,0.278,278
5/5/2008,0.29625,296.25
5/6/2008,0.317,317
5/7/2008,0.29875,298.75
5/8/2008,0.25875,258.75
5/9/2008,0.24025,240.25
5/10/2008,0.291,291
5/11/2008,0.269,269
5/12/2008,0.2925,292.5
5/13/2008,0.31725,317.25
5/14/2008,0.31025,310.25
5/15/2008,0.303,303
5/16/2008,0.297,297
5/17/2008,0.2355,235.5
5/18/2008,0.263,263
5/19/2008,0.198,198
5/20/2008,0.215,215
5/21/2008,0.28325,283.25
5/22/2008,0.13075,130.75
5/23/2008,0.21925,219.25
5/24/2008,0.2475,247.5
5/25/2008,0.289,289
5/26/2008,0.323,323
5/27/2008,0.29075,290.75
5/28/2008,0.30625,306.25
5/29/2008,0.31875,318.75
5/30/2008,0.3105,310.5
5/31/2008,0.27325,273.25
6/1/2008,0.31125,311.25
6/2/2008,0.21725,217.25
6/3/2008,0.2875,287.5
6/4/2008,0.301,301
6/5/2008,0.311,311
6/6/2008,0.30175,301.75
6/7/2008,0.308,308
6/8/2008,0.26625,266.25
6/9/2008,0.14225,142.25
6/10/2008,0.295,295
