date,Net_Inflow,LOSA_dmd_SFWMM,C44RO,C43RO,Cutback,Stage,Storage,S77_Q,S308_Q,S77EW,TotRegEW,TotRegSo
1/1/2008,427.9345219,0.23,15,0,0,10.2013576,2105045.294,0,0,0,0,0
1/2/2008,522.1495383,0.23,0,0,0,10.08619445,2067271.778,0,0,0,0,0
1/3/2008,233.097868,16.66,0,0,0,9.91130136,2011503.422,0,0,0,0,0
1/4/2008,-37.68600657,172.08,53,0,0,10.06371373,2059898.104,0,0,0,0,0
1/5/2008,215.3656101,879.79,0,22.99999999,0,10.09137828,2068972.077,0,0,0,0,0
1/6/2008,512.4305155,1526.81,0,79.99999996,71.43142857,10.08083419,2065513.614,0,0,0,0,0
1/7/2008,194.1622728,2183.02,0,8.399999997,727.6414286,10.08472244,2066788.962,0,0,0,0,0
1/8/2008,405.0849011,2116,0,0,658.1071429,10.08445969,2066702.778,0,0,0,0,0
1/9/2008,230.4598475,2032.18,0,16,574.2871429,10.07534885,2063714.422,0,0,0,0,0
1/10/2008,233.5739017,939.91,47,0,0,10.07779971,2064518.305,0,0,0,0,0
1/11/2008,190.17549,172.26,93,0,0,10.07679313,2064188.147,0,0,0,0,0
1/12/2008,542.5991556,0,173,0,0,10.07338767,2063071.155,0,0,0,0,0
1/13/2008,463.8949061,0,89,0,0,10.08127938,2065659.638,0,0,0,0,0
1/14/2008,617.6339781,0.26,13,0,0,10.03637917,2050932.367,0,0,0,0,0
1/15/2008,348.9129166,0.22,19,0,0,10.00837063,2041745.567,0,0,0,0,0
1/16/2008,137.7522714,0.22,131,0,0,10.03269721,2049724.684,0,0,0,0,0
1/17/2008,163.6366075,0.23,85,0,0,10.04406936,2053454.751,0,0,0,0,0
1/18/2008,423.6105485,3.25,389,0,0,10.03397108,2050142.514,0,0,0,0,0
1/19/2008,778.6325651,9.96,256,95.99999998,0,10.04662018,2054291.419,0,0,0,0,0
1/20/2008,1226.362158,17.48,0,0,0,10.0150591,2043939.384,0,0,0,0,0
1/21/2008,977.5155061,24.28,40,0,0,10.06384651,2059941.655,0,0,0,0,0
1/22/2008,590.0041848,17.75,49,123.9999999,0,10.07207841,2062641.718,0,0,0,0,0
1/23/2008,621.4224134,11.1,195,123.9999999,0,10.07242564,2062755.611,0,0,0,0,0
1/24/2008,655.2009762,0,69,63.99999998,0,10.06641106,2060782.829,0,0,0,0,0
1/25/2008,736.1465514,0,104,533,0,10.04548717,2053919.793,0,0,0,0,0
1/26/2008,681.9183713,0,97,1068,0,10.05458417,2056903.609,0,0,0,0,0
1/27/2008,530.4602945,0.19,75,276,0,10.03048733,2048999.845,0,0,0,0,0
1/28/2008,457.7064671,0,51,37.99999999,0,10.01018479,2042340.61,0,0,0,0,0
1/29/2008,226.5524037,0,8.4,0,0,10.02507348,2047224.102,0,0,0,0,0
1/30/2008,122.0828265,0.22,26,0,0,10.02350953,2046711.126,0,0,0,0,0
1/31/2008,91.20013589,0,26,0,0,10.02770157,2048086.113,0,0,0,0,0
2/1/2008,188.6878845,0.23,57,0,0,10.01637337,2044370.464,0,0,0,0,0
2/2/2008,323.8616396,0.23,25,0,0,9.998442692,2038517.234,0,0,0,0,0
2/3/2008,536.9264198,0,0,125.9999999,0,10.00345213,2040132.3,0,0,0,0,0
2/4/2008,218.1028043,0,0,0,0,10.00789077,2041588.173,0,0,0,0,0
2/5/2008,154.7506438,0.23,0,0,0,10.0097229,2042189.11,0,0,0,0,0
2/6/2008,153.6200636,0.23,15,0,0,9.99794716,2038363.62,0,0,0,0,0
2/7/2008,193.0911968,0.23,41,0,0,9.981728627,2033335.874,0,0,0,0,0
2/8/2008,-41.85130203,0.23,115,0,0,9.969637975,2029587.772,0,0,0,0,0
2/9/2008,268.919409,0.23,160,0,0,9.976445408,2031698.077,0,0,0,0,0
2/10/2008,442.2353697,0,4.1,0,0,9.958367965,2026094.069,0,0,0,0,0
2/11/2008,618.4472025,0,126,0,0,9.948183089,2022936.758,0,0,0,0,0
2/12/2008,606.2091677,4.9,428,99.99999999,0,9.969355655,2029500.253,0,0,0,0,0
2/13/2008,3480.203533,20.31,234,311.9999999,0,10.04860579,2054942.7,0,0,0,0,0
2/14/2008,5602.897604,25.19,68,299.9999999,0,10.06671018,2060880.939,0,0,0,0,0
2/15/2008,2949.901916,25.34,42,842.9999999,0,10.08503108,2066890.195,0,0,0,0,0
2/16/2008,1434.349244,0.07,108,456.9999999,0,10.09219575,2069240.206,0,0,0,0,0
2/17/2008,1996.941818,0.39,0,427.9999999,0,10.10515714,2073491.542,0,0,0,0,0
2/18/2008,2516.235154,43.36,0,394.9999999,0,10.09529925,2070258.153,0,0,0,0,0
2/19/2008,2027.566657,0,0,175.9999999,0,10.06666078,2060864.735,0,0,0,0,0
2/20/2008,1735.480272,0,64,116,0,10.06758287,2061167.182,0,0,0,0,0
2/21/2008,1562.858527,3.13,151,71.99999999,0,10.08868784,2068089.61,0,0,0,0,0
2/22/2008,2245.292602,3.45,105,199.9999999,0,10.10179514,2072388.805,0,0,0,0,0
2/23/2008,2384.611817,4.72,63,389.9999999,0,10.09269934,2069405.385,0,0,0,0,0
2/24/2008,2152.525521,11.62,124,319,0,10.08443991,2066696.292,0,0,0,0,0
2/25/2008,2032.188152,21.43,63,151.9999999,0,10.09161468,2069049.616,0,0,0,0,0
2/26/2008,2091.950224,96.73,58,195.9999999,0,10.09214086,2069222.201,0,0,0,0,0
2/27/2008,1715.209167,196.67,44,151.9999999,0,10.01866683,2045122.721,0,0,0,0,0
2/28/2008,1535.446916,342.55,40,0,0,10.0058639,2040923.359,0,0,0,0,0
2/29/2008,1586.918067,1184.35,69,0,0,10.00932982,2042060.181,0,0,0,0,0
3/1/2008,1729.90671,2266.56,0,95.99999998,506.3242857,10.00286572,2039939.956,0,0,0,0,0
3/2/2008,1800.280368,2923.71,0,67.99999998,1163.474286,10.00301135,2039987.724,0,0,0,0,0
3/3/2008,1331.763968,2678,16,39.99999999,917.7642857,10.00570077,2040869.851,0,0,0,0,0
3/4/2008,1395.969022,3051.87,0,99.99999999,1170.791429,9.999182973,2038746.722,0,0,0,0,0
3/5/2008,1565.794068,3968.15,38,31.99999999,2087.071429,9.988669741,2035487.62,0,0,0,0,0
3/6/2008,2012.908785,4181.43,136,0,2300.351429,10.03256546,2049681.472,0,0,0,0,0
3/7/2008,2883.594379,3109.19,510,0,1228.111429,10.09968126,2071695.454,0,0,0,0,0
3/8/2008,3350.444662,2781.1,82,0,900.0214286,10.00736543,2041415.861,0,0,0,0,0
3/9/2008,3308.93055,586.05,49,192,0,10.02936721,2048632.446,0,0,0,0,0
3/10/2008,2568.658373,667.43,100,207,0,10.04194994,2052759.582,0,0,0,0,0
3/11/2008,2212.168585,1498.95,74,229,0,10.06166363,2059225.671,0,0,0,0,0
3/12/2008,3368.51411,1783.81,56,146,0,10.06243951,2059480.16,0,0,0,0,0
3/13/2008,2382.90603,2281.74,97,284,247.4471429,10.05060848,2055599.582,0,0,0,0,0
3/14/2008,2687.23045,2255.73,150,0,221.4371429,10.05497149,2057030.65,0,0,0,0,0
3/15/2008,3290.940441,2996.53,175,144,962.2371429,10.06276348,2059586.422,0,0,0,0,0
3/16/2008,4063.027541,2458.54,0,230,424.2471429,10.06061117,2058880.464,0,0,0,0,0
3/17/2008,3736.845238,2707.78,0,138,673.4871429,10.09506866,2070182.519,0,0,0,0,0
3/18/2008,3149.003039,3202.14,0,91.99999998,979.4328571,10.08834035,2067975.634,0,0,0,0,0
3/19/2008,3369.247995,3742.01,0,114.0999999,1519.302857,10.06138509,2059134.308,0,0,0,0,0
3/20/2008,3293.717304,2563.07,0,27.99999999,340.3628571,10.01866724,2045122.853,0,0,0,0,0
3/21/2008,3519.615162,873.49,0,0,0,10.00787838,2041584.109,0,0,0,0,0
3/22/2008,3642.967412,772.34,0,0,0,10.00593603,2040947.017,0,0,0,0,0
3/23/2008,4064.772999,2089.33,0,0,0,10.0933113,2069606.105,0,0,0,0,0
3/24/2008,3482.32585,2869.82,29,0,647.1128571,10.06087265,2058966.23,0,0,0,0,0
3/25/2008,3329.876036,670.6,3.7,0,0,10.03301323,2049828.339,0,0,0,0,0
