date,Chla
1/1/2008,2.933333333
1/2/2008,3
1/3/2008,3.066666667
1/4/2008,3.133333333
1/5/2008,3.2
1/6/2008,3.266666667
1/7/2008,3.333333333
1/8/2008,3.4
1/9/2008,3.466666667
1/10/2008,3.533333333
1/11/2008,3.6
1/12/2008,3.666666667
1/13/2008,3.733333333
1/14/2008,3.8
1/15/2008,3.866666667
1/16/2008,3.933333333
1/17/2008,4
1/18/2008,3.875
1/19/2008,3.75
1/20/2008,3.625
1/21/2008,3.5
1/22/2008,3.375
1/23/2008,3.25
1/24/2008,3.125
1/25/2008,3
1/26/2008,2.875
1/27/2008,2.75
1/28/2008,2.625
1/29/2008,2.5
1/30/2008,2.916666667
1/31/2008,3.333333333
2/1/2008,3.75
2/2/2008,4.166666667
2/3/2008,4.583333333
2/4/2008,5
2/5/2008,5.2
2/6/2008,5.4
2/7/2008,5.6
2/8/2008,5.8
2/9/2008,6
2/10/2008,6.2
2/11/2008,6.4
2/12/2008,6.6
2/13/2008,6.8
2/14/2008,7
2/15/2008,7.2
2/16/2008,7.4
2/17/2008,7.6
2/18/2008,7.8
2/19/2008,8
2/20/2008,8
2/21/2008,8
2/22/2008,8
2/23/2008,8
2/24/2008,8
2/25/2008,8
2/26/2008,8
2/27/2008,8
2/28/2008,8
2/29/2008,8
3/1/2008,8
3/2/2008,8
3/3/2008,8
3/4/2008,7.785714286
3/5/2008,7.571428571
3/6/2008,7.357142857
3/7/2008,7.142857143
3/8/2008,6.928571429
3/9/2008,6.714285714
3/10/2008,6.5
3/11/2008,6.285714286
3/12/2008,6.071428571
3/13/2008,5.857142857
3/14/2008,5.642857143
3/15/2008,5.428571429
3/16/2008,5.214285714
3/17/2008,5
3/18/2008,5.571428571
3/19/2008,6.142857143
3/20/2008,6.714285714
3/21/2008,7.285714286
3/22/2008,7.857142857
3/23/2008,8.428571429
3/24/2008,9
3/25/2008,9.571428571
3/26/2008,10.14285714
3/27/2008,10.71428571
3/28/2008,11.28571429
3/29/2008,11.85714286
3/30/2008,12.42857143
3/31/2008,13
4/1/2008,13.57142857
4/2/2008,14.14285714
4/3/2008,14.71428571
4/4/2008,15.28571429
4/5/2008,15.85714286
4/6/2008,16.42857143
4/7/2008,17
4/8/2008,17.07142857
4/9/2008,17.14285714
4/10/2008,17.21428571
4/11/2008,17.28571429
4/12/2008,17.35714286
4/13/2008,17.42857143
4/14/2008,17.5
4/15/2008,17.57142857
4/16/2008,17.64285714
4/17/2008,17.71428571
4/18/2008,17.78571429
4/19/2008,17.85714286
4/20/2008,17.92857143
4/21/2008,18
4/22/2008,17.8
4/23/2008,17.6
4/24/2008,17.4
4/25/2008,17.2
4/26/2008,17
4/27/2008,16.8
4/28/2008,16.6
4/29/2008,16.4
4/30/2008,16.2
5/1/2008,16
5/2/2008,15.8
5/3/2008,15.6
5/4/2008,15.4
5/5/2008,15.2
5/6/2008,15
5/7/2008,14.34615385
5/8/2008,13.69230769
5/9/2008,13.03846154
5/10/2008,12.38461538
5/11/2008,11.73076923
5/12/2008,11.07692308
5/13/2008,10.42307692
5/14/2008,9.769230769
5/15/2008,9.115384615
5/16/2008,8.461538462
5/17/2008,7.807692308
5/18/2008,7.153846154
5/19/2008,6.5
5/20/2008,6.626666667
5/21/2008,6.753333333
5/22/2008,6.88
5/23/2008,7.006666667
5/24/2008,7.133333333
5/25/2008,7.26
5/26/2008,7.386666667
5/27/2008,7.513333333
5/28/2008,7.64
5/29/2008,7.766666667
5/30/2008,7.893333333
5/31/2008,8.02
6/1/2008,8.146666667
6/2/2008,8.273333333
6/3/2008,8.4
6/4/2008,8.585714286
6/5/2008,8.771428571
6/6/2008,8.957142857
6/7/2008,9.142857143
6/8/2008,9.328571429
6/9/2008,9.514285714
6/10/2008,9.7
6/11/2008,9.885714286
6/12/2008,10.07142857
6/13/2008,10.25714286
6/14/2008,10.44285714
6/15/2008,10.62857143
6/16/2008,10.81428571
6/17/2008,11
6/18/2008,10.53571429
6/19/2008,10.07142857
6/20/2008,9.607142857
6/21/2008,9.142857143
6/22/2008,8.678571429
6/23/2008,8.214285714
6/24/2008,7.75
6/25/2008,7.285714286
6/26/2008,6.821428571
6/27/2008,6.357142857
6/28/2008,5.892857143
6/29/2008,5.428571429
6/30/2008,4.964285714
7/1/2008,4.5
7/2/2008,4.566666667
7/3/2008,4.633333333
7/4/2008,4.7
7/5/2008,4.766666667
7/6/2008,4.833333333
7/7/2008,4.9
7/8/2008,4.966666667
7/9/2008,5.033333333
7/10/2008,5.1
7/11/2008,5.166666667
7/12/2008,5.233333333
7/13/2008,5.3
7/14/2008,5.366666667
7/15/2008,5.433333333
7/16/2008,5.5
7/17/2008,5.666666667
7/18/2008,5.833333333
7/19/2008,6
7/20/2008,6.166666667
7/21/2008,6.333333333
7/22/2008,6.5
7/23/2008,6.666666667
7/24/2008,6.833333333
7/25/2008,7
7/26/2008,7.166666667
7/27/2008,7.333333333
7/28/2008,7.5
7/29/2008,7.666666667
7/30/2008,7.833333333
7/31/2008,8
8/1/2008,8.166666667
8/2/2008,8.333333333
8/3/2008,8.5
8/4/2008,8.666666667
8/5/2008,8.833333333
8/6/2008,9
8/7/2008,8.85
8/8/2008,8.7
8/9/2008,8.55
8/10/2008,8.4
8/11/2008,8.25
8/12/2008,8.1
8/13/2008,7.95
8/14/2008,7.8
8/15/2008,7.65
8/16/2008,7.5
8/17/2008,7.35
8/18/2008,7.2
8/19/2008,7.05
8/20/2008,6.9
8/21/2008,6.75
8/22/2008,6.6
8/23/2008,6.45
8/24/2008,6.3
8/25/2008,6.15
8/26/2008,6
8/27/2008,5.923076923
8/28/2008,5.846153846
8/29/2008,5.769230769
8/30/2008,5.692307692
8/31/2008,5.615384615
9/1/2008,5.538461538
9/2/2008,5.461538462
9/3/2008,5.384615385
9/4/2008,5.307692308
9/5/2008,5.230769231
9/6/2008,5.153846154
9/7/2008,5.076923077
9/8/2008,5
9/9/2008,5.5
9/10/2008,6
9/11/2008,6.5
9/12/2008,7
9/13/2008,7.5
9/14/2008,8
9/15/2008,8.5
9/16/2008,9
9/17/2008,9.5
9/18/2008,10
9/19/2008,10.5
9/20/2008,11
9/21/2008,11.5
9/22/2008,12
9/23/2008,11.39285714
9/24/2008,10.78571429
9/25/2008,10.17857143
9/26/2008,9.571428571
9/27/2008,8.964285714
9/28/2008,8.357142857
9/29/2008,7.75
9/30/2008,7.142857143
10/1/2008,6.535714286
10/2/2008,5.928571429
10/3/2008,5.321428571
10/4/2008,4.714285714
10/5/2008,4.107142857
10/6/2008,3.5
10/7/2008,3.357142857
10/8/2008,3.214285714
10/9/2008,3.071428571
10/10/2008,2.928571429
10/11/2008,2.785714286
10/12/2008,2.642857143
10/13/2008,2.5
10/14/2008,2.357142857
10/15/2008,2.214285714
10/16/2008,2.071428571
10/17/2008,1.928571429
10/18/2008,1.785714286
10/19/2008,1.642857143
10/20/2008,1.5
10/21/2008,1.583333333
10/22/2008,1.666666667
10/23/2008,1.75
10/24/2008,1.833333333
10/25/2008,1.916666667
10/26/2008,2
10/27/2008,2.083333333
10/28/2008,2.166666667
10/29/2008,2.25
10/30/2008,2.333333333
10/31/2008,2.416666667
11/1/2008,2.5
11/2/2008,2.583333333
11/3/2008,2.666666667
11/4/2008,2.75
11/5/2008,2.833333333
11/6/2008,2.916666667
11/7/2008,3
11/8/2008,3.083333333
11/9/2008,3.166666667
11/10/2008,3.25
11/11/2008,3.333333333
11/12/2008,3.416666667
11/13/2008,3.5
11/14/2008,3.909090909
11/15/2008,4.318181818
11/16/2008,4.727272727
11/17/2008,5.136363636
11/18/2008,5.545454545
11/19/2008,5.954545455
11/20/2008,6.363636364
11/21/2008,6.772727273
11/22/2008,7.181818182
11/23/2008,7.590909091
11/24/2008,8
11/25/2008,7.625
11/26/2008,7.25
11/27/2008,6.875
11/28/2008,6.5
11/29/2008,6.125
11/30/2008,5.75
12/1/2008,5.375
12/2/2008,5
12/3/2008,4.625
12/4/2008,4.25
12/5/2008,3.875
12/6/2008,3.5
12/7/2008,3.125
12/8/2008,2.75
12/9/2008,2.375
12/10/2008,2
12/11/2008,2.192307692
12/12/2008,2.384615385
12/13/2008,2.576923077
12/14/2008,2.769230769
12/15/2008,2.961538462
12/16/2008,3.153846154
12/17/2008,3.346153846
12/18/2008,3.538461538
12/19/2008,3.730769231
12/20/2008,3.923076923
12/21/2008,4.115384615
12/22/2008,4.307692308
12/23/2008,4.5
12/24/2008,4.409090909
12/25/2008,4.318181818
12/26/2008,4.227272727
12/27/2008,4.136363636
12/28/2008,4.045454545
12/29/2008,3.954545455
12/30/2008,3.863636364
12/31/2008,3.772727273
1/1/2009,3.681818182
1/2/2009,3.590909091
1/3/2009,3.5
1/4/2009,3.409090909
1/5/2009,3.318181818
1/6/2009,3.227272727
1/7/2009,3.136363636
1/8/2009,3.045454545
1/9/2009,2.954545455
1/10/2009,2.863636364
1/11/2009,2.772727273
1/12/2009,2.681818182
1/13/2009,2.590909091
1/14/2009,2.5
1/15/2009,2.692307692
1/16/2009,2.884615385
1/17/2009,3.076923077
1/18/2009,3.269230769
1/19/2009,3.461538462
1/20/2009,3.653846154
1/21/2009,3.846153846
1/22/2009,4.038461538
1/23/2009,4.230769231
1/24/2009,4.423076923
1/25/2009,4.615384615
1/26/2009,4.807692308
1/27/2009,5
1/28/2009,4.833333333
1/29/2009,4.666666667
1/30/2009,4.5
1/31/2009,4.333333333
2/1/2009,4.166666667
2/2/2009,4
2/3/2009,4.733333333
2/4/2009,5.466666667
2/5/2009,6.2
2/6/2009,6.933333333
2/7/2009,7.666666667
2/8/2009,8.4
2/9/2009,9.133333333
2/10/2009,9.866666667
2/11/2009,10.6
2/12/2009,11.33333333
2/13/2009,12.06666667
2/14/2009,12.8
2/15/2009,13.53333333
2/16/2009,14.26666667
2/17/2009,15
2/18/2009,14.41428571
2/19/2009,13.82857143
2/20/2009,13.24285714
2/21/2009,12.65714286
2/22/2009,12.07142857
2/23/2009,11.48571429
2/24/2009,10.9
2/25/2009,10.31428571
2/26/2009,9.728571429
2/27/2009,9.142857143
2/28/2009,8.557142857
3/1/2009,7.971428571
3/2/2009,7.385714286
3/3/2009,6.8
3/4/2009,6.742857143
3/5/2009,6.685714286
3/6/2009,6.628571429
3/7/2009,6.571428571
3/8/2009,6.514285714
3/9/2009,6.457142857
3/10/2009,6.4
3/11/2009,6.342857143
3/12/2009,6.285714286
3/13/2009,6.228571429
3/14/2009,6.171428571
3/15/2009,6.114285714
3/16/2009,6.057142857
3/17/2009,6
3/18/2009,5.821428571
3/19/2009,5.642857143
3/20/2009,5.464285714
3/21/2009,5.285714286
3/22/2009,5.107142857
3/23/2009,4.928571429
3/24/2009,4.75
3/25/2009,4.571428571
3/26/2009,4.392857143
3/27/2009,4.214285714
3/28/2009,4.035714286
3/29/2009,3.857142857
3/30/2009,3.678571429
3/31/2009,3.5
4/1/2009,3.5
4/2/2009,3.5
4/3/2009,3.5
4/4/2009,3.5
4/5/2009,3.5
4/6/2009,3.5
4/7/2009,3.5
4/8/2009,3.5
4/9/2009,3.5
4/10/2009,3.5
4/11/2009,3.5
4/12/2009,3.5
4/13/2009,3.5
4/14/2009,3.5
4/15/2009,4.2
4/16/2009,4.9
4/17/2009,5.6
4/18/2009,6.3
4/19/2009,7
4/20/2009,7.7
4/21/2009,8.4
4/22/2009,9.1
4/23/2009,9.8
4/24/2009,10.5
4/25/2009,11.2
4/26/2009,11.9
4/27/2009,12.6
4/28/2009,13.3
4/29/2009,14
4/30/2009,13.5
5/1/2009,13
5/2/2009,12.5
5/3/2009,12
5/4/2009,11.5
5/5/2009,11
5/6/2009,10.5
5/7/2009,10
5/8/2009,9.5
5/9/2009,9
5/10/2009,8.5
5/11/2009,8
5/12/2009,7.5
5/13/2009,7
5/14/2009,8.714285714
5/15/2009,10.42857143
5/16/2009,12.14285714
5/17/2009,13.85714286
5/18/2009,15.57142857
5/19/2009,17.28571429
5/20/2009,19
5/21/2009,20.71428571
5/22/2009,22.42857143
5/23/2009,24.14285714
5/24/2009,25.85714286
5/25/2009,27.57142857
5/26/2009,29.28571429
5/27/2009,31
5/28/2009,27.83333333
5/29/2009,24.66666667
5/30/2009,21.5
5/31/2009,18.33333333
6/1/2009,15.16666667
6/2/2009,12
6/3/2009,11.5
6/4/2009,11
6/5/2009,10.5
6/6/2009,10
6/7/2009,9.5
6/8/2009,9
6/9/2009,8.5
6/10/2009,8
6/11/2009,7.5
6/12/2009,7
6/13/2009,6.5
6/14/2009,6
6/15/2009,5.5
6/16/2009,5
6/17/2009,4.976190476
6/18/2009,4.952380952
6/19/2009,4.928571429
6/20/2009,4.904761905
6/21/2009,4.880952381
6/22/2009,4.857142857
6/23/2009,4.833333333
6/24/2009,4.80952381
6/25/2009,4.785714286
6/26/2009,4.761904762
6/27/2009,4.738095238
6/28/2009,4.714285714
6/29/2009,4.69047619
6/30/2009,4.666666667
7/1/2009,4.642857143
7/2/2009,4.619047619
7/3/2009,4.595238095
7/4/2009,4.571428571
7/5/2009,4.547619048
7/6/2009,4.523809524
7/7/2009,4.5
7/8/2009,4.692307692
7/9/2009,4.884615385
7/10/2009,5.076923077
7/11/2009,5.269230769
7/12/2009,5.461538462
7/13/2009,5.653846154
7/14/2009,5.846153846
7/15/2009,6.038461538
7/16/2009,6.230769231
7/17/2009,6.423076923
7/18/2009,6.615384615
7/19/2009,6.807692308
7/20/2009,7
7/21/2009,6.7
7/22/2009,6.4
7/23/2009,6.1
7/24/2009,5.8
7/25/2009,5.5
7/26/2009,5.2
7/27/2009,4.9
7/28/2009,4.6
7/29/2009,4.3
7/30/2009,4
7/31/2009,3.7
8/1/2009,3.4
8/2/2009,3.1
8/3/2009,2.8
8/4/2009,2.5
8/5/2009,2.571428571
8/6/2009,2.642857143
8/7/2009,2.714285714
8/8/2009,2.785714286
8/9/2009,2.857142857
8/10/2009,2.928571429
8/11/2009,3
8/12/2009,3.071428571
8/13/2009,3.142857143
8/14/2009,3.214285714
8/15/2009,3.285714286
8/16/2009,3.357142857
8/17/2009,3.428571429
8/18/2009,3.5
8/19/2009,3.523809524
8/20/2009,3.547619048
8/21/2009,3.571428571
8/22/2009,3.595238095
8/23/2009,3.619047619
8/24/2009,3.642857143
8/25/2009,3.666666667
8/26/2009,3.69047619
8/27/2009,3.714285714
8/28/2009,3.738095238
8/29/2009,3.761904762
8/30/2009,3.785714286
8/31/2009,3.80952381
9/1/2009,3.833333333
9/2/2009,3.857142857
9/3/2009,3.880952381
9/4/2009,3.904761905
9/5/2009,3.928571429
9/6/2009,3.952380952
9/7/2009,3.976190476
9/8/2009,4
9/9/2009,3.842857143
9/10/2009,3.685714286
9/11/2009,3.528571429
9/12/2009,3.371428571
9/13/2009,3.214285714
9/14/2009,3.057142857
9/15/2009,2.9
9/16/2009,2.742857143
9/17/2009,2.585714286
9/18/2009,2.428571429
9/19/2009,2.271428571
9/20/2009,2.114285714
9/21/2009,1.957142857
9/22/2009,1.8
9/23/2009,1.78
9/24/2009,1.76
9/25/2009,1.74
9/26/2009,1.72
9/27/2009,1.7
9/28/2009,1.68
9/29/2009,1.66
9/30/2009,1.64
10/1/2009,1.62
10/2/2009,1.6
10/3/2009,1.58
10/4/2009,1.56
10/5/2009,1.54
10/6/2009,1.52
10/7/2009,1.5
10/8/2009,1.428571429
10/9/2009,1.357142857
10/10/2009,1.285714286
10/11/2009,1.214285714
10/12/2009,1.142857143
10/13/2009,1.071428571
10/14/2009,1
10/15/2009,0.928571429
10/16/2009,0.857142857
10/17/2009,0.785714286
10/18/2009,0.714285714
10/19/2009,0.642857143
10/20/2009,0.571428571
10/21/2009,0.5
10/22/2009,0.5
10/23/2009,0.5
10/24/2009,0.5
10/25/2009,0.5
10/26/2009,0.5
10/27/2009,0.5
10/28/2009,0.5
10/29/2009,0.5
10/30/2009,0.5
10/31/2009,0.5
11/1/2009,0.5
11/2/2009,0.5
11/3/2009,0.5
11/4/2009,0.5
11/5/2009,0.5
11/6/2009,0.5
11/7/2009,0.5
11/8/2009,0.5
11/9/2009,0.5
11/10/2009,0.5
11/11/2009,0.5
11/12/2009,0.5
11/13/2009,0.5
11/14/2009,0.5
11/15/2009,0.5
11/16/2009,0.5
11/17/2009,0.5
11/18/2009,0.5
11/19/2009,0.5
11/20/2009,0.5
11/21/2009,0.5
11/22/2009,0.5
11/23/2009,0.5
11/24/2009,0.5
11/25/2009,0.5
11/26/2009,0.5
11/27/2009,0.5
11/28/2009,0.5
11/29/2009,0.5
11/30/2009,0.5
12/1/2009,0.5625
12/2/2009,0.625
12/3/2009,0.6875
12/4/2009,0.75
12/5/2009,0.8125
12/6/2009,0.875
12/7/2009,0.9375
12/8/2009,1
12/9/2009,1.0625
12/10/2009,1.125
12/11/2009,1.1875
12/12/2009,1.25
12/13/2009,1.3125
12/14/2009,1.375
12/15/2009,1.4375
12/16/2009,1.5
12/17/2009,1.583333333
12/18/2009,1.666666667
12/19/2009,1.75
12/20/2009,1.833333333
12/21/2009,1.916666667
12/22/2009,2
12/23/2009,2.083333333
12/24/2009,2.166666667
12/25/2009,2.25
12/26/2009,2.333333333
12/27/2009,2.416666667
12/28/2009,2.5
12/29/2009,2.464285714
12/30/2009,2.428571429
12/31/2009,2.392857143
1/1/2010,2.357142857
1/2/2010,2.321428571
1/3/2010,2.285714286
1/4/2010,2.25
1/5/2010,2.214285714
1/6/2010,2.178571429
1/7/2010,2.142857143
1/8/2010,2.107142857
1/9/2010,2.071428571
1/10/2010,2.035714286
1/11/2010,2
1/12/2010,2.285714286
1/13/2010,2.571428571
1/14/2010,2.857142857
1/15/2010,3.142857143
1/16/2010,3.428571429
1/17/2010,3.714285714
1/18/2010,4
1/19/2010,4.285714286
1/20/2010,4.571428571
1/21/2010,4.857142857
1/22/2010,5.142857143
1/23/2010,5.428571429
1/24/2010,5.714285714
1/25/2010,6
1/26/2010,5.785714286
1/27/2010,5.571428571
1/28/2010,5.357142857
1/29/2010,5.142857143
1/30/2010,4.928571429
1/31/2010,4.714285714
2/1/2010,4.5
2/2/2010,4.285714286
2/3/2010,4.071428571
2/4/2010,3.857142857
2/5/2010,3.642857143
2/6/2010,3.428571429
2/7/2010,3.214285714
2/8/2010,3
2/9/2010,3.333333333
2/10/2010,3.666666667
2/11/2010,4
2/12/2010,4.333333333
2/13/2010,4.666666667
2/14/2010,5
2/15/2010,5.333333333
2/16/2010,5.666666667
2/17/2010,6
2/18/2010,5.853846154
2/19/2010,5.707692308
2/20/2010,5.561538462
2/21/2010,5.415384615
2/22/2010,5.269230769
2/23/2010,5.123076923
2/24/2010,4.976923077
2/25/2010,4.830769231
2/26/2010,4.684615385
2/27/2010,4.538461538
2/28/2010,4.392307692
3/1/2010,4.246153846
3/2/2010,4.1
3/3/2010,3.953846154
3/4/2010,3.807692308
3/5/2010,3.661538462
3/6/2010,3.515384615
3/7/2010,3.369230769
3/8/2010,3.223076923
3/9/2010,3.076923077
3/10/2010,2.930769231
3/11/2010,2.784615385
3/12/2010,2.638461538
3/13/2010,2.492307692
3/14/2010,2.346153846
3/15/2010,2.2
3/16/2010,2.185714286
3/17/2010,2.171428571
3/18/2010,2.157142857
3/19/2010,2.142857143
3/20/2010,2.128571429
3/21/2010,2.114285714
3/22/2010,2.1
3/23/2010,2.085714286
3/24/2010,2.071428571
3/25/2010,2.057142857
3/26/2010,2.042857143
3/27/2010,2.028571429
3/28/2010,2.014285714
3/29/2010,2
3/30/2010,1.892857143
3/31/2010,1.785714286
4/1/2010,1.678571429
4/2/2010,1.571428571
4/3/2010,1.464285714
4/4/2010,1.357142857
4/5/2010,1.25
4/6/2010,1.142857143
4/7/2010,1.035714286
4/8/2010,0.928571429
4/9/2010,0.821428571
4/10/2010,0.714285714
4/11/2010,0.607142857
4/12/2010,0.5
4/13/2010,0.678571429
4/14/2010,0.857142857
4/15/2010,1.035714286
4/16/2010,1.214285714
4/17/2010,1.392857143
4/18/2010,1.571428571
4/19/2010,1.75
4/20/2010,1.928571429
4/21/2010,2.107142857
4/22/2010,2.285714286
4/23/2010,2.464285714
4/24/2010,2.642857143
4/25/2010,2.821428571
4/26/2010,3
4/27/2010,2.821428571
4/28/2010,2.642857143
4/29/2010,2.464285714
4/30/2010,2.285714286
5/1/2010,2.107142857
5/2/2010,1.928571429
5/3/2010,1.75
5/4/2010,1.571428571
5/5/2010,1.392857143
5/6/2010,1.214285714
5/7/2010,1.035714286
5/8/2010,0.857142857
5/9/2010,0.678571429
5/10/2010,0.5
5/11/2010,1.392857143
5/12/2010,2.285714286
5/13/2010,3.178571429
5/14/2010,4.071428571
5/15/2010,4.964285714
5/16/2010,5.857142857
5/17/2010,6.75
5/18/2010,7.642857143
5/19/2010,8.535714286
5/20/2010,9.428571429
5/21/2010,10.32142857
5/22/2010,11.21428571
5/23/2010,12.10714286
5/24/2010,13
5/25/2010,12.67857143
5/26/2010,12.35714286
5/27/2010,12.03571429
5/28/2010,11.71428571
5/29/2010,11.39285714
5/30/2010,11.07142857
5/31/2010,10.75
6/1/2010,10.42857143
6/2/2010,10.10714286
6/3/2010,9.785714286
6/4/2010,9.464285714
6/5/2010,9.142857143
6/6/2010,8.821428571
6/7/2010,8.5
6/8/2010,8.25
6/9/2010,8
6/10/2010,7.75
6/11/2010,7.5
6/12/2010,7.25
6/13/2010,7
6/14/2010,6.75
6/15/2010,6.5
6/16/2010,6.25
6/17/2010,6
6/18/2010,5.75
6/19/2010,5.5
6/20/2010,5.25
6/21/2010,5
6/22/2010,5.029411765
6/23/2010,5.058823529
6/24/2010,5.088235294
6/25/2010,5.117647059
6/26/2010,5.147058824
6/27/2010,5.176470588
6/28/2010,5.205882353
6/29/2010,5.235294118
6/30/2010,5.264705882
7/1/2010,5.294117647
7/2/2010,5.323529412
7/3/2010,5.352941176
7/4/2010,5.382352941
7/5/2010,5.411764706
7/6/2010,5.441176471
7/7/2010,5.470588235
7/8/2010,5.5
7/9/2010,5.363636364
7/10/2010,5.227272727
7/11/2010,5.090909091
7/12/2010,4.954545455
