date,NH4,NO,DIN
1/1/2008,16.77060068,213.8660608,230.6366615
1/2/2008,17.03645191,213.2801245,230.3165764
1/3/2008,17.30230314,212.6941882,229.9964913
1/4/2008,17.56815437,212.1082519,229.6764063
1/5/2008,17.8340056,211.5223156,229.3563212
1/6/2008,18.09985683,210.9363793,229.0362361
1/7/2008,18.36570806,210.350443,228.7161511
1/8/2008,18.63155929,209.7645067,228.396066
1/9/2008,18.89741052,209.1785704,228.0759809
1/10/2008,19.16326175,208.5926341,227.7558958
1/11/2008,19.42911298,208.0066978,227.4358108
1/12/2008,19.69496421,207.4207615,227.1157257
1/13/2008,19.96081544,206.8348252,226.7956406
1/14/2008,20.22666667,206.2488889,226.4755556
1/15/2008,19.90427718,206.4821665,226.3864436
1/16/2008,19.58188769,206.715444,226.2973317
1/17/2008,19.25949821,206.9487216,226.2082198
1/18/2008,18.93710872,207.1819992,226.1191079
1/19/2008,18.61471924,207.4152768,226.029996
1/20/2008,18.29232975,207.6485544,225.9408841
1/21/2008,17.96994026,207.8818319,225.8517722
1/22/2008,17.64755078,208.1151095,225.7626603
1/23/2008,17.32516129,208.3483871,225.6735484
1/24/2008,17.0027718,208.5816647,225.5844365
1/25/2008,16.68038232,208.8149423,225.4953246
1/26/2008,16.35799283,209.0482198,225.4062127
1/27/2008,16.03560335,209.2814974,225.3171008
1/28/2008,15.71321386,209.514775,225.2279888
1/29/2008,15.39082437,209.7480526,225.1388769
1/30/2008,15.06843489,209.9813301,225.049765
1/31/2008,14.7460454,210.2146077,224.9606531
2/1/2008,14.42365591,210.4478853,224.8715412
2/2/2008,14.10126643,210.6811629,224.7824293
2/3/2008,13.77887694,210.9144405,224.6933174
2/4/2008,13.45648746,211.147718,224.6042055
2/5/2008,13.13409797,211.3809956,224.5150936
2/6/2008,12.81170848,211.6142732,224.4259817
2/7/2008,12.489319,211.8475508,224.3368698
2/8/2008,12.16692951,212.0808284,224.2477579
2/9/2008,11.84454002,212.3141059,224.158646
2/10/2008,11.52215054,212.5473835,224.0695341
2/11/2008,11.19976105,212.7806611,223.9804221
2/12/2008,10.87737157,213.0139387,223.8913102
2/13/2008,10.55498208,213.2472162,223.8021983
2/14/2008,10.23259259,213.4804938,223.7130864
2/15/2008,10.22022792,214.575831,224.7960589
2/16/2008,10.20786325,215.6711681,225.8790313
2/17/2008,10.19549858,216.7665052,226.9620038
2/18/2008,10.1831339,217.8618424,228.0449763
2/19/2008,10.17076923,218.9571795,229.1279487
2/20/2008,10.15840456,220.0525166,230.2109212
2/21/2008,10.14603989,221.1478538,231.2938936
2/22/2008,10.13367521,222.2431909,232.3768661
2/23/2008,10.12131054,223.338528,233.4598386
2/24/2008,10.10894587,224.4338651,234.542811
2/25/2008,10.0965812,225.5292023,235.6257835
2/26/2008,10.08421652,226.6245394,236.7087559
2/27/2008,10.07185185,227.7198765,237.7917284
2/28/2008,10.05948718,228.8152137,238.8747009
2/29/2008,10.04712251,229.9105508,239.9576733
3/1/2008,10.03475783,231.0058879,241.0406458
3/2/2008,10.02239316,232.1012251,242.1236182
3/3/2008,10.01002849,233.1965622,243.2065907
3/4/2008,9.997663818,234.2918993,244.2895632
3/5/2008,9.985299145,235.3872365,245.3725356
3/6/2008,9.972934473,236.4825736,246.4555081
3/7/2008,9.960569801,237.5779107,247.5384805
3/8/2008,9.948205128,238.6732479,248.621453
3/9/2008,9.935840456,239.768585,249.7044255
3/10/2008,9.923475783,240.8639221,250.7873979
3/11/2008,9.911111111,241.9592593,251.8703704
3/12/2008,9.809651416,239.1432389,248.9528903
3/13/2008,9.708191721,236.3272186,246.0354103
3/14/2008,9.606732026,233.5111983,243.1179303
3/15/2008,9.505272331,230.6951779,240.2004503
3/16/2008,9.403812636,227.8791576,237.2829702
3/17/2008,9.302352941,225.0631373,234.3654902
3/18/2008,9.200893246,222.2471169,231.4480102
3/19/2008,9.099433551,219.4310966,228.5305301
3/20/2008,8.997973856,216.6150763,225.6130501
3/21/2008,8.896514161,213.7990559,222.6955701
3/22/2008,8.795054466,210.9830356,219.7780901
3/23/2008,8.693594771,208.1670153,216.86061
3/24/2008,8.592135076,205.3509949,213.94313
3/25/2008,8.490675381,202.5349746,211.02565
3/26/2008,8.389215686,199.7189542,208.1081699
3/27/2008,8.287755991,196.9029339,205.1906899
3/28/2008,8.186296296,194.0869136,202.2732099
3/29/2008,8.084836601,191.2708932,199.3557298
3/30/2008,7.983376906,188.4548729,196.4382498
3/31/2008,7.881917211,185.6388526,193.5207698
4/1/2008,7.780457516,182.8228322,190.6032898
4/2/2008,7.678997821,180.0068119,187.6858097
4/3/2008,7.577538126,177.1907916,184.7683297
4/4/2008,7.476078431,174.3747712,181.8508497
4/5/2008,7.374618736,171.5587509,178.9333696
4/6/2008,7.273159041,168.7427306,176.0158896
4/7/2008,7.171699346,165.9267102,173.0984096
4/8/2008,7.070239651,163.1106899,170.1809296
4/9/2008,6.968779956,160.2946696,167.2634495
4/10/2008,6.867320261,157.4786492,164.3459695
4/11/2008,6.765860566,154.6626289,161.4284895
4/12/2008,6.664400871,151.8466086,158.5110094
4/13/2008,6.562941176,149.0305882,155.5935294
4/14/2008,6.461481481,146.2145679,152.6760494
4/15/2008,6.606206206,147.2475142,153.8537204
4/16/2008,6.750930931,148.2804605,155.0313914
4/17/2008,6.895655656,149.3134067,156.2090624
4/18/2008,7.04038038,150.346353,157.3867334
4/19/2008,7.185105105,151.3792993,158.5644044
4/20/2008,7.32982983,152.4122456,159.7420754
4/21/2008,7.474554555,153.4451919,160.9197464
4/22/2008,7.619279279,154.4781381,162.0974174
4/23/2008,7.764004004,155.5110844,163.2750884
4/24/2008,7.908728729,156.5440307,164.4527594
4/25/2008,8.053453453,157.576977,165.6304304
4/26/2008,8.198178178,158.6099233,166.8081014
4/27/2008,8.342902903,159.6428695,167.9857724
4/28/2008,8.487627628,160.6758158,169.1634434
4/29/2008,8.632352352,161.7087621,170.3411144
4/30/2008,8.777077077,162.7417084,171.5187855
5/1/2008,8.921801802,163.7746547,172.6964565
5/2/2008,9.066526527,164.8076009,173.8741275
5/3/2008,9.211251251,165.8405472,175.0517985
5/4/2008,9.355975976,166.8734935,176.2294695
5/5/2008,9.500700701,167.9064398,177.4071405
5/6/2008,9.645425425,168.9393861,178.5848115
5/7/2008,9.79015015,169.9723323,179.7624825
5/8/2008,9.934874875,171.0052786,180.9401535
5/9/2008,10.0795996,172.0382249,182.1178245
5/10/2008,10.22432432,173.0711712,183.2954955
5/11/2008,10.36904905,174.1041175,184.4731665
