date,Mean_T
1/1/2008,20.515
1/2/2008,17.9975
1/3/2008,12.32666667
1/4/2008,11.085
1/5/2008,11.525
1/6/2008,12.3725
1/7/2008,13.8225
1/8/2008,16.0975
1/9/2008,16.98
1/10/2008,16.93
1/11/2008,18.075
1/12/2008,18.475
1/13/2008,18.28
1/14/2008,20.4425
1/15/2008,18.9125
1/16/2008,18.0775
1/17/2008,15.6975
1/18/2008,15.33
1/19/2008,16.615
1/20/2008,16.3475
1/21/2008,15.1925
1/22/2008,14.805
1/23/2008,15.145
1/24/2008,15.115
1/25/2008,17.53
1/26/2008,16.7475
1/27/2008,16.5825
1/28/2008,17.1375
1/29/2008,16.6025
1/30/2008,17.175
1/31/2008,18.0725
2/1/2008,18.08
2/2/2008,18.1375
2/3/2008,18.2625
2/4/2008,19.22
2/5/2008,19.64
2/6/2008,19.775
2/7/2008,19.84
2/8/2008,17.7825
2/9/2008,18.7425
2/10/2008,21.1175
2/11/2008,20.3275
2/12/2008,17.0975
2/13/2008,17.0275
2/14/2008,17.79
2/15/2008,18.0425
2/16/2008,19.08
2/17/2008,19.605
2/18/2008,19.63
2/19/2008,20.5225
2/20/2008,20.2975
2/21/2008,17.8275
2/22/2008,19.07
2/23/2008,20.3975
2/24/2008,20.37
2/25/2008,21.275
2/26/2008,20.55
2/27/2008,20.4475
2/28/2008,17.745
2/29/2008,17.4025
3/1/2008,17.7025
3/2/2008,18.7175
3/3/2008,18.7125
3/4/2008,18.19
3/5/2008,18.8475
3/6/2008,19.1925
3/7/2008,20.6775
3/8/2008,20.4375
3/9/2008,18.2125
3/10/2008,17.955
3/11/2008,16.9675
3/12/2008,18.3925
3/13/2008,20.6625
3/14/2008,20.8625
3/15/2008,20.5075
3/16/2008,20.1725
3/17/2008,22.93
3/18/2008,21.8425
3/19/2008,20.61
3/20/2008,19.35
3/21/2008,20.6
3/22/2008,18.5775
3/23/2008,18.2275
3/24/2008,20.125
3/25/2008,19.9525
3/26/2008,18.68
3/27/2008,19.1425
3/28/2008,19.71
3/29/2008,20.9775
3/30/2008,21.04
3/31/2008,21.97
4/1/2008,21.65
4/2/2008,21.6825
4/3/2008,23.405
