date,Stage_ft,Stage_m,Storage_acft,Storage_m3,SA_acres
1/1/2008,10.275,3.13182,2129200,2626325616,321500
1/2/2008,10.14,3.090672,2084920,2571707122,318800
1/3/2008,9.945,3.031236,2021950,2494034886,314988
1/4/2008,10.1175,3.083814,2077540,2562604039,318350
1/5/2008,10.15,3.09372,2088200,2575752936,319000
1/6/2008,10.1575,3.096006,2090660,2578787297,319150
1/7/2008,10.165,3.098292,2093120,2581821658,319300
1/8/2008,10.1675,3.099054,2093940,2582833111,319350
1/9/2008,10.1625,3.09753,2092300,2580810204,319250
1/10/2008,10.165,3.098292,2093120,2581821658,319300
1/11/2008,10.165,3.098292,2093120,2581821658,319300
1/12/2008,10.16,3.096768,2091480,2579798750,319200
1/13/2008,10.1675,3.099054,2093940,2582833111,319350
1/14/2008,10.1225,3.085338,2079180,2564626946,318450
1/15/2008,10.095,3.076956,2070160,2553500957,317900
1/16/2008,10.1175,3.083814,2077540,2562604039,318350
1/17/2008,10.1275,3.086862,2080820,2566649854,318550
1/18/2008,10.115,3.083052,2076720,2561592586,318300
1/19/2008,10.1275,3.086862,2080820,2566649854,318550
1/20/2008,10.0975,3.077718,2070980,2554512410,317950
1/21/2008,10.1475,3.092958,2087380,2574741482,318950
1/22/2008,10.155,3.095244,2089840,2577775843,319100
1/23/2008,10.155,3.095244,2089840,2577775843,319100
1/24/2008,10.15,3.09372,2088200,2575752936,319000
1/25/2008,10.1275,3.086862,2080820,2566649854,318550
1/26/2008,10.135,3.089148,2083280,2569684214,318700
1/27/2008,10.11,3.081528,2075080,2559569678,318200
1/28/2008,10.09,3.075432,2068520,2551478050,317800
1/29/2008,10.105,3.080004,2073440,2557546771,318100
1/30/2008,10.1025,3.079242,2072620,2556535318,318050
1/31/2008,10.105,3.080004,2073440,2557546771,318100
2/1/2008,10.0925,3.076194,2069340,2552489503,317850
2/2/2008,10.075,3.07086,2063600,2545409328,317500
2/3/2008,10.08,3.072384,2065240,2547432235,317600
2/4/2008,10.085,3.073908,2066880,2549455142,317700
2/5/2008,10.085,3.073908,2066880,2549455142,317700
2/6/2008,10.07,3.069336,2061960,2543386421,317400
2/7/2008,10.0525,3.064002,2056220,2536306246,317050
2/8/2008,10.0375,3.05943,2051300,2530237524,316750
2/9/2008,10.0425,3.060954,2052940,2532260431,316850
2/10/2008,10.025,3.05562,2047200,2525180256,316500
2/11/2008,10.015,3.052572,2043920,2521134442,316300
2/12/2008,10.0325,3.057906,2049660,2528214617,316650
2/13/2008,10.1125,3.08229,2075900,2560581132,318250
2/14/2008,10.1325,3.088386,2082460,2568672761,318650
2/15/2008,10.1525,3.094482,2089020,2576764390,319050
2/16/2008,10.16,3.096768,2091480,2579798750,319200
2/17/2008,10.175,3.10134,2096400,2585867472,319500
2/18/2008,10.1675,3.099054,2093940,2582833111,319350
2/19/2008,10.14,3.090672,2084920,2571707122,318800
2/20/2008,10.14,3.090672,2084920,2571707122,318800
2/21/2008,10.16,3.096768,2091480,2579798750,319200
2/22/2008,10.1725,3.100578,2095580,2584856018,319450
2/23/2008,10.165,3.098292,2093120,2581821658,319300
2/24/2008,10.1575,3.096006,2090660,2578787297,319150
2/25/2008,10.165,3.098292,2093120,2581821658,319300
2/26/2008,10.1675,3.099054,2093940,2582833111,319350
2/27/2008,10.095,3.076956,2070160,2553500957,317900
2/28/2008,10.0825,3.073146,2066060,2548443689,317650
2/29/2008,10.09,3.075432,2068520,2551478050,317800
3/1/2008,10.0875,3.07467,2067700,2550466596,317750
3/2/2008,10.095,3.076956,2070160,2553500957,317900
3/3/2008,10.1025,3.079242,2072620,2556535318,318050
3/4/2008,10.1025,3.079242,2072620,2556535318,318050
3/5/2008,10.0975,3.077718,2070980,2554512410,317950
3/6/2008,10.145,3.092196,2086560,2573730029,318900
3/7/2008,10.215,3.113532,2109520,2602050730,320300
3/8/2008,10.1275,3.086862,2080820,2566649854,318550
3/9/2008,10.155,3.095244,2089840,2577775843,319100
3/10/2008,10.17,3.099816,2094760,2583844565,319400
3/11/2008,10.1925,3.106674,2102140,2592947647,319850
3/12/2008,10.2,3.10896,2104600,2595982008,320000
3/13/2008,10.1925,3.106674,2102140,2592947647,319850
3/14/2008,10.2025,3.109722,2105420,2596993462,320050
3/15/2008,10.2175,3.114294,2110340,2603062183,320350
3/16/2008,10.2225,3.115818,2111980,2605085090,320450
3/17/2008,10.265,3.128772,2125920,2622279802,321300
3/18/2008,10.265,3.128772,2125920,2622279802,321300
3/19/2008,10.245,3.122676,2119360,2614188173,320900
3/20/2008,10.21,3.112008,2107880,2600027822,320200
3/21/2008,10.2,3.10896,2104600,2595982008,320000
3/22/2008,10.2025,3.109722,2105420,2596993462,320050
3/23/2008,10.295,3.137916,2135760,2634417245,321900
3/24/2008,10.27,3.130296,2127560,2624302709,321400
3/25/2008,10.245,3.122676,2119360,2614188173,320900
3/26/2008,10.265,3.128772,2125920,2622279802,321300
3/27/2008,10.2775,3.132582,2130020,2627337070,321550
3/28/2008,10.28,3.133344,2130840,2628348523,321600
3/29/2008,10.2825,3.134106,2131660,2629359977,321650
3/30/2008,10.285,3.134868,2132480,2630371430,321700
3/31/2008,10.3225,3.146298,2144780,2645543234,322450
4/1/2008,10.3075,3.141726,2139860,2639474513,322150
4/2/2008,10.3175,3.144774,2143140,2643520327,322350
4/3/2008,10.35,3.15468,2153800,2656669224,323000
4/4/2008,10.3775,3.163062,2162820,2667795214,323550
4/5/2008,10.36,3.157728,2157080,2660715038,323200
4/6/2008,10.385,3.165348,2165280,2670829574,323700
4/7/2008,10.51,3.203448,2206260,2721377585,326260
4/8/2008,10.535,3.211068,2214410,2731430447,326910
4/9/2008,10.56,3.218688,2222560,2741483309,327560
4/10/2008,10.565,3.220212,2224190,2743493881,327690
4/11/2008,10.5725,3.222498,2226635,2746509740,327885
4/12/2008,10.55,3.21564,2219300,2737462164,327300
4/13/2008,10.5375,3.21183,2215225,2732435733,326975
4/14/2008,10.5125,3.20421,2207075,2722382871,326325
4/15/2008,10.4625,3.18897,2190700,2702184636,325250
