n,Description,Par_NO,Par_Chla,Par_NS_RMSE,Par_NSTemp_Mix,Par_NSTemp_4Chla,Par_Chlaalt2,Par_Chlaalt1,Par_NOR2=0.55,Par_XX,Par_ChlaTrials,Par_wet,Par_Peak_Chla30,Par_Peak_Chla20,Par_Chla0.34,Par__,Par_NO_LitValues,Chla_R20.37alt2,Chla_R2=0.26,R2=0.55,Par_E,Par_F,Par_C,Par_S,Par_X,Par_Z,Par_Chlaxxx,Par_3,Par_2,Par_0,Par_1,Par_RMSE,Par_R2=0.48,Par_Chlaxxxx,Par_alt1opt1,Par_alt1opt2,Par_alt2opt1,Par_alt2opt2,Par_ChlaAllAlt2Opt2,Alt2Opt1_16,Alt1Opt1_0816,,Chla,Chla_alt3,Chla_alt3_Stage,Chla_alt3_T_widrng,Chla_alt3_RAD_Units,Chla_fL(alt2),Chla_alt2_Io=RADP,Chla_fT_alt3,,Lit Values
0,Kni0,15.03769595,15.03769595,15.03769595,15.03769595,15.03769595,15.03769595,15.03769595,15.03769595,15.68687985,15.68687985,15.68687985,15.68687985,15.68687985,15.68687985,15.68687985,15.68687985,17.64063304,17.64063304,17.64063304,6.905358207,5.182699855,13.79682723,5.857032986,8.842208955,12.89678443,10.28118675,10.28118675,10.28118675,0.186477616,27,12.89678443,12.89678443,,13.79682723,7.342345217,4.366958979,5.857032986,5.857032986,9.975275297,17.64063304,,1.171705259,1.140163766,0.500100059,0.100115142,0.17811359,0.100000002,0.10001119,0.100031491,0.100014466,15.68687985
1,Kni,0.179601447,0.179601447,0.179601447,0.179601447,0.179601447,0.179601447,0.179601447,0.179601447,0.10331421,0.10331421,0.10331421,0.10331421,0.10331421,0.10331421,0.10331421,0.10331421,0.690515206,0.690515206,0.690515206,0.981575687,0.81866854,0.33543756,0.394316967,0.987729345,0.83276843,0.999363815,0.999363815,0.999363815,0.010036603,0.3,0.83276843,0.83276843,,0.33543756,0.102769943,0.990074604,0.394316967,0.394316967,4.993438608,0.690515206,,0.079994604,0.079962505,0.079803133,0.08382117,0.121693637,0.119999999,0.119994271,0.119999991,0.119999596,0.10331421
2,Kden0,9.334471118,9.334471118,9.334471118,9.334471118,9.334471118,9.334471118,9.334471118,9.334471118,10.94200657,10.94200657,10.94200657,10.94200657,10.94200657,10.94200657,10.94200657,10.94200657,5.530500911,5.530500911,5.530500911,0.90317445,2.265337544,7.676828623,6.804953833,7.375764584,7.563436231,6.031766826,6.031766826,6.031766826,0.005004951,9,7.563436231,7.563436231,,7.676828623,1.744612179,3.065390917,6.804953833,6.804953833,6.272212779,5.530500911,,94.10088949,105.9149105,89.22980004,113.4961512,87.37691218,122.9131561,462.5042818,116.0402498,305.5313233,10.94200657
3,Kden,0.298460666,0.298460666,0.298460666,0.298460666,0.298460666,0.298460666,0.298460666,0.298460666,0.369913672,0.369913672,0.369913672,0.369913672,0.369913672,0.369913672,0.369913672,0.369913672,0.068787285,0.068787285,0.068787285,0.056602486,0.050443558,0.08935158,0.026694389,0.09963625,0.099740096,0.086673384,0.086673384,0.086673384,0.008148907,0.1,0.099740096,0.099740096,,0.08935158,0.007606692,0.097674485,0.026694389,0.026694389,11.75768569,0.068787285,,734.1800484,749.2333617,652.4974799,683.1286274,650.1595095,2.000000068,3.008615455,2.000007207,2.000036323,0.369913672
4,Kw,2.096409644,2.209767478,1.37836042,2.209767478,1.276024532,1.276024532,2.209767478,2.096409644,0.815749071,0.8,0.815749071,0.548114549,1.000188372,1.503581382,1.636355519,1.636355519,0.8,0.100115142,1.693718685,2.387524601,2.612564309,1.723770384,1.07373996,2.586549191,1.874455035,1.295142691,1.543691707,1.543691707,1.373160656,1.7,1.874455035,1.874455035,1.295142691,1.723770384,2.307162786,0.510126576,1.07373996,2.951364128,1.332775437,1.693718685,,9.063567476,8.777491044,9.993247013,9.984356155,14.99906456,4.369465755,6.623309793,3.391667207,1.082296083,1.636355519
5,Kc,0.010003979,0.079998667,0.076189052,0.079998667,0.07485954,0.07485954,0.079998667,0.010003979,0.06536841,0.05,0.06536841,0.047948736,0.056807145,0.05593973,0.010005959,0.010005959,0.1,0.08382117,0.010001138,0.010000113,0.010138652,0.075289022,0.032577769,0.010475759,0.072418514,0.07999348,0.01002334,0.01002334,0.010013094,0.025,0.072418514,0.072418514,0.07999348,0.075289022,0.014233792,0.032084055,0.032577769,0.058882175,0.055028953,0.010001138,,448.3791231,6.3130747,7.8523813,7.304587918,5.863776303,9.375523569,5.462256421,20.9381483,7.936475813,0.010005959
6,K1,110.5401022,84.07435363,86.85049115,84.07435363,110.5780872,110.5780872,84.07435363,110.5401022,101.1805795,87.61410532,101.1805795,115.9460326,91.55910967,87.61410532,89.3456706,89.3456706,113.4961512,113.4961512,97.12855362,103.271079,119.8373688,119.8373688,113.4983675,,118.1998358,106.9857797,111.8247015,111.8247015,119.4448845,119.4448845,118.1998358,118.1998358,106.9857797,119.8373688,113.4983675,113.4983675,113.4983675,113.4983675,0.031563955,97.12855362,,33.2096461,22.31333754,59.97551687,99.89244339,18.42242797,5.765835972,4.069501636,9.62722314,3.457527553,89.3456706
7,K2,654.7552534,736.3122651,698.8273527,736.3122651,749.7188194,749.7188194,736.3122651,654.7552534,739.0573859,744.2191926,739.0573859,711.1075376,734.4963992,744.2191926,711.6726827,711.6726827,683.1286274,683.1286274,696.7473578,695.8839079,749.3422538,749.3422538,673.7857733,,744.1166319,702.2194622,709.2460123,709.2460123,742.9440879,742.9440879,744.1166319,744.1166319,702.2194622,749.3422538,673.7857733,673.7857733,673.7857733,673.7857733,0.046797887,696.7473578,,34.99989921,6.333940706,8.68393593,4.235860146,4.932334741,34.99999939,34.97439145,34.9935077,34.99986172,711.6726827
8,G_max,2.724350588,6.71103247,9.984458583,6.71103247,8.927444031,8.927444031,6.71103247,2.724350588,6.598989942,3.694552817,6.598989942,9.447245682,3.522982562,3.694552817,3.483634394,3.483634394,0.75,9.984356155,1.611864059,5.097226578,5.551019359,3,8.217361423,7.337777677,2.222695142,2.925772095,2.76594329,2.76594329,1.008338285,1.008338285,2.222695142,2.222695142,2.925772095,1.781840102,9.876530286,9.7084568,8.217361423,3.605214039,331.8760601,1.611864059,,14.9993781,34.9764376,34.99877111,38.36832897,38.96046679,10.0000002,10.00000275,10.01982799,10.00002709,3.483634394
9,K_NH,13.5949755,33.54293911,15.23663647,33.54293911,10.20103605,23.11913686,33.54293911,13.5949755,27.74388785,45,27.74388785,7.586579685,16.69678229,19.50509923,19.12573645,19.12573645,4,7.304587918,49.7167326,49.9849099,26.23876971,8.788521898,9.096579351,7.438039306,8.156332223,5.518407526,5.518407526,5.518407526,121,121,8.156332223,8.156332223,,8.788521898,9.582313671,9.591753657,9.096579351,3.858321727,9.790055068,49.7167326,,34.41511656,14.99333154,14.9992062,21.20379432,21.90536378,35.65890904,27.20269625,0.029944414,0.046448707,19.12573645
